Picture,,Concept 2,Culture,Age,n 3,Familiarity 4 ,,,Name agreement 5,,Concept,,Name responses (and raw frequency counts)  7,,Pictures with equivalent name agreement 8,,,,,,Pictures with equivalent concept agreement 9 ,,,,,,,,,,,,,,,,
no. 1,,,,,,,,,,,agreement 6,,,,All,American,Chinese,Am v. Chin,Am v. Chin,,All,American,Chinese,Am v. Chin,Am v. Chin,,,,,,,,,,,,
,,,,,,Mean,SD,,H,%,%,,,,groups,yng v. old,yng v. old,young,old,,groups,yng v. old,yng v. old,young,old,,,,,,,,,,,,
1,,accordion,American,Young,109,2.03,1.01,"d, f",0.406,85,85,,accordion (93),,x,x,x,x,x,,x,x,x,x,x,,,,,,,,,,,,
1,,,American,Old,103,2.95,1.38,g,0.561,92,92,,accordion (95),,,,,,,,,,,,,,,,,,,,,,,,
1,,,Chinese,Young,100,4.26,1.19,,0.568,81,82,,"??? accordion (81), ?? accordion (1)",,,,,,,,,,,,,,,,,,,,,,,,
1,,,Chinese,Old,97,4.41,1.06,,0.685,84,87,,"??? accordion (81), ?? accordion (3)",,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,airplane,American,Young,113,3.45,0.92,"d, f",0.921,77,97,,"airplane (87), plane (23)",,,x,x,x,,,x,x,x,x,x,,,,,,,,,,,,
2,,,American,Old,103,4.02,0.93,g,1.207,75,93,,"airplane (77), plane (18)",,,,,,,,,,,,,,,,,,,,,,,,
2,,,Chinese,Young,99,4.66,0.72,,0.850,87,87,,?? airplane (86),,,,,,,,,,,,,,,,,,,,,,,,
2,,,Chinese,Old,94,4.79,0.55,,0.520,93,93,,?? airplane (87),,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,a,alligator,American,Young,113,2.00,0.94,"d, f",0.893,80,82,,"alligator (90),  gator (3)",,,x,x,,,,,x,x,,,,,,,,,,,,,,
3,,,American,Old,103,2.77,1.38,g,0.864,83,84,,"alligator (86),  gator (1)",,,,,,,,,,,,,,,,,,,,,,,,
3,,,Chinese,Young,100,4.46,0.90,,0.409,93,93,,???? crocodile (93),,,,,,,,,,,,,,,,,,,,,,,,
3,,,Chinese,Old,93,4.32,0.92,,0.780,83,83,,???? crocodile (77),,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,anchor,American,Young,112,2.37,1.12,"d, f",0.074,98,98,,anchor (110),,,x,x,,,,,x,x,,,
4,,,American,Old,103,3.10,1.42,g,0.000,100,100,,anchor (103),,,,,,,,,,,,,
4,,,Chinese,Young,100,3.68,1.44,,1.522,59,59,,? anchor (59),,,,,,,,,,,,,
4,,,Chinese,Old,92,3.95,1.31,,2.209,54,60,,"? anchor (50), ?? ship anchor (4), ?? anchor (1)",,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,ant,American,Young,112,3.80,0.88,f,0.435,91,91,,ant (102),,,,,,,,,,,,,
5,,,American,Old,101,4.02,1.24,,2.324,58,58,,ant (59),,,,,,,,,,,,,
5,,,Chinese,Young,100,4.38,1.10,,1.204,69,71,,"?? ant (69), ? ant (2)",,,,,,,,,,,,,
5,,,Chinese,Old,92,4.15,1.14,,2.766,37,37,,?? ant (34),,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,apple,American,Young,113,4.44,0.69,"d, f",0.000,100,100,,apple (113),,,x,x,,,,,x,x,,,
6,,,American,Old,103,4.65,0.64,,0.079,99,99,,apple (102),,,,,,,,,,,,,
6,,,Chinese,Young,100,4.85,0.54,,0.571,88,88,,?? apple (88),,,,,,,,,,,,,
6,,,Chinese,Old,97,4.72,0.75,,0.927,85,85,,?? apple (82),,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,arm,American,Young,113,4.97,0.16,,0.201,97,97,,arm (110),,,x,x,,,,,x,x,,,
7,,,American,Old,103,4.97,0.17,,0.804,87,87,,arm (90),,,,,,,,,,,,,
7,,,Chinese,Young,100,4.92,0.37,,2.456,44,46,,"?? arm (44), ? arm (1), ?? forearm (1)",,,,,,,,,,,,,
7,,,Chinese,Old,97,4.90,0.49,,3.314,39,41,,"?? arm (38), ? arm (1), ?? forearm (1)",,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,
