,,,,University of Michigan Norms 1  (n = 113),,,,,,,,,,Snodgrass & Vanderwart Norms 2 (n = 42),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picture,Concept 4,,,Familiarity 5,,,Name agreement 6,,,Concept agreement 7,,,,Familiarity 5,,,Name agreement 6,,,Concept agreement 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no. 3,,,,Mean,s.d.,,H,%,,%,,,,Mean,s.d.,,H,%,,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,bird,,,4.15,0.91,a,0.72,90,,90,,,,3.62,1.16,a,0.69,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,blouse,d,(shirt),4.29,0.88,,2.24,50,,71,c,,,4.18,0.97,,1.89,43,,90,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,book,,,4.96,0.19,a,0.00,100,,100,,,,4.75,0.54,a,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,boot,,,3.64,0.90,,0.26,96,b,96,,,,3.38,1.24,,0.69,88,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,bottle,,,3.86,0.99,,0.98,84,b,84,,,,3.72,1.05,,0.28,95,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,bow,,,3.05,0.94,a,0.98,77,,77,c,,,2.25,1.18,a,1.25,74,,95,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,bowl,,,4.69,0.61,a,0.27,96,,96,,,,4.18,0.92,a,0.17,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,box,,,4.00,0.87,a,0.81,89,,89,,,,2.88,1.31,a,0.80,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,bread,,,4.61,0.60,,0.66,88,,88,,,,4.40,0.83,,0.84,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,broom,,,3.64,0.95,,0.07,99,,99,,,,3.42,1.14,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,brush,,,4.35,0.93,a,0.72,88,,88,,,,3.80,1.08,a,0.88,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,bus,,,4.21,0.89,,0.00,100,,100,,,,4.50,0.74,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,butterfly,,,3.15,0.89,,0.00,100,,100,,,,2.92,1.17,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,button,,,4.65,0.68,a,0.00,100,,100,,,,3.85,1.26,a,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,cake,,,3.69,0.84,a,0.27,96,b,96,,,,4.02,1.06,a,0.84,83,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,camel,,,1.96,0.97,,0.00,100,b,100,,,,2.08,1.06,,0.00,95,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,candle,,,3.83,0.92,a,0.15,98,,98,,,,3.08,1.15,a,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,cannon,,,1.94,0.96,a,0.89,86,,86,,,,1.52,0.63,a,0.49,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,cap,d,(hat),3.50,1.13,,1.41,51,b,91,,,,3.12,1.12,,0.59,86,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,car,,,4.82,0.47,,0.22,97,b,97,,,,4.70,0.60,,1.08,81,b,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,carrot,,,3.92,0.89,a,0.07,99,,99,,,,3.55,0.97,a,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,cat,,,3.78,1.02,a,0.13,98,,98,,,,4.22,0.88,a,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,caterpillar,,,2.52,0.89,a,0.84,82,,82,,,,1.72,0.81,a,0.96,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,celery,,,3.29,0.88,,0.91,81,,81,,,,3.40,1.11,,0.83,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,chain,,,3.31,0.95,a,0.26,96,,96,,,,2.82,1.00,a,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,chair,,,4.94,0.24,a,0.00,100,,100,,,,4.58,0.86,a,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,cherry,,,3.46,0.95,,0.30,95,b,95,,,,3.38,1.18,,0.52,83,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,chicken,,,3.45,0.94,a,1.51,63,,79,c,,,2.42,1.09,a,1.35,67,,90,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,chisel,,,2.68,1.00,,2.48,32,,32,,,,2.46,1.24,,2.33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,church,,,3.73,1.10,,0.29,96,,96,,,,3.38,1.34,,0.44,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,cigar,,,2.83,1.06,a,0.96,83,b,83,,,,2.35,1.26,a,0.00,100,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,cigarette,,,3.64,1.17,,0.07,99,,99,,,,3.65,1.41,,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,clock,,,4.85,0.41,a,0.07,99,,99,,,,4.38,0.99,a,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
