Photograph,Category,Category_Code,Gender,Valence_ratings,Arousal_ratings,RT_free,RT_250ms,RT_100ms,RT_33ms,Mean_RT,Resp_Unpl_free,Resp_Neut_free,Resp_Plea_free,Resp_Unpl_250ms,Resp_Neut_250ms,Resp_Plea_250ms,Resp_Unpl_100ms,Resp_Neut_100ms,Resp_Plea_100ms,Resp_Unpl_33ms,Resp_Neut_33ms,Resp_Plea_33ms
        1340,Adventure,1.00,2.00,7.63,5.25,856.63,950.43,"1,013.17","1,009.42",957.41,0.000,0.167,0.833,0.000,0.167,0.833,0.000,0.250,0.750,0.042,0.333,0.625
        2000,.,0.00,2.00,7.10,6.10,878.71,880.74,892.83,970.79,905.77,0.042,0.375,0.583,0.042,0.208,0.750,0.000,0.167,0.833,0.000,0.458,0.542
        2020,.,0.00,2.00,5.97,3.41,823.96,785.62,896.58,966.83,868.25,0.083,0.208,0.708,0.042,0.208,0.750,0.000,0.500,0.500,0.000,0.250,0.750
        2025,.,0.00,2.00,5.44,3.63,"1,218.78","1,023.14",969.87,"1,120.79","1,083.15",0.000,0.750,0.250,0.083,0.667,0.250,0.250,0.583,0.167,0.167,0.625,0.208
        2030,.,0.00,2.00,6.02,3.08,712.48,778.89,872.54,897.92,815.46,0.000,0.167,0.833,0.000,0.125,0.875,0.000,0.250,0.750,0.000,0.250,0.750
        2037,.,0.00,2.00,6.40,2.83,"1,245.33","1,149.30","1,106.13","1,178.43","1,169.80",0.000,0.667,0.333,0.042,0.583,0.375,0.125,0.542,0.333,0.250,0.375,0.375
        2040,Families-Babies,3.00,2.00,8.74,4.97,719.25,671.39,734.96,725.54,712.79,0.000,0.042,0.958,0.000,0.042,0.958,0.000,0.042,0.958,0.000,0.000,1.000
        2057,Families-Babies,3.00,2.00,8.39,4.73,755.43,654.87,697.75,678.08,696.53,0.000,0.083,0.917,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.042,0.958
        2058,Families-Babies,3.00,2.00,8.24,5.45,624.13,994.89,688.48,703.08,752.65,0.000,0.042,0.958,0.000,0.167,0.833,0.000,0.000,1.000,0.000,0.042,0.958
        2070,Families-Babies,3.00,2.00,8.50,4.84,637.96,754.36,923.71,813.13,782.29,0.000,0.000,1.000,0.000,0.042,0.958,0.042,0.125,0.833,0.000,0.042,0.958
        2080,Families-Babies,3.00,2.00,8.46,4.94,869.52,779.26,890.25,751.08,822.53,0.042,0.083,0.875,0.000,0.167,0.833,0.042,0.125,0.833,0.000,0.083,0.917
        2091,Families-Babies,3.00,2.00,8.26,4.77,813.46,784.48,901.70,880.43,845.02,0.000,0.042,0.958,0.000,0.042,0.958,0.000,0.042,0.958,0.000,0.042,0.958
        2092,.,0.00,2.00,6.70,4.71,924.52,826.86,921.70,992.17,916.31,0.042,0.167,0.792,0.125,0.083,0.792,0.000,0.167,0.833,0.000,0.167,0.833
