Photograph,Category,Category_Code,Gender,Valence_ratings,Arousal_ratings,RT_free,RT_250ms,RT_100ms,RT_33ms,Mean_RT,Resp_Unpl_free,Resp_Neut_free,Resp_Plea_free,Resp_Unpl_250ms,Resp_Neut_250ms,Resp_Plea_250ms,Resp_Unpl_100ms,Resp_Neut_100ms,Resp_Plea_100ms,Resp_Unpl_33ms,Resp_Neut_33ms,Resp_Plea_33ms
        2100,.,0.00,2.00,3.37,5.32,962.61,875.39,"1,115.50","1,004.21",989.43,0.458,0.542,0.000,0.708,0.250,0.042,0.708,0.250,0.042,0.542,0.375,0.083
        2102,.,0.00,2.00,5.13,2.92,801.92,913.77,"1,044.75",896.46,914.23,0.000,0.917,0.083,0.000,0.875,0.125,0.000,0.792,0.208,0.083,0.667,0.250
        2104,.,0.00,2.00,4.42,3.22,810.18,898.96,"1,007.29",956.25,918.17,0.042,0.958,0.000,0.083,0.917,0.000,0.125,0.792,0.083,0.167,0.750,0.083
        2110,.,0.00,2.00,3.44,5.05,793.17,"1,024.88",911.70,920.41,912.54,0.583,0.417,0.000,0.375,0.625,0.000,0.542,0.417,0.042,0.375,0.500,0.125
        2120,.,0.00,2.00,3.03,5.44,766.67,835.96,"1,007.58",870.67,870.22,0.875,0.083,0.042,0.875,0.083,0.042,0.792,0.208,0.000,0.917,0.083,0.000
        2141,Loss-Illness,22.00,2.00,2.27,5.35,"1,028.41",926.87,"1,154.39","1,061.79","1,042.87",0.917,0.083,0.000,0.833,0.167,0.000,0.500,0.375,0.125,0.542,0.333,0.125
        2150,Families-Babies,3.00,2.00,8.31,5.29,623.58,766.29,704.58,755.35,712.45,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.042,0.958,0.042,0.000,0.958
        2152,Families-Babies,3.00,2.00,6.97,3.87,655.46,741.45,670.09,727.04,698.51,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000
        2160,Families-Babies,3.00,2.00,8.16,5.03,698.88,788.24,716.00,870.71,768.46,0.000,0.000,1.000,0.042,0.042,0.917,0.083,0.000,0.917,0.042,0.000,0.958
        2165,Families-Babies,3.00,2.00,8.29,5.05,627.25,645.56,741.13,715.54,682.37,0.000,0.000,1.000,0.000,0.042,0.958,0.000,0.000,1.000,0.000,0.000,1.000
        2170,Families-Babies,3.00,2.00,7.69,4.21,773.71,769.52,749.75,862.09,788.77,0.000,0.000,1.000,0.042,0.000,0.958,0.000,0.000,1.000,0.083,0.000,0.917
        2190,.,0.00,2.00,4.90,2.50,961.04,757.50,811.13,957.92,871.90,0.000,1.000,0.000,0.083,0.833,0.083,0.042,0.917,0.042,0.000,0.833,0.167
        2191,.,0.00,2.00,5.14,3.60,"1,116.43","1,065.71",982.65,"1,141.50","1,076.57",0.083,0.667,0.250,0.000,0.792,0.208,0.042,0.750,0.208,0.000,0.708,0.292
        2200,.,0.00,2.00,4.95,4.03,768.71,855.90,842.38,853.17,830.04,0.125,0.875,0.000,0.042,0.792,0.167,0.042,0.750,0.208,0.042,0.917,0.042
        2205,Loss-Illness,22.00,2.00,1.65,4.65,"1,141.14","1,169.05","1,032.33","1,198.52","1,135.26",0.917,0.083,0.000,0.375,0.583,0.042,0.542,0.417,0.042,0.458,0.458,0.083
        2208,Erotic-Romance,2.00,2.00,7.55,6.14,928.26,888.45,973.79,"1,040.29",957.70,0.042,0.042,0.917,0.000,0.042,0.958,0.042,0.000,0.958,0.292,0.208,0.500
        2210,.,0.00,2.00,4.36,4.41,783.61,846.29,812.54,960.88,850.83,0.083,0.875,0.042,0.042,0.833,0.125,0.000,0.917,0.083,0.250,0.750,0.000
        2215,.,0.00,2.00,4.53,3.44,853.21,817.76,900.88,895.79,866.91,0.000,0.833,0.167,0.000,0.917,0.083,0.042,0.875,0.083,0.000,0.792,0.208
        2220,.,0.00,2.00,4.88,4.84,"1,206.96",876.08,"1,158.83","1,141.29","1,095.79",0.583,0.333,0.083,0.125,0.750,0.125,0.208,0.708,0.083,0.500,0.417,0.083
        2221,.,0.00,2.00,4.33,3.05,927.33,911.00,895.65,"1,009.46",935.86,0.125,0.792,0.083,0.083,0.875,0.042,0.042,0.875,0.083,0.042,0.833,0.125
        2222,Families-Babies,3.00,2.00,7.59,4.39,900.19,876.18,"1,020.83","1,065.73",965.73,0.000,0.667,0.333,0.042,0.375,0.583,0.042,0.208,0.750,0.042,0.292,0.667
        2235,.,0.00,2.00,5.79,3.38,866.00,921.95,"1,086.04","1,018.96",973.24,0.042,0.917,0.042,0.042,0.875,0.083,0.042,0.833,0.125,0.042,0.750,0.208
        2240,Families-Babies,3.00,2.00,7.08,4.21,"1,297.83",847.45,831.54,944.63,980.36,0.083,0.333,0.583,0.042,0.458,0.500,0.000,0.458,0.542,0.042,0.458,0.500
        2250,Families-Babies,3.00,2.00,7.53,4.45,695.95,998.67,"1,038.71",946.21,919.89,0.042,0.500,0.458,0.125,0.417,0.458,0.000,0.417,0.583,0.042,0.375,0.583
        2260,Families-Babies,3.00,2.00,8.51,4.77,769.77,806.76,703.68,814.08,773.57,0.042,0.167,0.792,0.000,0.125,0.875,0.042,0.125,0.833,0.042,0.208,0.750
        2270,.,0.00,2.00,6.95,3.21,892.21,922.18,942.42,942.54,924.84,0.000,0.583,0.417,0.000,0.708,0.292,0.000,0.667,0.333,0.042,0.667,0.292
        2272,.,0.00,2.00,4.49,3.88,"1,334.24","1,083.86","1,100.70","1,179.26","1,174.52",0.208,0.667,0.125,0.250,0.583,0.167,0.375,0.542,0.083,0.125,0.667,0.208
        2278,.,0.00,2.00,3.34,4.70,946.91,970.87,"1,120.48","1,113.00","1,037.82",0.750,0.208,0.042,0.833,0.125,0.042,0.792,0.125,0.083,0.583,0.250,0.167
        2299,Families-Babies,3.00,2.00,7.76,3.96,968.54,824.71,"1,062.29","1,054.00",977.39,0.000,0.208,0.792,0.042,0.167,0.792,0.000,0.167,0.833,0.042,0.167,0.792
        2305,.,0.00,2.00,5.14,3.05,794.39,899.36,908.73,"1,067.08",917.39,0.042,0.750,0.208,0.000,0.958,0.042,0.042,0.750,0.208,0.042,0.667,0.292
        2306,.,0.00,2.00,7.33,4.62,836.57,"1,060.22",863.57,949.25,927.40,0.042,0.125,0.833,0.000,0.167,0.833,0.042,0.083,0.875,0.083,0.083,0.833
        2310,Families-Babies,3.00,2.00,7.37,4.34,720.48,840.48,903.58,823.33,821.97,0.042,0.083,0.875,0.042,0.167,0.792,0.042,0.250,0.708,0.042,0.083,0.875
        2311,Families-Babies,3.00,2.00,7.82,4.03,711.41,741.50,695.50,816.21,741.16,0.000,0.083,0.917,0.000,0.042,0.958,0.000,0.042,0.958,0.000,0.125,0.875
        2312,.,0.00,2.00,5.31,4.20,"1,167.19",990.10,"1,098.48","1,115.45","1,092.81",0.625,0.250,0.125,0.458,0.333,0.208,0.417,0.292,0.292,0.292,0.375,0.333
        2332,Families-Babies,3.00,2.00,7.94,4.36,919.78,880.00,847.54,"1,110.96",939.57,0.000,0.042,0.958,0.000,0.000,1.000,0.000,0.042,0.958,0.125,0.167,0.708
        2339,Families-Babies,3.00,2.00,6.78,4.05,982.30,"1,200.50","1,164.38","1,086.52","1,108.43",0.000,0.292,0.708,0.125,0.292,0.583,0.000,0.500,0.500,0.000,0.375,0.625
        2340,Families-Babies,3.00,2.00,8.34,4.53,712.13,767.95,872.32,831.79,796.05,0.042,0.042,0.917,0.000,0.000,1.000,0.083,0.125,0.792,0.000,0.083,0.917
        2341,Families-Babies,3.00,2.00,7.82,4.50,915.25,920.70,781.21,859.78,869.24,0.000,0.000,1.000,0.042,0.167,0.792,0.042,0.042,0.917,0.000,0.167,0.833
        2345,Adventure,1.00,2.00,7.75,5.99,851.13,704.00,887.88,928.96,842.99,0.000,0.042,0.958,0.000,0.042,0.958,0.042,0.042,0.917,0.042,0.125,0.833
        2346,Adventure,1.00,2.00,7.01,5.16,"1,308.94","1,098.82","1,030.79","1,076.30","1,128.71",0.250,0.250,0.500,0.125,0.125,0.750,0.208,0.208,0.583,0.042,0.292,0.667
        2352,.,0.00,2.00,7.38,5.13,769.26,727.72,821.22,761.83,770.01,0.000,0.042,0.958,0.042,0.000,0.958,0.042,0.042,0.917,0.000,0.083,0.917
        2357,.,0.00,2.00,5.48,3.56,959.45,981.73,"1,064.27","1,021.46","1,006.73",0.292,0.583,0.125,0.250,0.708,0.042,0.125,0.500,0.375,0.167,0.500,0.333
        2358,Families-Babies,3.00,2.00,6.75,3.66,942.95,907.05,886.83,854.00,897.71,0.042,0.417,0.542,0.000,0.333,0.667,0.042,0.125,0.833,0.000,0.292,0.708
        2360,Families-Babies,3.00,2.00,8.20,3.67,721.08,781.85,808.36,782.04,773.33,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.083,0.917
        2370,.,0.00,2.00,7.43,2.93,983.21,740.86,938.33,983.71,911.53,0.000,0.208,0.792,0.000,0.250,0.750,0.000,0.375,0.625,0.042,0.333,0.625
        2372,.,0.00,2.00,5.55,4.49,736.43,950.26,"1,051.08",958.00,923.94,0.000,0.958,0.042,0.000,0.875,0.125,0.042,0.833,0.125,0.000,0.750,0.250
        2373,Adventure,1.00,2.00,7.10,4.11,905.33,936.46,987.50,"1,038.21",966.88,0.000,0.333,0.667,0.000,0.333,0.667,0.042,0.208,0.750,0.000,0.208,0.792
        2383,.,0.00,2.00,4.79,3.36,"1,030.54",816.68,889.96,"1,044.26",945.36,0.042,0.833,0.125,0.000,0.875,0.125,0.042,0.708,0.250,0.000,0.833,0.167
        2387,Families-Babies,3.00,2.00,7.68,4.10,802.52,980.13,852.39,872.33,876.84,0.000,0.167,0.833,0.000,0.292,0.708,0.000,0.167,0.833,0.000,0.250,0.750
        2388,Families-Babies,3.00,2.00,8.10,3.73,938.32,978.73,908.46,"1,073.21",974.68,0.042,0.333,0.625,0.000,0.417,0.583,0.042,0.292,0.667,0.042,0.333,0.625
        2389,.,0.00,2.00,6.76,5.90,"1,446.74",959.78,"1,178.13","1,041.75","1,156.60",0.208,0.458,0.333,0.042,0.375,0.583,0.042,0.458,0.500,0.167,0.458,0.375
        2391,Adventure,1.00,2.00,6.90,3.78,"1,015.75",891.79,"1,025.46","1,070.78","1,000.95",0.000,0.250,0.750,0.000,0.042,0.958,0.000,0.250,0.750,0.000,0.333,0.667
        2393,.,0.00,2.00,4.92,2.95,"1,114.77","1,072.42","1,013.17",986.55,"1,046.73",0.042,0.917,0.042,0.125,0.875,0.000,0.125,0.792,0.083,0.208,0.625,0.167
        2394,.,0.00,2.00,6.14,3.94,"1,155.00",946.25,"1,248.30","1,010.54","1,090.02",0.042,0.875,0.083,0.292,0.542,0.167,0.042,0.792,0.167,0.083,0.625,0.292
        2395,.,0.00,2.00,8.31,4.48,821.38,839.71,750.63,875.42,821.79,0.000,0.000,1.000,0.042,0.083,0.875,0.042,0.042,0.917,0.042,0.167,0.792
        2396,.,0.00,2.00,4.86,3.27,"1,231.68","1,003.70",959.21,"1,094.87","1,072.37",0.042,0.833,0.125,0.042,0.958,0.000,0.000,0.792,0.208,0.000,0.750,0.250
        2397,.,0.00,2.00,4.93,2.56,"1,025.22","1,004.57","1,001.00",995.00,"1,006.45",0.083,0.792,0.125,0.125,0.833,0.042,0.000,0.958,0.042,0.125,0.875,0.000
        2398,Adventure,1.00,2.00,7.46,4.51,929.39,963.39,907.96,987.13,946.97,0.000,0.208,0.792,0.042,0.292,0.667,0.000,0.375,0.625,0.000,0.375,0.625
        2399,.,0.00,2.00,3.50,4.11,866.29,960.50,957.54,"1,025.88",952.55,0.917,0.042,0.042,0.833,0.167,0.000,0.750,0.125,0.125,0.625,0.167,0.208
        2410,.,0.00,2.00,4.54,4.40,"1,437.70","1,212.27","1,344.50","1,312.48","1,326.74",0.250,0.667,0.083,0.333,0.500,0.167,0.250,0.417,0.333,0.333,0.542,0.125
        2435,.,0.00,2.00,5.96,3.87,"1,269.63","1,147.14","1,019.08","1,054.50","1,122.59",0.042,0.667,0.292,0.083,0.583,0.333,0.167,0.375,0.458,0.000,0.500,0.500
        2442,Families-Babies,3.00,2.00,6.51,4.19,"1,006.33","1,138.17","1,145.96","1,148.04","1,109.63",0.000,0.458,0.542,0.083,0.417,0.500,0.000,0.250,0.750,0.167,0.333,0.500
        2455,Loss-Illness,22.00,2.00,2.63,4.65,"1,225.39","1,047.50","1,022.71","1,043.87","1,084.87",0.833,0.167,0.000,0.458,0.250,0.292,0.375,0.458,0.167,0.292,0.458,0.250
        2480,.,0.00,2.00,4.77,2.55,988.09,943.46,932.35,"1,046.33",977.56,0.083,0.667,0.250,0.042,0.708,0.250,0.042,0.708,0.250,0.042,0.792,0.167
        2490,.,0.00,2.00,2.74,4.06,"1,151.39","1,054.26","1,094.48","1,041.55","1,085.42",0.542,0.417,0.042,0.500,0.458,0.042,0.417,0.542,0.042,0.167,0.625,0.208
        2491,.,0.00,2.00,3.96,3.34,"1,234.64",991.08,"1,272.58","1,166.96","1,166.32",0.542,0.375,0.083,0.542,0.417,0.042,0.250,0.625,0.125,0.375,0.583,0.042
        2493,.,0.00,2.00,5.10,3.54,915.33,749.71,811.50,949.38,856.48,0.083,0.833,0.083,0.042,0.917,0.042,0.000,0.917,0.083,0.042,0.833,0.125
        2500,.,0.00,2.00,6.44,3.56,"1,086.65",919.68,"1,002.75",922.61,982.92,0.000,0.708,0.292,0.042,0.583,0.375,0.125,0.500,0.375,0.000,0.875,0.125
        2501,Adventure,1.00,2.00,7.45,3.51,820.43,925.00,816.71,835.17,849.33,0.000,0.208,0.792,0.000,0.083,0.917,0.000,0.042,0.958,0.042,0.000,0.958
        2506,.,0.00,2.00,5.59,3.09,891.58,864.92,930.95,973.38,915.21,0.000,0.333,0.667,0.000,0.500,0.500,0.000,0.458,0.542,0.000,0.583,0.417
        2512,.,0.00,2.00,4.78,3.29,830.35,853.83,831.88,966.04,870.53,0.042,0.917,0.042,0.000,0.917,0.083,0.000,0.917,0.083,0.083,0.833,0.083
        2513,.,0.00,2.00,5.90,3.21,"1,020.39",862.38,"1,078.25","1,079.38","1,010.10",0.250,0.417,0.333,0.083,0.583,0.333,0.083,0.792,0.125,0.042,0.667,0.292
        2515,.,0.00,2.00,6.31,3.91,938.00,"1,052.73","1,046.00","1,195.14","1,057.97",0.000,0.333,0.667,0.000,0.542,0.458,0.083,0.458,0.458,0.083,0.375,0.542
        2520,.,0.00,2.00,4.14,4.23,"1,124.86","1,226.17","1,001.52","1,059.57","1,103.03",0.458,0.458,0.083,0.292,0.625,0.083,0.292,0.625,0.083,0.167,0.750,0.083
        2530,Adventure,1.00,2.00,8.25,3.80,759.54,907.68,857.58,852.75,844.39,0.042,0.000,0.958,0.000,0.083,0.917,0.000,0.083,0.917,0.042,0.042,0.917
        2540,Families-Babies,3.00,2.00,7.95,3.76,797.43,791.58,712.22,781.58,770.70,0.000,0.083,0.917,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.042,0.958
        2550,Families-Babies,3.00,2.00,8.14,5.16,685.83,672.57,819.29,899.08,769.19,0.000,0.000,1.000,0.000,0.083,0.917,0.000,0.042,0.958,0.000,0.125,0.875
        2560,.,0.00,2.00,6.64,3.56,"1,073.73",928.77,"1,132.96",941.26,"1,019.18",0.042,0.542,0.417,0.125,0.542,0.333,0.083,0.458,0.458,0.167,0.542,0.292
        2575,.,0.00,2.00,5.32,4.24,"1,194.86",983.17,"1,200.29","1,113.75","1,123.02",0.042,0.833,0.125,0.208,0.708,0.083,0.083,0.917,0.000,0.333,0.625,0.042
        2579,.,0.00,2.00,5.39,3.79,948.59,970.59,"1,063.13","1,033.33","1,003.91",0.000,0.833,0.167,0.042,0.750,0.208,0.000,0.875,0.125,0.167,0.667,0.167
        2590,Loss-Illness,22.00,2.00,3.46,3.86,"1,343.81","1,154.50","1,145.83","1,118.13","1,190.57",0.542,0.250,0.208,0.250,0.542,0.208,0.000,0.667,0.333,0.042,0.583,0.375
        2593,.,0.00,2.00,5.73,3.22,941.33,944.61,901.96,999.09,946.75,0.042,0.875,0.083,0.000,0.792,0.208,0.042,0.792,0.167,0.042,0.792,0.167
        2594,.,0.00,2.00,6.06,3.77,992.04,871.25,996.71,"1,157.38","1,004.35",0.042,0.792,0.167,0.000,0.792,0.208,0.042,0.917,0.042,0.042,0.792,0.167
        2595,.,0.00,2.00,4.97,3.65,956.95,"1,068.13","1,104.79","1,060.70","1,047.64",0.208,0.542,0.250,0.125,0.500,0.375,0.375,0.500,0.125,0.042,0.583,0.375
        2597,.,0.00,2.00,5.46,3.76,"1,216.53","1,139.79","1,157.17","1,229.00","1,185.62",0.250,0.708,0.042,0.125,0.792,0.083,0.292,0.625,0.083,0.208,0.708,0.083
        2598,.,0.00,2.00,7.47,3.71,834.04,888.82,"1,080.83","1,015.79",954.87,0.000,0.292,0.708,0.000,0.583,0.417,0.083,0.417,0.500,0.042,0.458,0.500
        2620,.,0.00,2.00,6.07,2.50,"1,095.36","1,096.21","1,030.08","1,086.88","1,077.13",0.000,0.625,0.375,0.000,0.833,0.167,0.250,0.583,0.167,0.333,0.625,0.042
        2635,.,0.00,2.00,5.19,4.39,"1,112.86","1,095.87","1,119.52","1,099.00","1,106.81",0.083,0.792,0.125,0.042,0.833,0.125,0.208,0.542,0.250,0.083,0.583,0.333
        2650,Families-Babies,3.00,2.00,7.71,4.31,883.55,807.43,"1,014.17","1,060.00",941.29,0.042,0.208,0.750,0.000,0.292,0.708,0.000,0.375,0.625,0.000,0.167,0.833
        2655,Families-Babies,3.00,2.00,7.06,4.87,909.26,811.29,870.30,868.08,864.73,0.000,0.042,0.958,0.000,0.083,0.917,0.000,0.125,0.875,0.000,0.208,0.792
        2660,Families-Babies,3.00,2.00,8.18,4.76,714.17,859.30,685.17,798.83,764.37,0.000,0.042,0.958,0.000,0.208,0.792,0.000,0.083,0.917,0.000,0.042,0.958
        2661,Loss-Illness,22.00,2.00,4.46,6.27,"1,022.53","1,173.00","1,190.00","1,147.48","1,133.25",0.458,0.167,0.375,0.333,0.000,0.667,0.292,0.083,0.625,0.375,0.125,0.500
        2683,Human-Attack,33.00,2.00,1.97,6.42,645.00,704.88,708.35,704.58,690.70,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000
        2691,Human-Attack,33.00,2.00,2.30,6.01,609.25,738.95,694.92,869.25,728.09,1.000,0.000,0.000,1.000,0.000,0.000,0.958,0.042,0.000,0.917,0.042,0.042
        2692,Human-Attack,33.00,2.00,2.77,5.57,"1,046.75",923.78,966.38,"1,099.92","1,009.21",0.917,0.083,0.000,0.833,0.167,0.000,0.750,0.208,0.042,0.708,0.292,0.000
        2694,Human-Attack,33.00,2.00,2.97,5.17,771.13,752.37,765.29,739.13,756.98,1.000,0.000,0.000,1.000,0.000,0.000,0.958,0.000,0.042,1.000,0.000,0.000
        2695,.,0.00,2.00,3.55,4.66,885.64,770.29,775.09,796.75,806.94,0.958,0.042,0.000,0.958,0.042,0.000,0.917,0.042,0.042,0.917,0.083,0.000
        2700,Loss-Illness,22.00,2.00,3.10,4.94,"1,323.52",941.48,"1,177.08",998.87,"1,110.24",0.875,0.083,0.042,0.833,0.167,0.000,0.167,0.750,0.083,0.125,0.542,0.333
        2703,Loss-Illness,22.00,2.00,1.59,5.81,680.92,778.35,689.58,837.42,746.57,1.000,0.000,0.000,1.000,0.000,0.000,0.958,0.042,0.000,0.917,0.083,0.000
        2710,Loss-Illness,22.00,2.00,2.16,5.57,904.35,847.17,"1,088.87","1,005.70",961.52,0.958,0.042,0.000,0.917,0.083,0.000,0.750,0.250,0.000,0.375,0.542,0.083
        2715,.,0.00,2.00,2.99,4.69,"1,034.76",967.39,954.00,996.46,988.15,0.542,0.417,0.042,0.750,0.167,0.083,0.708,0.167,0.125,0.750,0.167,0.083
        2716,Loss-Illness,22.00,2.00,3.50,4.73,"1,110.95","1,112.78","1,038.13","1,136.13","1,099.50",0.917,0.042,0.042,0.875,0.125,0.000,0.917,0.083,0.000,0.833,0.167,0.000
        2717,Loss-Illness,22.00,2.00,2.35,5.81,743.29,788.46,753.67,911.63,799.26,1.000,0.000,0.000,0.958,0.042,0.000,1.000,0.000,0.000,0.958,0.042,0.000
        2718,Loss-Illness,22.00,2.00,3.43,4.73,"1,180.85","1,002.41","1,008.96",956.57,"1,037.20",0.875,0.083,0.042,0.708,0.208,0.083,0.625,0.375,0.000,0.583,0.417,0.000
        2722,Loss-Illness,22.00,2.00,2.94,3.77,937.73,870.36,968.17,916.04,923.08,0.958,0.042,0.000,1.000,0.000,0.000,0.917,0.083,0.000,0.917,0.083,0.000
2745.1,.,0.00,2.00,5.38,3.31,849.70,886.57,941.58,928.54,901.60,0.000,0.875,0.125,0.000,0.958,0.042,0.042,0.917,0.042,0.000,0.708,0.292
        2749,.,0.00,2.00,4.97,3.81,885.68,990.61,997.17,972.83,961.57,0.250,0.708,0.042,0.167,0.750,0.083,0.125,0.750,0.125,0.125,0.708,0.167
        2750,Loss-Illness,22.00,2.00,2.55,4.55,744.75,"1,016.96",859.78,902.22,880.93,1.000,0.000,0.000,0.708,0.292,0.000,0.875,0.042,0.083,0.750,0.208,0.042
        2751,.,0.00,2.00,2.06,5.55,909.39,963.39,"1,050.71","1,039.33",990.71,0.958,0.042,0.000,0.958,0.042,0.000,0.875,0.125,0.000,0.875,0.125,0.000
        2752,Loss-Illness,22.00,2.00,3.66,4.48,890.46,"1,036.65",981.92,"1,144.71","1,013.44",0.917,0.083,0.000,0.750,0.167,0.083,0.958,0.042,0.000,0.792,0.125,0.083
        2799,Loss-Illness,22.00,2.00,2.21,5.19,924.88,734.82,"1,103.63",982.00,936.33,0.958,0.042,0.000,1.000,0.000,0.000,0.875,0.083,0.042,0.833,0.125,0.042
        2800,Loss-Illness,22.00,2.00,1.41,5.87,778.67,768.24,757.43,816.04,780.10,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.875,0.125,0.000
        2811,Human-Attack,33.00,2.00,1.74,7.27,537.29,636.26,725.39,774.50,668.36,1.000,0.000,0.000,0.958,0.042,0.000,0.958,0.000,0.042,1.000,0.000,0.000
        2840,.,0.00,2.00,4.90,2.55,912.91,"1,138.96","1,055.38","1,141.50","1,062.19",0.042,0.750,0.208,0.083,0.792,0.125,0.000,0.583,0.417,0.000,0.667,0.333
        2850,.,0.00,2.00,5.69,3.38,"1,368.37","1,090.86","1,122.30","1,105.30","1,171.71",0.042,0.833,0.125,0.125,0.583,0.292,0.125,0.750,0.125,0.167,0.417,0.417
        2870,.,0.00,2.00,5.41,3.11,"1,086.60","1,123.04","1,049.21","1,093.96","1,088.20",0.167,0.542,0.292,0.000,0.500,0.500,0.125,0.625,0.250,0.083,0.500,0.417
        2890,.,0.00,2.00,5.02,2.90,"1,144.33","1,000.09","1,030.64","1,111.08","1,071.54",0.125,0.792,0.083,0.125,0.875,0.000,0.042,0.792,0.167,0.083,0.583,0.333
        2900,Loss-Illness,22.00,2.00,2.16,5.40,851.35,711.43,853.17,843.83,814.95,0.958,0.042,0.000,0.875,0.000,0.125,0.958,0.042,0.000,0.917,0.042,0.042
        3022,.,0.00,2.00,3.29,6.06,917.00,883.32,"1,013.96",877.79,923.02,1.000,0.000,0.000,0.833,0.125,0.042,0.833,0.125,0.042,0.792,0.167,0.042
        3030,Mutilation,44.00,2.00,1.51,7.13,631.96,721.20,670.91,688.67,678.19,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.917,0.042,0.042
        3051,Mutilation,44.00,2.00,2.06,6.00,487.29,700.40,633.23,746.25,641.79,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000
        3180,Mutilation,44.00,2.00,1.67,6.19,896.50,888.64,956.29,897.48,909.73,0.792,0.167,0.042,0.625,0.333,0.042,0.500,0.458,0.042,0.500,0.458,0.042
        3181,Mutilation,44.00,2.00,2.01,5.16,630.83,795.36,878.88,971.74,819.20,1.000,0.000,0.000,0.958,0.042,0.000,0.833,0.125,0.042,0.583,0.375,0.042
        3216,.,0.00,2.00,3.09,5.41,"1,095.41","1,071.68","1,244.38","1,139.50","1,137.74",0.958,0.000,0.042,0.875,0.125,0.000,0.500,0.375,0.125,0.375,0.375,0.250
        3225,Mutilation,44.00,2.00,1.66,6.32,594.92,618.83,701.96,754.33,667.51,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.958,0.042,0.000
        3280,.,0.00,2.00,3.62,5.08,873.78,914.95,"1,056.75",984.79,957.57,0.875,0.125,0.000,0.750,0.250,0.000,0.708,0.125,0.167,0.875,0.125,0.000
        3300,Loss-Illness,22.00,2.00,2.35,4.96,933.72,"1,076.78","1,121.39","1,022.68","1,038.64",1.000,0.000,0.000,0.875,0.042,0.083,0.500,0.083,0.417,0.417,0.208,0.375
