"Appendix B"
"Values for Conceptual Agreement (CA) and Naming Agreement (NA) for Each Item at Each Age Band"
,Age bands,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,
,Age (in months),,2:0-2:5,,2:6-2:11,,3:0-3:5,,3:6-3:11,,4:0-4:5,,4:6-4:11,,5:0-5:5,,5:6-5:11,,6:0-6:5,,6:6-6:11,,7:0-7:11,,8:0-8:11,,9:0-9:11,,10:0-10:11,
,Agreement type,,NA,CA,NA,CA,NA,CA,NA,CA,NA,CA,NA,CA,NA,CA,NA,CA,NA,CA,NA,CA,NA,CA,NA,CA,NA,CA,NA,CA
,ITALIAN,ENGLISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AEREO,AIRPLANE,67,74,73,80,65,75,90,90,70,75,55,85,90,90,95,100,90,95,95,95,100,100,95,100,100,100,95,95
,> aereoplano,,7,,7,,10,,0,,5,,30,,0,,5,,5,,0,,0,,5,,0,,0,
2,AGLIO,GARLIC,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,5,5,30,30,15,15,45,45,55,55
3,ALBICOCCA,APRICOT,0,0,0,0,15,15,5,5,20,20,25,25,20,20,25,25,45,45,55,55,50,50,45,45,65,65,65,65
4,AMACA,HAMMOCK,0,0,0,0,0,0,0,0,5,5,10,10,0,0,5,5,15,15,15,15,45,45,65,65,65,65,55,55
5,AMBULANZA,AMBULANCE,0,0,0,0,10,15,25,25,45,55,65,70,55,65,75,90,70,90,70,90,75,95,85,95,80,100,90,95
,> croce-rossa,,0,,0,,5,,0,,10,,5,,10,,15,,20,,20,,20,,10,,20,,5,
6,ANANAS,PINEAPPLE,0,0,0,0,25,25,10,10,35,35,35,35,25,25,55,55,50,50,60,60,85,85,90,90,85,85,95,95
7,ANATRA,DUCK,0,0,0,0,0,5,25,30,35,40,30,30,35,35,25,25,35,35,55,55,55,55,50,50,65,65,60,60
,> anatroccolo,,0,,0,,5,,5,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,
8,ANGURIA,WATERMELON,0,0,20,20,45,45,60,60,70,70,95,95,95,95,95,95,100,100,80,80,100,100,100,100,95,95,100,100
9,ANTENNA,ANTENNA,0,0,0,0,0,0,5,5,15,15,10,10,20,20,30,30,25,25,25,25,35,35,45,45,40,40,55,55
10,APECAR,THREE-WHEELED VAN,0,0,0,0,0,15,0,10,0,15,10,10,5,25,25,40,0,30,10,50,15,55,30,60,25,70,15,45
,> apina,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,5,,0,,0,
,> camioncino,,0,,0,,10,,10,,10,,0,,20,,5,,30,,30,,25,,10,,25,,20,
,> furgoncino,,0,,0,,5,,0,,5,,0,,0,,5,,0,,5,,5,,15,,15,,5,
,> motocarrino,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,
,> motocarro,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,5,,5,
11,AQUILA,EAGLE,0,0,0,0,0,0,10,10,60,60,35,35,45,45,45,45,90,90,70,70,70,70,90,90,90,90,100,100
12,ARANCIA,ORANGE,0,0,0,0,10,10,20,20,55,55,50,50,75,75,65,65,65,65,85,85,85,85,80,80,100,100,95,95
13,ARCO (armi),BOW,0,0,0,0,5,5,10,10,50,50,60,60,65,65,85,85,95,95,100,100,85,85,100,100,100,100,100,100
14,ARCO (edificio),ARCH,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,5,15,15,25,30,50,50
,> porta,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,5,,0,
15,ARMADIO,WARDROBE,0,0,0,0,10,10,30,40,60,65,65,70,60,60,70,70,90,90,95,95,85,85,95,95,90,90,100,100
,> armadietto,,0,,0,,0,,10,,5,,5,,0,,0,,0,,0,,0,,0,,0,,0,
16,ARPA,HARP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,10,10,25,25,20,20,45,45
17,ASCIA,AXE,0,0,0,0,0,0,5,5,0,0,5,5,5,5,15,15,20,25,20,20,15,15,55,55,65,65,70,70
,> accetta,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,
18,ASINO,DONKEY,0,0,0,0,5,15,40,50,55,55,75,75,55,60,80,80,75,75,80,85,90,90,80,80,100,100,90,90
,> asinello,,0,,0,,10,,10,,0,,0,,5,,0,,0,,5,,0,,0,,0,,0,
19,ASPARAGO,ASPARAGUS,0,0,0,0,0,0,0,0,5,5,5,5,0,0,5,5,0,0,5,5,15,15,25,25,40,40,40,40
20,ATTACCAPANNI,CLOTHES-STAND,0,0,0,0,0,0,5,5,15,15,40,45,50,50,40,40,55,65,40,50,60,85,65,80,75,75,55,85
,> appendiabiti,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,15,,10,,0,,0,
,> appendino,,0,,0,,0,,0,,0,,5,,0,,0,,5,,10,,0,,5,,0,,15,
,> appendipanni,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,0,,15,
21,AUTOMOBILE,CAR,13,100,3,90,20,100,10,100,0,100,0,100,0,100,10,100,0,100,5,95,0,100,0,100,25,100,25,100
,> auto ,,0,,0,,0,,0,,0,,0,,0,,5,,15,,5,,0,,20,,15,,15,
,> macchina,,87,,87,,80,,90,,100,,100,,100,,85,,85,,85,,100,,80,,60,,60,
22,AVVOLTOIO,VULTURE,0,0,0,0,0,0,5,5,0,0,0,0,10,10,0,0,15,15,0,0,5,5,20,30,25,25,25,30
,Condor,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,5,
23,BALESTRA,CROSSBOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,10,15,15,20,20,20,20
24,BANANA,BANANA,70,70,90,90,90,90,100,100,95,95,95,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
25,BARCA,BOAT,50,50,77,80,95,95,90,90,100,100,95,95,100,100,95,100,75,75,95,95,95,100,95,95,100,100,95,95
,> barchetta,,0,,3,,0,,0,,0,,0,,0,,5,,0,,0,,5,,0,,0,,0,
26,BASTONE,STICK,0,0,10,23,15,60,25,65,50,70,60,100,50,85,60,90,70,80,40,90,85,100,80,95,85,95,90,100
,> clava,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,5,,10,,5,
,> legno,,0,,13,,45,,40,,20,,40,,35,,30,,5,,50,,15,,5,,0,,5,
,> mazza,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,
27,BATTERIA,DRUMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,35,35,25,25,55,65,80,80,65,65,75,75
,> piatti e tamburi,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,
28,BICICLETTA,BICYCLE,63,100,60,97,90,100,85,100,70,100,80,100,80,95,70,100,90,100,90,100,85,100,95,100,95,100,100,100
,> bici  ,,37,,37,,10,,15,,30,,20,,15,,30,,10,,10,,15,,5,,5,,0,
29,BILANCIA,SCALE,0,0,0,0,10,10,0,0,30,30,35,35,50,50,40,40,75,75,65,65,95,95,100,100,100,100,100,100
30,BINOCOLO,BINOCULARS,0,0,0,0,0,0,0,0,0,0,10,10,0,0,15,15,20,20,5,5,0,0,20,20,30,30,35,35
31,BIRILLO,SKITTLE,0,0,0,0,15,15,20,20,55,55,70,70,85,85,95,95,95,95,100,100,100,100,100,100,95,95,100,100
32,BOMBA,BOMB,0,0,0,0,5,5,0,0,5,5,10,10,20,20,25,25,35,35,20,20,40,40,70,70,85,85,85,85
33,BOTTE,BARREL,0,0,0,0,0,0,10,10,35,35,40,50,50,50,50,50,40,40,45,50,60,60,85,90,100,100,95,95
,> barile,,0,,0,,0,,0,,0,,10,,0,,0,,0,,5,,0,,5,,0,,0,
34,BUSSOLA,COMPASS,0,0,0,0,0,0,0,0,5,5,10,10,5,5,20,20,35,35,20,20,50,50,90,90,100,100,100,100
35,CALZE,STOCKINGS,0,0,0,0,20,20,40,40,60,60,50,50,65,65,60,60,60,60,65,65,55,55,55,55,65,65,80,80
