lang	subno	sex	age	typing_ability	typing_method	typing_gaze
DE	DE020	2	24	4	7	3
DE	DE021	2	33	4	6	4
DE	DE022	2	28	4	4	5
DE	DE023	2	23	4	4	5
DE	DE024	2	25	3	6	5
DE	DE025	2	24	3	6	3
DE	DE026	1	29	5	3	5
DE	DE027	1	27	4	7	4
DE	DE028	2	22	4	6	4
DE	DE029	1	26	4	4	1
DE	DE030	1	26	3	4	3
DE	DE031	1	32	2	6	3
DE	DE032	2	23	4	6	3
DE	DE033	1	30	5	7	4
DE	DE034	2	29	4	3	5
DE	DE035	2	25	2	6	3
DE	DE036	1	30	5	4	4
DE	DE037	1	24	3	7	5
DE	DE038	2	26	2	6	3
DE	DE039	2	22	2	4	4
DE	DE040	2	26	4	4	4
DE	DE041	2	22	4	4	5
DE	DE042	2	23	2	7	5
DE	DE043	2	23	4	7	5
DE	DE044	2	22	2	6	5
DE	DE045	2	24	2	4	4
DE	DE046	2	27	4	7	4
DE	DE047	2	22	4	4	4
DE	DE048	2	22	3	4	3
DE	DE049	1	36	5	6	4
DE	DE050	2	26	4	7	5
DE	DE051	2	21	4	4	4
DE	DE052	2	27	2	7	5
DE	DE053	2	20	2	7	5
DE	DE054	1	23	4	3	4
DE	DE055	2	23	3	7	4
DE	DE056	1	25	2	6	3
DE	DE057	2	31	3	6	5
DE	DE058	2	22	3	3	4
DE	DE059	1	21	3	4	5
DE	DE060	2	22	3	6	5
DE	DE061	2	24	3	3	4
DE	DE062	2	24	5	7	2
DE	DE063	2	28	2	6	1
DE	DE064	2	24	4	6	3
DE	DE065	2	24	4	6	5
DE	DE066	2	22	4	7	4
DE	DE067	2	30	4	6	3
DE	DE068	1	25	2	6	3
DE	DE069	2	22	2	6	5
DE	DE070	2	34	2	6	4
DE	DE071	1	25	3	4	4
DE	DE072	1	31	4	4	4
DE	DE073	2	23	3	4	5
DE	DE074	2	24	2	4	5
DE	DE075	1	23	2	6	3
DE	DE076	1	21	3	4	3
DE	DE077	2	22	3	6	4
DE	DE078	2	22	3	4	4
DE	DE079	2	35	4	4	3
DE	DE080	2	26	2	6	5
DE	DE081	2	24	4	4	4
DE	DE082	1	27	4	6	4
DE	DE083	2	34	4	6	5
DE	DE084	2	28	4	6	5
DE	DE085	2	40	4	4	5
DE	DE086	2	22	2	7	5
DE	DE087	1	31	2	6	5
DE	DE088	1	25	2	7	5
DE	DE089	2	24	3	7	4
DE	DE090	2	36	5	7	5
DE	DE091	2	34	2	6	1
DE	DE092	1	26	4	7	3
DE	DE093	2	26	3	7	4
DE	DE094	1	31	2	7	3
DE	DE095	2	25	3	3	4
DE	DE096	1	33	4	4	3
DE	DE097	2	43	4	7	5
DE	DE098	1	31	4	6	5
DE	DE099	2	30	4	3	5
DE	DE101	2	22	4	4	4
DE	DE102	2	31	2	6	3
DE	DE103	1	36	4	4	3
DE	DE104	2	26	4	7	5
DE	DE105	1	27	2	6	3
DE	DE106	2	29	2	6	5
DE	DE107	1	30	2	6	3
DE	DE108	2	22	3	6	5
DE	DE109	2	21	2	6	5
DE	DE110	2	22	5	4	2
DE	DE111	2	20	3	3	4
DE	DE112	2	22	4	4	5
DE	DE113	2	20	3	4	3
DE	DE114	2	26	3	4	5
DE	DE115	2	20	3	4	2
DE	DE116	2	26	5	4	4
DE	DE117	2	21	2	4	5
DE	DE118	2	24	3	5	4
DE	DE119	2	22	4	4	4
DE	DE120	2	24	4	3	1
DE	DE121	1	28	3	6	5
DU	DU001	2	19	2	6	3
DU	DU002	2	20	3	6	3
DU	DU003	2	23	3	4	3
DU	DU004	2	19	4	3	3
DU	DU005	1	20	4	6	3
DU	DU006	2	21	5	4	3
DU	DU007	2	21	3	6	4
DU	DU008	2	23	1	6	3
DU	DU009	2	24	4	7	4
DU	DU010	2	21	5	6	4
DU	DU011	2	21	5	6	3
DU	DU012	2	20	4	6	1
DU	DU013	2	20	4	4	3
DU	DU014	2	22	2	6	3
DU	DU015	2	22	1	6	3
DU	DU016	2	19	4	4	3
DU	DU017	2	20	2	6	3
DU	DU018	2	27	4	6	3
DU	DU019	2	21	3	4	3
DU	DU020	1	22	2	3	3
DU	DU021	2	21	1	6	3
DU	DU022	2	20	3	6	3
DU	DU024	2	19	4	7	4
DU	DU025	1	22	5	4	3
DU	DU026	2	19	5	4	4
DU	DU027	2	20	2	6	5
DU	DU028	1	22	4	4	4
DU	DU029	2	22	2	6	1
DU	DU030	2	114	2	6	1
DU	DU031	2	22	2	6	3
DU	DU032	2	20	2	6	3
DU	DU033	2	21	4	4	4
DU	DU034	1	19	1	6	1
DU	DU035	1	20	3	3	3
DU	DU036	2	22	4	3	4
DU	DU037	2	23	2	6	3
DU	DU038	1	103	2	6	3
DU	DU039	2	19	2	6	3
DU	DU040	1	20	5	7	4
DU	DU041	1	20	4	7	4
DU	DU042	2	20	4	4	5
DU	DU043	2	21	2	6	3
DU	DU044	2	20	4	4	5
DU	DU045	2	20	2	6	3
DU	DU046	2	20	4	7	5
DU	DU047	2	22	4	7	3
DU	DU048	2	22	1	6	3
DU	DU049	2	19	4	6	3
DU	DU050	2	21	2	6	3
DU	DU051	2	22	3	6	3
DU	DU052	1	24	5	4	3
DU	DU053	2	24	3	4	4
DU	DU054	1	20	4	3	5
DU	DU055	2	19	2	6	1
DU	DU056	1	23	5	6	3
DU	DU057	2	23	4	6	3
DU	DU058	1	22	2	6	3
DU	DU059	2	22	2	6	3
EN	EN003	2	19	1	6	5
EN	EN004	2	21	1	6	5
EN	EN005	2	21	3	4	5
EN	EN006	2	18	1	7	3
EN	EN007	1	27	4	4	4
EN	EN008	1	29	3	4	5
EN	EN009	2	20	4	4	5
EN	EN010	2	20	4	6	3
EN	EN011	2	19	4	4	5
EN	EN012	1	41	2	6	-
EN	EN013	2	19	3	4	4
EN	EN014	2	19	2	4	3
EN	EN015	2	19	2	4	2
EN	EN016	2	19	3	6	5
EN	EN017	2	19	4	6	5
EN	EN018	2	25	2	4	5
EN	EN019	2	19	3	7	3
EN	EN020	2	20	2	7	5
EN	EN021	2	21	3	4	5
EN	EN022	2	21	2	4	3
EN	EN023	2	50	3	6	4
EN	EN024	2	18	3	6	4
EN	EN025	2	20	2	6	3
EN	EN026	2	19	1	7	5
EN	EN027	2	19	3	3	5
EN	EN028	2	43	4	6	3
EN	EN029	2	20	2	6	5
EN	EN030	2	20	1	6	5
EN	EN031	2	19	2	6	3
EN	EN032	1	19	3	3	5
EN	EN033	2	20	3	6	3
EN	EN034	2	19	1	4	3
EN	EN035	2	19	2	4	3
EN	EN036	2	18	2	6	5
EN	EN037	2	21	2	6	3
EN	EN038	2	43	2	6	3
EN	EN039	2	19	2	4	5
EN	EN040	2	19	3	4	5
EN	EN041	2	20	4	6	5
EN	EN042	1	21	3	7	4
EN	EN043	1	18	4	4	5
EN	EN044	1	19	2	7	3
EN	EN045	2	20	2	5	4
EN	EN046	2	19	2	6	3
EN	EN047	2	18	2	6	4
EN	EN048	1	19			
EN	EN049	2	20			
EN	EN050	2	20			
EN	EN051	2	20			
EN	EN053	1	20			
EN	EN054	2	25	3	4	3
EN	EN055	2	21	3	5	3
EN	EN056	1	23	4	6	1
EN	EN057	2	18	4	6	5
EN	EN058	2	19	5	3	4
EN	EN059	2	19	2	7	5
EN	EN060	2	20	3	6	5
EN	EN061	1	19	4	7	4
EN	EN062	1	22	3	4	3
EN	EN063	1	20	3	4	1
EN	EN064	2	19	2	2	5
EN	EN065	2	20	2	6	3
EN	EN066	2	20	2	7	3
EN	EN067	1	19	6	4	5
EN	EN068	1	23	5	6	5
EN	EN069	1	30	3	7	5
EN	EN070	1	19	2	6	3
EN	EN071	2	20	2	6	5
EN	EN072	2	23	3	3	3
EN	EN073	1	20			
EN	EN074	2	18	3	2	
EN	EN075	1	21	2	6	3
EN	EN076	1	22	2	4	5
EN	EN077	1	22	1	6	3
EN	EN078	2	19	4	4	5
EN	EN079	2	24	2	6	4
EN	EN080	2	23	4	7	5
EN	EN081	2	20			
EN	EN082	2	19	2	7	3
EN	EN083	2	20			
EN	EN084	1	23	5	7	3
EN	EN085	2	20			
EN	EN086	2	20			
EN	EN087	2	20			
EN	EN088	2	20			
EN	EN093	2	19	1	6	3
EN	EN094	2	19	3	6	3
EN	EN095	2	20			
EN	EN096	2	19			
EN	EN097	2	19	4	4	5
EN	EN098	2	19			
EN	EN099	2	20			
EN	EN100	2	20			
EN	EN101	1	20			
EN	EN102	2	20			
EN	EN103	2	20	1	4	1
EN	EN104	2	20		7	
EN	EN105	2	20			
FI	FI001	2	20	2	6	3
FI	FI002	2	25	2	6	1
FI	FI003	2	23	4	4	5
FI	FI004	2	20	3	7	5
FI	FI005	2	19	2	4	5
FI	FI006	1	23	3	6	3
FI	FI007	2	26	5	7	4
FI	FI008	1	26	2	6	3
FI	FI009	2	20	4	4	4
FI	FI010	2	22	3	6	5
FI	FI011	1	20	4	6	5
FI	FI012	2	21	1	7	5
FI	FI013	2	27	5	4	5
FI	FI014	2	23	4	7	5
FI	FI015	2	21	4	7	5
FI	FI016	2	23	4	4	5
FI	FI017	2	19	2	7	3
FI	FI018	2	24	3	6	5
FI	FI019	2	20	2	6	5
FI	FI020	2	23	3	4	3
FI	FI021	2	25	2	6	3
FI	FI022	2	25	3	4	3
FI	FI023	1	29	1	6	1
FI	FI024	2	23	2	4	3
FI	FI025	2	24	5	3	5
FI	FI026	1	27	3	6	3
FI	FI027	2	20	4	2	3
FI	FI028	2	22	2	7	3
FI	FI029	2	21	2	4	3
FI	FI030	2	22	2	7	3
FI	FI031	2	26	3	4	5
FI	FI032	1	22	2	4	3
FI	FI033	1	28	1	7	1
FI	FI034	2	19	3	7	3
FI	FI035	2	21	3	4	3
FI	FI036	2	30	1	6	3
FI	FI037	2	20	6	4	3
FI	FI038	2	20	4	6	1
FI	FI039	2	27	2	6	1
FI	FI040	2	38	4	6	3
FI	FI041	2	25	2	6	3
FI	FI042	2	24	2	6	3
FI	FI043	1	23	2	6	3
FI	FI044	2	22	2	6	1
FI	FI045	2	22	4	4	4
FI	FI046	2	26	4	6	4
FI	FI047	1	41	6	3	4
FI	FI048	2	21	3	6	3
FI	FI049	2	23	2	3	3
FI	FI050	2	20	2	6	1
FI	FI051	2	24	1	4	3
FI	FI052	2	29	3	4	4
FI	FI053	2	34	2	6	1
FI	FI054	2	26	3	4	5
FI	FI055	1	24	3	6	3
FI	FI056	2	23	2	4	3
FI	FI057	1	23	2	6	3
FI	FI058	1	24	3	6	3
FI	FI059	2	28	2	6	3
FI	FI060	2	24	4	6	3
FI	FI061	1	28	3	7	3
FI	FI062	2	22	2	7	1
FI	FI063	1	21	2	6	3
FI	FI064	2	28	4	7	5
FI	FI065	1	22	2	6	3
FI	FI066	2	22	4	6	3
FI	FI067	1	25	4	6	3
FI	FI068	2	23	3	4	5
FI	FI069	1	21	3	7	1
FI	FI070	1	27	3	6	3
FI	FI071	1	33	4	4	5
FI	FI072	2	26	4	4	4
FI	FI073	1	33	3	7	3
FI	FI074	1	32	4	7	3
FI	FI075	1	25	2	6	1
FI	FI076	1	28	5	7	3
FI	FI077	1	23	2	7	3
FI	FI078	1	27	2	6	1
FI	FI079	1	26	2	6	3
FI	FI080	2	24	3	6	3
FI	FI081	2	25	2	4	3
FI	FI082	1	23	4	4	3
FI	FI083	2	23	2	6	3
FI	FI084	1	23	2	7	3
FI	FI085	1	26	4	6	3
FI	FI086	2	30	5	2	2
FI	FI087	1	30	2	6	1
FI	FI088	1	26	3	7	3
FI	FI089	1	25	3	7	4
FI	FI090	1	22	1	6	3
FI	FI091	1	30	1	7	4
FI	FI092	2	25	3	6	3
FI	FI093	1	24	3	6	3
