word	word_en	length	freq	freq_cl	val_yf	val_ym	val_of	val_om	val_y	val_o	val_t	aro_yf	aro_ym	aro_of	aro_om	aro_y	aro_o	aro_t	con_yf	con_ym	con_of	con_om	con_y	con_o	con_t	img_yf	img_ym	img_of	img_om	img_y	img_o	img_t	ego_yf	ego_ym	ego_of	ego_om	ego_y	ego_o	ego_t	age_yf	age_ym	age_of	age_om	age_y	age_o	age_t	val_self	val_other	selfother	selfother_sd	selfother_cl	val_age_p	val_age_e	val_age_s	val_sex_p	val_sex_e	val_sex_s	val_axs_p	val_axs_e	val_axs_s	aro_age_p	aro_age_e	aro_age_s	aro_sex_p	aro_sex_e	aro_sex_s	aro_axs_p	aro_axs_e	aro_axs_s	con_age_p	con_age_e	con_age_s	con_sex_p	con_sex_e	con_sex_s	con_axs_p	con_axs_e	con_axs_s	img_age_p	img_age_e	img_age_s	img_sex_p	img_sex_e	img_sex_s	img_axs_p	img_axs_e	img_axs_s	ego_age_p	ego_age_e	ego_age_s	ego_sex_p	ego_sex_e	ego_sex_s	ego_axs_p	ego_axs_e	ego_axs_s	age_age_p	age_age_e	age_age_s	age_sex_p	age_sex_e	age_sex_s	age_axs_p	age_axs_e	age_axs_s
abhaengig	dependent	8	19.464	10	1.5	1.75	1.75	2.083	1.625	1.917	1.771	6	5.583	4.5	4.636	5.792	4.565	5.191	1.917	1.167	2.818	2.417	1.542	2.609	2.064	4.083	3.364	3.333	3.083	3.739	3.208	3.468	3.417	3.667	1.667	2.583	3.542	2.125	2.833	3.917	3.333	3.75	3.091	3.625	3.435	3.532	1.813	2.563	1.917	.22	2	.273	.027	0	.273	.027	0	.875	.001	0	.007	.16	1	.745	.002	0	.522	.01	0	.026	.111	1	.222	.034	0	.71	.003	0	.352	.02	0	.38	.018	0	.67	.004	0	.005	.168	1	.226	.033	0	.487	.011	0	.496	.011	0	.043	.092	1	.899	0	0
abwesend	pre-occupied	8	1.767	14	2.917	3.083	3	2.917	3	2.958	2.979	2.833	2.5	3.083	2.25	2.667	2.667	2.667	1.917	1.917	3.083	2	1.917	2.542	2.229	3.833	3.25	5	3.583	3.542	4.292	3.917	2.583	2.917	1.833	2.25	2.75	2.042	2.396	3.5	3.667	3.583	4	3.583	3.792	3.688	2.813	2.125	1.458	.5	1	.875	.001	0	.875	.001	0	.638	.005	0	1	0	0	.187	.039	0	.568	.007	0	.13	.051	0	.188	.039	0	.188	.039	0	.221	.034	0	.105	.059	0	.494	.011	0	.082	.067	0	.352	.02	0	.917	0	0	.273	.027	0	.127	.052	0	.509	.01	0
aggressiv	aggressive	9	8.319	12	1.083	1.583	1.167	1.833	1.333	1.5	1.417	6.667	6.5	6.833	6.636	6.583	6.739	6.66	3.333	3.75	4.167	2.917	3.542	3.542	3.542	5.545	6.417	5.917	6.083	6	6	6	2.25	3.083	2.5	3	2.667	2.739	2.702	2.667	2.167	2.333	1.75	2.417	2.042	2.229	1.875	1.625	1.125	.333	1	.466	.012	0	.014	.131	1	.715	.003	0	.366	.019	0	.279	.027	0	.928	0	0	1	0	0	.469	.012	0	.151	.046	0	.963	0	0	.209	.036	0	.391	.017	0	.855	.001	0	.15	.048	0	.716	.003	0	.068	.074	0	.01	.142	1	.836	.001	0
akkurat	precise	7	1.695	14	4.083	4.417	6.083	5.833	4.25	5.958	5.104	5.167	4.667	3.833	4.083	4.917	3.958	4.438	5.75	5.273	5.667	6.167	5.522	5.917	5.723	4.417	3.083	5.083	3.75	3.75	4.417	4.083	4.667	4.182	5.583	5.5	4.435	5.542	5	3.25	3.583	3.75	3.917	3.417	3.833	3.625	5.125	4.813	1.625	.441	2	0	.367	1	.903	0	0	.393	.017	0	.041	.092	1	.784	.002	0	.413	.015	0	.264	.029	0	.975	0	0	.18	.041	0	.222	.034	0	.017	.122	1	1	0	0	.007	.158	1	.474	.012	0	.613	.006	0	.069	.073	0	.269	.028	0	.711	.003	0
aktiv	active	5	32.207	10	5.75	5.417	6.333	5.833	5.583	6.083	5.833	4.667	4.917	5.417	5.667	4.792	5.542	5.167	6.167	6.167	6.25	6.083	6.167	6.167	6.167	5.5	5.75	5.917	4.833	5.625	5.375	5.5	6.083	4.833	6.25	5.5	5.458	5.875	5.667	1.5	1.333	2.25	2	1.417	2.13	1.766	6.75	6.188	2	0	2	.013	.133	1	.036	.097	1	.667	.004	0	.134	.05	0	.613	.006	0	1	0	0	1	0	0	.807	.001	0	.807	.001	0	.556	.008	0	.328	.022	0	.121	.054	0	.173	.042	0	.002	.201	1	.411	.015	0	.001	.228	1	.3	.025	0	.835	.001	0
albern	silly	6	2.666	13	4.333	4.75	3.333	2.583	4.542	2.958	3.75	2.167	2.583	3.417	3.333	2.375	3.375	2.875	4.083	3.583	4.083	2.833	3.833	3.458	3.646	5.75	5.75	5.25	5.167	5.75	5.208	5.479	4.75	5.583	2.25	2	5.167	2.125	3.646	2.25	1.583	1.417	2.167	1.917	1.792	1.854	5	5	1.25	.441	1	0	.325	1	.63	.005	0	.097	.061	0	.007	.154	1	.64	.005	0	.484	.011	0	.429	.014	0	.069	.073	0	.429	.014	0	.207	.036	0	.922	0	0	.922	0	0	0	.583	1	.456	.013	0	.17	.042	0	.541	.009	0	.838	.001	0	.001	.217	1
alt	old	3	27.889	10	3.667	3.333	3.917	3.417	3.5	3.667	3.583	2.75	2.75	3.667	3.167	2.75	3.417	3.083	3.833	2.583	2.583	4	3.208	3.292	3.25	6.727	6.333	6.273	6.583	6.522	6.435	6.478	1.75	2	5.583	6	1.875	5.792	3.833	4.75	5	4.75	4.667	4.875	4.708	4.792	3.5	4	1.875	.354	2	.677	.004	0	.3	.024	0	.835	.001	0	.091	.063	0	.521	.009	0	.521	.009	0	.865	.001	0	.865	.001	0	.009	.145	1	.747	.002	0	.896	0	0	.27	.029	0	0	.611	1	.483	.011	0	.86	.001	0	.213	.035	0	.53	.009	0	.213	.035	0
amuesiert	amused	8	4.435	13	6.083	5.417	5.5	5.5	5.75	5.5	5.625	2.5	3	3.333	2.75	2.75	3.042	2.896	4.75	4.583	3.667	4.083	4.667	3.875	4.271	5.833	5.417	6	5	5.625	5.5	5.563	5.25	5.25	4.583	4.5	5.25	4.542	4.896	2.167	2.417	3	2.75	2.292	2.875	2.583	6.125	5.375	1.875	.354	2	.329	.022	0	.195	.038	0	.195	.038	0	.473	.012	0	.918	0	0	.186	.039	0	.06	.078	0	.762	.002	0	.481	.011	0	.764	.002	0	.094	.062	0	.485	.011	0	.052	.083	0	.907	0	0	.907	0	0	.028	.105	1	1	0	0	.336	.021	0
analytisch	analytical	10	1.015	15	3.25	4.667	4.917	5.5	3.958	5.208	4.583	4.583	4.833	4.5	4.75	4.708	4.625	4.667	6.25	5.833	4.75	5.5	6.042	5.125	5.583	2.273	2.833	3.75	3.083	2.565	3.417	3	4.25	4.917	4.583	5.5	4.583	5.042	4.813	2.417	2.667	2.667	2.917	2.542	2.792	2.667	5.375	4.75	1.833	.354	2	.002	.2	1	.011	.138	1	.274	.027	0	.829	.001	0	.518	.01	0	1	0	0	.024	.111	1	.673	.004	0	.144	.048	0	.107	.059	0	.92	0	0	.249	.031	0	.332	.021	0	.097	.061	0	.79	.002	0	.293	.025	0	.293	.025	0	1	0	0
angeekelt	disgusted	9	.341	16	1.583	1.833	1.417	1.083	1.708	1.25	1.479	6.583	6	6.083	6.636	6.292	6.348	6.319	2.417	2.167	3.333	2.75	2.292	3.042	2.667	6.083	6.25	5.333	4.909	6.167	5.13	5.66	2.083	1.833	1.25	1.583	1.958	1.417	1.688	2.917	2.917	2.833	3.333	2.917	3.083	3	1.688	1.813	1.833	.333	2	.024	.11	1	.833	.001	0	.145	.048	0	.775	.002	0	.949	0	0	.021	.118	1	.104	.059	0	.361	.019	0	.714	.003	0	.045	.091	1	.8	.002	0	.562	.008	0	.085	.066	0	.893	0	0	.347	.02	0	.398	.016	0	.208	.036	0	.208	.036	0
angenehm	pleasant	8	10.39	11	6.5	6.417	6.5	6	6.458	6.25	6.354	1.5	1.5	1.417	2	1.5	1.708	1.604	5.333	4.5	4.75	4.167	4.917	4.458	4.688	4	4.083	4.75	4.1	4.042	4.455	4.239	6.25	5.583	5.333	4.909	5.917	5.13	5.532	3.25	2.833	3.417	3.167	3.042	3.292	3.167	6.267	6.5	1.125	.354	1	.361	.019	0	.203	.037	0	.361	.019	0	.409	.016	0	.249	.03	0	.249	.03	0	.356	.019	0	.157	.045	0	.8	.001	0	.516	.01	0	.63	.006	0	.534	.009	0	.014	.132	1	.086	.067	0	.698	.004	0	.139	.049	0	.05	.084	0	.618	.006	0
angepasst	conformist	8	7.722	12	2.667	2.417	4.167	3.75	2.542	3.958	3.25	4.75	4.583	2.583	4	4.667	3.292	3.979	2.5	3.25	5.083	3.833	2.875	4.458	3.667	2.182	3.083	3.417	3	2.652	3.208	2.936	3.5	3.5	4.25	3.917	3.5	4.083	3.792	3.833	3.833	3.833	3.25	3.833	3.542	3.688	3.813	3.813	1.208	.333	1	.001	.228	1	.401	.016	0	.833	.001	0	0	.256	1	.084	.066	0	.03	.102	1	.001	.215	1	.586	.007	0	.034	.098	1	.243	.032	0	.621	.006	0	.183	.041	0	.237	.032	0	.734	.003	0	.734	.003	0	.265	.028	0	.265	.028	0	.265	.028	0
angeregt	inspired	8	8.621	12	5.333	5.417	4.727	5.75	5.375	5.261	5.319	4.333	4.167	3.917	4.5	4.25	4.208	4.229	5	4.25	4.583	4.667	4.625	4.625	4.625	3.667	3.75	4.75	4.583	3.708	4.667	4.188	5.25	5	5.636	4.917	5.125	5.261	5.191	2.5	2.333	2.5	2.583	2.417	2.542	2.479	6	5.563	1.917	.333	2	.679	.004	0	.098	.062	0	.158	.046	0	.916	0	0	.6	.006	0	.347	.02	0	1	0	0	.319	.023	0	.215	.035	0	.073	.071	0	.937	0	0	.812	.001	0	.536	.009	0	.052	.085	0	.339	.021	0	.557	.008	0	.845	.001	0	.557	.008	0
angespannt	tense	10	4.28	13	2.333	2.167	2.667	3.25	2.25	2.958	2.604	6.25	6.333	5.417	5.727	6.292	5.565	5.936	3.667	3.5	4.333	6	3.583	5.167	4.375	4.5	4.583	4.167	4	4.542	4.083	4.313	4	3.25	3.167	3.5	3.625	3.333	3.479	2.75	2.583	2.583	2.417	2.667	2.5	2.583	2.267	2.563	1.833	.441	2	.047	.087	1	.55	.008	0	.285	.026	0	.024	.112	1	.527	.009	0	.714	.003	0	0	.258	1	.07	.073	0	.028	.105	1	.32	.022	0	.928	0	0	.785	.002	0	.516	.01	0	.643	.005	0	.231	.032	0	.448	.013	0	.448	.013	0	1	0	0
aengstlich	afraid	9	6.332	12	2.417	2.25	2.583	2.583	2.333	2.583	2.458	5.5	5.5	5.417	4	5.5	4.708	5.104	1.833	1.917	2.182	2.667	1.875	2.435	2.149	5.417	5.917	4.917	5.333	5.667	5.125	5.396	3.25	2.5	2.75	2.25	2.875	2.5	2.688	3.667	3.667	4.083	3.583	3.667	3.833	3.75	1.75	2.063	2	0	2	.337	.021	0	.748	.002	0	.748	.002	0	.034	.098	1	.056	.08	0	.056	.08	0	.072	.073	0	.346	.021	0	.505	.01	0	.209	.036	0	.287	.026	0	.922	0	0	.34	.021	0	.115	.056	0	.749	.002	0	.41	.016	0	.218	.034	0	.218	.034	0
arrogant	arrogant	8	3.317	13	2.583	2	1.917	1.833	2.292	1.875	2.083	5.333	5.667	6	5.583	5.5	5.792	5.646	5.417	5	5.083	4.583	5.208	4.833	5.021	5	5.083	4.75	5.333	5.043	5.042	5.043	3.5	3	1.5	2.083	3.25	1.792	2.521	2.333	2.5	2.333	2.583	2.417	2.458	2.438	2.063	1.625	1.042	.167	1	.3	.024	0	.406	.016	0	.533	.009	0	.428	.014	0	.91	0	0	.31	.023	0	.445	.013	0	.351	.02	0	.932	0	0	1	0	0	.559	.008	0	.661	.005	0	.002	.202	1	.925	0	0	.222	.034	0	.869	.001	0	.411	.015	0	.869	.001	0
attraktiv	attractive	9	13.839	11	6.667	6.25	5.583	6.333	6.458	5.958	6.208	2.75	3.417	3.5	4.25	3.083	3.875	3.479	4.667	4.75	4.333	4.75	4.708	4.542	4.625	6.636	6.417	6.083	6.167	6.522	6.125	6.319	5.417	5.25	4.917	3.75	5.333	4.333	4.833	2.083	1.583	2.25	1.917	1.833	2.083	1.958	6.438	5.813	1.375	.441	1	.05	.085	0	.505	.01	0	.023	.112	1	.079	.068	0	.115	.056	0	.925	0	0	.728	.003	0	.602	.006	0	.728	.003	0	.14	.05	0	.8	.002	0	.574	.007	0	.002	.193	1	.036	.096	1	.113	.056	0	.257	.029	0	.062	.077	0	.704	.003	0
aufbrausend	quick-tempered	11	.376	16	2.917	2.75	1.667	2.083	2.833	1.875	2.354	6.167	5.75	6.583	6.5	5.958	6.542	6.25	2.917	3.25	3.75	2.25	3.083	3	3.042	4.833	5.833	4.667	4.917	5.333	4.792	5.063	3.5	3.5	2.917	2.5	3.5	2.708	3.104	2.25	2.25	2.417	2	2.25	2.208	2.229	2.688	2.375	1.083	.167	1	0	.252	1	.618	.006	0	.248	.03	0	.006	.158	1	.225	.033	0	.417	.015	0	.879	.001	0	.289	.026	0	.098	.061	0	.349	.02	0	.281	.026	0	.516	.01	0	.109	.057	0	.669	.004	0	.669	.004	0	.869	.001	0	.412	.015	0	.412	.015	0
aufgewuehlt	agitated	10	1.217	14	3.25	3.167	3	3.167	3.208	3.083	3.146	6	5.667	6.083	6.417	5.833	6.25	6.042	2.833	2.667	4.167	4.167	2.75	4.167	3.458	4	4.583	5.083	4.417	4.292	4.75	4.521	3.583	3.583	3.583	3.25	3.583	3.417	3.5	2.417	1.917	2.167	2.083	2.167	2.125	2.146	3.25	3.375	2	0	2	.707	.003	0	.9	0	0	.707	.003	0	.11	.057	0	1	0	0	.199	.037	0	.003	.189	1	.852	.001	0	.852	.001	0	.393	.017	0	.938	0	0	.245	.031	0	.713	.003	0	.713	.003	0	.713	.003	0	.863	.001	0	.231	.032	0	.39	.017	0
aufmerksam	attentive	10	27.967	10	5.667	5.583	6.25	5.833	5.625	6.042	5.833	4.083	4.333	5.083	5.636	4.208	5.348	4.766	6	6	5.083	5.833	6	5.458	5.729	3.833	4.583	5.167	5	4.208	5.083	4.646	6.167	5.667	5.833	5.833	5.917	5.833	5.875	3.083	2.833	2.75	2.667	2.958	2.708	2.833	6.25	6.188	1.583	.5	2	.135	.05	0	.366	.019	0	.545	.008	0	.02	.119	1	.405	.016	0	.753	.002	0	.162	.044	0	.33	.022	0	.33	.022	0	.067	.074	0	.534	.009	0	.33	.022	0	.768	.002	0	.378	.018	0	.378	.018	0	.222	.034	0	.413	.015	0	.682	.004	0
ausdauernd	persistent	10	1.174	14	5.417	5.75	6.083	6.25	5.583	6.167	5.875	4.417	4.25	3.333	4.167	4.333	3.75	4.042	5.583	6.167	5.5	5.333	5.875	5.417	5.646	4	3.667	4.25	4.25	3.833	4.25	4.042	5.25	5.083	6.083	5.5	5.167	5.792	5.479	2.75	2.083	3.25	2.583	2.417	2.917	2.667	6.25	5.625	2	0	2	.009	.144	1	.25	.03	0	.7	.003	0	.186	.039	0	.447	.013	0	.256	.029	0	.182	.04	0	.541	.009	0	.273	.027	0	.446	.013	0	.76	.002	0	.76	.002	0	.059	.078	0	.252	.03	0	.522	.009	0	.084	.066	0	.023	.112	1	1	0	0
ausgeglichen	balanced	12	11.467	11	6.75	6.25	6.417	6.083	6.5	6.25	6.375	1.667	2.417	2.417	2.5	2.042	2.458	2.25	5.667	5	4.75	5.083	5.333	4.917	5.125	3.75	3.5	4.5	2.833	3.625	3.667	3.646	4.917	4.083	5.333	5	4.5	5.167	4.833	3.333	4.083	3.833	4.083	3.708	3.958	3.833	6.813	6.375	1.833	.22	2	.303	.024	0	.089	.064	0	.73	.003	0	.229	.033	0	.229	.033	0	.334	.021	0	.366	.019	0	.717	.003	0	.279	.027	0	.931	0	0	.052	.083	0	.148	.047	0	.141	.049	0	.197	.038	0	.577	.007	0	.134	.05	0	.004	.175	1	.134	.05	0
autoritaer	authoritarian	9	1.537	14	2.75	2.167	2.167	2.083	2.458	2.125	2.292	5.167	5.75	5.5	5.917	5.458	5.708	5.583	5.5	5.917	5.167	4.667	5.708	4.917	5.313	4.75	5.75	4.333	5.417	5.25	4.875	5.063	3.25	2.917	4.083	2.917	3.083	3.5	3.292	3.917	3.5	3.818	3.25	3.708	3.522	3.617	3	1.875	1	0	1	.322	.022	0	.322	.022	0	.457	.013	0	.446	.013	0	.131	.051	0	.799	.001	0	.073	.071	0	.923	0	0	.294	.025	0	.515	.01	0	.075	.07	0	.942	0	0	.457	.013	0	.184	.04	0	.457	.013	0	.589	.007	0	.132	.052	0	.814	.001	0
bedaechtig	deliberate	9	1.866	14	4.25	3.833	4.917	4.25	4.042	4.583	4.313	2.917	2.917	2.5	3.083	2.917	2.792	2.854	5	5	4.167	3.833	5	4	4.5	3.583	3.417	4.5	3.5	3.5	4	3.75	3.917	4	4.5	4.667	3.958	4.583	4.271	4	4.167	3.917	4	4.083	3.958	4.021	5	5.438	1.833	.333	2	.089	.064	0	.089	.064	0	.69	.004	0	.721	.003	0	.406	.016	0	.406	.016	0	.026	.108	1	.703	.003	0	.703	.003	0	.326	.022	0	.253	.03	0	.412	.015	0	.159	.045	0	.776	.002	0	.924	0	0	.422	.015	0	.422	.015	0	.788	.002	0
begeistert	enthusiastic	10	24.183	10	6.083	6	6	5.75	6.042	5.875	5.958	4.5	4.083	4.75	4.583	4.292	4.667	4.479	4.833	4.083	3.833	4.583	4.458	4.208	4.333	5.455	6	5.667	5.667	5.739	5.667	5.702	5.667	5	5.917	4.917	5.333	5.417	5.375	2.5	1.917	1.833	2	2.208	1.917	2.063	6.438	6.063	1.708	.441	2	.482	.011	0	.482	.011	0	.725	.003	0	.449	.013	0	.555	.008	0	.8	.001	0	.595	.006	0	1	0	0	.115	.055	0	.883	.001	0	.508	.01	0	.508	.01	0	.789	.002	0	.01	.142	1	.593	.007	0	.175	.041	0	.33	.022	0	.083	.067	0
beharrlich	insistent	10	4.207	13	4.25	4.167	5.333	5.5	4.208	5.417	4.813	5.417	4.667	4.833	4.75	5.042	4.792	4.917	5.167	5.25	4.833	5.667	5.208	5.25	5.229	2.917	3.333	4.25	3.083	3.125	3.667	3.396	4.833	4.167	5.667	5.25	4.5	5.458	4.979	3	3	3.417	3.333	3	3.375	3.188	5.5	4.5	1.75	.441	2	.002	.201	1	.909	0	0	.732	.003	0	.571	.007	0	.347	.02	0	.451	.013	0	.916	0	0	.252	.03	0	.347	.02	0	.289	.025	0	.462	.012	0	.124	.053	0	.017	.123	1	.166	.043	0	.747	.002	0	.156	.045	0	.873	.001	0	.873	.001	0
beherrscht	self-controlled	10	17.868	11	3.75	3.417	5.667	5.833	3.583	5.75	4.667	4.833	4.167	3.083	3.083	4.5	3.083	3.792	5.167	5	5.364	4.833	5.083	5.087	5.085	3.333	4.25	4.833	3.917	3.792	4.375	4.083	4.583	4	4.909	5.333	4.292	5.13	4.702	3.5	3.5	4.083	3.75	3.5	3.917	3.708	4.688	4.875	1.583	.464	2	0	.486	1	.805	.001	0	.46	.012	0	.002	.195	1	.446	.013	0	.446	.013	0	.974	0	0	.463	.013	0	.701	.003	0	.266	.028	0	1	0	0	.084	.067	0	.046	.089	1	.845	.001	0	.22	.035	0	.006	.157	1	.258	.029	0	.258	.029	0
bekuemmert	troubled	9	1.606	14	2.833	2.5	3.25	3	2.667	3.125	2.896	5.333	5.083	5.667	4.083	5.208	4.875	5.042	2.917	2.667	2.833	3	2.792	2.917	2.854	3.636	4.667	4.667	4.417	4.174	4.542	4.362	3.583	3.333	2.583	3.083	3.458	2.833	3.146	3.667	3.583	3.75	3.667	3.625	3.708	3.667	2.438	3.188	2	0	2	.147	.047	0	.353	.02	0	.894	0	0	.261	.029	0	.003	.183	1	.028	.106	1	.678	.004	0	.89	0	0	.49	.011	0	.414	.016	0	.414	.016	0	.183	.041	0	.136	.05	0	.763	.002	0	.367	.019	0	.688	.004	0	.688	.004	0	1	0	0
berechnend	calculating	10	.484	16	1.583	2.333	1.417	2.083	1.958	1.75	1.854	5.917	5.167	5.167	5.5	5.542	5.333	5.438	5.917	6.083	5.182	5.5	6	5.348	5.681	3.091	2.917	3.417	3.5	3	3.458	3.234	2.167	3.25	2.667	3.083	2.708	2.875	2.792	2.5	2.5	2.417	2.75	2.5	2.583	2.542	3.625	2	1.417	.441	1	.461	.012	0	.015	.127	1	.882	.001	0	.49	.011	0	.49	.011	0	.077	.069	0	.089	.066	0	.526	.009	0	.843	.001	0	.443	.014	0	.939	0	0	.827	.001	0	.714	.003	0	.104	.059	0	.464	.012	0	.782	.002	0	.58	.007	0	.58	.007	0
beschaemt	ashamed	8	1.723	14	2.917	2.333	2.75	3.417	2.625	3.083	2.854	4.833	4.75	4.75	3.909	4.792	4.348	4.574	2.5	2.333	2.5	2.75	2.417	2.625	2.521	4.417	3.917	4.25	3.917	4.167	4.083	4.125	2.75	2.833	2.417	2.833	2.792	2.625	2.708	3.583	2.75	3.083	3.083	3.167	3.083	3.125	2	2.813	1.917	.333	2	.191	.039	0	.904	0	0	.077	.07	0	.293	.026	0	.293	.026	0	.388	.017	0	.506	.01	0	.894	0	0	.506	.01	0	.874	.001	0	.431	.014	0	.874	.001	0	.655	.005	0	.503	.01	0	.655	.005	0	.623	.006	0	.017	.122	1	.017	.122	1
bescheiden	modest	10	15.151	11	4.75	5.167	4.5	5.333	4.958	4.917	4.938	3.091	2.667	2.667	2.75	2.87	2.708	2.787	3.917	4.5	4.833	4.833	4.208	4.833	4.521	2.25	2.75	4.167	3.417	2.5	3.792	3.146	4.167	4.333	4.833	4	4.25	4.417	4.333	3.75	4	3.75	3.833	3.875	3.792	3.833	4.938	5.25	1.792	.441	2	.892	0	0	.047	.086	1	.5	.01	0	.518	.01	0	.518	.01	0	.337	.021	0	.161	.044	0	.509	.01	0	.509	.01	0	.007	.155	1	.785	.002	0	.176	.041	0	.685	.004	0	.419	.015	0	.227	.033	0	.655	.005	0	.374	.018	0	.655	.005	0
besonnen	level-headed	8	2.232	14	5.083	5.25	6.083	6.25	5.167	6.167	5.667	2.5	2.417	1.917	3	2.458	2.458	2.458	4.917	5.25	5.25	5.583	5.083	5.417	5.25	3.25	3.25	4	3.5	3.25	3.75	3.5	4.333	4.417	5.667	5.833	4.375	5.75	5.063	3.583	3.75	3.917	3.917	3.667	3.917	3.792	5.75	5.625	2	0	2	.001	.213	1	.568	.007	0	1	0	0	1	0	0	.208	.036	0	.143	.048	0	.457	.013	0	.457	.013	0	1	0	0	.336	.021	0	.629	.005	0	.629	.005	0	0	.281	1	.708	.003	0	.9	0	0	.194	.038	0	.663	.004	0	.663	.004	0
besorgt	worried	7	19.631	10	2.75	3.25	4.333	4	3	4.167	3.583	5.583	5.25	5.083	5.167	5.417	5.125	5.271	3.818	3.083	4.083	5	3.435	4.542	4	5.25	5.417	4.333	3.727	5.333	4.043	4.702	4.833	4.25	5	4.917	4.542	4.958	4.75	3.5	3.917	3.818	4.083	3.708	3.957	3.83	3.25	4.25	1.667	.333	2	.001	.216	1	.805	.001	0	.22	.034	0	.357	.019	0	.692	.004	0	.509	.01	0	.01	.146	1	.822	.001	0	.046	.089	1	.02	.12	1	.685	.004	0	.477	.012	0	.281	.026	0	.387	.017	0	.516	.01	0	.257	.03	0	.114	.057	0	.721	.003	0
bestimmend	decisive	10	.86	15	2.583	3.167	3.667	3.833	2.875	3.75	3.313	5.417	5.25	5.833	5.25	5.333	5.542	5.438	6.083	6.25	5	5.333	6.167	5.167	5.667	3.417	4.667	4.667	4.75	4.042	4.708	4.375	4.167	4.083	4.333	4.083	4.125	4.208	4.167	3	3.25	3.833	3.083	3.125	3.458	3.292	4.125	2.688	1	0	1	.023	.112	1	.318	.023	0	.578	.007	0	.448	.013	0	.175	.041	0	.448	.013	0	.009	.147	1	.495	.011	0	.82	.001	0	.197	.038	0	.197	.038	0	.257	.029	0	.871	.001	0	.746	.002	0	.871	.001	0	.279	.027	0	.415	.015	0	.107	.058	0
boshaft	malicious	7	1.008	15	1.25	1.833	1.333	1.5	1.542	1.417	1.479	6.333	5.917	6	5.75	6.125	5.875	6	4.167	4.333	4.417	3.833	4.25	4.125	4.188	5	5.417	4.917	4.417	5.208	4.667	4.938	1.417	2	1.583	1.833	1.708	1.708	1.708	2.833	2.833	3.25	2.917	2.833	3.083	2.958	1.5	1.063	1	0	1	.497	.011	0	.046	.088	1	.26	.029	0	.329	.022	0	.195	.038	0	.744	.002	0	.801	.001	0	.675	.004	0	.452	.013	0	.402	.016	0	.948	0	0	.478	.011	0	1	0	0	.221	.034	0	.622	.006	0	.164	.043	0	.351	.02	0	.351	.02	0
brutal	brutal	6	9.161	12	1	1.167	1	1.167	1.083	1.083	1.083	6.833	6.417	6.833	6.583	6.625	6.708	6.667	4	4	3.5	3	4	3.25	3.625	6.417	6.667	5.25	5.833	6.542	5.542	6.042	1	2	1	1.333	1.5	1.167	1.333	2.636	2.167	2.333	2	2.391	2.167	2.277	1.125	1	1	0	1	1	0	0	.042	.091	1	1	0	0	.6	.006	0	.041	.092	1	.6	.006	0	.263	.028	0	.707	.003	0	.707	.003	0	.035	.097	1	.369	.018	0	.719	.003	0	.187	.039	0	.01	.14	1	.187	.039	0	.255	.03	0	.055	.083	0	.739	.003	0
defensiv	defensive	8	2.013	14	2.417	2.583	2.25	3.75	2.5	3	2.75	4.333	4.083	3.583	4.091	4.208	3.826	4.021	2.333	2.833	3.167	3.167	2.583	3.167	2.875	3.417	4	4	3.333	3.708	3.667	3.688	3.083	3.5	2.5	3.917	3.292	3.208	3.25	3.5	3	3.25	3.583	3.25	3.417	3.333	2.875	3.125	1.625	.5	2	.113	.056	0	.01	.142	1	.036	.096	1	.446	.014	0	.791	.002	0	.437	.014	0	.159	.045	0	.543	.008	0	.543	.008	0	.934	0	0	.934	0	0	.221	.034	0	.843	.001	0	.033	.099	1	.237	.032	0	.42	.015	0	.686	.004	0	.048	.086	1
depressiv	depressive	9	1.54	14	1.667	1.25	1.083	1.833	1.458	1.458	1.458	5.083	5.333	5	4	5.208	4.522	4.872	1.833	1.5	2.167	1.917	1.667	2.042	1.854	4.583	4.167	5	5.083	4.375	5.042	4.708	2.5	3.333	3.333	2.75	2.917	3.042	2.979	3.583	3.167	3.667	3.583	3.375	3.625	3.5	1.188	1.5	2	0	2	1	0	0	.336	.021	0	.001	.209	1	.179	.042	0	.473	.012	0	.235	.033	0	.285	.026	0	.404	.016	0	.905	0	0	.267	.028	0	.78	.002	0	.675	.004	0	.803	.001	0	.803	.001	0	.161	.044	0	.37	.018	0	.37	.018	0	.549	.008	0
deprimiert	depressed	10	1.529	14	1.917	2.167	1.75	2.333	2.042	2.042	2.042	4.583	4.917	4.833	4.167	4.75	4.5	4.625	1.833	1.917	2.333	1.833	1.875	2.083	1.979	4.583	5.5	4.583	5.083	5.042	4.833	4.938	2.417	3.167	2	2	2.792	2	2.396	3.417	3	3.333	3.75	3.208	3.542	3.375	1.938	2.063	2	0	2	1	0	0	.172	.042	0	.581	.007	0	.563	.008	0	.7	.003	0	.25	.03	0	.422	.015	0	.422	.015	0	.263	.028	0	.661	.004	0	.141	.049	0	.661	.004	0	.057	.08	0	.359	.019	0	.359	.019	0	.231	.032	0	1	0	0	.136	.05	0
