word	word_en	length	freq	freq_cl	val_yf	val_ym	val_of	val_om	val_y	val_o	val_t	aro_yf	aro_ym	aro_of	aro_om	aro_y	aro_o	aro_t	con_yf	con_ym	con_of	con_om	con_y	con_o	con_t	img_yf	img_ym	img_of	img_om	img_y	img_o	img_t	ego_yf	ego_ym	ego_of	ego_om	ego_y	ego_o	ego_t	age_yf	age_ym	age_of	age_om	age_y	age_o	age_t	val_self	val_other	selfother	selfother_sd	selfother_cl	val_age_p	val_age_e	val_age_s	val_sex_p	val_sex_e	val_sex_s	val_axs_p	val_axs_e	val_axs_s	aro_age_p	aro_age_e	aro_age_s	aro_sex_p	aro_sex_e	aro_sex_s	aro_axs_p	aro_axs_e	aro_axs_s	con_age_p	con_age_e	con_age_s	con_sex_p	con_sex_e	con_sex_s	con_axs_p	con_axs_e	con_axs_s	img_age_p	img_age_e	img_age_s	img_sex_p	img_sex_e	img_sex_s	img_axs_p	img_axs_e	img_axs_s	ego_age_p	ego_age_e	ego_age_s	ego_sex_p	ego_sex_e	ego_sex_s	ego_axs_p	ego_axs_e	ego_axs_s	age_age_p	age_age_e	age_age_s	age_sex_p	age_sex_e	age_sex_s	age_axs_p	age_axs_e	age_axs_s
unsicher	unsure	8	10.756	11	2.417	2.417	2.833	2.667	2.417	2.75	2.583	5.455	5.5	5.273	4.583	5.478	4.913	5.196	2.5	1.75	2.333	2.25	2.125	2.292	2.208	3.417	4.917	4	3.273	4.167	3.652	3.915	3.917	3.5	2.333	2.75	3.708	2.542	3.125	2.667	2.667	3	3.75	2.667	3.375	3.021	1.75	2.5	1.917	0	2	.209	.036	0	.752	.002	0	.752	.002	0	.079	.072	0	.297	.026	0	.235	.033	0	.618	.006	0	.216	.035	0	.321	.022	0	.287	.026	0	.436	.014	0	.029	.107	1	.003	.179	1	1	0	0	.274	.027	0	.044	.089	1	.278	.027	0	.278	.027	0
veraergert	angry	9	8.487	12	2.333	2	2.636	2.75	2.167	2.696	2.426	6.25	5.917	6.333	5.917	6.083	6.125	6.104	3	2.5	3.091	2.667	2.75	2.87	2.809	5.417	5.833	4.75	5.333	5.625	5.042	5.333	2.667	2.583	1.75	2.583	2.625	2.167	2.396	3.25	3.167	3.25	2.917	3.208	3.083	3.146	1.938	1.875	1.583	.527	2	.041	.094	1	.662	.004	0	.376	.018	0	.842	.001	0	.078	.069	0	.842	.001	0	.765	.002	0	.287	.026	0	.93	0	0	.164	.044	0	.231	.032	0	.841	.001	0	.162	.044	0	.25	.03	0	.162	.044	0	.514	.01	0	.279	.027	0	.514	.01	0
vergnuegt	pleased	8	4.203	13	6.667	6.25	6.5	6	6.458	6.25	6.354	2.25	2.5	2.5	2.75	2.375	2.625	2.5	4.833	4.583	3.917	4.083	4.708	4	4.354	5.833	6.167	6.25	6.083	6	6.167	6.083	5.75	5.5	5.5	4.917	5.625	5.208	5.417	2.833	2.25	2.75	2.25	2.542	2.5	2.521	6.188	5.688	1.958	.167	2	.264	.028	0	.017	.123	1	.822	.001	0	.577	.007	0	.577	.007	0	1	0	0	.087	.065	0	.918	0	0	.609	.006	0	.651	.005	0	.821	.001	0	.497	.011	0	.235	.032	0	.235	.032	0	.632	.005	0	.863	.001	0	.029	.104	1	.863	.001	0
verlegen	sheepish	8	13.944	11	3.583	3.583	3.25	3.25	3.583	3.25	3.417	4.25	4.333	4.333	3.667	4.292	4	4.146	2.75	2.083	2.917	3	2.417	2.958	2.688	4	5.083	4.333	3.917	4.565	4.125	4.34	3.583	2.75	2.167	2.833	3.167	2.5	2.833	3.083	2.333	2.5	3	2.708	2.75	2.729	3.063	3.5	1.75	.441	2	.267	.028	0	1	0	0	1	0	0	.479	.011	0	.479	.011	0	.364	.019	0	.104	.059	0	.376	.018	0	.256	.029	0	.399	.017	0	.499	.011	0	.132	.052	0	.083	.067	0	.825	.001	0	.052	.083	0	.901	0	0	.709	.003	0	.067	.074	0
verletzlich	vulnerable	11	.903	15	3.75	3.5	3.5	3	3.625	3.25	3.438	4.833	4.833	4.917	4.833	4.833	4.875	4.854	1.917	1.667	3.364	3.083	1.792	3.217	2.489	3.667	4.167	4.417	3.917	3.917	4.167	4.042	5.083	4.5	4.917	4.333	4.792	4.625	4.708	3.333	3.083	3.333	3.25	3.208	3.292	3.25	2.5	3.375	1.833	.441	2	.347	.02	0	.347	.02	0	.753	.002	0	.907	0	0	.907	0	0	.907	0	0	0	.32	1	.409	.016	0	.962	0	0	.669	.004	0	1	0	0	.394	.017	0	.728	.003	0	.227	.033	0	1	0	0	.78	.002	0	.577	.007	0	.78	.002	0
verlogen	mendacious	8	1.225	14	1.167	1.583	1.25	1.333	1.375	1.292	1.333	6	5.5	6.083	5.5	5.75	5.792	5.771	4	3.25	4.167	3.083	3.625	3.625	3.625	3.25	3.583	3.25	3.083	3.417	3.167	3.292	1.667	2.417	1.667	1.5	2.042	1.583	1.813	2.75	2.917	2.917	2.833	2.833	2.875	2.854	1.25	1.25	1.167	.333	1	.605	.006	0	.125	.053	0	.303	.024	0	.904	0	0	.124	.053	0	.904	0	0	1	0	0	.083	.067	0	.748	.002	0	.654	.005	0	.881	.001	0	.654	.005	0	.156	.045	0	.363	.019	0	.156	.045	0	.761	.002	0	.761	.002	0	.363	.019	0
vernuenftig	reasonable	10	9.813	11	4.5	5.083	5.5	5.833	4.792	5.667	5.229	3.25	3.25	2.583	3.083	3.25	2.833	3.042	5.667	5.583	5.083	5.083	5.625	5.083	5.354	2.417	3	4.417	3.333	2.708	3.875	3.292	5.167	4.75	5.917	5.917	4.958	5.917	5.438	3.417	3.5	3.5	3.917	3.458	3.708	3.583	5.5	5.5	1.958	.167	2	.007	.154	1	.146	.047	0	.688	.004	0	.246	.03	0	.484	.011	0	.484	.011	0	.137	.05	0	.908	0	0	.908	0	0	.01	.142	1	.566	.008	0	.06	.078	0	.008	.151	1	.546	.008	0	.546	.008	0	.282	.026	0	.282	.026	0	.472	.012	0
verspielt	pretty	9	7.084	12	5.75	5.75	3.917	2.917	5.75	3.417	4.583	2.25	2.5	2.583	2.75	2.375	2.667	2.521	2.917	3.333	3.5	2.167	3.125	2.833	2.979	5.5	4.833	5.333	5.167	5.167	5.25	5.208	5.333	5.5	3	2.333	5.417	2.667	4.042	2.167	2.083	1.833	2.167	2.125	2	2.063	5.375	5.063	2	0	2	0	.537	1	.133	.051	0	.133	.051	0	.447	.013	0	.587	.007	0	.913	0	0	.447	.013	0	.234	.032	0	.026	.108	1	.804	.001	0	.219	.034	0	.459	.013	0	0	.451	1	.587	.007	0	.367	.019	0	.543	.008	0	.543	.008	0	.312	.023	0
vertraeumt	dreamy	9	.75	15	5.167	5	4.333	3.5	5.087	3.917	4.489	1.833	2.167	2.083	2	2	2.042	2.021	2.417	2.583	2.917	2.417	2.5	2.667	2.583	6.091	5.667	4.909	4.333	5.87	4.609	5.239	4.5	4.917	3.417	3.667	4.708	3.542	4.125	2.667	2.25	2.083	2.667	2.458	2.375	2.417	5.25	4.875	2	0	2	.002	.196	1	.172	.043	0	.359	.02	0	.893	0	0	.687	.004	0	.503	.01	0	.666	.004	0	.666	.004	0	.389	.017	0	.007	.16	1	.267	.029	0	.865	.001	0	.016	.124	1	.48	.011	0	.859	.001	0	.753	.002	0	.753	.002	0	.064	.076	0
verwirrt	bewildered	8	6.307	12	2.75	3.167	2.364	2.25	2.958	2.304	2.638	4.667	4.333	5.917	4.333	4.5	5.125	4.813	1.667	1.583	2.083	2.333	1.625	2.208	1.917	4.833	5.833	4.083	4.167	5.333	4.125	4.729	2.583	2.5	1.167	1.333	2.542	1.25	1.896	4.083	4.167	4.083	3.75	4.125	3.917	4.021	2	2.563	1.958	.167	2	.03	.104	1	.605	.006	0	.367	.019	0	.143	.048	0	.027	.106	1	.143	.048	0	.094	.063	0	.808	.001	0	.627	.005	0	.023	.111	1	.298	.025	0	.378	.018	0	0	.249	1	.902	0	0	.713	.003	0	.331	.021	0	.559	.008	0	.331	.021	0
verwoehnt	spoiled	8	3.296	13	2.833	2.833	2.75	2.75	2.833	2.75	2.792	3.75	3.75	3.5	3.091	3.75	3.304	3.532	3	3.167	3.667	2.833	3.083	3.25	3.167	3.917	4.25	3.667	4.083	4.083	3.875	3.979	4	3.333	1.667	3	3.667	2.333	3	2.167	1.583	1.5	1.833	1.875	1.667	1.771	3.063	1.875	1.625	.486	2	.846	.001	0	1	0	0	1	0	0	.249	.031	0	.602	.006	0	.602	.006	0	.649	.005	0	.365	.019	0	.177	.041	0	.708	.003	0	.5	.01	0	.94	0	0	.006	.158	1	.476	.012	0	.036	.096	1	.281	.026	0	.516	.01	0	.021	.116	1
