Pinyin 			L	H	% NA	CA	RF1	IA	VC	AoA	PF	English	Latency1	Latency2	Alt
															
bai cai			2	1.26	0.69	0.91	3.94	3.78	4.27	3.49	-	celery	-	1355.48	0.24
ban ma			2	0.32	0.94	0.94	3	2.95	4.54	5.09	-	zebra	-	947.89	0.07
ban shou			2	1.07	0.72	0.79	3.42	3.3	2.11	6.49	-	wrench	-	1462.7	0.34
bao zi			2	0.9	0.81	0.9	2.9	2.43	4.35	5.2	1	leopard	1214.2	1142.91	0.15
bi zi			2	0.22	0.97	1	4.87	3.08	2.3	2.02	49	nose	960.27	919.68	0
bo li bei			3	1.53	0.45	0.7	4.71	2.5	1.7	4.73	-	glass	-	920.14	0.1
dian bing xiang			3	1.29	0.65	0.84	4.03	4.2	2.14	6.93	5	refrigerator	1060.67	955.89	0.07
bo luo			2	0.52	0.88	0.88	3.74	3.25	4.65	6.11	-	pineapple	-	1014.19	0.24
cang ying			2	1.34	0.31	0.31	2.97	2.7	3.95	3.39	14	fly	1189.6	1317.67	0.33
cao mei			2	1.37	0.35	0.35	2.77	3.98	3.51	5.99	18	strawberry	1155.96	1359.45	0.2
cha bei			2	1.34	0.47	0.91	4.77	1.93	1.78	4.65	5	cup	1125.41	1215.58	0.24
cha zi			2	0.43	0.91	1	4.81	3.88	2.46	5.28	3	fork	984.04	1044.26	0.17
cha tou			2	1.18	0.7	0.88	4.77	3.85	2.41	5.9	-	plug	-	1353.51	0.1
chang jing lu			3	0.32	0.94	0.94	3.29	3.75	4.57	4.73	-	giraffe	-	919.15	0.02
che lun			2	0.8	0.76	1	3.48	3.3	2.62	4.23	9	wheel	1011.04	1014.22	0.1
chen shan			2	1.91	0.41	0.75	4.71	3.65	3.03	5.58	12	shirt	1098.76	1104.8	0.15
chi zi			2	0.92	0.67	1	4.87	3.33	2.11	4.58	1	ruler	965.5	973.34	0
chuang hu			2	0.47	0.9	0.9	3.81	3.55	3.16	3.37	36	window	1186.86	1234.06	0.24
chuang			1	0.9	0.68	1	4.94	2.93	2.18	2.56	122	bed	975.93	846.05	0
chui zi			2	1.37	0.56	0.88	3.84	3.93	2.46	5.44	3	hammer	1204.16	1174.65	0.17
da xiang			2	0.76	0.85	0.94	2.94	2.9	3.68	4.3	1	elephant	874	914.02	0
da xing xing			3	1.26	0.47	0.94	2.94	2.9	3.65	5.49	-	gorilla	-	1254.55	0.02
da yi			2	0.87	0.71	1	4.65	3.78	2.81	5.63	16	coat	1220.96	1156.16	0.07
dai shu			2	0.33	0.94	0.94	2.9	3.93	4.03	5.89	-	kangaroo	-	979.65	0.02
dan gao			2	1.45	0.55	0.77	3.74	2.93	2.76	4.45	7	cake	1008.38	1239.78	0.22
deng pao			2	0.83	0.74	1	4.87	3.35	2.76	4.68	-	light bulb	882.18	866.63	0.02
di zi			2	1.72	0.21	0.71	1.87	3.93	3.19	6.6	-	flute	-	1589.53	0.54
dian hua ji			3	0	1	1	4.48	4.1	4.11	7.05	4	telephone	825.57	873.95	0.02
dian shi ji			3	0.79	0.82	0.97	4.94	3.93	2.98	4.82	26	television	818.04	873.73	0
ding zi			2	1.36	0.36	0.89	3.77	3.5	1.32	4.53	9	nail	978.92	987.05	0.02
e			1	1.25	0.67	0.85	3.61	3.63	3.24	3.56	3	swan	1156.41	1013.31	0.12
e yü			2	0.21	0.97	1	3.1	4.18	4.05	6.11	17	alligator	970.5	981.89	0.15
er duo			2	0.79	0.76	1	4.9	2.95	2.81	2.02	74	ear	824.11	767.15	0.05
fan chuan			2	1.19	0.68	0.71	3.71	3.38	3.49	5.83	1	sailboat	1031.54	1062.64	0.05
fang zi			2	1.13	0.38	0.97	4.45	4.32	3.78	2.84	108	house	1031.54	988.13	0.05
fang che			2	1.33	0.46	0.92	2.03	3.75	4.24	7.83	-	spinning wheel		1546.06	0.56
fei ji			2	0.75	0.85	0.94	4.06	4.03	3.49	5.13	77	airplane	808.14	908.58	0.02
feng che			2	0.85	0.73	0.73	2.35	3.7	4.43	5.58	-	windmill	-	1050.53	0.12
feng yie			2	1.26	0.44	0.44	4.16	3.4	2.65	7.28	-	leaf	-	1061.83	0
feng zheng			2	0	1	1	3.35	3.1	2.65	5.6	49	kite	923.21	941.43	0.02
fu zi			2	0.98	0.58	1	3.71	4.5	2	5.05	-	axe	-	965.87	0.05
gai zhui			2	1.11	0.76	0.82	4.13	4.2	2.35	7.32	-	screwdriver	-	1228.19	0.37
gang qin			2	0.53	0.91	0.94	3.68	4	4.73	6.9	25	piano	979.33	1014.18	0.02
gong gong qi che			4	0.81	0.75	1	4.71	2.88	3.97	5.23	36	bus	1299.04	1084.28	0.05
gong ji			2	0.32	0.94	1	4.29	3.8	3.76	2.68	5	rooster	902.21	908.51	0
gou			1	0.51	0.91	0.91	4.03	3.85	3.24	2.48	140	dog	948.57	1005.5	0.12
gu			1	1.47	0.28	0.8	3.03	3.85	2.7	5.78	-	drum	-	1519.39	0.32
gui zi			2	1.87	0.21	0.55	4.1	3.98	2.62	3.92	-	dresser	-	1359.88	0.41
hai ma			2	0.77	0.85	0.85	2.06	2.83	4.38	7.78	-	sea horse	-	1251.33	0.41
hai tun			2	0.98	0.18	0.18	2.06	1.33	3	6.35	-	seal	-	1292.52	0.34
han bing xie			3	0.98	0.58	0.58	2.65	3.88	4.03	8.58	-	roller skate	-	1738.88	0.59
he zi			2	1.8	0.41	0.48	3.71	3.28	1.19	3.45	12	box	1068.83	1278.46	0.15
hong lu deng			3	1.74	0.33	0.7	4.16	3.18	3.53	6.04	2	traffic light	1157.87	1295.49	0.15
hu			1	0.99	0.56	1	3.29	3.13	4.65	3.6	91	tiger	1055.75	1139.71	0.24
