Pinyin 			L	H	% NA	CA	RF1	IA	VC	AoA	PF	English	Latency1	Latency2	Alt
hu li			2	1.15	0.42	0.97	2.97	4.1	3.59	4.13	37	fox	1120.61	1155.52	0.24
hu luo bo			3	1.67	0.26	0.38	4.23	4.18	3.27	3.69	3	carrot	922.29	957.03	0.12
hu die			2	0	1	1	3.94	3.88	3.76	3.63	5	butterfly	863.18	846.51	0
hua			1	0.98	0.73	0.97	4.23	4.05	3.08	2.75	147	flower	1033.96	1088	0.07
hua ping			2	1.02	0.79	0.82	3.65	2.08	3.43	4.67	-	vase	-	1088.26	0.07
hua sheng			2	0.35	0.94	0.94	4.26	4.25	2.14	3.48	16	peanut	1067.83	1262.97	0.2
huang guan			2	1.25	0.67	0.83	2.32	3.28	4.59	6.88	-	crown	-	1226.43	0.27
huo che			2	1.08	0.74	0.91	4.16	3.45	4.51	5.09	82	train	955.39	885.4	0.02
ji ta			2	0.93	0.82	0.88	4.06	3.25	4.05	8.53	2	guitar	1193.95	1262.69	0.22
jia zi			2	1.38	0.53	0.88	4.65	2.38	2.84	5.08	-	clothespin	-	1388.03	0.17
jia chong			2	1.88	0.39	0.5	2.26	3.98	3.43	5.36	-	beetle	-	1541.12	0.39
jian zi			2	0.32	0.94	1	4.48	4.25	2.38	4.22	4	scissors	848	873.27	0
jian tou			2	1.19	0.44	0.96	4	4.18	1.32	5.66	2	arrow	957	1096.94	0.15
jiao			1	0.75	0.85	0.91	4.94	4.25	2.54	2.08	177	foot	927	876.79	0.07
jiao shui hu			3	1.41	0.21	0.79	3.74	3.05	2.89	5.62	-	watering can	-	1272.29	0.17
jiao tang			2	1.85	0.38	0.41	3.03	3.28	4.11	8.82	-	church	-	1387.94	0.61
jie zhi			2	0.99	0.43	0.43	2.35	3.6	2.14	6.73	9	ring	1412.95	1537	0.27
ju zi			2	1.24	0.47	0.53	2.03	3.4	1.89	4.42	-	orange	-	1710.79	0.54
ju			1	1.56	0.26	0.58	2.48	2.68	2.46	5.05	-	saw	-	1125.13	0.07
kai guan			2	0.61	0.85	1	4.16	3.03	2.27	4.43	-	light switch	-	1475.1	0.27
kan jian			2	1.07	0.74	0.84	4.06	2.88	2.78	8.12	-	vest	-	1304.73	0.2
kong que			2	0.19	0.97	0.97	2.94	3.28	1.81	5.68	12	peacock	923.04	971.39	0
ku zi			2	1.16	0.71	0.88	4.9	3.08	1.81	3.5	30	pants	994.11	898.88	0
la ba			2	1.6	0.48	0.85	3.16	3.15	4.05	5.54	-	trumpet	-	1324.58	0.2
la zhu			2	0.32	0.94	1	4.45	4.18	2.38	4	13	candle	759	793.82	0.05
lao shu			2	0.71	0.85	0.97	3.81	4.55	3.54	2.58	11	mouse	919.68	854.83	0.02
li			1	1.47	0.47	0.63	3.65	3.2	1.57	3.78	4	pear	1052.39	1044.22	0.44
li mao			2	1.11	0.76	0.82	4.19	3.33	2.3	7.29	-	hat	-	901.4	0.02
lian yi qun			3	0.32	0.94	0.94	4.48	4.25	2.62	5.82	5	dress	1128.08	1157.19	0.12
ling dai			2	0.19	0.97	1	3.9	3.95	3.05	7.21	6	tie	920.75	922.82	0.05
ling jie			2	1.34	0.47	0.94	3.32	3.9	2.97	7.97	-	bow	-	1230.7	0.1
liu sheng ji			3	1.35	0.45	0.91	3.48	3.93	3.57	8.68	-	record player		1562.1	0.51
lu			1	1.16	0.71	0.82	2.94	2.63	3.73	4.79	55	deer	1247.86	1262.55	0.2
luo mu			2	1.39	0.38	0.5	4.1	4.32	2.43	6.78	-	nut	-	1316.25	0.41
luo si ding			3	1.16	0.5	0.97	3.68	4.1	3.22	6.12	-	screw	-	1322.38	0.17
luo tuo			2	0.33	0.94	1	3.35	3.53	3.54	5.68	5	camel	1156.79	1140.5	0.02
ma			1	0.52	0.88	1	3.9	4.48	4.08	3.53	127	horse	1010.14	1052.08	0.07
ma yi			2	0.83	0.83	0.83	3.16	1.93	3.92	3.3	-	ant	-	1150.55	0.2
ma zha			2	1.18	0.54	0.54	2.9	2.28	4.41	4.68	-	grasshopper	-	1261.17	0.29
mao			1	0.8	0.82	0.97	3.61	4.05	3.38	2.57	46	cat	907.73	1005.95	0.05
mao			1	1.42	0.52	0.67	2.03	3.1	3	7.76	-	anchor	-	1616.78	0.56
mao bi			2	1.38	0.7	0.73	3.97	3.25	1.81	5.13	4	paintbrush	1166.83	1027.53	0.02
mao chong			2	1.88	0.33	0.57	2.84	3.23	3.59	3.92	-	caterpillar	-	1263.19	0.22
mao tou ying			3	0.32	0.94	0.94	2.42	3.5	4.08	5.53	3	owl	964.54	1007.79	0.05
mao yi			2	0.79	0.15	0.97	4.61	3.33	3.05	4.27	-	sweater	-	1066.55	0.07
mao zi			2	1.36	0.48	0.58	3.52	4.15	2.38	3.43	50	cap	982.75	1103.56	0.05
men			1	0.51	0.91	0.94	4.42	2.9	2.59	2.53	408	door	854.25	878.23	0.02
mi feng			2	1.16	0.7	0.7	2.94	3.5	4.3	3.84	-	bee	-	1544.5	0.66
mian yang			2	0.99	0.77	0.77	3.16	1.95	3.54	4.68	4	sheep	1307.73	1298.43	0.15
mian bao			2	0.48	0.9	1	4.35	3.68	1.78	4.83	14	bread	1117.83	1269.88	0.2
mo tuo che			3	0.83	0.74	1	3.94	4.38	4.76	5.42	16	motorcycle	890.61	843.88	0.02
mo gu			2	0	1	1	3.68	3.03	2.86	4.45	6	mushroom	920.75	938.03	0.17
mu ji			2	0.67	0.82	0.82	4.29	4.05	3.73	2.68	5	chicken	1044.88	1101.79	0.05
mu zhi			2	1	0.47	1	4.87	4.48	2.11	2.99	4	thumb	1055.54	1133.16	0.07
nai niu			2	0.71	0.88	0.94	3.16	3.13	3.97	4.91	2	cow	1125.48	1253.82	0.05
nan gua			2	0.91	0.68	0.68	3.1	3.73	2.86	4.69	-	pumpkin	-	1259.56	0.22
niao			1	1.57	0.3	0.61	3.97	3.75	3.36	2.53	153	bird	1062.35	1191.84	0.07
niu kou			2	60.89	0.81	0.87	4.55	3.2	2.16	3.99	2	button	1228.8	1407.26	0.24
pi dai			2	1	0.5	1	4.84	3.48	2.35	6.08	6	belt	1174.12	1027.31	0.22
pi xiang			2	1	0.47	1	4.13	3.63	3.41	5.98	3	suitcase	1331.77	1149.34	0.07
pi xie			2	1.24	0.56	0.56	4.94	3.18	3.27	5.63	6	shoe	900.12	874.23	0.05
pi xüe			2	1.62	0.48	0.84	4.48	3.88	2.57	7.17	1	boot	1137.64	1073.77	0.05
ping di guo			3	1.53	0.21	0.63	2.58	1.7	1.95	7.26	-	frying pan	-	1518.28	0.32
ping guo			2	0.88	0.7	0.7	4.29	4.3	2.24	3.55	17	apple	1055.14	1055.92	0.12
ping zi			2	1.38	0.58	0.73	4.65	4.32	1.22	3.62	10	bottle	1027.7	1132.7	0.1
pu tao			2	0.51	0.91	0.91	4.32	2.43	3.27	3.95	12	grapes	867.89	897.28	0.02
qi			1	0.96	0.62	1	4.39	3.35	2.03	4.44	24	flag	1115.71	1058.05	0
qi e			2	0.19	0.97	0.97	2.87	2.83	3.03	6.41	2	penguin	1102.96	1312.26	0.15
qi qiu			2	0	1	1	4.1	2.95	1.32	3.55	3	balloon	924.81	867.28	0.02
qi che			2	1.84	0.21	0.24	4.13	2.59	3.05	4.68	201	truck	1214.19	1156.74	0.05
qian bi			2	0	1	1	4.94	2.68	1.84	3.83	16	pencil	911.26	871.73	0
qian zi			2	0.64	0.88	0.94	4	2.05	2.57	5.27	-	pliers	-	1277.37	0.15
qing jiao			2	1.26	0.6	0.68	3.16	3.48	2.3	4.62	-	pepper	-	1585.07	0.66
qing wa			2	0.67	0.82	1	3.74	2.9	3.03	3.36	2	frog	928.43	880.03	0.05
qiu			1	1.55	0.26	0.26	2.94	3.93	2.86	3.25	137	ball	1277.71	1456.77	0.27
qiu qian			2	1.18	0.69	0.81	3.1	3.4	1.92	4.63	1	swing	1202.33	1337	0.41
qun zi			2	0.54	0.88	1	4.16	3.15	1.43	4.33	8	skirt	1094.5	1136.08	0.1
san			1	0.95	0.64	1	4.58	3.83	2.76	3.88	37	umbrella	823.18	796.33	0.05
san ming zhi			3	1.58	0.19	0.36	3.1	3.95	3.43	9.03	-	sandwich	-	1569.41	0.37
sao zhou			2	1	0.48	0.48	4.32	1.63	2.65	3.82	4	broom	1253.74	1163.68	0.17
sha fa			2	0.83	0.74	1	4.55	3.88	2.38	5.38	41	couch	952.11	991.93	0
shan feng			2	1.76	0.41	0.75	3.42	3.75	2.73	4.34	10	mountain	1165.3	1222.21	0.07
shan yang			2	0.43	0.91	0.91	3.03	3.5	3.38	4.13	2	goat	1165.3	1257.6	0.02
shang yi			2	1.51	0.48	0.76	4.9	3.48	3.08	4.52	-	jacket	-	1243.68	0.02
shao			1	1.39	0.14	0.69	3.84	3.35	2.22	3.56	8	spoon	922.43	947.51	0.05
shao zi			2	0.21	0.97	0.97	3.87	4.48	2.46	4.28	-	whistle	-	1241.34	0.22
she			1	0.32	0.94	0.94	3.26	4.5	3.68	3.78	86	snake	840.43	801.43	0.02
shi zhi			2	1.16	0.5	0.5	5	3.18	2.38	3.3	3	finger	999.5	878.16	0.1
shi zi			2	0.83	0.82	0.94	2.81	3.95	3.84	4.83	2	lion	1134.92	1090.92	0.05
shou			1	0.91	0.79	0.94	4.9	4.13	3	1.99	794	hand	903.07	810.51	0.05
shou bi			2	0.99	0.44	1	5	2.55	2	3.05	14	arm	1208.37	1218.14	0.1
shou biao			2	0.44	0.91	1	4.84	4.15	3.49	4.89	4	watch	914.21	912.8	0.02
shou fen qin			3	0	1	1	3.26	3.75	4.46	7.18	2	accordion	1327.68	1201.81	0.12
shou qiang			2	0.97	0.74	0.76	3.13	3.9	3.62	5.45	3	gun	862.36	841.56	0.05
shou tao			2	1.64	0.48	0.7	4.84	3.85	2.95	4.03	8	glove	978.92	943.79	0.07
shu			1	1.04	0.5	0.85	4.94	3.53	2.46	2.95	481	book	907.71	957.58	0.02
shu bao			2	1.26	0.65	0.88	4.87	4.03	2.97	3.92	9	pocketbook	1040.92	995.43	0.02
shu kou bei			3	1.95	0.21	0.48	3.71	2.45	2.11	5.84	-	pitcher	-	1350.56	0.34
shu zi			2	1.19	0.48	0.96	4.84	4.25	2.54	4.14	-	comb	-	1049.02	0
shu			1	1.44	0.5	0.85	4.58	3.19	4.03	2.73	211	tree	1066.41	986.4	0.02
shu qin			2	0.66	0.88	0.88	2.45	4.2	4.03	9.18	-	harp	-	1362.65	0.51
shua zi			2	1.76	0.48	0.58	4.32	4.05	3.22	4.57	1	brush	1192.85	1018.33	0.12
shui guo dao			3	1.48	0.48	0.65	3.26	1.95	1.19	5.53	-	nail file	-	1464.63	0.54
shui hu			2	0.91	0.68	1	4.19	3.65	2.78	4.04	-	kettle	-	1042.22	0.12
shui jing			2	1.62	0.41	0.84	2.58	3.48	4.27	4.17	3	well	1331.13	1384.08	0.1
song su			2	0.51	0.91	0.91	3.06	4	3.32	5.53	-	squirrel	-	1061.44	0.12
suo			1	0	1	1	4.65	3.85	2.49	4.39	26	lock	925.46	969.46	0.05
tai deng			2	1.08	0.81	0.85	3.81	3.85	2.08	5.68	3	lamp	1139.7	1190.61	0.07
tai yang			2	0	1	1	4.84	3.55	1.24	2.48	113	sun	758.21	744.38	0.02
tao zi			2	1.57	0.36	0.73	3.77	1.8	1.46	3.82	-	peach	-	1629.57	0.32
ti zi			2	0.2	0.97	0.97	3.94	4.5	2.41	4.6	10	ladder	969.8	866.19	0.1
tie lian			2	0.94	0.65	1	3.32	4.13	2.62	6.07	-	chain	1053.04	1144.25	0.12
tong che			2	1.37	0.68	0.75	3.19	4.25	3.92	5.45	-	baby carriage		1486.65	0.17
tong			1	0.61	0.15	0.15	2.74	3.93	3.41	3.79	9	barrel	1266.42	1258.77	0.15
tou fa			2	1.3	0.52	0.93	4.19	3.1	3.05	2.21	-	hair	-	1113.29	0.15
tou kui			2	1.73	0.5	0.75	2.58	2.22	3.54	7.29	-	football helmet		1437.31	0.61
tu dou			2	1.26	0.47	0.53	2.1	3.58	1.89	4.48	-	potato	-	1380.8	0.41
tu zi			2	1.01	0.76	0.85	3.77	2.35	3.27	3.65	9	rabbit	836.04	949.6	0.02
tui			1	1.55	0.41	0.76	4.77	3.85	1.92	2.4	177	leg	1099.04	1103.42	0.07
tui che			2	1.78	0.33	0.76	2.42	3.28	3.32	5.5	-	wagon	-	1690	0.32
tuo luo			2	1.27	0.5	0.56	2.68	4.18	3.08	6.02	-	top	-	1293.82	0.22
tuo niao			2	0.44	0.91	0.91	2.94	3.4	3.76	6.89	-	ostrich	1058.21	1165.32	0.39
wa wa			2	0.56	0.07	0.97	4.35	3.25	3.97	2.99	10	doll	1158.56	1238.83	0.12
wa zi			2	0.57	0.87	0.87	4.68	3.18	2.03	3.11	8	sock	818.11	1002.22	0
wai yi			2	0.71	0.12	0.97	4.9	3.65	3.38	4.49	-	blouse	-	1150.36	0.15
wan			1	1.5	0.48	0.79	4.55	2.33	1.54	2.83	72	bowl	1017.74	1044.34	0.07
wang qiu pai			3	1.33	0.53	0.53	4.1	4.4	3.27	9.14	-	tennis racket	-	1135.9	0.02
wo niu			2	0	1	1	3.39	4.35	3.38	4.92	-	snail	-	915.03	0.17
wu gui			2	0.73	0.79	1	3.61	3.28	3.97	4.87	3	turtle	806	880	0.02
wu jiao xing			3	0.94	0.65	1	4.55	4.53	1.73	3.41	1	star	945	899.05	0
xi gua			2	0.52	0.88	1	4.77	3.5	1.97	3.67	17	watermelon	1037.17	1032.05	0.02
xi hong shi			3	0.99	0.55	0.55	4.16	4.07	2.24	4.21	1	tomato	1303.04	1224.43	0.15
xi niu			2	0.39	0.94	0.94	3.06	4.4	3.57	7.18	108	rhinoceros	1119.92	1132.89	0.07
xia			1	1.31	0.63	0.63	2.45	3.05	4.27	4.7	-	lobster	-	1663.86	0.46
xian zhou			2	1.26	0.3	0.91	3.68	3.05	2.86	7.11	-	spool of thread		1640.06	0.2
xiang jiao			2	0.2	0.97	0.97	4.39	4.03	1.3	4.37	-	banana	-	851.85	0.05
xiang yan			2	1.31	0.59	0.9	4.39	4.05	1.95	4.92	21	cigarette	1092.3	1059.38	0.02
xiang lian			2	0.93	0.81	0.94	3.45	3.28	1.86	6.03	5	necklace	833.41	892.61	0.07
xiao chou			2	1.67	0.3	0.35	2.65	3.95	4.57	5.9	-	clown	-	1355.73	0.37
xiao dao			2	1.84	0.42	0.52	3.9	3.25	2.05	3.62	-	knife	-	1470.64	0.66
xiao qi che			3	1.77	0.35	0.41	3.74	2.75	4.16	4.93	22	car	1012.14	1017.08	0.02
xiao ti qin			3	0.82	0.85	0.94	4.32	4.07	3.73	8.38	-	violin	-	1448.36	0.46
1.xie zi tai			3	1.26	0.62	0.91	4.52	3	3.16	5.72	-	desk	-	1293.69	0.37
xin feng			2	1.23	0.68	0.82	4.84	4.03	1.19	6.33	7	envelope	957.44	909.53	0.12
xiong			1	1.77	0.38	0.74	2.61	2.9	3.65	5.33	19	bear	1225.26	1192.19	0.1
xüe qiao			2	0.98	0.73	0.97	4.23	4.05	3.08	8	-	sled	-	2105.92	0.68
xüe ren			2	0.87	0.79	0.82	3.52	3.8	2.86	4.74	4	snowman	958.29	1075.32	0.07
ya zi			2	0.44	0.91	0.91	3.55	2.43	3.27	2.99	2	duck	1014.83	1206.03	0.2
ya shua			2	0	1	1	4.94	3.03	2.43	4.05	-	toothbrush	-	892.46	0.05
yan dou			2	1.25	0.53	0.94	3.39	2.58	1.81	6.22	-	pipe	-	1018.92	0.07
yan gang			2	1.06	0.75	0.88	3.23	3.78	2.57	6.26	-	ashtray	-	1545.86	0.49
yan jing			2	0	1	1	5	4.3	3.22	2.26	241	eye	760.14	770.95	0.05
yan jing			2	0	1	1	4.71	3.93	2.46	6.45	26	glasses	783.29	797.27	0
yang cong			2	1.58	0.37	0.7	3.48	3.95	3.07	5.45	-	onion	-	1225.74	0.54
yao yi			2	1.73	0.18	0.64	3.9	3.75	3.59	6.58	-	rocking chair		1246.22	0.1
yi jia			2	0.94	0.65	1	4.71	3.88	1.22	5.53	-	hanger	1052.39	978.48	0.02
yi zi			2	0.75	0.85	0.91	4.74	3.25	2.38	3.46	31	chair	920.29	925.68	0.07
ying tao			2	0.46	0.04	0.04	3.16	3.33	1.97	6.24	-	cherry	-	1374.46	0.68
ying			1	1.4	0.4	0.52	2.77	3.6	4.22	5.23	-	eagle	-	1325.9	0.49
yuan deng			2	1.38	0.58	0.61	4.48	3.7	2.49	4.12	-	stool	-	1022.82	0.05
yuan hao			2	1.9	0.32	0.5	2.58	3.83	4.35	9.03	-	French horn	-	1501.76	0.29
yuan zhu bi			3	0.51	0.91	0.97	4.81	4	2.22	5.79	-	pen	-	1020.43	0.02
yu			1	0.73	0.79	1	4.29	4.45	3.59	2.82	141	fish	839.32	901.92	0.05
yu mi			2	0.83	0.74	1	4.45	3.08	3.95	4.15	15	corn	902.48	994.48	0.02
yüe ya			2	0.99	0.55	1	4.87	4.25	1.38	4.87	1	moon	885.22	913	0.07
yao shi			2	0	1	1	4.9	4.43	2.32	4.66	67	key	807.54	834.68	0
yun			1	0.9	0.69	0.69	2.81	2.65	2.68	3.48	-	cloud	-	1362.27	0.37
yun dou			2	0	1	1	3.9	3.2	3.46	6.37	-	iron	-	1137.05	0.02
zha lan			2	0.95	0.63	1	3.32	3.78	2.43	5.96	7	fence	1053.04	1000.74	0.15
zhen			1	1.58	0.53	0.59	4.13	3.03	1.73	4.21	21	needle	1002.67	1449.48	0.24
zhi zhu			2	1.07	0.74	0.74	3	3.98	3.46	4.53	1	spider	1148.27	1323.03	0.27
zhi sheng fei ji			4	1.09	0.76	0.91	3.61	3.68	3.97	6.24	-	helicopter	-	1027.37	0.07
zhong			1	1	0.5	1	3.39	3.65	2.92	4.28	-	bell	-	1063.2	0.02
zhu			1	0.44	0.91	0.91	2.94	3.4	3.76	2.43	112	pig	1058.21	1135.53	0.02
zhu lan			2	1.41	0.45	0.88	3.35	3.03	4.03	4.74	1	basket	1135.79	1108.82	0.07
zi xing che			3	0.19	0.97	0.97	4.77	3.88	4.03	4.15	44	bicycle	879.11	725.46	0
zui			1	0.99	0.44	1	5	2.8	2.08	2.15	219	lips	929.11	844.46	0.05
zuo zhong			2	1.17	0.52	0.97	4.48	2.83	3.27	5.82	-	clock	-	1098.09	0.15

Legend

Pinyin = object name in Chinese

L = word length measured as number of syllables

H = name agreement measured with the H statistic (take from Shu et al. 1989)

%NA = percentage name agreement (taken from Shu et al. 1989)

CA = percentage concept agreement (taken from Shu et al. 1989)

RF = rated familiarity (taken from Shu et al. 1989)

IA = rated image agreement (taken from Shu et al. 1989)

VC = rated visual complexity (taken from Shu et al. 1989)

AoA = rated age of acqusition

PF = printed frequency value taken from Sun (1998) where available

WF = word frequency taken from Luo and Yuan (1996)

English = object name in English

Latency 1 = mean reaction time for Experiment 1

Latency 2 = mean reaction time for Experiment 2

Alt = proportion of alternative responses
