,,,,,,,,,,,,,,,AVERAGE,,,MOD1,,,SUBJ,,,MOD2,,,OBJ,,,,,,,,,,,,,,,,,,,AVERAGE,,,MOD1,,,SUBJ,,,MOD2,,,OBJ,,,,
Item,Base,Auditory Image,Visual Image,Metaphor,Valence %Pos,Valence RT,Interp,Fam,Natur,Image,Fig,#chars,#words,#content words,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,,,,,Item,Literal,Valence %Pos,Valence RT,Interp,Fam,Natur,Image,Fig,#chars,#words,# content words,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,,
NMA16,fart,4.65,2.21,His suggestion is an ill-timed fart.,0.06,1606,0.84,3.85,2.35,2.50,5.55,36,6,3,13,6,374,,,,34,12.2,333,0,0,215,5,6.43,575,,,,,NLA16,The embarrassment was a fart.,0.06,1065,n/a,4.60,4.55,4.10,2.40,29,5,2,7,6,445,,,,8,4.84,315,,,,5,6.43,575,,
NMA17,flush,4.10,3.47,His memoirs were a toilet flush.,0.06,1213,0.74,2.28,2.44,3.28,6.30,32,6,3,9,13,476,,,,4,1.1,395,13,28.9,586,11,9.37,447,,,,,NLA17,The only noise was a flush.,0.12,1242,n/a,5.15,6.30,5.20,1.40,27,6,3,598,376,398,1747,1083.71,218,37,34.88,529,,,,11,9.37,447,,
NMA18,gasp,4.35,3.30,The logging was an environmentalist gasp. ,0.06,1752,0.89,2.89,3.39,3.56,5.40,42,6,3,3,1,520,,,,5,0.9,505,0,0.25,645,3,1.73,409,,,,,NLA18,The response was a shocked gasp.,0.00,1582,n/a,6.00,6.65,5.05,1.35,32,6,3,37,10,269,,,,77,16.1,3,31,11.73,395,3,1.73,409,,
NMA19,giggle,4.25,3.30,His ugly car is a giggle.,0.20,1373,1.00,3.67,3.06,4.61,5.30,25,6,3,99,176,472,21,42.16,377,274,483.06,622,,,,1,1.71,418,,,,,NLA19,The child's answer was a giggle.,0.71,1513,n/a,5.65,6.65,6.00,1.50,32,6,3,122,112,465,213,157.65,581,152,176.2,397,,,,1,1.71,418,,
NMA20,groan,4.20,2.35,His job was an endless groan,0.00,1132,1.00,4.89,5.39,4.17,5.10,28,6,3,86,140,341,,,,238,413,432,20,6.63,160,1,0.92,432,,,,,NLA20,The patient's reply was a groan.,0.00,1254,n/a,6.11,6.78,5.56,1.61,32,6,3,43,23,409,86,63.65,487,42,4.8,308,,,,1,0.92,432,,
NMA21,grumble,3.10,2.40,The letter was a polite grumble.,0.23,1263,1.00,5.10,5.05,4.10,4.45,32,6,3,53,32,453,,,,145,82.61,577,7,13.94,342,7,0.18,440,,,,,NLA21,The man's retort was a grumble.,0.00,1332,n/a,5.30,6.20,4.45,1.80,31,6,3,406,615,468,1207,1845.75,618,4,0.25,345,,,,7,0.18,440,,
NMA22,grunt,4.00,2.40,The employee was a grunt.,0.00,966,0.95,2.80,3.55,3.15,4.75,25,5,2,13,7,522,,,,24,11.57,578,,,,2,2.22,465,,,,,NLA22,Her only input was a grunt.,0.00,1367,n/a,5.65,6.75,4.60,1.80,27,6,3,590,363,328,1747,1084,218,20,2.98,300,,,,2,2.22,465,,
NMA23,guffaw,3.75,2.45,His tie choice is a guffaw.,0.18,2016,0.84,4.06,3.44,5.39,4.25,27,6,3,46,47,443,23,44.43,568,113,97.55,296,,,,1,0.06,465,,,,,NLA23,The laughter was a guffaw.,0.50,1249,n/a,4.67,5.33,4.28,3.06,26,5,2,12,7,438,,,,22,13.8,411,,,,1,0.06,465,,
NMA24,hiss,4.25,2.65,His posture was a cat's hiss.,0.06,1524,0.74,1.75,1.95,3.65,6.40,29,6,3,13,23,533,,,,13,1.73,430,23,66.33,615,2,0.92,555,,,,,NLA24,The cat's reproach was a hiss.,0.05,1121,n/a,5.65,6.15,6.25,1.75,30,6,3,9,23,478,23,66.33,615,3,0.45,265,,,,2,0.92,555,,
NMA25,hoot,4.30,2.55,The pool party was a hoot.,0.88,1456,0.89,6.61,6.11,4.61,4.65,26,6,3,116,94,556,116,46.98,629,224,233.14,550,,,,9,2.61,490,,,,,NLA25,The owl's cry was a hoot.,0.13,1473,n/a,5.80,6.40,5.85,1.55,25,6,3,20,25,513,2,5.61,614,48,65.65,436,,,,9,2.61,490,,
NMA26,huff,3.45,2.37,His framed degree was a proud huff.,0.67,2303,0.95,3.00,3.78,4.44,5.25,35,7,4,50,26,431,15,5.57,600,125,14.88,406,50,83.63,327,10,1.31,390,,,,,NLA26,His breath was a heavy huff.,0.00,1483,n/a,5.45,6.20,5.05,1.80,28,6,3,200,31,285,,,,479,44.92,53,110,47.29,413,10,1.31,390,,
NMA27,hum,4.20,2.15,His work was a steady hum.,0.50,2048,1.00,4.89,4.83,4.17,5.50,26,6,3,269,275,363,,,,760,798.02,401,41,22.71,315,5,4.82,374,,,,,NLA27,The insects were a low hum.,0.11,1464,n/a,4.72,5.94,5.22,3.50,27,6,3,67,22,430,,,,23,3.1,593,174,59.14,322,5,4.82,374,,
NMA28,hush,3.65,2.21,The pregnancy was a family hush.,0.06,1327,1.00,5.15,5.20,4.20,4.45,32,6,3,14,123,484,,,,4,6.55,530,33,354.53,525,4,7.61,396,,,,,NLA28,The aunt's admonishment was a hush.,0.05,2045,n/a,3.78,4.50,3.39,2.61,35,6,3,9,21,430,22,55.2,564,0,0,330,,,,4,7.61,396,,
NMA29,jingle,4.45,2.85,The play was a happy jingle.,0.89,1170,0.84,4.17,4.78,3.89,4.60,28,6,3,99,231,420,,,,200,354.53,468,98,333.2,355,0,5.06,437,,,,,NLA29,The bells were a merry jingle.,0.95,1152,n/a,5.74,5.95,6.25,3.10,30,6,3,5,19,476,,,,8,13.16,620,8,39.1,370,0,5.06,437,,
