						Appendix B								
			Imagery and Distributional Typicality Scores by Item											
														
														
	FK	Image Rate (SD)		Image RT (SD)		HAL Uninflectedb			HAL Inflectedc			Usenet	Familiarity	
Word	Code					NDist	VDist	NVDD	NDist	VDist	NVDD	Log Freq	Rating	
absent	Va	4.57	(1.91)	2566	(1628)	573	570	3	573	570	3	3.48	5.73	
absorb	V	4.18	(1.85)	2732	(1598)	610	487	123	598	562	36	3.86	4.28	
accept	V	3.70	(2.02)	2809	(1931)	629	456	173	613	513	100	4.98	5.95	
access	N	3.07	(1.61)	3022	(1688)	590	529	61	594	538	56	5.27	5.25	
accord	B	2.57	(2.32)	3232	(1531)	494	610	-116	505	544	-39	4.84	3.78	
accost	V	2.61	(1.40)	2706	(1548)				757	728	29	2.30	1.98	
accuse	V	4.04	(1.95)	2800	(1962)	639	472	167	582	546	36	4.20	4.90	
acquit	V	3.23	(1.95)	2653	(1644)				719	689	30	2.85	2.95	
act	B	4.79	(1.93)	2526	(1299)	487	503	-16	494	512	-18	5.05	5.13	
action	N	3.86	(2.10)	3075	(1478)	459	557	-98	481	559	-78	5.03	5.55	
adapt	V	3.21	(1.69)	2799	(2874)	647	481	166	619	540	79	3.87	4.33
add	V	5.43	(1.67)	2197	(1216)	577	449	128	563	490	73	5.33	5.98
adhere	V	2.82	(1.72)	2341	(1263)	672	513	159	713	625	88	3.54	3.35
adjust	V	3.74	(1.87)	2327	(963)	602	444	158	577	493	84	4.20	5.03
admire	V	4.36	(1.73)	2982	(2225)	646	523	123	648	568	80	3.73	4.73
admit	V	3.75	(1.71)	2982	(1632)	653	500	153	628	518	110	4.61	5.55
adopt	V	4.79	(1.79)	2456	(1103)	627	464	163	578	528	50	4.24	3.73
adore	V	4.96	(1.79)	2455	(928)	659	578	81	678	618	60	3.21	4.78
adorn	V	2.86	(1.88)	2583	(3249)				645	718	-73	2.58	2.98
affair	N	4.64	(1.91)	2182	(966)	529	663	-134	571	673	-102	4.25	4.75
affirm	V	2.86	(1.92)	2563	(1055)	655	510	145	697	665	32	3.35	4.08
afford	V	4.00	(2.04)	2267	(1013)	701	593	108	698	598	100	4.30	6.00
agent	N	5.07	(1.68)	2384	(1584)	477	562	-85	505	578	-73	4.58	4.48
agree	V	3.43	(1.97)	2682	(1450)	666	563	103	642	558	84	5.12	5.80
ail	V	2.48	(1.58)	2194	(1167)	678	718	-40	679	684	-5	2.72	2.38
aim	B	4.36	(1.97)	2621	(1083)	485	509	-24	520	554	-34	4.30	4.65
alarm	B	6.29	(1.24)	2572	(1250)	481	563	-82	532	586	-54	3.96	5.90
album	N	6.14	(1.60)	1827	(613)	505	620	-115	515	621	-106	4.72	4.50
alcove	N	3.71	(2.16)	2540	(1197)	651	766	-115	651	766	-115	2.42	1.75
align	V	3.70	(1.68)	2918	(1352)	591	487	104	592	565	27	3.57	3.80
allege	V	2.39	(1.40)	2237	(1047)	715	670	45	544	612	-68	3.96	2.55
alley	N	6.07	(1.61)	1873	(928)	519	643	-124	534	653	-119	3.51	3.83
allot	V	2.36	(1.45)	2227	(1565)	735	684	51	686	684	2	2.98	2.35
allow	V	2.43	(1.48)	2724	(1701)	589	470	119	578	533	45	5.26	6.03
allude	V	2.93	(1.90)	2429	(1190)	693	597	96	652	633	19	3.20	3.10
alter	V	4.57	(2.08)	2299	(1220)	552	471	81	557	524	33	4.20	4.40
amass	V	2.71	(1.76)	2958	(2433)	713	612	101	693	646	47	2.72	2.30
amaze	V	4.54	(1.67)	3212	(2530)	768	626	142	589	623	-34	4.51	4.98
amble	V	2.04	(1.37)	3087	(1587)							1.74	2.48
ambush	B	5.52	(1.48)	2182	(760)	701	824	-123	711	816	-105	3.33	3.45
amend	V	2.96	(1.67)	3143	(1830)	621	542	79	700	708	-8	3.83	3.75
amuse	V	4.68	(1.98)	2818	(1918)	657	495	162	639	602	37	3.94	5.23
anchor	B	6.75	(0.52)	1839	(879)	475	545	-70	505	569	-64	3.62	3.25
angel	N	6.79	(0.57)	1555	(453)	634	745	-111	592	702	-110	4.41	5.45
annoy	V	4.57	(1.71)	2908	(3104)	709	584	125	618	576	42	4.35	5.45
answer	B	4.61	(2.02)	2266	(856)	550	497	53	557	519	38	5.25	6.38
apathy	N	2.36	(1.95)	2545	(1410)	551	578	-27	551	578	-27	3.01	4.03
appall	V	3.50	(1.84)	3461	(2160)				645	648	-3	3.30	3.08
appear	V	3.64	(2.00)	3216	(2418)	576	493	83	555	546	9	5.06	5.83
append	V	2.04	(1.48)	2255	(1004)	601	533	68	606	587	19	3.72	2.58
apply	V	2.57	(1.67)	2486	(1114)	601	471	130	576	517	59	4.73	5.65
arch	B	6.39	(1.20)	1952	(630)	515	652	-137	573	673	-100	3.75	3.95
area	N	4.00	(2.00)	3300	(1768)	521	644	-123	541	647	-106	5.34	6.03
arena	N	6.36	(1.13)	2221	(2059)	536	685	-149	551	693	-142	4.08	4.00
argue	V	4.46	(1.64)	2988	(1548)	663	482	181	641	522	119	4.58	6.35
arise	V	3.96	(1.99)	2842	(1456)	636	581	55	628	640	-12	4.10	3.95
aroma	N	5.18	(1.91)	3084	(3447)	537	619	-82	537	619	-82	2.90	4.05
arouse	V	4.79	(2.02)	2473	(1767)	706	573	133	661	615	46	3.44	4.90
arrive	V	4.11	(1.66)	2637	(1054)	610	496	114	594	562	32	4.48	5.63
arrow	N	6.68	(0.98)	1543	(514)	524	640	-116	514	627	-113	4.01	4.15
