,Word,English Translation,Cgram,Nlet,NSilO,Nphom,NSilphom,OND,OUP,PhomND,PhomUP,Fam,Conc,Imag,Freq,LogFreq,AOA,SD,,,,,,,,,,,,
1,Chão,floor,no,4,1,3,1,3,3,8,3,,,,1443,3.16,1.95,0.96,,,,,,,,,,,,
2,Flor,flower,no,4,1,4,1,2,4,0,4,,,,1544,3.19,1.55,0.65,,,,,,,,,,,,
3,Mar,sea,no,3,1,3,1,11,3,9,3,1.48,5.58,6.46,3770,3.58,2.04,1.12,,,,,,,,,,,,
4,Mês,month,no,3,1,3,1,2,3,8,3,,,,6862,3.84,3.19,1.35,,,,,,,,,,,,
5,Pão,bread,no,3,1,3,1,10,2,9,3,1.47,,,1357,3.13,2.32,1.68,,,,,,,,,,,,
6,Rei,king,no,3,1,3,1,4,3,2,3,,,,1995,3.30,3.28,1.69,,,,,,,,,,,,
7,Abril,april,no,5,2,5,2,3,5,3,5,,,,1096,3.04,3.22,1.17,,,,,,,,,,,,
8,Acto,act,no,4,2,3,2,11,4,24,3,,,,1837,3.26,6.02,1.65,,,,,,,,,,,,
9,Actor,actor,no,5,2,4,2,3,5,2,3,1.70,2.44,3.58,1419,3.15,4.92,1.71,,,,,,,,,,,,
10,Alta,rise,no,4,2,4,2,13,4,13,4,,,,1046,3.02,3.00,1.47,,,,,,,,,,,,
11,Arma,gun,no,4,2,4,2,8,4,8,4,,,,1803,3.26,4.10,1.66,,,,,,,,,,,,
12,Arte,art,no,4,2,4,2,6,4,5,4,3.13,,,2907,3.46,6.70,1.68,,,,,,,,,,,,
13,Avô,grandfather,no,3,2,3,2,5,3,2,3,,,,1018,3.46,1.61,1.00,,,,,,,,,,,,
14,Água,water,no,4,2,4,2,3,4,5,4,1.50,6.00,6.23,8340,3.01,2.12,2.09,,,,,,,,,,,,
15,Bairro,neighbourhood,no,6,2,5,2,1,6,3,5,,,,1087,3.92,4.69,1.46,,,,,,,,,,,,
16,Banco,bank,no,5,2,4,2,9,5,9,4,2.14,6.22,6.00,2119,3.04,3.05,1.47,,,,,,,,,,,,
17,Banda,band,no,5,2,4,2,8,5,6,4,,,,821,3.33,4.10,1.67,,,,,,,,,,,,
18,Banho,bath,no,5,2,4,2,10,5,7,4,,,,1158,2.91,2.10,1.21,,,,,,,,,,,,
19,Barco,boat,no,5,2,5,2,10,5,9,5,1.65,,,1884,3.06,2.36,1.17,,,,,,,,,,,,
20,Bolsa,handbag,no,5,2,5,2,6,5,4,5,,,,1055,3.28,5.25,2.36,,,,,,,,,,,,
21,Breve,soon,no,5,2,5,2,1,5,1,4,,,,2057,3.02,5.20,1.86,,,,,,,,,,,,
22,Brilho,shine,no,6,2,5,2,1,6,2,5,,,,471,3.31,4.02,1.46,,,,,,,,,,,,
23,Bronze,bronze,no,6,2,5,2,0,6,0,5,,,,1224,2.67,5.70,1.88,,,,,,,,,,,,
24,Calor,heat,no,5,2,5,2,3,5,2,5,,,,1311,3.09,2.52,1.18,,,,,,,,,,,,
25,Cama,bed,no,4,2,4,2,21,4,13,4,1.32,,,1863,3.12,1.84,0.95,,,,,,,,,,,,
26,Campo,field,no,5,2,4,2,3,5,4,4,,,,4238,3.27,2.83,1.14,,,,,,,,,,,,
27,Canto,corner,no,5,2,4,2,13,5,11,4,,,,1384,3.63,3.12,1.58,,,,,,,,,,,,
28,Carga,load,no,5,2,5,2,7,5,6,5,,,,1060,3.14,5.57,1.50,,,,,,,,,,,,
29,Carne,meat,no,5,2,5,2,2,5,2,4,,,,1658,3.03,2.02,0.85,,,,,,,,,,,,
30,Carta,letter,no,5,2,5,2,10,5,7,5,,,,2596,3.22,3.60,1.47,,,,,,,,,,,,
31,Casa,house,no,4,2,4,2,19,4,12,4,1.40,6.26,6.50,12731,3.41,1.55,0.85,,,,,,,,,,,,
32,Casal,couple,no,5,2,5,2,7,5,5,5,,,,933,4.10,4.82,1.03,,,,,,,,,,,,
33,Caso,case,no,4,2,4,2,14,4,14,4,,,,11160,2.97,6.80,1.03,,,,,,,,,,,,
34,Cena,scene,no,4,2,4,2,7,4,6,3,,,,1384,4.05,5.60,1.82,,,,,,,,,,,,
