,Word,English Translation,Cgram,Nlet,NSilO,Nphom,NSilphom,OND,OUP,PhomND,PhomUP,Fam,Conc,Imag,Freq,LogFreq,AOA,SD,,,,,,,,,,,,
35,Cheiro,smell,no,6,2,5,2,3,6,1,5,,,,837,3.14,2.47,1.23,,,,,,,,,,,,
36,Chuva,rain,no,5,2,4,2,2,5,4,4,,,,1839,2.92,2.29,1.29,,,,,,,,,,,,
37,Cima,top,no,4,2,4,2,9,4,11,4,,,,3062,3.26,2.32,1.27,,,,,,,,,,,,
38,Classe,class,no,6,2,5,2,0,6,3,5,,,,1817,3.49,4.82,1.53,,,,,,,,,,,,
39,Clima,weather,no,5,2,5,2,3,5,1,5,,,,1345,3.26,5.21,1.61,,,,,,,,,,,,
40,Clube,club,no,5,2,5,2,0,3,0,4,,,,3001,3.13,5.06,2.08,,,,,,,,,,,,
41,Coisa,thing,no,5,2,5,2,3,5,3,5,,,,14657,3.48,3.14,1.86,,,,,,,,,,,,
42,Compra,purchase,no,6,2,5,2,1,6,1,5,,,,1357,4.17,3.36,1.35,,,,,,,,,,,,
43,Corpo,body,no,5,2,5,2,8,5,6,4,,,,5167,3.13,3.38,1.31,,,,,,,,,,,,
44,Crise,crisis,no,5,2,5,2,2,5,2,5,,,,1931,3.71,6.74,1.60,,,,,,,,,,,,
45,Curso,course,no,5,2,5,2,5,5,4,5,,,,2537,3.29,6.19,1.35,,,,,,,,,,,,
46,Custo,cost,no,5,2,5,2,9,5,9,5,,,,1813,3.40,4.54,1.99,,,,,,,,,,,,
47,Data,date,no,4,2,4,2,9,4,9,3,,,,2066,3.26,3.26,1.31,,,,,,,,,,,,
48,Dedo,finger,no,4,2,4,2,7,4,7,3,,,,1489,3.32,2.66,2.11,,,,,,,,,,,,
49,Dente,tooth,no,5,2,4,2,7,5,9,4,,,,1124,3.17,2.88,1.81,,,,,,,,,,,,
50,Dia,day,no,3,2,3,2,10,3,9,3,2.10,4.54,4.08,21896,3.05,2.16,1.33,,,,,,,,,,,,
51,Doido,crazy,no,5,2,5,2,2,5,0,5,,,,250,4.34,3.55,1.71,,,,,,,,,,,,
52,Doutor,doctor,no,6,2,5,2,1,6,0,4,,,,996,2.40,3.34,1.35,,,,,,,,,,,,
53,Droga,drug,no,5,2,5,2,2,5,1,3,,,,1187,3.00,6.81,1.55,,,,,,,,,,,,
54,Dúzia,dozen,no,5,2,5,2,0,3,0,5,,,,892,3.07,4.65,1.04,,,,,,,,,,,,
55,Face,face,no,4,2,4,2,3,4,3,4,,,,1173,2.95,4.19,1.62,,,,,,,,,,,,
56,Facto,fact,no,5,2,5,2,11,5,4,4,,,,7722,3.07,5.93,1.49,,,,,,,,,,,,
57,Fase,phase,no,4,2,4,2,3,4,5,3,,,,3848,3.89,6.02,1.28,,,,,,,,,,,,
58,Feira,market,no,5,2,5,2,11,5,7,5,,,,716,3.59,3.60,1.60,,,,,,,,,,,,
59,Féria,holiday,no,5,2,5,2,3,5,4,5,,,,1211,2.86,5.12,2.11,,,,,,,,,,,,
60,Ferro,iron,no,5,2,4,2,8,5,6,4,,,,1744,3.08,4.18,1.93,,,,,,,,,,,,
61,Fiel,faithful,no,4,2,4,1,1,4,2,4,,,,473,3.24,5.74,1.80,,,,,,,,,,,,
62,Filho,son,no,5,2,4,2,6,5,9,4,,,,7644,2.68,2.47,1.72,,,,,,,,,,,,
63,Filme,film,no,5,2,5,2,1,5,1,5,,,,2776,3.88,3.05,1.22,,,,,,,,,,,,
64,Final,final,no,5,2,5,2,4,5,4,5,,,,1629,3.44,5.76,1.56,,,,,,,,,,,,
65,Fio,thread,no,3,2,3,2,12,3,11,3,,,,995,3.21,3.00,1.55,,,,,,,,,,,,
66,Fogo,fire,no,4,2,4,2,10,4,10,4,1.57,5.88,6.21,1822,3.00,3.22,1.78,,,,,,,,,,,,
67,Forno,oven,no,5,2,5,2,5,5,4,4,,,,762,3.26,3.90,1.34,,,,,,,,,,,,
68,Frase,sentence,no,5,2,5,2,3,5,4,4,2.10,3.90,3.17,1074,2.88,4.37,1.23,,,,,,,,,,,,
69,Gente,people,no,5,2,4,2,7,5,8,4,,,,6927,3.03,3.05,1.59,,,,,,,,,,,,
70,Gesto,gesture,no,5,2,5,2,9,5,4,5,,,,1445,3.84,4.22,1.76,,,,,,,,,,,,
71,Gestor,manager,no,6,2,6,2,1,6,1,5,2.47,,,320,3.16,6.96,1.09,,,,,,,,,,,,
72,Golo,goal,no,4,2,4,2,16,4,11,4,,,,2292,2.51,2.75,1.21,,,,,,,,,,,,
73,Grupo,group,no,5,2,5,2,1,5,2,5,2.30,4.32,4.17,8138,3.36,4.71,1.22,,,,,,,,,,,,
74,Guerra,war,no,6,2,4,2,1,6,6,3,2.70,2.98,4.74,3806,3.91,4.40,1.60,,,,,,,,,,,,
75,Hora,hour,no,4,2,3,2,7,4,12,3,,,,10776,3.58,2.94,1.63,,,,,,,,,,,,
76,Hotel,hotel,no,5,2,4,2,1,5,1,3,,,,1184,4.03,4.08,1.57,,,,,,,,,,,,
77,Irmão,brother,no,5,2,5,2,0,5,0,5,,,,2654,3.07,2.72,1.91,,,,,,,,,,,,
78,Jantar,dinner,no,6,2,5,2,2,6,2,4,1.47,,,1470,3.42,2.86,1.32,,,,,,,,,,,,
79,Jardim,garden,no,6,2,5,2,0,6,0,3,1.63,5.48,6.02,1928,3.17,2.96,1.24,,,,,,,,,,,,
80,Jovem,young man,no,5,2,5,2,0,4,0,3,,,,3548,3.29,5.58,1.34,,,,,,,,,,,,
81,Judeu,jew,no,5,2,5,2,0,4,0,4,,,,327,3.55,6.68,1.50,,,,,,,,,,,,
82,Juiz,judge,no,4,2,4,1,0,3,1,4,1.90,5.28,5.62,1324,2.52,5.13,1.28,,,,,,,,,,,,
83,Junho,june,no,5,2,4,2,5,4,6,3,,,,1212,3.12,4.05,1.36,,,,,,,,,,,,
84,Juro,interest,no,4,2,4,2,7,4,11,4,,,,1561,3.08,4.16,1.77,,,,,,,,,,,,
85,Ilha,island,no,4,2,3,2,6,4,11,3,,,,2263,3.19,4.18,1.53,,,,,,,,,,,,
86,Leite,milk,no,5,2,5,2,3,5,1,5,1.32,,,1009,3.35,1.65,1.25,,,,,,,,,,,,
87,Líder,lider,no,5,2,5,2,0,4,1,4,,,,2616,3.00,6.16,1.53,,,,,,,,,,,,
88,Língua,tongue,no,6,2,5,2,2,3,3,5,,,,2119,3.42,2.65,1.67,,,,,,,,,,,,
89,Linha,line,no,5,2,4,2,7,5,11,4,,,,4105,3.33,2.98,1.32,,,,,,,,,,,,
90,Lista,list,no,5,2,5,2,4,5,3,5,,,,2423,3.61,6.40,1.31,,,,,,,,,,,,
91,Livro,book,no,5,2,5,2,2,5,2,5,1.26,,,4182,3.38,2.60,1.32,,,,,,,,,,,,
92,Lua,moon,no,3,2,3,2,13,3,13,3,,,,814,3.62,2.44,1.39,,,,,,,,,,,,
93,Lucro,profit,no,5,2,5,2,0,5,0,5,2.80,3.64,2.48,816,2.91,5.98,1.63,,,,,,,,,,,,
94,Lume,fire,no,4,2,4,2,5,4,5,4,,,,853,2.91,3.74,1.43,,,,,,,,,,,,
95,Mapa,map,no,4,2,4,2,9,4,11,4,,,,830,2.93,4.44,1.60,,,,,,,,,,,,
96,Marca,brand,no,5,2,5,2,8,5,7,5,,,,1339,2.92,4.68,1.58,,,,,,,,,,,,
97,Março,march,no,5,2,5,2,3,5,4,4,,,,1198,3.13,3.95,1.17,,,,,,,,,,,,
98,Margem,margin,no,6,2,6,2,0,5,0,4,,,,1628,3.08,5.85,1.46,,,,,,,,,,,,
99,Mastro,mast,no,6,2,6,2,4,5,4,4,,,,139,3.21,6.63,1.58,,,,,,,,,,,,
100,Média,average,no,5,2,5,2,1,5,2,5,,,,1132,2.15,6.10,1.88,,,,,,,,,,,,
101,Mesa,table,no,4,2,4,2,5,4,2,3,1.32,,,2633,3.05,2.14,1.14,,,,,,,,,,,,
102,Metal,metal,no,5,2,5,2,3,5,2,5,,,,843,3.42,5.40,1.36,,,,,,,,,,,,
103,Metro,subway,no,5,2,5,2,2,5,2,5,1.47,,,2752,2.93,6.20,0.90,,,,,,,,,,,,
104,Milhar,million,no,6,2,5,2,8,6,13,5,,,,1451,3.44,6.20,2.01,,,,,,,,,,,,
105,Missão,mission,no,6,2,5,2,3,5,12,5,,,,951,3.16,5.36,1.79,,,,,,,,,,,,
106,Moda,fashion,no,4,2,4,2,14,4,11,4,,,,1086,2.98,4.76,1.76,,,,,,,,,,,,
107,Modo,way,no,4,2,4,2,11,4,7,4,,,,5619,3.04,4.68,2.19,,,,,,,,,,,,
108,Muro,wall,no,4,2,4,2,9,4,11,4,,,,796,3.75,3.24,1.04,,,,,,,,,,,,
109,Museu,museum,no,5,2,5,2,0,5,0,4,,,,806,2.90,5.49,1.26,,,,,,,,,,,,
110,Neve,snow,no,4,2,4,2,4,4,3,4,1.50,6.24,6.04,844,2.91,2.88,1.32,,,,,,,,,,,,
111,Nível,level,no,5,2,5,2,3,5,3,4,,,,6051,2.93,5.48,1.41,,,,,,,,,,,,
112,Noivo,groom,no,5,2,5,2,3,5,2,5,,,,738,3.78,4.55,1.84,,,,,,,,,,,,
113,Nome,name,no,4,2,4,2,3,4,1,3,2.30,3.58,2.83,6353,2.87,2.21,1.39,,,,,,,,,,,,
114,Norma,rule,no,5,2,5,2,3,5,2,5,,,,801,3.80,8.02,1.13,,,,,,,,,,,,
115,Nota,note,no,4,2,4,2,11,4,10,4,,,,1530,2.90,4.20,1.47,,,,,,,,,,,,
116,Núcleo,nucleus,no,6,2,6,2,0,3,0,6,,,,732,3.18,7.16,1.17,,,,,,,,,,,,
117,Ombro,shoulder,no,5,2,4,2,1,5,1,4,1.47,,,1255,2.87,3.31,1.40,,,,,,,,,,,,
118,Ordem,order,no,5,2,5,2,0,5,0,4,,,,4057,3.10,4.28,1.58,,,,,,,,,,,,
119,Orgão,organ,no,5,2,5,2,1,3,2,3,,,,1302,3.61,5.36,1.68,,,,,,,,,,,,
120,Ouro,gold,no,4,2,3,2,12,4,18,3,,,,1682,3.11,4.46,1.72,,,,,,,,,,,,
121,Ovo,egg,no,3,2,3,2,5,3,7,3,,,,1140,3.23,2.78,1.46,,,,,,,,,,,,
122,Padrão,pattern,no,6,2,6,2,2,5,2,5,,,,995,3.06,7.40,1.43,,,,,,,,,,,,
123,Palco,stage,no,5,2,5,2,3,4,4,4,,,,792,3.00,4.53,1.37,,,,,,,,,,,,
124,Papel,paper,no,5,2,5,2,0,5,0,5,,,,4743,2.90,2.44,1.63,,,,,,,,,,,,
125,Parque,park,no,6,2,5,2,2,6,4,5,,,,1209,3.68,3.51,1.72,,,,,,,,,,,,
126,Patrão,boss,no,6,2,6,2,1,5,1,5,,,,764,3.08,5.00,1.57,,,,,,,,,,,,
127,Parte,part,no,5,2,5,2,4,5,5,5,,,,14010,2.88,3.92,1.47,,,,,,,,,,,,
128,Pedra,stone,no,5,2,5,2,0,5,0,4,,,,2875,4.15,2.57,1.42,,,,,,,,,,,,
129,Pele,skin,no,4,2,4,2,4,4,0,4,,,,1764,3.46,3.20,1.26,,,,,,,,,,,,
130,Perda,loss,no,5,2,5,2,2,5,1,4,,,,1163,3.25,4.83,1.46,,,,,,,,,,,,
131,Perna,leg,no,5,2,5,2,3,5,1,4,1.42,,,1413,3.07,1.93,0.97,,,,,,,,,,,,
132,Pesca,fishing,no,5,2,5,2,2,5,2,4,,,,878,3.15,3.72,1.21,,,,,,,,,,,,
133,Peso,weight,no,4,2,4,2,6,4,7,3,,,,1859,2.94,5.14,1.37,,,,,,,,,,,,
134,Pista,clue,no,5,2,5,2,5,5,4,5,,,,761,3.27,6.14,1.68,,,,,,,,,,,,
135,Plano,plan,no,5,2,5,2,3,5,3,5,,,,3022,2.88,5.12,1.59,,,,,,,,,,,,
136,Ponte,bridge,no,5,2,4,2,8,5,6,4,1.43,6.26,6.38,778,3.48,3.50,1.47,,,,,,,,,,,,
137,Porta,door,no,5,2,5,2,10,5,4,5,,,,4921,2.89,2.06,1.17,,,,,,,,,,,,
138,Posto,position,no,5,2,5,2,10,5,8,5,,,,2093,3.69,5.06,1.71,,,,,,,,,,,,
139,Povo,people,no,4,2,4,2,5,4,7,3,,,,3418,3.32,4.04,1.63,,,,,,,,,,,,
140,Praia,beach,no,5,2,5,2,4,4,3,4,,,,1693,3.53,2.78,1.63,,,,,,,,,,,,
141,Prazer,pleasure,no,6,2,6,2,2,6,2,5,2.93,2.08,2.90,1044,3.23,5.30,1.72,,,,,,,,,,,,
142,Prémio,award,no,6,2,6,2,3,4,3,4,,,,1589,3.02,3.90,1.56,,,,,,,,,,,,
143,Prisão,prison,no,6,2,6,2,0,5,0,5,1.87,5.36,5.63,1428,3.20,4.79,1.80,,,,,,,,,,,,
144,Quarto,room,no,6,2,6,2,2,6,1,6,,,,2829,3.16,2.50,1.25,,,,,,,,,,,,
145,Queixa,complaint,no,6,2,5,2,3,6,4,5,,,,1036,3.45,3.82,1.47,,,,,,,,,,,,
146,Questão,question,no,7,2,6,2,0,6,3,5,,,,5391,3.02,5.28,1.44,,,,,,,,,,,,
147,Rádio,radio,no,5,2,5,2,0,3,1,5,1.68,,,1130,3.73,2.96,1.55,,,,,,,,,,,,
148,Ramo,branch,no,4,2,4,2,11,4,6,4,,,,1155,3.05,4.26,1.66,,,,,,,,,,,,
149,Reacção,reaction,no,7,2,6,2,1,5,0,5,,,,1260,3.06,6.56,1.33,,,,,,,,,,,,
150,Rede,network,no,4,2,4,2,2,4,2,3,,,,2558,3.10,4.88,1.84,,,,,,,,,,,,
151,Regra,rule,no,5,2,5,2,2,5,3,5,3.07,2.98,2.42,2106,3.41,4.27,1.54,,,,,,,,,,,,
152,Resto,rest,no,5,2,5,2,8,5,8,5,,,,2728,3.32,4.14,2.04,,,,,,,,,,,,
153,Risco,risk,no,5,2,5,2,9,5,8,5,,,,2377,3.44,5.12,1.80,,,,,,,,,,,,
154,Roda,wheel,no,4,2,4,2,11,4,9,4,,,,1015,3.38,2.29,1.26,,,,,,,,,,,,
155,Rosto,face,no,5,2,5,2,6,4,7,4,,,,1583,3.01,4.05,1.75,,,,,,,,,,,,
156,Roupa,clothing,no,5,2,4,2,1,5,8,4,,,,1185,3.20,3.58,1.43,,,,,,,,,,,,
157,Rua,road,no,3,2,3,2,7,3,6,3,,,,3961,3.07,2.57,1.24,,,,,,,,,,,,
158,Santo,saint,no,5,2,4,2,4,5,7,4,,,,996,3.60,3.71,1.44,,,,,,,,,,,,
159,Sede,headquarters,no,4,2,4,2,4,4,4,4,,,,1247,3.00,2.35,1.30,,,,,,,,,,,,
160,Sessão,session,no,6,2,5,2,1,5,4,5,,,,1634,3.10,5.74,1.65,,,,,,,,,,,,
161,Série,series,no,5,2,5,2,1,5,3,5,,,,2509,3.21,5.66,1.60,,,,,,,,,,,,
162,Sinal,sign,no,5,2,5,2,2,5,1,5,,,,2451,3.40,4.30,1.97,,,,,,,,,,,,
163,Sítio,place,no,5,2,5,2,1,3,4,5,,,,1406,3.39,3.44,1.51,,,,,,,,,,,,
164,Sonho,dream,no,5,2,4,2,2,5,5,3,,,,1779,3.15,3.30,1.50,,,,,,,,,,,,
165,Sopa,soup,no,4,2,4,2,8,4,6,4,1.53,6.28,6.19,1256,3.25,1.72,1.24,,,,,,,,,,,,
166,Sorte,luck,no,5,2,5,2,5,5,5,4,,,,1178,3.10,3.73,1.36,,,,,,,,,,,,
167,Tarde,afternoon,no,5,2,5,2,0,5,0,4,,,,3666,3.07,2.53,1.00,,,,,,,,,,,,
168,Tempo,time,no,5,2,4,2,3,5,8,4,,,,17878,3.56,3.20,1.46,,,,,,,,,,,,
169,Tensão,tension,no,6,2,5,2,4,5,7,4,,,,1776,4.25,6.72,1.50,,,,,,,,,,,,
170,Termo,end,no,5,2,5,2,3,5,2,5,,,,4317,3.25,7.94,1.00,,,,,,,,,,,,
171,Terra,earth,no,5,2,4,2,5,5,7,4,,,,6585,3.64,3.50,1.91,,,,,,,,,,,,
172,Tiro,shot,no,4,2,4,2,9,4,9,4,,,,885,3.82,3.20,1.36,,,,,,,,,,,,
173,Treino,training,no,6,2,6,2,2,6,0,6,,,,1017,2.95,5.13,1.38,,,,,,,,,,,,
174,Vale,valley,no,4,2,4,2,4,4,3,4,2.40,5.22,4.31,1368,3.01,5.00,1.88,,,,,,,,,,,,
175,Valor,value,no,5,2,5,2,3,5,3,4,3.17,2.10,2.27,7691,3.14,5.00,1.70,,,,,,,,,,,,
176,Verão,summer,no,5,2,5,2,6,4,4,4,,,,1439,3.89,3.54,1.84,,,,,,,,,,,,
177,Verba,summer,no,5,2,5,2,3,5,1,5,,,,881,3.16,8.42,1.11,,,,,,,,,,,,
178,Verbo,verb,no,5,2,5,2,3,5,2,5,,,,138,2.95,4.88,1.36,,,,,,,,,,,,
179,Via,way,no,3,2,3,2,14,3,12,3,,,,2793,2.14,6.30,1.52,,,,,,,,,,,,
180,Vida,life,no,4,2,4,2,11,4,13,4,,,,13495,3.45,3.35,1.56,,,,,,,,,,,,
181,Vidro,glass,no,5,2,5,2,2,5,2,5,,,,934,4.13,3.38,1.69,,,,,,,,,,,,
182,Vinho,wine,no,5,2,4,2,6,5,8,4,,,,2320,2.97,3.76,1.53,,,,,,,,,,,,
183,Vista,view,no,5,2,5,2,4,5,3,5,,,,3922,3.37,3.82,1.24,,,,,,,,,,,,
184,Volta,return,no,5,2,5,2,3,5,3,5,,,,4461,3.59,3.92,1.78,,,,,,,,,,,,
185,Voto,vote,no,4,2,4,2,9,4,5,3,,,,2085,3.65,6.33,1.44,,,,,,,,,,,,
186,Ácido,acid,no,5,3,5,3,2,3,2,3,,,,235,3.32,6.37,1.87,,,,,,,,,,,,
187,Adulto,adult,no,6,3,6,3,1,6,2,6,,,,584,2.37,3.73,1.76,,,,,,,,,,,,
188,Afecto,affection,no,6,3,5,3,1,6,3,5,,,,208,2.77,5.26,1.82,,,,,,,,,,,,
189,Agência,agency,no,7,3,6,3,0,3,0,6,,,,947,2.32,6.46,1.46,,,,,,,,,,,,
190,Agosto,august,no,6,3,6,3,2,4,2,4,,,,2688,2.98,3.38,1.11,,,,,,,,,,,,
191,Ajuda,help,no,5,3,5,3,1,5,2,5,,,,1233,3.43,3.40,1.48,,,,,,,,,,,,
192,Álcool,alcohol,no,6,3,6,2,0,3,0,6,,,,563,3.09,5.50,1.84,,,,,,,,,,,,
193,Aldeia,village,no,6,3,6,3,1,5,1,4,,,,1949,2.75,3.24,1.70,,,,,,,,,,,,
194,Alívio,relief,no,6,3,6,3,1,4,1,6,,,,234,3.29,6.13,1.51,,,,,,,,,,,,
195,Almoço,lunch,no,6,3,6,3,0,6,0,4,1.50,,,871,2.37,2.90,1.43,,,,,,,,,,,,
196,Alvará,permit,no,6,3,6,3,1,6,0,5,,,,119,2.94,8.32,0.98,,,,,,,,,,,,
197,Amador,amateur,no,6,3,6,3,1,6,2,5,,,,383,2.08,5.88,1.51,,,,,,,,,,,,
198,Amante,lover,no,6,3,5,3,1,6,0,5,,,,524,2.58,6.86,1.48,,,,,,,,,,,,
199,Ambição,ambition,no,7,3,6,3,0,5,0,5,,,,545,2.72,6.18,1.62,,,,,,,,,,,,
200,Âmbito,scope,no,6,3,5,3,0,4,2,4,,,,1569,2.74,7.98,0.88,,,,,,,,,,,,
201,Amigo,friend,no,5,3,5,3,2,5,3,5,,,,4182,3.20,2.74,1.26,,,,,,,,,,,,
202,Anexo,attachment,no,5,3,6,3,2,5,1,6,,,,160,3.62,7.43,1.36,,,,,,,,,,,,
203,Angústia,anguish,no,8,3,7,3,0,4,0,7,,,,444,2.21,7.88,0.92,,,,,,,,,,,,
204,Animal,animal,no,6,3,6,3,1,6,1,6,,,,2302,2.65,2.27,1.14,,,,,,,,,,,,
205,Ânimo,soul,no,5,3,5,3,0,3,1,5,,,,312,3.36,6.90,1.43,,,,,,,,,,,,
206,Apelo,appeal,no,5,3,5,3,4,5,2,4,,,,784,2.50,7.05,1.48,,,,,,,,,,,,
207,Aplauso,applause,no,7,3,7,3,0,6,0,6,,,,172,2.89,5.60,1.60,,,,,,,,,,,,
208,Árbitro,referee,no,7,3,7,3,0,3,0,3,1.93,,,1373,2.24,5.49,1.45,,,,,,,,,,,,
209,Arbusto,bush,no,7,3,7,3,0,7,0,7,,,,159,3.14,4.85,1.55,,,,,,,,,,,,
210,Areia,sand,no,5,3,5,3,4,5,4,4,,,,1016,2.20,2.73,1.75,,,,,,,,,,,,
211,Arguido,accused,no,7,3,7,3,1,6,0,6,,,,628,3.01,8.15,1.08,,,,,,,,,,,,
212,Armário,closet,no,7,3,7,3,0,4,0,6,2.00,,,411,2.80,3.77,1.56,,,,,,,,,,,,
213,Armazém,warehouse,no,7,3,7,3,0,6,0,6,,,,426,2.61,5.46,1.49,,,,,,,,,,,,
214,Arquivo,archive,no,7,3,6,3,0,7,0,6,,,,310,2.63,6.69,1.36,,,,,,,,,,,,
215,Arranjo,arrangement,no,7,3,5,3,3,7,2,5,,,,350,2.49,6.19,1.53,,,,,,,,,,,,
216,Arranque,start,no,8,3,5,3,0,6,2,5,,,,250,2.55,5.90,1.64,,,,,,,,,,,,
217,Artesão,craftsman,no,7,3,7,3,0,6,0,6,,,,243,2.40,6.80,1.01,,,,,,,,,,,,
218,Artigo,article,no,6,3,6,3,1,6,0,6,,,,6837,2.39,6.82,0.87,,,,,,,,,,,,
219,Artista,artist,no,7,3,7,3,1,5,0,7,,,,1378,3.83,4.74,1.61,,,,,,,,,,,,
220,Asilo,asylum,no,5,3,5,3,1,5,2,5,2.77,5.02,4.15,162,3.14,6.82,1.45,,,,,,,,,,,,
221,Ataque,attack,no,6,3,5,3,0,4,2,5,,,,1512,2.21,5.10,1.43,,,,,,,,,,,,
222,Atleta,athlete,no,6,3,6,3,0,6,0,6,,,,830,3.18,5.08,1.32,,,,,,,,,,,,
223,Atraso,delay,no,6,3,6,3,0,6,0,5,,,,864,2.92,4.32,1.54,,,,,,,,,,,,
224,Aumento,increase,no,7,3,6,3,1,7,0,6,,,,2795,2.94,5.08,1.66,,,,,,,,,,,,
225,Ausência,absence,no,8,3,7,3,0,4,0,5,,,,1239,3.45,5.52,1.37,,,,,,,,,,,,
226,Auxílio,support,no,7,3,7,3,0,4,0,7,,,,409,3.09,6.64,1.61,,,,,,,,,,,,
227,Azeite,olive oil,no,6,3,6,3,2,6,2,6,1.95,,,683,2.61,4.10,1.25,,,,,,,,,,,,
228,Baliza,goal,no,6,3,6,3,1,6,0,6,,,,504,2.84,3.64,1.31,,,,,,,,,,,,
229,Bancada,row,no,7,3,6,3,1,6,3,5,,,,724,2.70,4.96,1.52,,,,,,,,,,,,
230,Barraca,shack,no,7,3,6,3,3,7,3,6,,,,441,2.86,5.21,1.55,,,,,,,,,,,,
231,Barreira,barrier,no,8,3,7,3,3,8,4,7,,,,440,2.65,5.68,1.37,,,,,,,,,,,,
232,Batata,potato,no,6,3,6,3,3,6,4,5,1.70,,,576,2.64,2.18,1.36,,,,,,,,,,,,
233,Beleza,beauty,no,6,3,6,3,0,5,0,4,,,,1107,2.76,4.38,1.41,,,,,,,,,,,,
234,Bilhete,ticket,no,7,3,6,3,0,7,0,6,,,,684,3.04,4.16,1.49,,,,,,,,,,,,
235,Bocado,piece,no,6,3,6,3,1,5,3,5,,,,2373,2.84,3.44,1.62,,,,,,,,,,,,
236,Bombeiro,fireman,no,8,3,7,3,0,5,1,5,1.65,,,1070,3.38,3.44,1.15,,,,,,,,,,,,
