APPENDIX A																		
"The following information is shown below: Item is the identifying number of each picture, "																		
"Intended name is the intended name for each concept, modal name is the name given by the"																		
"majority of subjects, the H statistic and the percentage agreement (%) are two measures of name"																		
"agreement; the means and standard deviations are for ratings of image agreement, familiarity, "																		
"complexity, and age of acquisition, F is the frequency for each single-word name, (taken from "																		
"Content, Mousty, & Radeau, 1990); the main verbal association for each single-word name is "																		
"presented when available (taken from Ferrand & Alario, 1998)."																		
				Name Agreement		Image Agreement		Familiarity		Complexity		Variability		Age of Acquisition				
Item	Intended Name	Modal Name	English	H	%	M	SD	M	SD	M	SD	M	SD	M	SD	F	Verbal Association	%
1	accordéon	accordéon	accordion	0	100	3.53	0.73	1.63	0.81	4.86	0.35	2.17	0.59	3.08	0.89	4.33	musique	49.4
2	avion	avion	airplane	0.29	96	3.93	1.08	2.63	1.16	3.17	0.76	3.33	1.06	1.92	0.93	49.8	ciel	15.7
3	crocodile	crocodile	alligator	0.29	96	4.23	0.94	1.43	0.73	4.34	0.72	2.37	0.72	2.23	0.65	3.65	dents	20.2
4	ancre	ancre	anchor	0	100	4.13	1.17	1.9	0.92	2.14	0.58	2.33	0.66	3.32	0.95	6.12	bateau	39.3
5	fourmi	fourmi	ant	0.62	82	2.8	1.42	2.3	0.95	4.52	0.57	2.6	1.07	1.92	0.69	10.5	cigale	18
6	pomme	pomme	apple	0	100	4	0.79	4.4	0.72	1.55	0.63	3.23	0.86	1.46	0.58	30.41	poire	16.8
7	bras	bras	arm	0.15	96	4.07	1.01	4.93	0.25	2.28	0.65	2.9	1.24	1.5	0.71	346	jambe	27
8	flèche	flèche	arrow	0	100	3.83	0.87	1.53	0.73	1.93	0.37	2.8	1.06	2.52	0.77	17.91	arc	52.8
9	artichaut	artichaut	artichoke	0.23	89	4.23	0.86	2.13	1.11	3.59	0.87	1.97	0.41	3.04	1	1.44	coeur	24.7
10	cendrier	cendrier	ashtray	0.16	93	3.3	1.12	4	1.23	2.62	0.82	3.3	1.21	2.85	0.92	2.72	cigarette	43.8
11	asperge	asperge	asparagus	0.16	93	3.4	0.93	2.37	1.19	3.24	0.87	1.93	0.45	3.19	0.85	1.61	légume	21.3
12	hache	hache	axe	0	96	4.2	1	1.57	0.77	2.55	0.69	2.23	0.63	2.64	0.76	9.35	couper	16.8
13	landau	landau	baby carriage	0.8	79	3.47	1.01	2.07	1.17	3.97	1.02	2.47	0.82	2.54	0.99	1.57	–	–
14	balle	ballon	ball	0	100	2.57	0.82	2.87	0.97	2.45	0.91	3.07	1.05	1.27	0.45	38	tennis	46.1
15	ballon	ballon	balloon	0.4	89	1.23	0.77	2.5	0.9	1.52	0.78	3.47	1.07	1.35	0.49	12.55	football	32.6
16	banane	banane	banana	0	100	4.6	0.67	3.87	0.94	1.21	0.41	2.23	0.68	1.58	0.7	2.68	jaune	19.1
17	grange	grange	barn	1.12	50	2.4	1.16	2.23	1.43	3.52	0.83	2.57	0.77	3.27	0.87	17.27	–	–
