Appendix C																				
Word Ratings and Associated Statistics (Men Only)																				
																				
Word	Type	Letters	Syllables	K&F 	        ANEW		    Personal Use		      Familiarity		   Offensiveness		     Tabooness		        Valence		        Arousal		    Imageability	
				Freq.	Valence	Arousal	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD
sunlight	pos hi ar	8	2	17	7.00	5.60	4.72	1.87	5.19	2.06	1.00	0.00	1.00	0.00	6.56	1.01	2.91	2.29	7.09	2.05
surprised	pos hi ar	9	2	58	7.07	7.80	5.84	1.97	6.06	1.87	1.00	0.00	1.00	0.00	5.81	0.97	3.06	2.45	4.03	2.98
thrill	pos hi ar	6	1	5	8.40	8.40	4.24	1.73	4.79	1.58	1.00	0.00	1.03	0.17	6.39	1.14	3.03	2.59	3.33	2.75
wink	pos hi ar	4	1	7	6.67	4.79	3.81	1.98	4.72	2.14	1.00	0.00	1.19	0.64	5.50	0.76	2.77	2.01	6.23	2.78
wit	pos hi ar	3	1	20	7.32	5.95	4.06	2.21	4.45	2.36	1.00	0.00	1.03	0.17	6.24	1.23	2.21	2.21	2.06	1.73
zest	pos hi ar	4	1	5	6.50	6.00	2.38	1.83	3.13	1.93	1.00	0.00	1.00	0.00	5.91	1.03	2.06	2.08	2.48	2.03
alone	neg lo ar	5	2	195	3.07	4.13	5.12	1.90	5.82	1.59	1.09	0.38	1.27	1.07	3.52	1.66	2.45	1.91	3.24	2.51
blister	neg lo ar	7	2	3	3.48	3.81	3.27	1.76	4.18	1.76	1.00	0.00	1.00	0.00	3.94	1.17	2.00	1.62	7.30	1.69
broken	neg lo ar	6	2	63	3.50	5.39	4.91	1.70	5.55	1.92	1.12	0.42	1.12	0.55	3.64	1.25	2.33	1.81	4.42	2.61
carcass	neg lo ar	7	2	7	4.21	5.11	2.63	1.52	3.72	2.02	1.16	0.45	1.56	1.34	3.63	1.24	2.94	1.98	6.65	2.12
corrupt	neg lo ar	7	2	8	4.15	5.05	4.77	1.94	5.42	1.84	1.32	0.91	1.87	1.50	2.90	0.98	3.23	2.19	2.48	2.03
crime	neg lo ar	5	1	34	3.55	5.00	4.75	1.67	6.03	1.71	1.28	0.96	1.63	1.58	3.28	1.22	3.32	2.71	4.06	2.71
cut	neg lo ar	3	1	192	3.70	4.75	5.13	1.93	5.45	2.05	1.03	0.18	1.06	0.25	4.26	1.13	2.52	1.95	6.03	2.89
defeated	neg lo ar	8	3	15	2.42	4.35	4.31	1.96	5.38	1.74	1.16	0.72	1.41	0.98	3.22	1.26	2.52	1.75	3.19	2.70
depressed	neg lo ar	9	2	11	2.33	4.00	5.39	2.01	6.13	1.84	1.19	0.65	1.87	1.65	2.35	0.80	2.97	2.18	3.58	2.57
dirt	neg lo ar	4	1	43	4.41	3.41	4.81	2.22	5.22	2.11	1.25	0.62	1.38	1.07	4.06	0.88	2.03	1.68	7.10	2.10
failure	neg lo ar	7	3	89	2.27	4.00	5.09	1.74	5.67	1.65	1.33	1.05	1.64	1.39	2.88	1.24	2.97	2.26	2.85	2.82
false.	neg lo ar	5	1	29	3.24	3.27	5.09	2.01	5.88	2.04	1.09	0.53	1.34	1.04	3.72	1.11	2.58	2.22	2.26	1.98
fat	neg lo ar	3	1	60	2.94	2.82	6.19	2.07	6.84	1.76	2.47	2.02	3.22	2.42	2.69	0.86	3.42	2.53	6.87	2.45
fault	neg lo ar	5	1	22	3.14	3.73	4.45	2.15	4.91	2.11	1.30	1.16	1.39	1.35	3.82	1.16	2.21	2.13	2.94	2.59
fever	neg lo ar	5	2	19	3.05	3.80	4.45	1.94	4.97	1.79	1.00	0.00	1.06	0.24	3.39	1.39	2.27	1.76	4.33	2.43
foul	neg lo ar	4	1	4	2.94	5.18	4.09	2.30	4.97	2.08	1.33	0.82	1.52	1.18	3.39	1.27	2.70	2.24	2.88	2.29
germs	neg lo ar	5	1	1	2.90	4.29	4.36	2.19	5.39	2.11	1.27	1.01	1.18	0.58	3.73	1.49	2.55	1.87	5.00	3.11
gloom	neg lo ar	5	1	14	2.08	4.17	3.30	1.96	3.73	2.07	1.06	0.35	1.18	0.58	3.36	1.50	2.18	1.76	3.55	2.24
headache	neg lo ar	8	2	5	2.24	5.18	4.91	1.93	6.21	1.83	1.00	0.00	1.03	0.17	3.70	1.40	2.24	1.58	3.58	2.22
hungry	neg lo ar	6	2	23	3.67	5.20	7.36	1.77	7.15	2.08	1.03	0.17	1.03	0.17	4.39	1.35	4.12	2.76	3.97	3.27
illness	neg lo ar	7	2	20	2.70	4.60	4.13	2.12	5.25	2.24	1.06	0.35	1.34	1.15	3.25	1.30	2.91	2.32	3.72	2.41
lonely	neg lo ar	6	2	25	2.20	3.80	5.09	1.61	6.12	1.60	1.06	0.35	1.21	0.78	3.24	1.35	2.67	1.88	3.79	2.69
massacre	neg lo ar	8	3	1	2.24	5.48	3.55	1.82	4.79	1.88	1.18	0.64	2.00	1.89	2.73	1.74	4.27	2.82	5.27	2.71
measles	neg lo ar	7	2	2	3.33	4.40	2.22	1.43	3.38	1.88	1.03	0.18	1.31	0.74	3.53	1.39	2.81	2.33	4.68	3.00
meek	neg lo ar	4	1	10	4.50	3.30	2.27	1.49	3.27	2.07	1.06	0.24	1.09	0.29	4.64	1.88	1.91	1.63	2.24	1.46
mildew	neg lo ar	6	2	1	3.36	4.07	3.09	2.10	4.00	2.29	1.03	0.18	1.09	0.30	3.91	1.15	1.81	1.45	5.88	2.69
mold	neg lo ar	4	1	45	3.90	4.00	3.76	1.94	4.73	2.00	1.24	1.23	1.21	1.05	3.52	1.40	2.06	1.85	6.48	2.54
moody	neg lo ar	5	2	5	3.50	4.00	4.30	1.78	4.97	1.76	1.21	1.05	1.30	1.16	3.97	1.40	2.36	2.12	2.88	2.29
morbid	neg lo ar	6	2	1	3.40	4.73	3.18	2.21	3.94	2.05	1.15	0.87	1.52	1.25	3.36	1.30	2.88	2.16	3.21	2.63
nuisance	neg lo ar	8	2	5	3.84	4.58	3.67	1.93	4.39	1.87	1.15	0.57	1.36	1.11	3.67	1.27	2.39	2.33	2.76	2.36
obesity	neg lo ar	7	4	5	2.61	3.21	3.73	1.93	6.12	1.60	1.45	0.94	2.64	1.85	2.55	1.15	3.30	2.48	7.06	2.19
penalty	neg lo ar	7	3	14	3.09	4.68	4.16	2.33	4.97	2.18	1.10	0.54	1.32	1.28	3.71	1.13	2.16	1.88	2.32	1.74
poverty	neg lo ar	7	3	20	2.08	4.92	4.32	1.99	5.68	2.14	1.13	0.34	1.39	1.33	2.90	0.94	2.84	2.19	4.19	2.75
resent	neg lo ar	6	2	8	3.90	4.24	3.58	1.86	4.52	1.97	1.39	0.97	1.61	1.44	3.85	1.44	2.36	2.22	2.24	1.54
rigid	neg lo ar	5	2	24	4.15	4.75	3.27	1.83	4.21	1.56	1.06	0.24	1.27	0.88	4.55	1.12	1.85	1.79	3.84	2.65
rusty	neg lo ar	5	2	8	3.92	4.25	3.91	1.94	4.52	2.03	1.00	0.00	1.12	0.70	4.24	1.23	1.45	0.97	5.91	2.63
sad	neg lo ar	3	1	35	1.87	4.20	5.81	2.01	6.19	2.13	1.00	0.00	1.22	1.07	3.00	1.08	2.78	2.14	3.75	2.31
severe	neg lo ar	6	2	39	4.05	5.30	4.61	1.75	5.21	2.00	1.09	0.38	1.15	0.62	3.48	1.46	3.21	2.18	2.67	2.31
sick	neg lo ar	4	1	51	2.12	4.44	5.94	1.70	6.06	1.44	1.19	0.74	1.53	1.19	3.44	0.95	3.00	2.33	4.13	2.38
stench	neg lo ar	6	1	1	2.60	4.35	3.09	1.74	3.70	2.01	1.12	0.42	1.45	1.39	3.27	1.38	2.48	1.73	3.39	2.75
tomb	neg lo ar	4	1	11	3.44	4.35	3.00	2.14	3.94	2.00	1.00	0.00	1.16	0.63	4.22	1.16	2.28	1.91	7.63	1.76
trash	neg lo ar	5	1	2	2.44	3.96	5.91	2.07	6.21	1.93	1.24	0.87	1.18	0.77	3.94	1.54	1.85	1.54	7.48	2.14
ugly	neg lo ar	4	2	21	2.50	5.00	5.78	2.06	6.03	1.96	2.44	2.23	2.69	2.01	2.84	0.99	3.53	2.58	4.41	2.41
unhappy	neg lo ar	7	3	26	1.93	4.07	4.56	2.30	5.50	2.05	1.19	0.64	1.38	1.04	3.13	1.13	2.75	2.27	3.38	2.35
urine	neg lo ar	5	2	1	2.84	4.16	3.52	1.56	4.61	2.14	1.45	0.87	2.42	1.52	4.03	1.19	3.06	2.25	6.76	2.33
waste	neg lo ar	5	1	35	3.47	4.71	5.06	1.80	5.84	1.90	1.25	0.95	1.44	1.27	3.28	1.14	2.35	2.15	4.68	2.79
alcoholic	neg hi ar	9	4	3	3.72	5.36	4.82	1.86	5.52	1.96	2.12	1.92	2.94	2.49	2.76	1.39	3.97	2.58	4.64	2.77
anger	neg hi ar	5	2	48	2.87	6.73	5.53	1.92	6.03	1.89	1.06	0.25	1.50	1.48	3.56	1.08	3.31	2.46	3.84	2.60
assassin	neg hi ar	8	3	6	4.33	5.73	3.42	1.91	4.26	1.73	1.10	0.54	2.06	2.11	3.39	1.20	2.87	2.16	4.73	3.12
assault	neg hi ar	7	2	15	2.55	7.17	3.48	1.56	5.36	1.78	1.45	1.25	1.97	1.85	2.76	1.35	3.85	2.46	3.76	2.62
bankrupt	neg hi ar	8	2	5	2.24	5.71	3.16	1.74	4.88	2.21	1.22	0.61	1.63	1.48	2.91	1.42	3.31	2.43	2.84	2.30
bees	neg hi ar	4	1	15	3.24	6.72	3.85	1.82	4.58	1.90	1.03	0.17	1.06	0.35	4.58	1.28	2.52	2.11	8.12	1.34
betray	neg hi ar	6	2	4	1.85	7.17	3.56	1.65	4.50	1.78	1.34	1.29	1.69	1.91	3.13	1.19	3.34	2.38	2.44	2.05
brutal	neg hi ar	6	2	7	3.25	5.65	4.72	2.04	4.88	1.93	1.13	0.42	1.53	1.24	3.19	1.00	3.25	2.42	3.19	2.26
chaos	neg hi ar	5	2	17	4.50	6.30	3.85	1.82	4.67	1.65	1.03	0.17	1.30	0.81	3.27	1.57	3.39	2.32	4.39	2.59
cockroach	neg hi ar	9	2	2	3.73	5.33	3.34	1.99	4.06	2.29	1.13	0.55	1.66	1.29	3.69	1.42	2.78	2.09	7.94	1.39
crash	neg hi ar	5	1	20	2.60	7.00	4.55	1.77	6.00	1.79	1.03	0.17	1.21	0.65	3.48	1.28	3.64	2.30	6.70	2.17
debt	neg hi ar	4	1	13	2.40	4.33	4.09	2.02	5.50	1.90	1.13	0.55	1.44	1.50	3.53	1.30	2.39	2.22	2.71	2.52
divorce	neg hi ar	7	2	29	2.40	5.30	4.06	1.97	6.06	1.87	1.30	1.26	2.03	1.53	2.88	1.47	3.36	2.68	3.30	2.58
evil	neg hi ar	4	2	72	4.33	6.56	4.64	1.92	5.42	1.90	1.36	0.96	2.06	1.97	2.30	1.29	3.18	2.10	3.67	2.46
fight	neg hi ar	5	1	98	4.81	6.90	5.27	1.68	6.21	1.67	1.06	0.35	1.67	1.59	3.70	1.05	3.64	2.47	6.30	2.47
fire	neg hi ar	4	1	187	4.20	6.50	4.69	1.84	5.84	1.97	1.06	0.35	1.28	0.99	3.94	1.39	2.97	2.18	8.09	0.93
flood	neg hi ar	5	1	19	3.75	5.90	3.67	1.67	5.21	1.76	1.00	0.00	1.21	1.05	3.64	1.27	2.73	2.32	7.45	2.06
fraud	neg hi ar	5	1	8	2.70	5.30	3.27	1.53	5.06	2.06	1.97	1.67	1.85	1.56	2.82	1.13	2.85	2.06	2.73	2.00
gossip	neg hi ar	6	2	13	3.75	5.10	4.61	2.06	6.03	1.61	1.21	0.74	1.79	1.39	3.52	1.33	2.97	2.11	2.67	2.09
guilty	neg hi ar	6	2	29	2.75	5.05	4.79	1.90	5.64	1.97	1.33	0.78	1.70	1.49	2.97	1.05	3.18	2.37	2.70	2.24
gun	neg hi ar	3	1	118	4.72	7.08	4.48	1.90	6.19	1.82	1.13	0.43	1.81	1.74	3.87	1.38	3.48	2.67	8.39	1.02
horror	neg hi ar	6	2	17	3.18	6.44	4.35	1.91	5.32	1.80	1.03	0.18	1.13	0.56	3.23	1.23	3.81	2.44	3.26	2.72
hurricane	neg hi ar	9	3	8	4.19	6.67	3.21	1.69	5.15	1.91	1.00	0.00	1.24	0.90	3.15	1.42	3.70	2.51	7.21	1.73
insane	neg hi ar	6	2	13	3.58	5.68	5.00	2.18	5.42	2.32	1.35	0.95	1.97	1.98	3.61	0.96	2.77	2.06	3.13	2.29
lie	neg hi ar	3	1	59	3.87	5.33	5.09	2.16	6.00	1.71	1.55	1.48	1.97	1.79	2.85	1.00	3.24	2.32	2.73	2.36
murderer	neg hi ar	8	3	19	1.83	7.58	3.84	1.97	5.71	2.05	1.48	1.00	2.48	2.06	2.39	1.36	4.65	2.30	4.10	2.61
nervous	neg hi ar	7	2	24	3.74	5.53	5.75	1.63	6.03	1.53	1.06	0.25	1.09	0.53	4.28	0.58	2.53	2.13	2.84	2.48
outrage	neg hi ar	7	2	4	3.68	6.55	3.91	2.11	4.21	1.78	1.06	0.24	1.52	1.20	3.45	1.52	3.64	2.62	2.94	2.30
panic	neg hi ar	5	2	22	3.52	6.52	4.12	1.65	5.03	1.91	1.00	0.00	1.21	1.05	3.48	1.23	2.94	2.25	3.88	2.89
pest	neg hi ar	4	1	4	3.79	5.31	3.67	1.78	4.48	1.79	1.55	1.66	1.52	1.33	3.42	1.20	2.42	2.15	4.76	2.74
pollute	neg hi ar	7	2	1	2.00	6.14	4.42	1.62	5.97	1.78	1.27	0.84	1.42	1.30	3.09	1.42	3.06	2.26	4.18	2.82
quarrel	neg hi ar	7	2	20	3.50	6.10	3.15	1.92	4.03	2.08	1.00	0.00	1.39	1.12	4.06	1.30	2.64	2.06	4.67	2.61
rage	neg hi ar	4	1	16	2.55	8.33	4.12	1.83	4.73	1.59	1.24	1.06	1.39	1.03	3.12	1.54	3.15	2.02	3.52	2.43
riot	neg hi ar	4	2	7	3.55	6.15	3.33	1.53	4.42	1.99	1.21	0.55	1.88	1.60	2.88	0.89	4.55	2.46	6.30	2.17
roach	neg hi ar	5	1	2	3.08	4.91	3.35	2.04	3.74	2.25	1.03	0.18	1.65	1.54	3.81	1.30	2.16	1.88	8.06	1.06
scared	neg hi ar	6	1	21	3.52	6.84	5.44	2.11	5.88	2.00	1.09	0.39	1.16	0.57	3.63	1.13	2.68	2.04	3.48	2.42
scream	neg hi ar	6	1	13	4.04	6.68	4.36	1.83	5.55	1.79	1.06	0.24	1.36	1.03	3.82	1.19	3.33	2.23	4.88	2.97
sinful	neg hi ar	6	2	3	3.00	6.33	3.84	2.60	5.03	2.25	1.38	1.16	2.34	2.03	2.75	1.14	3.25	2.30	2.84	2.57
slap	neg hi ar	4	1	2	3.53	6.29	4.58	1.70	5.24	1.84	1.42	0.97	1.48	1.23	3.39	1.27	3.33	2.23	6.45	2.60
snake	neg hi ar	5	1	44	4.08	6.72	4.00	1.90	5.03	2.26	1.03	0.18	1.32	0.83	3.77	1.26	3.23	2.53	8.35	1.05
snob	neg hi ar	4	1	1	2.75	5.75	4.00	1.94	4.85	1.97	2.00	1.98	2.12	1.76	3.21	1.02	2.79	2.16	4.00	2.36
stress	neg hi ar	6	1	107	2.33	7.42	6.21	1.85	6.45	1.73	1.00	0.00	1.06	0.24	3.21	1.29	3.18	2.33	2.97	2.63
tense	neg hi ar	5	1	15	3.50	6.00	4.74	2.18	5.03	2.12	1.03	0.18	1.03	0.18	3.84	1.10	2.39	2.03	3.13	2.45
torture	neg hi ar	7	2	3	1.55	5.15	3.47	1.98	4.44	1.65	1.66	1.38	2.41	2.14	2.59	1.24	4.45	2.67	5.10	2.90
toxic	neg hi ar	5	2	3	2.00	5.92	3.58	1.84	4.79	1.92	1.06	0.24	1.33	1.24	3.03	1.21	3.39	2.79	4.73	2.81
trauma	neg hi ar	6	2	1	2.44	6.12	3.91	1.94	5.39	1.64	1.06	0.24	1.45	1.35	3.18	1.63	3.52	2.45	4.55	2.59
aloof	unrel neu	5	2	5	5.24	3.88	2.66	1.88	3.47	1.97	1.09	0.39	1.13	0.42	4.72	0.96	2.16	2.00	2.26	1.67
ankle	unrel neu	5	2	8	5.63	4.53	4.84	1.97	5.16	2.05	1.00	0.00	1.00	0.00	5.03	0.40	1.50	1.02	7.69	1.66
arm	unrel neu	3	1	94	5.50	4.40	6.16	1.78	6.16	1.89	1.00	0.00	1.00	0.00	5.00	0.92	1.66	1.38	7.78	1.66
bandage	unrel neu	7	2	4	4.00	3.80	3.88	1.67	4.73	1.86	1.00	0.00	1.00	0.00	5.06	1.20	1.52	1.06	7.06	2.21
banner	unrel neu	6	2	8	5.35	3.65	3.58	2.05	4.06	1.94	1.00	0.00	1.03	0.17	5.00	1.00	1.58	1.25	7.00	2.33
barrel	unrel neu	6	2	24	5.30	3.75	3.12	1.75	3.82	2.11	1.00	0.00	1.06	0.35	5.18	1.04	1.52	1.18	7.45	2.11
basket	unrel neu	6	2	17	5.60	3.36	4.09	1.99	4.59	2.06	1.19	1.06	1.25	1.41	5.00	0.00	1.31	1.00	7.78	1.45
blase	unrel neu	5	2	7	5.00	4.35	1.77	1.45	2.19	1.80	1.03	0.18	1.23	0.67	4.94	1.24	1.74	1.48	2.81	2.75
butter	unrel neu	6	2	27	5.40	3.30	4.82	1.96	5.52	1.91	1.00	0.00	1.00	0.00	5.15	0.94	1.82	1.53	8.09	1.44
cannon	unrel neu	6	2	7	5.71	5.14	2.97	1.86	3.64	2.04	1.06	0.24	1.03	0.17	4.70	0.95	2.52	2.15	8.00	1.35
chin	unrel neu	4	1	27	5.36	3.64	4.00	1.84	4.61	1.94	1.00	0.00	1.06	0.35	4.94	1.06	1.39	1.12	7.61	2.15
circle	unrel neu	6	2	60	5.30	3.65	4.70	2.07	5.03	2.33	1.00	0.00	1.00	0.00	5.12	0.70	1.33	0.96	8.33	1.59
consoled	unrel neu	8	2	2	5.71	4.94	3.12	1.78	4.21	2.06	1.00	0.00	1.03	0.17	6.00	1.25	1.97	1.83	3.24	2.15
contents	unrel neu	8	2	16	4.73	4.07	4.19	2.17	4.90	2.33	1.00	0.00	1.06	0.36	5.13	0.72	1.26	0.77	2.74	2.76
context	unrel neu	7	2	2	5.20	4.35	4.52	1.81	5.26	2.29	1.00	0.00	1.00	0.00	5.00	0.00	1.47	1.17	2.20	2.11
cord	unrel neu	4	1	6	4.95	3.84	3.69	2.33	4.53	2.16	1.00	0.00	1.00	0.00	4.94	0.35	1.31	0.82	6.53	2.27
cork	unrel neu	4	1	9	5.16	3.89	2.94	1.52	4.12	1.92	1.00	0.00	1.00	0.00	5.18	0.73	1.45	1.00	7.30	2.01
corridor	unrel neu	8	3	17	4.86	3.62	2.82	1.99	3.55	1.97	1.00	0.00	1.00	0.00	5.06	0.75	1.39	0.97	6.42	2.21
cow	unrel neu	3	1	29	5.72	3.12	4.34	1.93	4.66	2.10	1.00	0.00	1.06	0.25	4.72	0.89	1.50	1.19	7.91	1.77
egg	unrel neu	3	1	12	5.11	3.63	5.68	2.12	6.13	2.08	1.00	0.00	1.03	0.18	5.03	0.80	1.32	0.65	8.52	0.89
elbow	unrel neu	5	2	10	4.90	3.70	4.55	1.86	4.97	2.08	1.00	0.00	1.00	0.00	5.30	0.98	1.55	1.35	7.79	1.69
engine	unrel neu	6	2	50	5.27	4.93	4.81	1.99	5.41	1.76	1.03	0.18	1.03	0.18	5.31	0.90	1.81	1.66	7.47	2.02
errand	unrel neu	6	2	7	4.36	4.00	4.94	1.98	5.24	2.28	1.00	0.00	1.00	0.00	5.00	0.90	1.64	1.17	3.09	2.74
fabric	unrel neu	6	2	15	5.21	3.95	4.09	2.12	4.97	2.07	1.00	0.00	1.00	0.00	5.06	0.35	1.65	1.52	6.42	2.31
farm	unrel neu	4	1	125	5.40	3.60	3.36	1.90	4.70	1.91	1.03	0.17	1.03	0.17	5.30	0.92	1.76	1.44	7.67	2.13
finger	unrel neu	6	2	40	5.29	4.05	5.26	1.88	5.74	2.05	1.39	1.12	1.58	1.52	4.87	0.81	1.87	1.77	8.52	0.96
foot	unrel neu	4	1	70	5.06	3.50	5.48	2.09	5.97	1.81	1.00	0.00	1.00	0.00	5.12	0.70	1.36	0.90	8.18	1.29
fork	unrel neu	4	1	14	5.48	4.04	6.06	1.95	5.94	2.08	1.00	0.00	1.06	0.35	5.09	0.53	1.65	1.33	7.90	1.49
fur	unrel neu	3	1	13	5.50	3.55	3.69	1.91	4.75	1.88	1.00	0.00	1.50	1.22	4.63	0.87	1.69	1.26	7.81	1.38
gender	unrel neu	6	2	2	5.60	4.35	4.06	1.77	5.58	2.00	1.03	0.17	1.36	1.14	5.18	0.88	1.76	1.56	3.79	3.11
glacier	unrel neu	7	2	1	5.67	4.53	2.88	1.64	3.85	1.73	1.03	0.17	1.03	0.17	5.15	0.71	1.64	1.14	7.61	1.80
golfer	unrel neu	6	2	3	5.76	3.84	3.55	2.22	4.52	2.03	1.03	0.18	1.00	0.00	5.26	0.82	1.39	1.15	7.68	1.74
hairpin	unrel neu	7	2	1	5.40	3.50	2.39	1.66	3.88	1.90	1.00	0.00	1.00	0.00	5.03	1.02	1.39	0.86	7.24	2.09
hay	unrel neu	3	1	19	5.19	4.81	2.69	1.98	3.41	2.05	1.00	0.00	1.06	0.25	5.00	0.00	1.71	1.60	7.84	1.39
icebox	unrel neu	6	2	3	5.00	4.84	3.00	2.15	3.82	2.11	1.00	0.00	1.00	0.00	4.97	1.13	1.55	1.28	6.70	2.59
indifferent	unrel neu	11	3	11	4.80	3.20	4.58	2.49	4.97	2.11	1.23	0.88	1.16	0.74	4.35	0.76	1.87	1.78	2.13	2.13
industry	unrel neu	8	3	171	5.80	4.73	4.28	1.99	5.50	1.81	1.00	0.00	1.09	0.30	4.97	0.40	1.50	1.08	3.91	2.76
ink	unrel neu	3	1	7	5.00	3.54	4.27	1.76	4.79	1.90	1.00	0.00	1.00	0.00	5.18	0.77	1.45	1.15	6.94	2.45
item	unrel neu	4	2	54	5.32	3.50	4.61	2.02	5.42	1.99	1.00	0.00	1.06	0.35	5.12	0.70	1.36	1.08	3.18	2.99
jelly	unrel neu	5	2	3	5.75	4.08	3.85	2.03	4.58	1.89	1.00	0.00	1.00	0.00	5.52	1.09	2.33	2.20	7.67	1.76
journal	unrel neu	7	2	42	4.95	4.45	4.38	2.27	5.06	2.17	1.16	0.72	1.03	0.18	5.19	0.59	2.31	2.22	6.63	2.06
jug	unrel neu	3	1	6	5.45	4.23	3.52	1.91	4.27	1.97	1.21	1.22	1.55	1.73	5.09	0.38	1.79	1.82	7.82	1.51
kerchief	unrel neu	8	2	1	5.56	3.67	2.32	1.83	2.42	1.57	1.03	0.18	1.03	0.18	4.97	0.41	1.58	1.59	6.29	3.06
kerosene	unrel neu	8	3	6	4.86	4.31	2.19	1.62	2.97	1.77	1.00	0.00	1.03	0.18	5.00	0.67	1.63	1.43	5.10	2.74
ketchup	unrel neu	7	2	1	5.52	3.86	5.12	1.97	5.85	1.92	1.00	0.00	1.00	0.00	5.21	0.74	1.64	1.11	7.70	1.90
knot	unrel neu	4	1	8	4.45	3.71	3.91	1.96	4.58	2.14	1.00	0.00	1.00	0.00	4.94	1.03	1.39	1.20	7.48	1.62
lantern	unrel neu	7	2	13	5.50	4.30	2.78	2.01	3.75	1.93	1.00	0.00	1.00	0.00	5.03	0.18	1.42	1.03	7.48	1.96
limber	unrel neu	6	2	2	5.45	4.85	2.88	1.72	3.78	1.95	1.03	0.18	1.06	0.35	5.47	1.08	1.88	1.62	3.91	2.73
locker	unrel neu	6	2	9	4.95	3.41	4.00	1.75	4.76	1.92	1.00	0.00	1.00	0.00	5.12	0.70	1.70	1.38	7.15	2.11
manner	unrel neu	6	2	124	5.67	4.71	3.81	2.16	4.16	2.10	1.03	0.18	1.06	0.35	5.13	0.42	1.55	1.31	2.55	2.17
medicine	unrel neu	8	3	30	5.57	4.52	6.13	1.93	6.75	1.83	1.00	0.00	1.09	0.30	5.94	1.32	2.97	2.66	5.88	2.76
metal	unrel neu	5	2	61	5.09	3.82	5.27	1.88	5.48	1.73	1.00	0.00	1.00	0.00	5.12	0.70	1.52	1.18	7.09	2.13
modest	unrel neu	6	2	29	5.68	4.42	4.33	2.00	4.94	1.89	1.06	0.35	1.06	0.24	6.39	1.35	2.00	1.58	2.61	2.33
museum	unrel neu	6	2	32	5.45	4.40	4.03	1.68	4.94	1.72	1.00	0.00	1.00	0.00	5.30	0.81	1.82	1.33	7.09	2.14
mushroom	unrel neu	8	2	2	6.08	4.96	4.58	2.05	5.00	2.35	1.00	0.00	1.06	0.24	5.00	0.94	1.82	1.63	8.00	1.48
noisy	unrel neu	5	2	6	5.10	6.15	5.00	1.41	5.67	1.69	1.12	0.70	1.06	0.35	3.94	1.17	2.27	1.88	3.61	2.92
nun	unrel neu	3	1	2	4.50	3.11	2.70	1.55	4.09	1.84	1.00	0.00	1.09	0.52	6.03	1.33	1.76	1.37	7.91	1.61
obey	unrel neu	4	2	8	4.52	4.29	4.06	1.66	4.91	1.89	1.06	0.35	1.39	1.25	4.79	1.34	2.18	1.96	2.36	1.80
pamphlet	unrel neu	8	2	3	4.85	3.60	3.09	2.05	4.28	2.28	1.00	0.00	1.00	0.00	5.03	0.18	1.56	1.76	7.09	2.31
paper	unrel neu	5	2	157	5.33	2.45	6.41	1.58	6.47	2.03	1.00	0.00	1.00	0.00	5.00	0.84	1.41	0.84	7.88	1.48
passage	unrel neu	7	2	49	5.53	4.44	4.26	2.32	4.87	2.16	1.00	0.00	1.03	0.18	5.13	0.96	1.45	1.03	3.81	2.82
patent	unrel neu	6	2	35	5.75	3.08	3.32	2.17	4.68	2.15	1.00	0.00	1.03	0.18	5.32	0.95	1.58	1.26	2.58	2.35
pencil	unrel neu	6	2	34	5.30	3.00	5.70	1.99	6.18	2.26	1.00	0.00	1.06	0.35	5.27	0.84	1.61	1.41	8.24	1.42
phase	unrel neu	5	1	72	5.19	3.57	3.94	2.42	4.44	2.11	1.00	0.00	1.06	0.25	4.94	0.35	1.84	1.63	2.38	2.18
pig	unrel neu	3	1	8	5.10	4.71	4.25	2.19	5.06	1.95	1.31	1.33	1.59	1.34	4.47	1.72	2.13	2.17	8.28	1.11
prairie	unrel neu	7	2	21	5.33	3.75	2.56	2.02	3.09	2.01	1.00	0.00	1.00	0.00	5.06	0.35	1.38	0.87	6.97	2.27
privacy	unrel neu	7	3	12	5.73	3.93	5.06	2.03	5.45	2.11	1.06	0.36	1.19	0.65	5.55	1.09	1.90	1.72	2.35	2.04
quart	unrel neu	5	1	3	5.45	4.10	3.41	2.00	4.69	2.09	1.00	0.00	1.03	0.18	5.00	0.00	1.55	1.36	4.13	3.24
quiet	unrel neu	5	2	76	5.75	2.50	5.34	2.10	6.34	2.12	1.03	0.18	1.22	0.87	4.97	1.03	1.81	1.42	2.72	2.51
rain	unrel neu	4	1	70	5.36	3.68	5.12	1.76	5.70	1.70	1.00	0.00	1.00	0.00	5.12	1.52	2.64	1.87	7.09	2.24
rattle	unrel neu	6	2	5	5.50	4.40	3.29	2.19	3.90	2.15	1.10	0.54	1.03	0.18	4.87	0.43	1.84	1.55	4.84	2.87
reverent	unrel neu	8	3	3	5.50	4.20	2.67	1.92	3.12	1.98	1.03	0.17	1.12	0.42	5.85	1.54	1.58	1.20	2.27	1.81
salad	unrel neu	5	2	9	5.40	3.73	5.24	2.00	6.06	1.85	1.00	0.00	1.00	0.00	5.33	0.82	2.03	1.74	7.67	1.71
sheltered	unrel neu	9	2	4	5.50	4.69	3.67	1.85	4.55	1.86	1.15	0.51	1.12	0.55	4.64	1.34	1.88	1.47	3.03	2.34
