ID,English Word,Finnish Word,English Word Length,Finnish Word Length,English Familiarity mean,English Familiarity SD,English Valence mean,English Valence SD,English Emotional Charge mean,English Emotional Charge SD,English Offensiveness mean,English Offensiveness SD,English Concreteness mean,English Concreteness SD,Finnish Familiarity mean,Finnish Familiarity SD,Finnish Valence mean,Finnish Valence SD,Finnish Emotional Charge mean,Finnish Emotional Charge SD,Finnish Offensiveness mean,Finnish Offensiveness SD,Finnish Concreteness mean,Finnish Concreteness SD,
21,beauty,kauneus,6,7,4.10,2.59,7.26,1.64,3.90,2.65,0.39,1.17,5.58,2.84,5.04,2.44,6.96,1.67,4.59,2.69,0.41,0.84,5.10,3.01,
22,bed,sänky,3,5,7.05,2.15,6.50,1.90,2.51,2.84,0.18,0.21,0.39,0.75,6.38,2.38,6.55,1.88,3.29,2.76,0.48,0.94,0.32,0.40,
23,beer,olut,4,4,6.28,2.65,4.96,2.09,1.93,2.20,0.35,0.58,0.51,0.95,4.78,2.80,4.77,2.36,3.18,2.60,0.78,1.44,0.40,0.73,
24,bint,urpo,4,4,1.22,1.82,2.08,1.68,1.34,1.65,2.54,2.94,4.69,3.12,2.33,2.53,2.37,1.75,2.01,2.29,4.19,2.69,3.67,2.88,
25,bitch,narttu ,5,7,6.20,2.47,1.45,1.39,3.66,2.68,4.89,2.68,4.34,3.00,2.10,2.38,1.26,1.38,3.52,2.93,6.21,2.67,2.41,2.61,
26,bliss,onni,5,4,1.91,1.96,6.74,2.31,3.89,3.20,0.18,0.20,6.29,2.81,4.24,2.49,8.03,1.37,6.11,2.66,0.24,0.33,6.08,2.79,
27,blossom,kukoistus,7,9,1.72,1.77,5.93,1.75,1.78,2.22,0.18,0.20,2.17,2.64,1.45,1.61,6.38,1.78,2.82,2.39,0.27,0.33,4.82,2.66,
28,book,kirja,4,5,5.69,2.84,4.82,1.89,1.06,1.52,0.23,0.40,0.72,1.52,6.31,2.63,5.38,1.75,2.11,2.46,0.25,0.46,0.40,0.89,
29,bowl,kulho,4,5,4.01,2.96,4.13,1.46,0.53,0.67,0.20,0.20,0.54,1.02,2.99,2.25,4.50,1.24,0.83,1.25,0.24,0.32,0.31,0.50,
30,bread,leipä,5,5,5.76,2.55,4.99,1.45,0.74,1.15,0.17,0.15,0.37,0.63,6.54,2.48,6.20,1.78,1.65,2.00,0.22,0.28,0.37,0.70,
31,brother,veli,7,4,5.36,2.89,6.59,2.00,4.18,3.17,0.16,0.20,1.03,2.01,5.65,2.79,7.18,1.72,5.25,2.96,0.25,0.43,0.77,1.48,
32,cabinet,kamari,7,6,2.31,2.32,3.99,1.43,0.62,1.24,0.15,0.13,0.45,0.93,1.47,1.91,4.59,1.72,1.07,1.46,0.51,1.00,0.67,1.20,
33,cancer,syöpä,6,5,3.61,2.56,0.55,0.94,5.93,2.69,1.62,2.42,1.81,2.56,3.03,2.49,0.81,0.87,5.16,2.66,1.32,1.90,2.00,2.40,
34,car,auto,3,4,7.18,1.93,5.31,1.71,1.49,1.94,0.38,1.24,0.39,0.98,7.26,2.09,5.53,1.82,2.22,2.18,0.23,0.30,0.36,0.83,
35,cell,solu,4,4,2.14,2.09,2.53,1.84,1.12,1.59,0.30,0.69,0.91,1.41,2.00,1.97,4.25,1.60,0.89,1.26,0.36,0.72,1.77,2.33,
36,chair,tuoli,5,5,5.28,2.84,4.40,1.30,0.55,0.89,0.15,0.13,0.54,1.11,5.91,2.57,4.86,1.34,0.94,1.25,0.23,0.26,0.37,0.83,
37,cock,kyrpä,4,5,4.73,2.85,1.87,1.65,2.57,2.48,4.22,2.90,1.96,2.39,3.19,2.80,2.24,2.08,2.56,2.67,5.46,2.91,0.92,1.61,
38,column,pylväs,6,6,1.86,1.80,4.05,1.52,0.60,1.06,0.14,0.13,1.45,2.30,1.78,1.71,4.13,1.42,0.79,1.05,0.37,0.75,0.48,0.95,
39,comfort,mukavuus,7,8,3.94,2.58,7.09,1.64,3.96,2.94,0.20,0.30,5.56,2.97,4.28,2.39,7.58,1.23,4.65,2.82,0.30,0.73,4.81,2.69,
40,computer,tietokone ,8,10,6.85,2.07,4.95,1.70,0.91,1.24,0.18,0.26,0.56,1.32,6.77,2.16,5.02,1.81,1.48,1.85,0.27,0.34,0.33,0.51,
41,confidence,luottamus,10,9,4.44,2.43,7.05,1.59,4.34,2.79,0.23,0.42,6.29,2.84,4.10,2.47,7.50,1.46,5.55,2.68,0.34,0.70,6.09,2.45,
42,content,sisältö,7,7,2.80,2.37,5.47,2.34,2.03,2.49,0.19,0.18,4.78,3.15,2.93,2.25,4.47,1.24,1.05,1.54,0.34,0.73,3.43,2.73,
43,core,ydin,4,4,1.90,1.90,3.92,1.61,0.59,0.82,0.16,0.16,2.70,2.74,2.12,2.02,3.88,1.61,0.99,1.26,0.34,0.60,2.52,2.55,
44,corner,nurkka,6,6,3.38,2.50,3.96,1.46,0.43,0.56,0.16,0.20,0.69,1.17,2.99,2.49,3.85,1.43,0.81,1.04,0.37,0.70,0.56,1.15,
45,corridor,käytävä,8,7,3.46,2.60,4.22,1.36,0.54,0.83,0.17,0.17,0.75,1.66,4.29,2.64,4.32,1.27,0.91,1.16,0.25,0.45,0.52,1.02,
46,cottage,mökki,7,5,1.70,1.73,4.88,1.74,0.81,1.35,0.19,0.40,0.39,0.72,4.11,2.47,6.13,1.64,2.75,2.56,0.31,0.65,0.36,0.55,
47,crap,ruikku,4,6,6.13,2.60,1.70,1.33,2.27,2.29,2.63,2.41,3.00,3.08,1.50,1.82,1.35,1.46,1.50,2.05,4.28,2.90,1.18,1.70,
48,crime,rikos,5,5,4.96,2.73,0.89,0.88,3.32,2.76,1.30,2.09,3.41,2.82,3.52,2.42,1.31,1.25,3.81,2.64,1.21,1.79,2.61,2.48,
49,cunt,pillu,4,5,3.90,3.25,0.84,1.20,4.45,3.52,7.92,1.87,4.05,3.19,3.37,2.91,2.07,2.12,2.81,2.94,5.85,2.93,0.93,1.69,
50,damn,pahus,4,5,4.83,2.89,2.50,1.62,2.19,2.17,1.42,2.25,5.51,3.14,2.56,2.45,2.38,1.55,2.01,2.20,1.57,2.00,5.20,2.84,
51,danger,vaara,6,5,3.76,2.58,1.20,1.35,5.32,2.80,0.89,1.90,4.70,2.95,3.37,2.35,1.63,1.53,4.32,2.71,0.64,1.27,4.04,2.58,
52,death,kuolema,5,7,3.79,2.73,0.66,1.17,6.68,2.63,1.19,2.18,3.24,3.08,3.85,2.53,0.97,1.16,6.57,2.55,1.54,2.08,3.97,3.08,
53,debt,velka,4,5,4.68,2.88,1.12,1.09,3.29,2.86,0.73,1.39,2.47,2.51,3.62,2.47,1.81,1.42,2.75,2.42,1.05,1.75,2.52,2.61,
54,depression,masennus,10,8,3.76,2.70,1.04,1.16,5.51,2.90,0.77,1.22,5.74,2.69,3.65,2.60,0.89,0.88,4.99,2.95,1.24,1.77,5.18,2.61,
55,desire,halu,6,4,2.91,2.33,6.12,1.91,4.79,2.85,0.20,0.42,6.41,2.60,4.44,2.42,5.89,1.90,5.48,2.88,1.10,1.59,5.32,2.57,
56,destruction,tuho,11,4,2.38,2.26,1.24,1.32,3.96,2.94,0.69,1.07,2.99,2.63,2.25,2.00,1.16,1.07,4.36,2.57,1.28,1.95,3.58,2.75,
57,dick,mulkku,4,6,4.81,2.89,1.87,1.60,2.51,2.36,4.46,2.78,1.91,2.34,3.09,2.83,1.41,1.33,2.77,2.62,6.22,2.52,1.88,2.35,
58,disappointment,pettymys,14,8,3.53,2.39,1.27,1.10,4.98,2.64,0.65,1.03,6.12,2.62,3.18,2.34,1.41,1.24,5.18,2.78,1.06,1.79,5.39,2.58,
59,discomfort,vaiva,10,5,2.56,2.25,1.51,1.27,3.87,2.59,0.52,1.02,5.24,3.09,3.11,2.29,1.90,1.45,2.60,2.16,0.90,1.43,3.55,2.64,
60,doctor,lääkäri,6,7,3.94,2.47,5.67,2.15,1.88,2.10,0.42,1.36,1.19,2.28,4.26,2.48,5.15,1.82,2.37,2.02,0.34,0.83,0.49,0.94,
61,door,ovi,4,3,5.58,2.72,4.22,1.32,0.64,1.07,0.16,0.17,0.32,0.52,5.98,2.66,4.78,1.34,0.79,0.99,0.29,0.55,0.35,0.60,
62,dream,uni,5,3,4.79,2.51,6.50,1.76,3.93,2.69,0.36,1.06,5.66,3.15,6.29,2.24,7.10,1.70,4.10,2.74,0.29,0.53,3.98,2.97,
63,elevator,hissi,8,5,2.12,2.12,4.12,1.45,0.83,1.52,0.14,0.12,0.51,1.14,3.33,2.47,4.67,1.50,0.88,1.34,0.24,0.32,0.40,0.69,
64,engine,moottori,6,8,2.72,2.22,4.05,1.45,0.63,0.98,0.18,0.26,0.53,1.12,3.83,2.55,4.60,1.38,1.20,1.58,0.26,0.45,0.48,0.91,
65,enjoyment,nautinto,9,8,3.90,2.63,7.39,1.48,5.23,2.77,0.21,0.26,6.53,2.42,3.75,2.49,7.46,1.34,6.48,2.47,0.68,1.15,4.96,2.84,
66,exercise,liikunta,8,8,5.28,2.30,6.27,1.84,2.39,2.47,0.16,0.14,1.96,2.28,5.96,2.34,6.75,1.83,3.32,2.71,0.31,0.53,2.17,2.39,
67,fabric,kangas,6,6,2.22,2.12,4.32,1.47,0.52,0.85,0.16,0.14,0.41,0.69,3.30,2.43,4.69,1.41,1.02,1.45,0.27,0.52,0.36,0.55,
68,faggot,hintti,6,6,2.50,2.49,1.16,1.19,2.80,2.71,5.45,2.80,5.05,3.32,3.11,2.83,1.44,1.49,3.23,2.84,6.59,2.38,2.62,2.50,
69,family,perhe,6,5,6.42,2.41,7.70,1.29,5.61,3.19,0.47,1.55,1.64,2.07,5.90,2.45,7.82,1.38,6.53,2.43,0.21,0.23,1.15,1.66,
70,fart,pieru,4,5,4.12,2.78,2.32,1.60,1.15,1.60,2.06,2.27,2.39,2.78,3.70,2.76,2.42,1.79,1.87,2.13,3.24,2.61,1.55,2.31,
71,father,isä,6,3,4.67,2.92,6.48,2.36,4.65,3.09,0.21,0.28,1.25,2.04,6.86,2.44,7.35,1.86,6.30,2.82,0.19,0.19,0.75,1.53,
72,fear,pelko,4,5,3.53,2.46,1.13,1.30,5.89,2.48,0.47,0.77,6.29,2.86,3.92,2.44,1.56,1.22,5.64,2.84,0.83,1.45,5.63,2.59,
73,field,kenttä,5,6,3.16,2.52,4.46,1.63,0.70,1.19,0.15,0.18,0.60,1.29,3.46,2.45,4.57,1.32,0.97,1.44,0.28,0.50,0.69,1.13,
74,filth,saasta,5,6,3.39,2.55,1.26,1.06,2.23,2.16,1.97,2.33,3.48,2.63,1.64,1.79,1.30,1.12,2.28,2.38,3.41,2.62,2.99,2.57,
75,flag,lippu,4,5,1.92,1.93,4.15,1.58,0.94,1.50,0.30,1.05,0.79,1.66,3.37,2.45,5.04,1.43,1.72,2.02,0.26,0.43,0.41,0.74,
76,food,ruoka,4,5,7.88,1.67,6.43,1.76,2.72,2.78,0.28,0.91,0.87,1.46,7.57,1.88,6.98,1.69,3.43,2.73,0.26,0.48,0.46,1.00,
77,fragrance,tuoksu,9,6,2.81,2.14,5.52,1.91,1.28,1.82,0.13,0.10,2.32,2.61,4.02,2.40,6.64,1.68,4.01,2.81,0.31,0.63,2.80,2.85,
78,fraud,petos,5,5,2.63,2.19,1.35,1.19,2.32,2.22,1.01,1.93,3.60,2.97,2.21,1.97,0.95,0.99,4.87,2.68,1.99,2.60,4.16,2.78,
79,freedom,vapaus,7,6,3.72,2.45,7.58,1.76,5.24,2.85,0.25,0.41,6.22,3.03,3.58,2.48,7.47,1.48,5.32,2.57,0.28,0.43,6.08,2.67,
80,friend,ystävä,6,6,7.18,1.97,7.92,1.20,5.36,2.96,0.32,1.21,2.61,2.68,6.27,2.47,8.08,1.32,6.59,2.36,0.23,0.38,1.86,2.31,
81,fuck,vittu,4,5,6.77,2.55,1.65,1.73,3.76,2.82,5.69,3.05,4.78,2.86,6.79,2.81,2.04,1.98,3.74,3.17,6.05,2.81,2.44,2.71,
82,funeral,hautajaiset,7,11,2.35,2.14,0.86,0.97,5.70,3.11,1.09,1.98,1.58,2.00,2.31,2.07,1.28,1.30,5.93,2.70,1.03,1.55,1.45,2.04,
83,gift,lahja,4,5,3.37,2.38,6.72,1.98,3.25,2.69,0.16,0.15,1.45,2.00,3.82,2.41,7.05,1.64,3.73,2.74,0.23,0.31,1.04,1.59,
84,git,typerys,3,7,2.99,2.50,1.83,1.48,1.84,1.93,3.41,2.64,4.57,3.06,2.91,2.40,1.92,1.44,2.66,2.27,3.71,2.70,3.50,2.75,
85,glass,lasi,5,4,5.20,2.81,4.07,1.37,0.71,1.02,0.21,0.33,0.75,1.71,5.85,2.67,4.73,1.39,1.12,1.50,0.25,0.41,0.33,0.41,
86,glory,kunnia,5,6,2.13,1.95,6.75,1.91,4.18,2.86,0.31,0.66,6.32,2.22,2.56,2.08,6.18,1.96,4.36,2.79,0.35,0.59,5.79,2.61,
87,grave,hauta,5,5,1.83,1.65,1.17,1.26,3.69,2.93,0.52,0.92,1.16,1.94,2.37,2.19,1.76,1.71,4.03,2.76,1.00,1.57,0.82,1.36,
88,grief,murhe,5,5,2.63,2.21,1.19,1.45,5.46,2.89,0.66,1.37,5.80,2.93,2.90,2.26,1.30,1.12,4.82,2.80,0.95,1.79,5.09,2.82,
89,guilt,syyllisyys,5,10,3.43,2.37,1.29,1.25,4.86,2.90,0.63,1.24,6.11,2.78,2.65,2.11,1.66,1.51,5.13,2.69,1.11,1.70,5.53,2.59,
90,habit,tapa,5,4,3.54,2.51,3.64,1.71,1.34,1.64,0.47,1.14,4.10,3.21,3.91,2.59,4.35,1.40,1.30,1.55,0.67,1.38,4.25,2.77,
91,hammer,vasara,6,6,2.02,2.05,3.60,1.55,0.77,1.07,0.45,1.33,0.30,0.40,2.48,2.17,4.23,1.32,0.75,0.97,0.28,0.46,0.27,0.34,
92,hate,viha,4,4,5.03,2.62,0.76,1.03,6.60,2.44,2.77,2.78,6.60,2.57,4.20,2.50,1.24,1.36,6.52,2.51,1.50,2.01,5.46,2.85,
93,hell,helvetti,4,8,3.62,2.69,0.96,1.24,3.50,2.83,1.92,2.57,6.56,2.76,5.31,2.78,1.27,1.36,4.37,2.84,3.91,2.97,5.81,2.90,
94,holiday,loma,7,4,5.30,2.22,6.83,2.11,3.59,2.89,0.19,0.18,2.49,2.58,6.24,2.29,7.65,1.69,5.04,2.71,0.22,0.27,2.65,2.69,
95,honesty,rehellisyys,7,11,4.02,2.46,7.38,1.82,4.60,2.97,0.28,0.73,6.00,2.73,4.00,2.37,7.51,1.63,5.46,2.50,0.39,0.82,6.06,2.46,
96,honey,hunaja,5,6,3.06,2.60,5.50,1.62,1.80,2.12,0.20,0.22,0.77,1.30,2.32,2.18,5.44,1.72,1.56,1.97,0.28,0.50,0.60,1.31,
97,hope,toivo,4,5,3.98,2.47,7.07,2.10,5.10,2.77,0.19,0.42,6.85,2.28,3.49,2.29,7.34,1.53,5.34,2.62,0.25,0.38,6.32,2.41,
98,horror,kauhu,6,5,3.15,2.54,1.34,1.34,4.36,2.89,0.70,1.31,5.86,2.65,3.11,2.33,1.85,1.54,5.09,2.98,0.74,1.22,5.43,2.62,
99,hospital,sairaala,8,8,3.56,2.47,3.74,2.34,2.89,2.63,0.26,0.48,0.49,0.93,3.75,2.57,3.93,2.19,3.28,2.37,0.45,0.86,0.45,0.83,
100,hostage,panttivanki,7,11,1.90,2.03,0.90,1.01,3.51,2.77,0.79,1.48,2.43,2.68,1.68,1.77,1.12,1.15,3.89,2.81,1.12,1.68,1.08,1.61,
101,house,talo,5,4,6.05,2.64,5.25,1.71,1.40,1.93,0.14,0.10,0.86,2.01,5.40,2.58,5.75,1.71,1.97,2.26,0.25,0.33,0.32,0.40,
102,illness,sairaus,7,7,4.00,2.30,1.15,0.93,3.80,2.55,0.74,1.34,2.93,2.57,4.11,2.47,1.19,1.08,4.82,2.63,1.15,1.78,2.72,2.58,
103,improvement,parannus,11,8,3.78,2.45,6.75,1.85,2.56,2.58,0.27,0.72,5.11,2.92,2.33,1.98,6.88,1.75,3.90,2.67,0.32,0.55,4.48,2.81,
104,industry,teollisuus,8,10,2.33,2.07,3.75,1.75,0.77,1.19,0.20,0.25,2.20,2.93,3.02,2.42,3.83,1.77,1.03,1.22,0.36,0.68,1.96,2.43,
105,inhabitant,asukas,10,6,1.54,1.67,3.85,1.60,0.77,1.20,0.44,1.24,2.21,2.33,3.44,2.46,4.66,1.23,1.04,1.29,0.25,0.34,0.76,1.30,
106,injury,vamma,6,5,3.22,2.34,1.51,1.23,3.31,2.49,0.34,0.52,2.02,2.27,2.76,2.17,1.60,1.33,3.10,2.57,1.87,2.26,1.57,1.92,
107,insult,loukkaus,6,8,3.51,2.42,1.31,1.12,4.66,2.74,1.95,2.52,5.19,2.97,3.00,2.22,1.40,1.37,4.65,2.87,1.67,2.34,4.96,2.67,
108,intercourse,yhdyntä,11,7,2.98,2.45,5.60,1.82,4.47,2.88,1.10,1.83,1.74,2.34,2.99,2.49,5.89,2.09,5.22,3.00,2.29,2.59,1.33,2.13,
109,jelly,hyytelö ,5,8,2.23,2.20,4.79,1.78,0.68,0.97,0.20,0.24,0.57,1.03,1.67,1.75,4.12,1.67,0.92,1.27,0.53,1.14,0.50,0.78,
110,joke,vitsi,4,5,5.87,2.48,6.48,1.95,3.81,2.95,0.34,0.75,5.46,2.71,5.49,2.46,6.65,1.63,3.27,2.48,0.61,1.00,3.06,2.68,
111,joy,ilo,3,3,3.06,2.34,7.64,1.43,5.70,2.61,0.19,0.25,5.86,3.10,4.95,2.40,8.00,1.20,6.03,2.60,0.28,0.52,5.27,2.84,
112,justice,oikeus,7,6,2.96,2.31,6.59,1.92,4.37,2.71,0.33,0.53,5.97,2.60,3.24,2.29,6.42,1.71,3.68,2.64,0.41,0.79,5.15,2.72,
113,kettle,pannu,6,5,5.17,2.87,4.51,1.35,0.80,1.14,0.16,0.17,0.51,1.24,2.72,2.32,4.48,1.26,0.88,1.20,0.40,0.77,0.41,0.88,
114,kiss,suudelma,4,8,6.20,2.24,7.58,1.27,5.84,2.66,0.36,0.87,1.61,2.27,4.39,2.70,8.01,1.31,7.20,2.13,0.41,0.71,1.15,1.70,
115,laughter,nauru,8,5,4.71,2.81,7.88,1.21,5.58,2.76,0.20,0.38,4.07,3.11,5.89,2.32,7.70,1.38,5.78,2.58,0.43,1.06,2.62,2.72,
116,lawn,nurmikko,4,8,2.25,2.18,4.21,1.51,0.54,0.77,0.14,0.14,0.50,1.16,3.91,2.37,5.59,1.73,1.51,1.84,0.26,0.48,0.46,1.09,
117,leader,johtaja,6,7,3.44,2.42,5.14,1.84,2.20,2.22,0.40,0.88,3.48,3.12,3.49,2.54,4.37,1.50,1.79,2.07,0.38,0.60,1.21,1.84,
118,length,pituus,6,6,3.40,2.45,4.28,1.07,0.52,0.69,0.30,0.79,3.01,3.25,4.38,2.50,4.81,1.44,1.35,1.65,0.63,1.14,1.72,2.31,
119,level,taso,5,4,3.07,2.49,4.05,1.34,0.78,1.40,0.17,0.20,3.43,3.09,2.50,2.08,4.24,1.43,1.03,1.29,0.35,0.75,2.92,2.77,
120,life,elämä,4,5,5.31,2.73,6.75,1.84,5.04,2.92,0.20,0.41,5.48,2.86,5.77,2.46,7.33,1.65,5.42,2.87,0.28,0.44,4.93,3.09,
121,loneliness,yksinäisyys,10,11,3.04,2.44,1.06,0.93,5.28,3.05,0.79,1.47,6.31,2.66,3.38,2.44,1.47,1.51,5.44,2.80,1.19,1.79,5.59,2.66,
122,loser,häviäjä,5,7,5.12,2.79,1.78,1.42,2.98,2.46,2.72,2.52,5.15,2.88,2.84,2.23,2.14,1.40,3.67,2.54,2.13,2.20,2.72,2.36,
123,loss,menetys,4,7,3.28,2.33,1.24,1.14,4.70,3.18,0.84,1.80,5.04,2.93,2.57,2.09,1.28,1.39,5.61,2.77,0.85,1.47,4.94,2.77,
124,loyalty,uskollisuus,7,11,3.03,2.42,7.19,1.46,4.61,2.94,0.23,0.35,6.29,2.30,3.53,2.38,7.47,1.66,5.86,2.71,0.35,0.79,6.11,2.49,
125,machine,kone,7,4,3.39,2.58,3.95,1.37,0.53,0.76,0.26,0.41,0.90,1.88,4.96,2.66,4.48,1.51,0.98,1.24,0.30,0.53,0.48,0.94,
126,malice,ilkeys,6,6,1.34,1.60,1.42,1.56,3.14,2.97,1.24,2.07,4.87,3.10,2.93,2.26,1.22,1.08,4.47,2.81,1.82,2.30,5.36,2.75,
127,medicine,lääke,8,5,3.95,2.58,6.02,2.02,1.74,2.00,0.17,0.24,0.77,1.03,4.52,2.49,5.16,2.10,2.37,2.18,0.47,0.85,0.64,0.98,
128,milk,maito,4,5,5.76,2.60,4.82,1.67,0.58,0.75,0.19,0.27,0.30,0.36,6.63,2.41,5.82,1.90,1.50,1.82,0.28,0.61,0.39,0.67,
129,miracle,ihme,7,4,2.28,2.03,7.27,1.85,4.34,2.90,0.19,0.26,6.34,2.95,3.98,2.59,6.37,1.90,4.50,2.78,0.36,0.76,5.72,2.62,
130,misery,kurjuus,6,7,2.36,2.03,0.93,0.87,5.14,2.83,0.96,1.69,5.67,2.85,2.23,2.00,1.10,0.98,4.30,2.78,1.01,1.50,5.08,2.59,
131,moment,hetki,6,5,4.02,2.63,4.72,1.60,1.47,2.05,0.20,0.43,5.28,3.12,4.41,2.71,5.21,1.43,2.40,2.67,0.24,0.42,5.53,2.81,
132,money,raha,5,4,7.58,1.96,6.10,2.10,3.67,2.95,0.54,1.30,0.93,1.94,7.11,2.12,5.84,1.94,3.18,2.59,0.61,1.12,0.66,1.17,
133,mosquito,sääski,8,6,1.77,1.79,2.45,1.56,0.85,1.19,0.27,0.37,0.29,0.31,2.68,2.30,2.20,1.69,1.98,2.43,0.68,1.34,0.39,0.71,
134,mother,äiti,6,4,5.78,2.92,7.42,1.89,5.20,3.11,0.25,0.79,1.07,1.96,7.70,1.93,8.06,1.27,6.94,2.43,0.18,0.19,0.80,1.44,
135,murderer,murhaaja,8,8,2.88,2.46,0.59,1.35,5.49,2.71,2.79,3.03,2.53,2.87,2.61,2.28,0.70,0.80,5.01,2.76,2.88,2.81,1.37,1.75,
136,mushroom,sieni,8,5,2.89,2.51,4.07,1.59,0.62,0.84,0.34,1.22,0.42,0.84,2.52,2.32,4.05,1.63,0.96,1.23,0.64,1.18,0.41,0.69,
137,music,musiikki,5,8,7.29,2.13,6.80,1.82,3.85,3.08,0.20,0.26,3.42,3.05,7.19,2.13,7.39,1.59,5.57,2.80,0.25,0.37,2.58,2.66,
138,nature,luonto,6,6,3.42,2.59,6.19,1.89,1.88,2.07,0.19,0.33,2.80,2.79,4.19,2.45,6.52,1.90,3.88,2.70,0.28,0.51,1.81,2.31,
139,nightmare,painajainen,9,11,3.56,2.30,1.37,1.10,4.47,2.71,0.63,1.13,5.29,2.92,3.51,2.30,1.43,1.13,4.75,2.66,0.97,1.62,4.29,2.98,
140,nob,kulli,3,5,4.11,2.98,2.03,1.72,2.04,2.23,3.89,2.34,3.09,3.00,2.73,2.70,2.13,1.93,2.39,2.53,5.20,3.07,0.89,1.67,
141,office,toimisto,6,8,3.86,2.66,4.13,1.73,0.78,1.26,0.15,0.12,0.62,1.31,2.76,2.20,4.17,1.44,0.89,1.23,0.26,0.36,0.71,1.27,
142,opinion,mielipide,7,9,5.02,2.59,5.30,1.73,3.04,2.57,0.46,1.24,6.61,2.45,4.87,2.60,5.62,1.45,4.07,2.72,0.43,0.78,5.13,2.78,
