ID,English Word,Finnish Word,English Word Length,Finnish Word Length,English Familiarity mean,English Familiarity SD,English Valence mean,English Valence SD,English Emotional Charge mean,English Emotional Charge SD,English Offensiveness mean,English Offensiveness SD,English Concreteness mean,English Concreteness SD,Finnish Familiarity mean,Finnish Familiarity SD,Finnish Valence mean,Finnish Valence SD,Finnish Emotional Charge mean,Finnish Emotional Charge SD,Finnish Offensiveness mean,Finnish Offensiveness SD,Finnish Concreteness mean,Finnish Concreteness SD,
1,abuse,solvaus,5,7,3.42,2.60,0.69,0.81,5.19,2.93,2.36,2.92,4.21,2.99,1.42,1.45,1.33,1.17,3.81,2.70,1.95,2.48,4.51,2.79,
2,acceptance,hyväksyntä,10,10,2.75,2.24,6.58,1.71,3.88,2.74,0.20,0.36,5.53,2.85,2.90,2.22,6.82,1.69,4.51,2.55,0.38,0.67,5.74,2.48,
3,accident,onnettomuus,8,11,4.51,2.26,1.65,1.24,3.71,2.65,0.52,1.17,2.40,2.21,3.36,2.39,1.11,1.15,5.41,2.53,0.87,1.50,2.37,2.48,
4,ache,särky,4,5,4.79,2.37,2.04,1.49,2.60,2.54,0.25,0.33,3.59,3.25,3.97,2.55,1.65,1.37,3.78,2.78,0.54,1.15,3.10,2.73,
5,achievement,saavutus,11,8,3.71,2.36,7.49,1.29,5.04,2.69,0.32,0.85,5.40,2.99,3.30,2.24,6.65,1.75,3.77,2.74,0.35,0.82,4.48,2.69,
6,adventure,seikkailu,9,9,2.91,2.21,6.16,1.86,3.30,2.71,0.22,0.44,4.55,3.06,2.73,1.95,6.26,1.73,3.91,2.62,0.29,0.45,3.75,2.74,
7,affection,hellyys,9,7,3.69,2.39,7.61,1.25,5.69,2.78,0.20,0.27,5.68,2.96,3.36,2.46,7.93,1.41,6.11,2.73,0.24,0.30,4.91,2.62,
8,agony,tuska,5,5,2.33,2.12,0.76,0.78,5.15,2.81,0.73,1.17,5.11,3.11,3.19,2.42,1.02,1.27,5.49,2.82,1.08,1.58,5.24,2.88,
9,agreement,sovinto,9,7,3.68,2.37,6.51,1.56,2.84,2.52,0.22,0.42,5.06,2.70,2.84,2.11,6.79,1.90,4.45,2.80,0.27,0.43,4.58,2.86,
10,alley,kuja,5,4,2.45,2.24,3.50,1.43,0.77,1.17,0.22,0.40,0.86,1.70,2.47,2.18,4.05,1.42,1.13,1.45,0.30,0.65,0.58,1.07,
11,anger,kiukku,5,6,4.11,2.55,1.15,1.03,6.25,2.49,1.16,2.01,5.91,3.21,3.17,2.26,2.07,1.53,4.67,2.99,0.95,1.44,5.12,2.65,
12,anxiety,ahdistus,7,8,2.82,2.39,1.59,1.51,4.74,2.88,0.39,0.67,6.17,2.84,3.21,2.45,1.02,0.95,5.48,2.78,1.19,1.84,5.95,2.42,
13,appliance,laite,9,5,2.40,2.21,4.26,1.28,0.72,1.15,0.15,0.14,1.03,2.03,3.39,2.42,4.29,1.44,0.77,0.98,0.32,0.72,0.61,1.11,
14,army,armeija,4,7,3.38,2.52,3.46,2.18,2.18,2.35,0.32,0.69,1.23,1.98,4.34,2.67,4.08,1.96,3.24,2.55,0.43,0.96,1.03,1.65,
15,arse,perse,4,5,5.34,2.73,2.15,1.73,2.06,2.40,3.29,2.66,1.99,2.44,5.62,2.77,2.89,1.97,2.44,2.52,4.29,2.73,0.71,1.24,
16,art,taide,3,5,3.13,2.41,5.68,1.76,1.89,2.28,0.26,0.53,3.69,3.38,3.73,2.62,5.72,1.99,3.16,2.74,0.28,0.49,3.50,2.88,
17,asshole,persläpi,7,8,4.54,2.91,1.35,1.34,3.01,2.71,5.21,2.73,3.08,3.01,1.49,1.94,1.26,1.12,2.53,2.71,5.92,2.41,3.32,2.88,
18,baby,vauva,4,5,4.99,2.81,6.53,1.68,4.23,2.94,0.34,0.84,0.49,0.78,4.49,2.67,7.13,1.67,5.44,2.81,0.55,1.39,0.51,1.05,
19,barrel,tynnyri,6,7,1.51,1.74,3.80,1.61,0.62,1.04,0.22,0.52,0.56,1.16,1.69,1.78,4.12,1.54,0.89,1.34,0.78,1.40,0.34,0.45,
20,bastard,äpärä,7,5,5.30,2.77,1.34,1.46,3.29,2.64,5.11,2.89,4.24,3.05,1.47,1.87,1.50,1.54,2.87,2.67,5.81,2.54,2.77,2.73,
