APPENDIX:			
			
	Spanish name	English name	Objective AoA
1	ABEJA               	Bee                 	173
2	ACELGAS             	Celery              	185
3	ACORDEÓN            	Accordion           	136
4	ÁGUILA              	Eagle               	72
5	AGUJA               	Needle              	136
6	ALCACHOFA           	Artichoke           	185
7	ALCANTARILLA        	Drain               	76
8	ALICATES            	Pliers              	102
9	ALMOHADA            	Pillow              	61
10	ANCLA               	Anchor              	87
11	ANILLO              	Ring                	87
12	ANTIFAZ             	Mask                	126
13	ANTORCHA            	Torch               	136
14	ARAÑA               	Spider              	87
15	ÁRBOL               	Tree                	30
16	ARDILLA             	Squirrel            	72
17	ARPA                	Harp                	102
18	ATAÚD               	Coffin              	150
19	AUTOBÚS             	Bus                 	43
20	AVESTRUZ            	Ostrich             	76
21	AVIÓN               	Airplane            	30
22	BAILARINA           	Dancer-girl         	54
23	BALANZA             	Balance             	136
24	BALAS               	Bullets             	102
25	BALÓN               	Ball                	87
26	BALÓN (DE RUGBY)    	Football            	102
27	BANCO               	Bench               	136
28	BANDERA             	Flag                	36
29	BARCA               	Small boat          	102
30	BARCO (DE VELA)     	Sailboat            	30
31	BARCO               	Boat                	30
32	BARRIL              	Barrel              	76
33	BASTÓN              	Walking stick       	54
34	BATE                	Baseball            	82
35	BEBÉ                	Baby                	126
36	BICICLETA           	Bicycle             	30
37	BIGOTE              	Moustache           	114
38	BLUSA               	Blouse              	185
39	BOINA               	Beret               	136
40	BOLÍGRAFO           	Pen                 	49
41	BOLSO               	Pocketbook          	136
42	BOMBILLA            	Light bulb          	66
43	BOTA                	Boot                	54
44	BOTELLA             	Bottle              	36
45	BOTÓN               	Button              	36
46	BOXEADOR            	Boxer               	82
47	BRAZO               	Arm                 	82
48	BRUJA               	Witch               	49
49	BÚHO                	Owl                 	61
50	BURRO               	Donkey              	61
51	CABALLITO (DE MAR)  	Sea horse           	54
52	CABALLO             	Horse               	30
53	CABRA               	Goat                	136
54	CADENA              	Chain               	66
55	CAJA                	Box                 	43
56	CALABAZA            	Pumpkin             	136
57	CALCETÍN            	Sock                	36
58	CAMA                	Bed                 	36
59	CAMELLO             	Camel               	49
60	CAMIÓN              	Truck               	36
61	CAMISA              	Shirt               	136
62	CAMPANA             	Bell                	36
63	CANDADO             	Lock                	82
64	CANGURO             	Kangaroo            	72
65	CANOA               	Canoe               	126
66	CAÑÓN               	Cannon              	93
