APPENDIX:			
			
	Spanish name	English name	Objective AoA
67	CARACOL             	Snail               	36
68	CARRITO             	Wagon               	160
69	CARTA               	Card                	82
70	CASA                	House               	30
71	CASCADA             	Waterfall           	136
72	CASCO (DE RUGBY)    	Football helmet     	102
73	CASETA              	Bathing hut         	102
74	CASTILLO            	Castle              	54
75	CAZO                	Pot                 	160
76	CEBOLLA             	Onion               	114
77	CEBRA               	Zebra               	61
78	CENICERO            	Ashtray             	87
79	CEPILLO             	Brush               	93
80	CERDO               	Pig                 	54
81	CEREZA              	Cherry              	114
82	CERILLA             	Match               	76
83	CESTA               	Basket              	43
84	CHALECO             	Vest                	102
85	CHAQUETA            	Jacket              	160
86	CHINCHETA           	Drawing pin         	136
87	CIERVO              	Deer                	102
88	CIGARRO             	Cigarette           	102
89	CINTURÓN            	Belt                	87
90	CISNE               	Swan                	93
91	CLAVO               	Nail                	82
92	COCHE               	Car                 	30
93	COCINA              	Stove               	102
94	COCODRILO           	Alligator           	136
95	COHETE              	Rocket              	66
96	COLLAR              	Necklace            	43
97	COLUMPIO            	Swing               	43
98	COMETA              	Kite                	49
99	CÓMODA              	Dresser             	185
100	CONEJO              	Rabbit              	36
101	COPA                	Wineglass           	102
102	CORAZÓN             	Heart               	36
103	CORBATA             	Tie                 	61
104	CORONA              	Crown               	54
105	CUBO (DE BASURA)    	Garbage bin         	126
106	CUCARACHA           	Beetle              	173
107	CUCHARA             	Spoon               	30
108	CUCHILLO            	Knife               	36
109	CUENCO              	Bowl                	173
110	CUERDA              	Rope                	36
111	CUEVA               	Cave                	93
112	DEDAL               	Thimble             	126
113	DEDO (DE LA MANO)   	Finger              	36
114	DEDO (DEL PIE)      	Toe                 	36
115	DESTORNILLADOR      	Screwdriver         	82
116	DINERO              	Money               	72
117	DIPLOMA             	Diploma             	136
118	ELEFANTE            	Elephant            	30
119	ENCHUFE             	Plug                	136
120	ESCALERA            	Ladder              	36
121	ESCOBA              	Broom               	36
122	ESCOPETA            	Shotgun             	102
123	ESCORPIÓN           	Scorpion            	126
124	ESCRITORIO          	Desk                	185
125	ESPADA              	Sword               	54
126	ESPÁRRAGO           	Asparagus           	185
127	ESQUELETO           	Skeleton            	66
128	ESTRELLA            	Star                	36
129	FÁBRICA             	Factory             	102
130	FALDA               	Skirt               	82
131	FELPUDO             	Plush               	160
132	FLAUTA              	Flute               	72
133	FLECHA              	Arrow               	66
134	FLOR                	Flower              	36
135	FLOTADOR            	Rubber ring         	93
136	FOCA                	Seal                	61
137	FORMÓN (CINCEL)     	Chisel              	185
138	FOTO                	Photo               	93
139	FREGADERO           	Kitchen sink        	150
140	FRESA               	Strawberry          	49
141	FUENTE              	Fountain            	93
142	GAFAS               	Glasses             	30
143	GALLINA             	Chicken             	43
144	GALLO               	Rooster             	102
145	GATO                	Cat                 	36
146	GLOBO               	Balloon             	30
147	GORILA              	Gorilla             	72
148	GORRA               	Cap                 	150
149	GRANERO             	Barn                	185
150	GUANTE              	Glove               	61
151	GUITARRA            	Guitar              	49
152	HACHA               	Axe                 	76
153	HADA                	Fairy               	126
154	HELICÓPTERO         	Helicopter          	61
155	HILO                	Spool of thread     	49
156	HOGUERA             	Bonfire             	150
157	HOJA                	Leaf                	49
158	HORMIGA             	Ant                 	102
159	HÓRREO              	Granary             	114
160	IGLESIA             	Church              	72
161	IMPERDIBLE          	Safety pin          	136
162	INTERRUPTOR         	Light switch        	150
163	JARRA               	Pitcher             	150
164	JARRÓN              	Vase                	72
165	JERINGUILLA         	Syringe             	126
166	JERSEY              	Sweater             	93
167	JIRAFA              	Giraffe             	49
168	LADRÓN              	Thieving            	93
169	LÁMPARA             	Lamp                	61
170	LANZA               	Lance               	136
171	LÁPIZ               	Pencil              	36
172	LÁTIGO              	Whip                	150
173	LAZO                	Bow                 	36
174	LECHERA             	Milk can            	173
175	LECHUGA             	Lettuce             	54
176	LEÓN                	Lion                	36
177	LEOPARDO            	Leopard             	93
178	LIBRO               	Book                	36
179	LIMA                	Nail-file           	173
180	LIMÓN               	Lemon               	49
181	LLAVE               	Key                 	36
182	LLAVE INGLESA       	Wrench              	160
183	LUNA                	Moon                	49
184	LUPA                	Lens                	61
185	MAGO                	Magician            	102
186	MAÍZ                	Corn                	54
187	MALETA              	Suitcase            	49
188	MANO                	Hand                	36
189	MANOPLA             	Mitten              	160
190	MANZANA             	Apple               	36
191	MAPA                	Map                 	61
192	MAPACHE             	Raccoon             	173
193	MARIONETA           	Marionette          	136
194	MARIPOSA            	Butterfly           	36
195	MARTILLO            	Hammer              	36
196	MECEDORA            	Rocking chair       	150
197	MECHERO             	Cigarette lighter   	93
198	MÉDICO              	Doctor              	114
199	MESA                	Table               	36
200	MOFETA              	Skunk               	93
201	MOLINO              	Windmill            	66
202	MONJA               	Nun                 	72
203	MONO                	Monkey              	43
204	MONTAÑA             	Mountain            	43
205	MOSCA               	Fly                 	136
206	MOTO                	Motorcycle          	49
207	MUELLE              	Soft                	136
208	MUÑECO (DE NIEVE)   	Snowman             	49
209	MURO                	Wall                	114
210	NARANJA             	Orange              	61
211	NARIZ               	Nose                	61
212	NUBE                	Cloud               	102
213	OJO                 	Eye                 	30
214	ORDENADOR           	Computer            	54
215	OREJA               	Ear                 	102
216	ORUGA               	Caterpiller         	185
217	OSO                 	Bear                	61
218	OVEJA               	Sheep               	61
219	PÁJARO              	Bird                	49
220	PALMERA             	Palm tree           	72
221	PANCARTA            	Placard             	136
222	PANTALÓN            	Pants               	36
223	PAPÁ NOEL           	Father Christmas    	36
224	PAQUETE             	Packet              	126
225	PARAGUAS            	Umbrella            	36
226	PATATA              	Potato              	93
227	PATÍN               	Roller skate        	136
228	PATO                	Duck                	36
229	PAVO REAL           	Peacock             	102
230	PAYASO              	Clown               	36
231	PEINE               	Comb                	36
232	PELOTA              	Ball                	36
233	PEONZA              	Top                 	93
234	PERA                	Pear                	43
235	PERCHA              	Hanger              	61
236	PERIÓDICO           	Newspaper           	54
237	PERRO               	Dog                 	36
238	PEZ                 	Fish                	36
239	PIANO               	Piano               	61
240	PIE                 	Foot                	36
241	PIERNA              	Leg                 	72
242	PIMIENTO            	Pepper              	150
243	PINCEL              	Paintbrush          	61
244	PINGÜINO            	Penguin             	54
245	PINZA               	Clothespin          	49
246	PIÑA                	Pineapple           	54
247	PIPA                	Pipe                	61
248	PIRATA              	Pirate              	102
249	PISTOLA             	Gun                 	36
250	PLANCHA             	Iron                	61
251	PLÁTANO             	Banana              	30
252	PLUMA               	Pen                 	82
253	PODIO               	Podium              	136
254	POLICÍA             	Policeman           	49
255	POMO                	Doorknob            	150
256	POZO                	Well                	93
257	PRISMÁTICOS         	Binoculars          	72
258	PUERTA              	Door                	30
259	PURO                	Cigar               	102
260	RADIO               	Radio               	54
261	RANA                	Frog                	136
262	RAQUETA             	Tennis racket       	54
263	RATÓN               	Mouse               	36
264	RED                 	Net                 	114
265	REGADERA            	Watering can        	49
266	REGLA               	Ruler               	72
267	RELOJ (DE MESA)     	Clock               	30
268	RELOJ (DE PULSERA)  	Watch               	36
269	RINOCERONTE         	Rhinoceros          	72
270	ROBOT               	Robot               	61
271	RODILLO             	Rolling pin         	173
272	RUECA               	Spinning Wheel      	185
273	RUEDA               	Wheel               	36
274	SALERO              	Saltshaker          	136
275	SALTAMONTES         	Grasshopper         	173
276	SANDÍA              	Watermelon          	66
277	SANDWICH            	Sandwich            	114
278	SARTÉN              	Frying pan          	66
279	SEMÁFORO            	Traffic light       	49
280	SERPIENTE           	Snake               	43
281	SETA                	Mushroom            	54
282	SIERRA              	Saw                 	126
283	SILBATO             	Whistle             	43
284	SILLA               	Chair               	36
285	SOFÁ                	Couch               	102
286	SOL                 	Sun                 	30
287	SOMBRERO            	Hat                 	61
288	SOMBRILLA           	Parasol             	72
289	SUJETADOR           	Brassiere           	126
290	TABLA (DE PLANCHAR) 	Ironing board       	102
291	TABURETE            	Stool               	173
292	TALADRO             	Drill               	136
293	TAMBOR              	Drum                	43
294	TANQUE              	Tank                	136
295	TAZA                	Cup                 	66
296	TELÉFONO            	Telephone           	36
297	TELEVISIÓN          	Television          	36
298	TENEDOR             	Fork                	30
299	TETERA              	Kettle              	185
300	TIGRE               	Tiger               	72
301	TIJERAS             	Scissors            	36
302	TOCADISCOS          	Record player       	136
303	TOLDO               	Sunblind            	136
304	TOMATE              	Tomato              	61
305	TORERO              	Bullfighter         	61
306	TORNILLO            	Screw               	102
307	TORO                	Bull                	61
308	TORTUGA             	Turtle              	36
309	TOSTADOR            	Toaster             	72
310	TREN                	Train               	36
311	TRENZA              	Plait               	136
312	TRINEO              	Sled                	76
313	TROMBÓN             	French horn         	150
314	TROMPETA            	Trumpet             	72
315	TUERCA              	Nut                 	136
316	TUMBA               	Tomb                	136
317	UVAS                	Grapes              	43
318	VACA                	Cow                 	36
319	VALLA               	Fence               	114
320	VASO                	Glass               	36
321	VELA                	Candle              	49
322	VENTANA             	Window              	126
323	VESTIDO             	Dress               	43
324	VIOLÍN              	Violin              	160
325	ZANAHORIA           	Carrot              	43
326	ZAPATILLAS          	Slippers            	43
327	ZAPATO              	Shoe                	36
328	ZORRO               	Fox                 	136
			
			
			
			
