Table 1. Age bands.		
		
Age bands in months	Subjects:	Mean Age in months
	No. of Females and No. of Males 	
28-33	20 (10+10)	30
34-39	20 (10+10)	36
40-45	20 (10+10)	43
46-51	20 (10+10)	49
52-57	20 (10+10)	54
58-63	20 (10+10)	61
64-69	20 (10+10)	66
70-75	20 (10+10)	72
74-79	20 (10+10)	76
80-85	20 (10+10)	82
85-90	20 (10+10)	87
91-96	20 (10+10)	93
97-108	20 (10+10)	102
108-119	20 (10+10)	114
120-131	20 (10+10)	126
132-143	20 (10+10)	136
144-155	20 (10+10)	150
156-167	20 (10+10)	160
168-179	20 (10+10)	173
