unigram	unigram_freq
leef	108
enige	106
geword	105
dogter	105
gelede	105
familie	104
dinge	104
haal	103
loop	102
stel	102
lê	102
betaal	101
geluk	101
trou	100
agter	99
besoek	98
ver	98
dieselfde	98
daarvoor	98
behoort	97
gevra	97
madame	97
dokter	96
liewer	96
maklik	96
beteken	95
wys	95
uur	95
verkoop	94
here	94
jong	93
geskryf	92
siek	92
vroue	91
daaroor	91
dr	91
drie	91
hand	91
saak	90
pad	90
deel	90
kos	90
verlaat	89
gibbs	89
noem	89
oupa	89
oorlog	88
verder	88
hande	88
sleg	88
brief	88
ooit	88
4	87
suster	87
tussen	86
sulke	86
franz	86
steeds	86
hoogheid	85
mos	85
the	85
oop	85
regte	83
huistoe	83
water	83
trek	83
stuur	83
enigste	83
gek	83
dra	83
verwag	82
agent	82
koning	82
reeds	82
benodig	82
gevind	82
gereed	82
sterf	82
skuld	82
geval	81
broer	81
daarmee	80
vanaand	80
manne	80
dus	80
moeilik	80
aarde	80
besluit	80
klaar	79
luitenant	79
eintlik	79
verby	79
10	79
graaf	79
gegee	78
lag	78
myne	78
keiser	77
binne	77
5	77
dames	76
ten	76
stem	76
lig	75
idee	75
woord	75
baas	74
daarom	74
gesig	74
gepraat	74
totsiens	73
volg	73
oomblik	73
arme	73
dom	72
val	72
besig	71
buite	71
haai	71
von	70
gaaf	70
bed	70
gehou	69
wens	69
hulp	69
vertrou	69
skool	69
probleem	69
musiek	69
moontlik	69
weke	68
asb	68
bo	67
prins	67
son	67
bel	67
ding	67
rus	67
mans	67
eer	67
aanvaar	66
koop	66
naby	66
gestuur	65
geniet	65
meisies	65
heel	65
hoeveel	65
eens	65
sorg	65
dame	65
week	65
pappa	64
antwoord	64
a	64
maal	64
gegaan	64
vol	64
skilder	64
keiserin	64
daaraan	63
jouself	63
koffie	63
rede	63
terugkom	62
martin	62
waarheid	62
sommer	62
parys	62
sodat	62
bestaan	62
vertrek	62
mcgee	61
verseker	61
myself	61
snaaks	61
bewys	61
anne	61
ouers	61
you	60
gebring	60
mev	60
woon	60
minste	60
schiller	59
hul	59
swaar	59
terwyl	59
plan	59
minute	59
haat	59
voorstel	59
oom	59
geheim	59
film	59
mee	58
baba	58
manier	58
dans	58
tel	58
welkom	58
tante	58
slegte	57
huil	57
hemel	57
sterk	57
beloof	57
veg	57
he	57
gravin	57
beweeg	57
hoef	57
ernstig	57
storie	57
bemin	56
ophou	56
woorde	56
mevrou	56
trots	56
warm	56
ongelukkig	56
minder	56
tony	56
darem	55
nê	55
moeg	55
dikwels	55
per	55
asof	55
draai	54
amper	54
gewerk	54
kort	54
kwaad	54
hard	54
stad	53
homself	53
maande	53
nene	53
volgens	53
generaal	53
oud	53
1	53
alreeds	53
lug	52
ontvang	52
red	52
wonder	52
reis	51
heidi	51
getroud	51
huwelik	51
joune	51
presies	51
albei	51
jare	51
geloof	51
heeltemal	51
bevel	51
gevoel	50
lang	50
ry	50
vry	50
pragtige	50
byna	50
franse	50
birkut	50
vas	50
prinses	50
besef	50
geleer	49
bekommerd	49
gewees	49
vier	49
vuur	48
verdien	48
klomp	48
ryk	48
kameraad	48
droom	48
bos	48
6	48
duidelik	48
russe	48
steek	47
duitse	47
omtrent	47
maand	47
majoor	47
waarvoor	47
marie	47
doodmaak	47
totaal	47
wyn	47
gebou	46
nuus	46
oral	46
rok	46
vinnig	46
dank	46
eenmaal	46
waarvan	46
kolonel	46
roep	46
peter	46
don	45
frankryk	45
gevaar	45
einde	45
bereik	45
wenen	45
enigiets	45
blomme	45
hoof	45
fout	45
gilles	45
breek	45
verduidelik	45
plaas	45
treurig	45
klink	45
ben	45
pyn	45
20	45
mis	44
grap	44
frank	44
slaan	44
ouma	44
liefhet	44
aand	44
dié	44
albert	44
dinozzo	44
sedert	44
rooi	44
tafel	43
inger	43
hare	43
daarna	43
hof	43
boek	43
vergewe	43
duiwel	43
lei	43
tuis	43
bloed	43
nogal	43
kaptein	43
rustig	42
voordat	42
langs	42
elkeen	42
vrede	42
beskerm	42
stap	42
kant	42
spel	42
see	42
kies	42
gooi	42
charlotte	42
gesond	42
gister	41
tant	41
skoon	41
oostenryk	41
chabert	41
jan	41
boeke	41
wonderlik	41
doktor	41
duitsland	41
vreugde	41
verdwyn	41
soort	41
venster	41
plesier	40
gemors	40
party	40
rond	40
rembrandt	40
min	40
staat	40
watse	40
verlief	40
bier	40
verkies	40
tronk	39
deer	39
druk	39
aangaan	39
veilig	39
monsieur	39
teken	39
toekoms	39
belangrik	39
wakker	39
prokureur	39
hond	39
i	39
geneem	39
soms	39
verdomp	39
meester	39
herken	39
versigtig	38
engelse	38
ziva	38
klas	38
8	38
vyf	38
15	38
elk	38
ete	38
begryp	38
orde	38
melk	38
soen	38
ge	37
vraag	37
stalingrad	37
it	37
bratek	37
erken	37
gaste	37
soveel	37
verlede	37
volk	37
erger	37
vrees	37
ure	37
grond	37
koningin	37
direkteur	37
gesoek	37
keith	37
daarop	37
siedler	37
hertog	37
vlieg	36
caroline	36
aanval	36
beide	36
liggaam	36
sweer	36
wen	36
mathieu	36
erg	36
bedank	36
gewoonlik	36
beveel	36
vang	36
vryheid	36
perd	36
polisie	36
gelees	36
kans	36
hitler	36
pragtig	35
doodgaan	35
sekerlik	35
werd	35
probleme	35
mal	35
swak	35
vrae	35
skiet	35
oh	35
gebore	35
spesiale	35
madam	35
vergeef	35
johannes	35
woonstel	35
slag	35
geveg	35
genoem	35
gladnie	35
waaroor	35
