			                                                                     DIistinctiveness				                                                      Consequentiality				                                Memorability			                                Surprise			                              Meaningfulness			                                Familiarity		
Descriptor			1APS#		M		SD		               M                      SD			              M                   SD			             M                     SD			              M                       SD			              M                      SD	
snake   		1019		4.98		2.35		3.6		2.22	4.03		2.25	4.45		2.47	3.5		2.16	4.2		2.02
snake   		1022		5.12		2.44		3.92		2.37	4.88		2.6	5.04		2.31	4.23		2.27	4.12		2.23
snake   		1030		3.98		2.65		4.2		2.52	4.7		2.61	4.44		2.46	4.03		2.68	5.35		2.82
snake   		1040		4.65		1.7		3.54		1.92	3.73		1.95	4.04		1.97	3.58		2.02	3.96		2.46
snake   		1050		6		1.87		3.73		2.48	4.63		2.62	5.95		2.68	3.7		2.17	3.75		2.1
snake   		1051		4.15		2.22		3.42		2.02	3.46		1.98	4.08		2.28	3.5		1.92	3.58		2.14
snake   		1052		5.68		2.37		3.51		2.44	3.73		2.33	4.35		2.14	3.33		2.16	3.49		2.38
snake   		1070		4.28		2.09		3.45		2	3.48		2.3	3.85		2.29	3.23		1.97	4.48		2.41
snake   		1080		4.12		1.79		3.56		2.12	3.08		2.2	4.08		2.45	3		1.94	4.46		2.4
snake   		1090		4.32		2.34		3.8		2.48	3.2		2.25	3.32		2.1	3.12		2.15	3.6		2.43
snake   		1101		4.6		2.22		3		2.12	3.96		2.11	3.56		1.85	3.04		1.79	4.08		2.25
snake   		1110		4.37		2.61		4.54		2.1	4.02		2.61	4.39		2.47	3.78		2.08	3.73		2.45
snakes  		1111		3.72		1.95		2		1.63	3.56		2.24	4.08		2.38	2.72		1.93	3.88		2.65
snake   		1112		4		2.51		2.66		2.14	2.83		1.19	3.62		2.5	2.79		2.02	4.18		2.44
snake   		1113		4.97		1.59		3.92		2.06	4.24		1.92	4.66		1.89	3.79		1.79	4.39		2.32
snake   		1120		5.19		2.35		4.52		2.58	4.74		2.93	5.48		2.65	4.52		2.79	4.07		2.18
lizard  		1121		4		1.95		2.34		1.75	2.84		1.85	2.75		1.61	2.88		1.76	4.38		2.17
spider  		1200		4.48		2.18		2.52		1.92	3.88		2.71	4.24		2.37	2.36		1.7	3.16		1.8
spider  		1201		4.84		2.24		4.16		2.26	5.21		2.45	5.18		2.33	3.53		2.19	3.95		2.01
spider  		1220		4.85		1.74		4.58		2.27	4.08		2.24	4.31		2.19	3.54		2.16	3.81		2.45
spider  		1230		3.85		2.31		3.74		2.54	3.3		2.25	3.07		2.06	3.37		2.31	5.81		1.62
spider  		1240		3.96		2.35		4.63		2.76	4.16		2.43	3.36		2.23	4.04		1.9	6.04		2.27
roach   		1270		3.92		1.71		2.28		1.74	2.64		1.75	3.16		2.13	2		1.38	4.44		2.1
roaches 		1274		7.28		1.79		4.76		2.3	6.4		2.4	6.64		1.87	5.24		2.54	2.6		1.91
roaches 		1275		2.92		1.52		2.38		1.68	2.04		1.28	2.04		1.22	2.23		1.88	4.69		2.28
rat     		1280		4.33		2.19		2.5		1.92	3.4		2.2	4.18		2.36	2.85		1.91	3.18		2.02
pit bull		1300		5.72		2.11		3.24		2.37	4.8		2.72	5.32		2.19	4.12		2.67	3.24		1.81
dog     		1301		4.52		2.24		4.7		2.18	4		2.2	4.41		2.32	4.85		2.32	5.41		2.04
dog     		1302		4.34		1.95		4.54		2.08	4.79		2.11	4.83		1.85	4.66		1.95	5.24		2.32
dog     		1303		5.76		2.11		4.61		2.31	5.29		2.21	5.41		2.3	4.49		2.22	3.51		2.43
leopard 		1310		4.86		2.2		2.97		2.1	3.89		2.45	4.69		1.93	3.48		2.1	3.34		2.27
frog    		1313		6.1		2.38		2.9		2.06	4.08		2.69	5		2.45	3		2.09	2.23		1.62
bear    		1321		3.32		2.06		2.16		1.6	2.28		1.95	1.88		1.2	2.36		2.08	5.04		2.47
women   		1340		5.8		2.08		4.36		1.8	5.76		1.9	5.96		2.15	4.92		1.85	3.52		2.52
bees    		1390		4.4		2.24		4.24		2.18	4.2		2.6	3.64		1.98	4.4		2.22	4.92		2.31
seal    		1440		4.69		2.53		4.04		2.54	4.92		2.43	3.19		2	4.38		2.5	4.23		2.67
gannet  		1450		3.72		2.01		2.76		1.69	2.6		1.78	2.44		1.5	2.92		1.96	4.6		2.35
kitten  		1460		4.39		2.25		4.02		2.34	4.12		2.32	2.74		1.59	4.32		2.36	4.94		2.14
kittens 		1463		4.63		2.64		4.61		2.35	4.74		2.51	3.63		2.17	4.84		2.07	6.11		2.51
dog     		1500		3.69		2.71		4.54		2.42	4.58		2.86	2.69		1.74	5.38		2.8	7.42		1.96
dog     		1510		3.55		2.28		4.34		2.22	3.93		2.3	2.62		2.11	4.52		2.31	7.41		1.76
cat     		1540		3.84		2.29		4		2.58	4.32		2.34	3.04		1.74	4.72		2.64	6.08		2.43
hawk    		1560		5.46		1.76		3.63		2.07	3.63		2.24	3.87		1.85	4.13		2.32	3.87		2.16
horse   		1590		3.73		2.04		3		1.85	2.89		1.83	2.84		1.53	3.55		2.02	5.55		2.02
horse   		1600		3.68		2.38		3.28		2.25	2.8		2.35	2.16		1.43	4.4		2.38	6.42		1.77
giraffes		1601		3.84		2.15		3.35		1.73	3.14		1.74	2.63		1.61	3.55		1.88	4.18		2.14
butterfl		1602		4.76		2.11		3.6		1.83	4.56		2.1	2.8		1.76	4.4		2.06	6.04		2.44
butterfl		1603		3.91		2.18		3.16		1.85	3.53		1.81	2.44		1.46	3.59		1.85	6.16		2.1
butterfl		1604		3.88		2.56		3.83		2.43	4.13		2.49	2.92		2.32	5.13		2.1	5.75		2.47
rabbit  		1610		4.15		2.24		4.04		2.34	3.96		2.03	3.62		1.96	4.46		2	5.54		2.28
bird    		1616		7.05		2.31		2.85		1.87	4.45		2.42	5.73		2.53	2.88		2.07	1.85		1.08
springbr		1620		3.83		2.3		3.95		2.49	3.98		2.21	2.2		1.4	4.22		2.48	4.98		2.32
coyote  		1640		4.17		2.28		3.33		1.93	3.5		2.02	2.83		1.63	3.67		1.99	4.67		2.1
jaguar  		1650		5.73		2.07		3.71		2.02	4.29		2.21	3.78		1.85	4.05		2.13	3.56		2.23
gorilla 		1660		3.8		1.91		2.8		2.14	3.68		1.97	3.16		1.95	3.56		1.98	4.12		2.2
cow     		1670		2.7		2.27		3.85		2.49	2.59		2.42	1.7		0.99	3.89		2.58	7.04		2.39
puppies 		1710		3.16		2.46		5.08		2.16	5.12		2.59	2.16		1.37	5.44		2.14	6.96		1.86
