			                                                                     DIistinctiveness				                                                      Consequentiality				                                Memorability			                                Surprise			                              Meaningfulness			                                Familiarity		
lion    		1720		4.24		1.9		2.96		1.88	3.08		1.82	2.72		1.81	3.16		1.68	3.92		2.66
lion    		1721		4.52		2.14		4.03		2.06	4.91		1.92	2.31		1.51	5.06		2.03	5.31		2.09
jaguars 		1722		3.8		2.08		3.5		2.12	3.8		2.02	2.58		1.41	3.92		2.16	4.08		2.1
owl     		1740		3.92		3.13		3.6		2.74	3.4		2.74	2.12		1.62	3.48		2.68	7.12		2.13
bunnies 		1750		4.64		2.1		3.44		2.16	4.48		2.14	2.88		1.69	4.32		2.19	4.64		2.23
hippo   		1810		5.42		1.8		3.84		1.92	4.47		1.9	3.92		2.05	3.71		2.13	3.84		2.16
monkies 		1811		5.4		1.97		3.44		2.1	4.56		2.32	3.95		2.08	3.91		2.16	3.21		2.35
elephant		1812		4.64		2.61		4.6		2.61	5.17		2.84	2.46		1.56	5.96		2.52	5.79		2.55
camels  		1850		5.45		2.21		3.53		2.25	4.08		2.39	3.51		2.05	3.67		2.14	2.54		1.65
fish    		1900		4.32		2.32		2.52		1.78	2.84		1.86	1.88		1.39	2.8		1.83	4.32		2.06
grouper 		1910		4.59		2.47		3.64		2.51	3.74		2.63	2.44		1.62	3.49		2.4	5.49		2.29
porpoise		1920		4.6		1.78		3.85		1.89	4.54		1.98	4.42		2.53	4.65		2.12	4.19		2.58
shark   		1930		3.38		2.08		4.23		2.01	4.69		2.35	3.77		1.7	4.38		2.17	1.35		0.63
shark   		1931		4.34		2.16		3.44		1.98	4.09		2.16	4.31		2.24	3.28		1.75	4.47		2.29
turtles 		1942		4.24		2.44		3.76		2.37	3.6		2.12	2.52		1.53	4		2.25	4.36		2.02
turtle  		1945		4.8		2.26		3.02		1.94	3.38		1.88	4		2.17	3.24		1.93	3.82		2.32
mickey  		1999		4.59		2.57		5.34		2.32	5.88		2.41	3.46		2.17	5.98		2.14	6.58		2.21
adult   		2000		3.27		2.33		2.64		1.87	2.29		1.35	1.91		1.15	2.86		1.7	6.81		2.42
adult   		2010		2.58		2.02		2.04		1.68	2.38		1.9	1.65		1.02	2.96		2.11	6.76		2.45
adult   		2020		3.08		2.2		1.68		1.07	2.2		1.53	2.8		2.22	3.24		2.2	6.2		1.91
woman   		2030		3.52		2.42		2.52		1.58	2.36		1.63	1.88		1.51	3.16		2.03	5.96		2.05
baby    		2040		3.84		2.69		5.62		2.69	5.15		2.49	3.21		2.19	6.09		2.47	7.19		2.01
baby    		2050		3.76		2.5		6.13		2.4	5.16		2.21	2.52		1.58	6.68		1.77	7.8		1.29
baby    		2053		5.5		2.52		5.79		2.62	5.58		2.86	4.71		2.1	6.04		2.58	4.33		1.9
father  		2057		4		2.17		5.28		2.55	4.7		2.48	3.34		1.82	5.55		2.28	5.83		2.59
baby    		2058		3.78		2.34		5.41		2.46	5		2.46	3		1.92	6.22		2.03	7.24		1.56
baby    		2070		5.23		2.45		5.46		2.32	5.46		2.69	3.77		2.07	6.19		2.04	7.12		2.27
babies  		2080		4.46		2.06		5.2		2.06	4.56		1.83	2.72		1.28	5.52		1.9	6.64		1.63
girls   		2091		4.84		2.39		5.32		2.43	5.56		2.2	2.96		1.46	5.52		2.8	5.92		2.1
clowns  		2092		3.85		2.25		3.7		2.37	4.04		2.36	3.63		2.47	4.67		2.62	5.41		1.91
angryfac		2100		4.12		2		2.59		1.64	2.57		1.58	3.65		2.02	2.53		1.57	4.26		1.91
angry fa		2110		5.32		1.68		2.72		1.86	3.36		1.68	3.84		2.01	3		1.94	4.36		2.14
angryfac		2120		4.47		2.11		3.26		2.06	3.92		1.92	4.51		2.12	3.5		2.16	4.16		2
woman   		2130		3.72		2.23		2.27		1.64	3		1.81	3		2.15	2.62		1.68	4.77		2.42
grievfem		2141		6.28		2.35		5.08		2.12	6.56		1.96	5.56		2	6.28		1.88	3.64		2.16
baby    		2150		4.67		2.3		5.29		2.12	5.46		2.3	4.13		1.92	6.75		2.09	5.16		1.55
father  		2160		3.83		2.21		4.49		2.24	5.07		2.39	4.22		2.37	3.51		1.96	5.46		2.35
father  		2165		4.79		2.17		5.64		2.41	5.56		2.26	3.4		2.12	6.4		2.1	5.64		1.75
mother  		2170		4.15		1.78		4.81		2.23	4.12		2.01	3.27		1.66	4.96		2.41	5.12		2.22
man     		2190		3.33		1.98		2.07		1.21	2		0.96	2.3		1.66	2.93		1.73	5.41		2.02
neutface		2200		2.1		1.41		1.9		1.45	2.1		1.59	1.75		1.25	1.95		1.43	5.6		2.21
hospital		2205		5		2		5.64		2.27	6.15		2.17	4.28		1.83	6.54		2.05	4		2.2
fingerpr		2206		3.16		1.77		2.6		2.04	2.2		1.78	2.12		1.42	2.76		1.79	3.84		2.44
bride   		2208		3.84		2		4.42		2.51	3.94		2.06	2.66		1.73	5.22		2.64	6.63		1.79
bride   		2209		5.76		1.67		6.2		1.76	6.12		2.17	4.08		2.12	6.44		2.1	4.63		2.08
neutface		2210		3.13		1.71		2.13		1.6	2.17		1.44	2.57		1.78	2.39		1.56	5		2.83
neutman 		2214		3.05		2.19		2.26		1.58	2.04		1.52	2.31		1.73	2.12		1.42	5.57		2.63
neut man		2215		2.68		1.99		1.72		1.37	1.76		1.36	1.68		1.57	1.52		0.96	5.64		2.27
children		2216		3.6		1.88		4.98		2.14	4.12		2.37	2.49		1.52	5.56		2.34	6.86		1.67
maleface		2220		4.73		2.31		2.79		1.9	3.35		2.08	3.48		2.06	3.23		2.23	4.48		2.33
judge   		2221		3.77		2.29		2.74		2.29	2.62		1.83	2.59		1.73	3.23		2.26	3.62		2.38
sad face		2230		2.89		2.1		2.03		1.57	1.9		1.37	2		1.31	2.31		1.97	5.25		2.47
neutchil		2240		2.56		1.98		3.92		2.26	3.46		1.9	1.88		1.03	4.23		2.3	7.19		2.15
neutbaby		2250		4.24		2.54		5.28		2.25	5.52		2.12	3.04		1.97	5.8		2.22	7.04		1.27
neutbaby		2260		3.34		2.25		3.31		2.36	5.05		2.3	4.39		2.16	2.88		1.85	5.44		2.16
neuchild		2270		2.98		1.77		3.26		2.05	3.44		2.03	2.14		1.42	4.21		1.9	6.65		1.6
woman   		2271		4.44		1.83		2.93		1.83	3.19		1.89	2.65		1.85	3.28		2.02	4.09		2.29
girl    		2276		4.56		1.89		4.52		1.85	4.08		2.02	3.4		2.06	5.24		2.01	4.88		2.01
boy     		2280		3.13		2.05		3.52		2.17	3.04		1.82	2.39		1.73	3.57		2.27	6.17		2.42
children		2303		4.56		2.12		4.34		2.41	4.02		2.4	3.42		2.69	4.98		2.32	5.58		2.02
girl    		2304		3.63		2.18		3.76		2.15	3.52		2.2	2.72		1.77	4.08		2.2	5.84		2.21
mother  		2310		4		2.17		5.42		2.25	4.4		1.89	2.23		1.39	6.19		1.92	6.88		1.8
mother  		2311		5.04		2.39		4.92		2.61	5.48		2.35	2.32		1.46	6.28		2.07	5.64		2.16
mother  		2312		4.79		2.33		3.97		2.42	4.08		2.27	3.21		2.06	4.13		2.5	4.05		2.34
girl    		2320		3.58		2.24		4.5		2.44	4.13		2.3	2.74		1.72	5.21		2.46	5.71		2.4
chef    		2331		4.61		2.22		4.18		2.7	4.04		2.43	2.61		1.77	5.11		2.5	5.21		2.45
family  		2340		3.72		2.49		6.8		1.53	6.28		2.05	3.6		1.87	6.96		1.77	6.96		1.93
children		2341		4.12		2.26		4.88		2.42	3.84		2.21	2.56		1.47	5.56		2.2	7.42		1.56
children		2344		4.96		2.01		3.6		2.24	4.33		2.16	3.32		2.06	4.24		2.22	3.04		1.9
children		2345		4.72		2.26		5		2.29	4.76		1.96	3.04		1.62	5.72		2.07	6.04		1.79
nursinba		2351		6.78		1.68		4.78		2.88	5.26		2.61	5.87		2.34	5.35		2.6	2.48		1.83
kiss    		2352		5.15		2.46		4.73		2.1	4.32		2.38	4.27		2.25	4.91		2.47	5.45		2.39
kiss    		2352.1		4.48		2.12		4.24		2.55	3.88		2.28	3.08		2.1	4.88		2.49	5.84		2.21
bloodyki		2352.2		8.28		0.89		4.56		2.36	7.96		1.02	7.84		1.65	5.76		2.65	2.2		1.96
family  		2360		3.21		1.86		5.42		2.57	4.67		2.44	2.38		1.69	6.33		2.45	7.04		1.9
threemen		2370		3.64		1.89		3.72		2.28	3.88		2.35	2.52		1.92	5		2.35	5.96		1.46
woman   		2372		2.96		2.3		3.12		2.26	2		1.61	2.08		1.61	2.56		1.58	6		2.47
girl    		2381		2.16		1.57		2.36		1.91	2.44		1.96	1.4		1	2.24		1.74	6.88		2.15
secretar		2383		3.96		2.91		2.36		1.96	2.8		2.2	3.72		3.14	2.72		2.23	4.84		2.85
girl    		2385		3.92		2.18		2.52		1.64	2.84		1.89	1.92		1.15	2.6		1.76	4.68		2.5
teens   		2389		4.12		2.54		3.31		1.76	3.73		2.59	2.92		2.15	3.19		2.5	6.38		2.32
boy     		2391		3.84		2.08		3.92		2.27	4.32		2.38	3.08		1.93	5		2.48	5.72		1.86
boy     		2410		4.16		1.81		4.97		2.34	4.39		2.47	3.03		1.65	5.26		2.39	5.37		2.09
neutgirl		2440		3		2.08		2.73		1.85	2.08		1.44	1.85		1.29	2.62		1.98	5.73		2.39
elderlym		2480		4.22		2.46		4.32		2.53	4.8		2.42	2.85		1.71	5.39		2.61	5.32		2.37
man     		2485		5		2.6		2.56		1.96	3.48		2.38	3.04		2.11	3.16		2.39	2.32		1.55
musician		2487		3.31		2		2.58		2.02	3		2.15	2.08		1.29	3.04		1.99	4.69		2.15
man     		2490		4.52		1.78		4		2.25	3.68		1.93	3.36		1.68	4.32		2.15	4.04		2.56
man     		2495		3.22		1.98		3.2		2.35	2.38		1.92	1.9		1.51	3		2.28	4.98		2.21
man     		2500		4.33		2.17		4.22		2.38	3.93		2.22	2.48		1.5	5.56		2.01	5.96		2.12
couple  		2501		4		2.66		3.91		2.15	3.26		2.03	2.43		2.11	3.74		2.16	4.96		2.55
eldwoman		2510		4.13		2.5		4.75		2.27	5.1		2.27	3		2.06	5.85		2.27	7.1		1.66
woman   		2514		2.1		1.58		4.46		2.15	2.29		1.47	2.41		1.41	2.34		1.67	2.59		1.79
harvast 		2515		3.72		2.11		3.33		2.22	3.68		2.29	2.36		1.52	3.8		2.58	4.92		2.45
elderwom		2516		3.33		1.98		3.95		2.37	3.31		2.01	2.43		1.97	4.6		2.27	5.92		2.53
quilting		2518		4.5		1.87		4.1		2.37	4.69		2.31	3.1		1.9	4.87		2.25	4.26		2.05
elderman		2520		5.38		2.07		5.7		2.09	5.95		1.62	4.53		2.44	6.35		1.83	5.23		2.5
couple  		2530		3.48		2		5.08		2.2	4.12		2.35	2.56		1.73	5.64		2.34	5.48		2.58
mother  		2540		4.51		2.27		5.02		2.17	5.14		2.39	2.16		1.4	6.37		2	6.67		1.74
couple  		2550		4.6		2.12		4.44		2.65	4.52		2.8	3.52		2.14	6		2.69	4.88		2.4
picnic  		2560		4.84		1.97		5.08		2.22	4		2.45	3.16		1.84	5.36		2.29	5.12		2.42
man     		2570		2.76		2.22		2.36		1.78	2.04		1.4	2.04		1.4	2.44		1.76	6.4		2.38
propelle		2575		4.68		2.68		2.07		1.56	2.68		2.22	2.96		1.94	2.34		1.91	2.49		2.17
chess   		2580		8.28		0.89		4.56		2.36	7.96		1.02	7.84		1.65	5.76		2.65	2.2		1.96
elderlyw		2590		3.84		1.84		4		2.02	3.84		1.97	2.32		1.41	4.92		2.31	4.72		2.54
beer    		2600		3.64		2.03		2.95		1.83	2.79		2.12	2.21		1.24	2.82		1.96	5.38		2.55
dancer  		2616		4.79		2.02		2.58		1.79	2.61		1.9	2.83		1.9	2.84		1.93	3.56		2.6
woman   		2620		5.24		1.85		2.32		1.49	2.84		2.06	3		1.73	3.28		1.99	2.88		1.92
male    		2630		3.76		2.49		2.83		2.33	3.28		2.54	2.96		1.81	2.68		2.39	5.96		2.57
boy     		2650		3.75		2.13		3.65		2.13	3.72		2.17	2.94		1.84	3.74		2.17	5.48		2.19
child   		2655		4.92		2.38		5.12		2.6	5.28		2.49	3.04		1.97	5.64		2.46	5.32		2.04
baby    		2660		4.2		2.71		4.76		2.26	5.32		2.42	3.02		1.81	5.73		2.28	6.24		2.1
baby    		2661		6.64		1.96		5.84		1.91	6.36		1.98	5.8		2.14	6.52		2.29	3.76		2.74
police  		2681		4.19		1.83		4.15		2.74	3.77		2.29	3.54		2.14	3.88		2.5	3.38		2.19
Police  		2682		4.16		2.13		3.36		2.27	3.32		2.23	3.36		1.68	4.08		2.23	4.76		2.15
terroris		2690		4.96		2.33		2.66		1.99	3.76		2.2	4.24		2.2	3		1.93	3.07		1.58
riot    		2691		5.68		2.01		5.56		2.52	5.52		2.04	6.04		1.62	5.56		2.27	2.64		1.85
bomb    		2692		6.42		2.11		5.13		2.32	5.47		1.86	5.55		1.87	4.68		2.14	2.32		1.4
woman   		2700		5.08		2.13		3.85		2.09	4.38		2.14	4		2.28	4.69		2.13	4.46		1.88
bingeat 		2702		3.78		2.24		3.43		2.34	2.54		1.76	3.04		2.01	3.14		2.28	5.48		2.36
drugaddi		2710		4.88		2.07		3.95		2.39	3.93		2.34	4.43		2.04	4.15		2.19	3.03		1.8
urinatin		2720		6.2		1.87		2.52		2.28	4.28		2.28	5.52		2.45	3.52		2.33	3.8		2.2
jail    		2722		4.64		2.77		2.72		2.03	3.44		2.2	2.92		2.06	3.08		2.2	3.8		2.6
nativebo		2730		7.71		1.91		3.02		2.29	6.67		2.39	8.1		1.43	4		2.47	1.31		1.27
smoking 		2749		2.29		1.27		2.34		1.68	2.29		1.9	1.87		1.42	2.45		1.87	5.39		2.48
bum     		2750		4.85		2.24		3.69		2.29	4.27		2.27	4.23		2.05	4.31		2.41	3.5		2.06
drunkdri		2751		5.24		2.31		7.38		1.89	7		1.45	5.02		2.27	7.02		1.8	4.93		2.4
alcoholi		2752		4.16		2.12		3.84		2.3	3.32		1.95	2.84		1.68	4.2		2.61	5.32		2.64
alcoholi		2753		3.83		2.16		3.98		2.36	3.5		2.25	2.94		2.06	4.6		2.38	5.89		2.28
balloons		2791		4.94		1.95		2.75		1.55	3.47		2.18	3.41		1.79	3.34		1.96	4		1.97
sad chil		2800		6.96		1.81		5.71		2.18	6.67		2.06	5.04		2.49	6.21		2.04	3.38		1.84
boy     		2810		4.89		2.08		4.41		2.24	4.89		2.03	4.22		2.17	5.11		2.42	5.63		2.13
woman   		2830		5.15		1.92		4.05		2.21	4.97		2.13	4.59		2.15	4.36		2.3	3.28		2.28
chess   		2840		5.04		1.89		3.88		1.95	3.46		1.92	3.31		1.64	4.38		2.26	4.04		1.82
tourist 		2850		3.72		2.05		3.08		1.71	3.31		2.19	3.5		2.23	3.65		2.21	4		2.14
teenager		2870		3.48		2.02		3.12		2.17	3.36		2.38	2.44		1.66	3.16		2.12	5.28		2.11
shadow  		2880		3.08		1.75		2.28		1.37	2.16		1.37	1.84		1.21	2.16		1.31	4.6		2.24
twins   		2890		4.07		2.53		1.78		1.24	1.9		1.21	2.93		1.85	2.28		1.58	3.62		2.57
cryinboy		2900		4.67		2.01		4.58		2.03	4.38		2.22	3.96		2	1.15		2.15	5.62		2
cryboy  		2900.1		4.93		2.09		4.93		2.35	5.24		2.19	4.98		1.78	5.7		1.98	5.02		2.25
mutilati		3000		7.76		2.14		4.88		2.52	8.15		1.71	8.1		1.26	5.46		2.51	2.17		1.6
mutilati		3010		7.2		1.87		4.9		2.84	6.53		2.15	6.95		1.96	5.15		2.55	2.65		1.64
accident		3015		6.8		2.53		3.38		2.44	5.05		3.27	5.55		3.13	4.03		2.81	2.45		1.88
scream  		3022		6.08		2.31		3.66		2.06	4.3		2.06	5.69		1.85	3.89		2.01	2.52		1.7
mutilati		3030		6.72		1.81		4		2.18	5.64		1.89	5.8		1.61	4.32		2.17	2.4		1.61
mutilati		3051		4.07		2.82		6.63		2.56	5.05		2.4	7.27		2.16	6.78		2.08	5.83		2.16
burnvict		3053		7.85		1.54		5.52		2.79	8.04		1.32	8.19		1.24	6.44		2.31	2		1.54
mutilati		3060		6.84		1.99		4.16		2.32	6.4		1.98	7.32		1.57	4.68		2.46	2		1.53
mutilati		3061		6.56		2.47		3.76		2.33	6.12		1.9	6.68		1.73	4.04		1.97	1.56		0.58
mutilati		3062		7.96		1.93		4.44		3.03	7.6		1.96	7.8		1.89	5.42		2.62	1.84		1.89
mutilati		3063		7.38		2.43		5.84		2.78	7.52		2.1	8.44		0.96	5.76		2.45	1.46		1.35
mutilati		3064		7.3		2.46		5.78		2.48	7.5		1.97	7.93		1.35	7.1		1.93	2.13		1.44
mutilati		3071		7.4		1.8		4.44		2.57	6.52		2.1	7.64		1.58	5.04		2.23	1.92		1.22
mutilati		3080		6.88		2.6		5.04		2.13	7.64		1.58	7.72		1.79	5.6		2.2	2.6		2.12
burnvict		3100		7.64		1.47		4.48		3.1	6.52		2.12	7.16		1.68	5.12		2.52	2.44		2.24
burnvict		3102		7.4		2.52		4.64		2.45	6.64		2.27	6.92		1.82	5.28		2.67	1.88		1.36
burnvict		3110		7.58		1.85		5.11		2.5	7.26		1.73	7.39		1.59	5.68		2.05	2.39		1.98
deadbody		3120		7		1.96		5.03		2.47	7		2.09	7.2		1.8	5.85		2.58	2.43		1.77
mutilati		3130		5.88		2.44		4.19		2.38	5.46		2.52	6.19		1.94	4.31		2.46	2.73		2.01
deadboy 		3140		5.65		2.58		3.73		2.52	5.62		2.21	6.38		2.32	4.62		2.58	2.04		1.54
mutilate		3150		7.08		2.53		4.2		2.81	6.36		2.33	7.16		2.39	4		2.33	2.08		1.63
eyedisea		3160		6.12		2.39		3.64		2.48	5.56		2.53	5.48		2.42	4		2.48	2.68		1.52
mutilati		3168		7.28		2.44		3.6		2.71	7		1.96	7.92		1.41	4.44		2.48	1.58		0.97
btumor  		3170		7.78		1.44		5.22		2.39	7.05		2	7.76		1.37	5.61		3.4	1.56		0.71
battefem		3180		5.08		2.25		4.85		2.64	5.6		2.17	5.23		2.26	5.9		2.39	3.98		2.36
batfemal		3181		6.64		2.18		6.24		2.17	6.56		1.8	6.4		1.8	6.04		2.07	3.32		2.14
scar    		3190		5.56		2.39		3.04		1.72	4.16		2.36	5.44		2.26	3.2		1.91	2.52		1.73
surgery 		3210		4.28		1.96		3.79		2.14	3.45		2.01	3.66		1.95	3.76		2.23	4.97		2.49
hospital		3220		5.68		1.68		4.61		2.23	5.2		1.79	5.32		1.99	5.3		1.95	3.8		2.4
dyingman		3230		5.85		2.31		5.28		1.99	5.59		2.34	4.64		2.21	5.92		2.01	3.61		2.25
openches		3250		5.73		2.47		3.31		1.57	5.35		2.08	6.65		1.55	3.81		1.9	2.65		2.13
tumor   		3261		5.88		2.29		5.77		2.31	6.33		2.3	5.91		1.82	6.12		2.25	2.84		2.47
injury  		3266		4.64		2.77		2.72		2.03	3.44		2.2	2.92		2.06	3.08		2.2	3.8		2.6
dentalex		3280		2.93		2.23		4.28		2.43	4.18		2.84	3.05		2.12	4.08		2.5	6.05		2.63
disachil		3300		4.63		2.09		4.97		1.85	4.92		2.07	4.16		2.03	5.5		2.36	5.34		2.49
injchild		3301		6.62		1.86		5.5		2.23	6.35		1.79	6.85		1.74	5.58		2.21	3.04		1.82
infant  		3350		5.36		2.14		4.82		2.21	5.88		2.32	6.2		1.58	5.72		2.15	3.4		2
severedh		3400		7.63		2.2		4.06		2.59	6.86		1.95	7.8		1.74	4.9		2.37	1.68		1.04
attack  		3500		5.23		2.49		4.88		2.41	5.2		2.31	4.46		2.56	5.04		2.49	3.31		2.65
attack  		3530		6.48		1.88		5.65		2.26	6.65		2.18	6.69		2.07	5.74		2.41	3.13		2.31
injury  		3550		6.18		2.68		3.07		2.02	5.52		2.47	6.24		1.79	4.48		2.26	3.34		2.19
plane cr		3550.1		7.17		1.97		5.61		2.54	6.26		2.12	6.3		2.05	5.65		2.17	2.74		1.63
coach   		3550.2		4.18		1.94		3.13		2.3	3.29		2.01	3.55		2.01	3.16		2.14	5.03		2.67
artist  		4000		6.2		1.87		2.52		2.28	4.28		2.28	5.52		2.45	3.52		2.33	3.8		2.2
eroticfe		4001		4.08		2.43		2.8		2.06	3.12		2.05	5.24		2.3	2.8		1.91	5.4		2.63
eroticfe		4002		5.51		2.34		2.77		2.36	3.15		2.56	5.08		2.4	2.67		2.18	3.29		2.44
erotfema		4003		3.95		2.8		4.54		2.6	2.8		2.04	3.9		2.61	4.98		2.47	2.76		2.08
erotfema		4004		5.05		2.51		3		2.35	3.4		2.45	4.9		2.34	3.08		2.34	3.56		2.06
eroticfe		4005		4.16		2.39		1.92		1.68	3.08		2.38	5.16		2.73	2.04		1.59	3.12		2.37
maledanc		4100		4.73		2.34		3.25		2.75	3.18		2.31	3.58		2.16	3.1		2.74	4.56		2.78
feattrac		4150		4.83		2.22		3		2.37	3.29		2.4	3.93		2.23	3.05		2.25	4.05		2.28
eroticfe		4180		4.06		2.3		3.12		2.3	3.53		2.48	4.65		2.64	3		2.13	4.86		2.49
eroticfe		4210		5.49		2.36		3.17		2.69	4.66		2.74	5.88		2.15	3.49		2.59	3.95		2.47
erotfema		4220		3.83		2.33		2.93		2.37	3.03		2.5	3.43		2.48	2.75		2.35	5.13		2.56
prostitu		4230		5.56		2.55		3.15		2.27	4.34		2.48	5.31		2.52	3		2.19	3.13		2.29
