Means and Standard Deviations for the Six Emotions														
														
Description	IAPS #	N	Happiness		Surprise		Sadness		Anger		Disgust		Fear	
			M	SD	M	SD	M	SD	M	SD	M	SD	M	SD
plane cr	3550	25	1	0	4.57	2.41	6.61	2.41	4.61	2.84	5.61	2.57	5.04	3.02
coach   	3550	38	2.39	1.97	2.74	1.94	2.45	1.87	2.66	2.21	2.24	1.82	2.39	1.7
artist  	4000	25	2.72	2.23	4.28	2.53	1.2	0.5	1.04	0.2	1.58	1.5	1.32	1.07
eroticfe	4001	25	3.36	2.64	4.72	2.57	1.2	0.82	1.52	1.36	2.76	2.54	1.2	0.82
eroticfe	4002	39	3.05	2.81	4.63	2.48	1.87	1.49	2.56	2.17	3.9	3.01	1.13	0.52
erotfema	4003	41	5.37	2.65	3.59	2.97	4.78	2.5	1.4	1.46	1.95	2.05	2.63	2.63
erotfema	4004	40	2.92	2.09	4.16	2.53	1.38	1.07	1.64	1.53	2.9	2.44	1.15	0.67
eroticfe	4005	25	1.84	1.6	4.92	2.5	1.48	1.61	1.84	2.1	4.36	2.96	1.52	1.36
maledanc	4100	40	4.31	2.89	3.74	2.19	1.36	0.96	1.34	1.12	1.82	1.74	1.61	1.79
feattrac	4150	41	3.73	2.83	3.71	2.32	1.49	1.27	1.56	1.36	2.22	1.78	1.12	0.4
eroticfe	4180	51	3.31	2.48	4.31	2.65	1.8	1.65	1.84	1.7	3.08	2.47	1.18	0.74
eroticfe	4210	41	3.15	2.62	5.27	2.51	2.24	2.29	3.15	2.7	4.05	3.16	1.25	0.9
erotfema	4220	40	3.48	2.85	3.1	2.49	1.43	1.39	1.55	1.68	2.63	2.78	1.3	1.26
prostitu	4230	68	2	1.8	4.63	2.8	2.04	1.96	1.84	1.72	3.5	2.75	3.09	2.91
erotfema	4232	26	4.12	3.19	4.96	2.82	1.27	0.87	1.5	1.07	3.12	2.67	1.16	0.47
prostitu	4233	41	3.3	2.85	2.65	2.14	1.63	1.43	1.7	1.45	2.65	2.43	1.15	0.7
erotfema	4235	38	3.68	2.81	5.41	2.62	1.76	1.34	1.55	0.98	2.12	1.8	1.32	0.93
eroticfe	4240	25	2.68	2.43	4.92	2.23	1.44	1.16	1.96	1.74	3.6	2.33	1.24	0.83
femaleat	4250	29	3.59	2.57	2.62	1.88	1.48	1.48	1.48	1.48	1.69	1.54	1.14	0.74
femaleat	4274	27	3.93	2.51	3.11	2.34	1.81	1.75	2.3	2.11	3.19	2.56	1.04	0.19
attracfe	4275	25	4.32	3.04	3.72	2.48	1.44	1.12	1.96	1.9	2.36	2.14	1.16	0.8
eroticfe	4279	26	2.5	1.98	3	1.67	1.08	0.39	1.92	1.55	3.65	2.67	1.12	0.43
eroticfe	4290	25	2	1.83	5	2.42	1.4	1	1.76	1.51	4.92	2.75	1.52	1.29
erotfema	4300	26	3.96	3.19	5.23	2.94	1.42	1.24	1.65	1.5	3.04	2.78	1.19	0.8
eroticfe	4302	39	2.95	2.82	5.74	2.93	1.54	1.57	2.05	2.11	4.64	3.13	1.26	1.29
erotfem 	4310	25	2.36	2.46	3.68	2.46	2.04	2.05	2.16	2.51	3.4	2.87	1.04	0.2
erotfema	4320	40	3.41	2.58	4.18	2.45	1.36	0.9	1.95	1.99	2.89	2.52	1.34	0.94
erotic m	4460	25	3.72	2.57	5.52	2.26	1.2	0.65	1.52	1.16	2.79	2.65	1.04	0.2
eroticma	4470	26	3.62	2.32	4.58	2.3	1.19	0.49	1.38	1.58	2.23	1.97	1.12	0.43
eroticma	4490	41	3.27	2.69	6.05	2.56	1.54	1.12	2.02	1.89	3.83	3.02	1.37	1.22
attraman	4500	40	4.85	2.93	3.53	2.44	1.5	1.38	1.28	0.88	1.9	1.69	1.18	0.93
attracma	4510	43	4.21	2.5	3.19	2.3	1.33	0.92	1.3	0.91	1.79	1.73	1.09	0.29
erotic m	4520	67	3.5	2.67	4.11	2.6	1.79	1.82	1.91	1.74	3.02	2.58	1.24	0.98
erotmale	4530	43	2.21	1.78	4.3	2.47	1.33	1.32	1.74	1.87	3.65	2.58	1.14	0.64
eroticma	4531	51	5.2	2.54	3.31	2.21	1.42	1.11	1.28	0.97	1.3	0.76	1.16	0.58
attraman	4532	38	4.74	2.66	3.45	2.56	1.58	1.59	1.39	1.26	1.24	0.91	1.61	1.7
attractm	4533	68	4.12	2.86	2.65	2.07	1.68	1.71	1.53	1.52	1.57	1.59	1.51	1.6
maledanc	4534	38	4.95	2.42	3.58	1.91	1.42	0.89	1.42	1.06	1.34	0.81	1.18	0.46
weightli	4535	26	5.46	2.58	3.04	2.25	1.38	1.1	1.31	1.19	1.35	1.13	1.19	0.8
attractm	4536	26	3.92	2.4	2.56	2.12	1.31	0.88	1.42	1.24	1.54	1.73	1.04	0.2
eroticma	4550	29	3.78	2.83	5.69	2.9	1.48	1.35	1.31	1.17	2.29	2.37	1.14	0.76
eroticma	4561	25	4.33	2.66	7.29	1.94	1	0	1	0	1.42	1.67	1	0
attraman	4571	25	5.96	2.11	3.56	2.53	1.16	0.8	1.16	0.8	1.32	1.11	1.16	0.8
manattra	4572	40	6.33	2.65	4.41	2.55	1.41	1.14	1.43	1.3	1.58	1.65	1.25	0.69
couple  	4598	26	4.48	2.6	3.38	2.04	4.88	2.88	2.77	2.18	1.5	1.21	2.73	2.66
romance 	4599	41	6.44	2.01	2.83	2.12	2.2	1.82	1.56	1.25	1.33	1.4	1.25	1
romance 	4601	50	5.81	2.49	2.87	2.01	1.54	1.37	1.4	1.35	1.31	0.74	1.04	0.2
romance 	4603	25	6.25	2.13	4.2	2.61	1.84	1.7	1.16	0.37	1.04	0.2	1.04	0.2
couple  	4605	41	3.93	2.27	2.76	2.08	1.73	1.7	1.68	1.97	1.85	2.13	1.22	0.91
romance 	4606	39	5.89	2.35	2.9	2.22	1.9	1.8	1.59	1.68	1.23	0.99	1.28	0.79
eroticco	4607	41	5.66	2.67	5.24	2.07	2.1	2.17	1.63	1.55	2.34	1.94	1.39	1.05
erotcoup	4608	25	5.44	2.2	3.52	1.83	1.8	2	1.36	1.32	1.48	1.58	1.08	0.28
couple  	4609	29	4.76	2.53	3.03	1.99	1.9	1.78	1.38	0.9	1.29	0.6	1.43	1.03
romance 	4610	38	5.55	2.8	2.89	2.22	2.68	2.61	2.03	2.1	1.37	1.05	1.5	1.47
erotic c	4611	26	5.19	2.58	3.38	2.02	1.46	1.1	1.28	0.74	1.64	1.75	1.24	0.72
condom  	4613	39	3.67	2.76	3.03	2.29	1.36	0.9	1.51	1.37	1.33	1.03	1.9	1.68
romance 	4614	26	6.31	2.56	3.96	2.6	1.19	0.8	1.04	0.2	1.5	1.73	1.27	1.37
eroticfe	4617	27	6.04	2.17	2.59	1.85	1.7	1.46	1.56	1.55	1.67	1.66	1.11	0.42
harassme	4621	25	1.46	0.98	4.21	2.59	4.92	2.97	6.2	2.83	6.13	3.11	4.56	2.96
bikecoup	4631	29	4	2.62	3.76	2.49	1.86	1.83	1.66	1.47	3.1	2.58	1.55	1.4
prostitu	4635	26	1.73	1.43	5.04	2.58	3.27	2.75	3.58	2.82	5.5	2.98	2.77	2.47
romance 	4640	40	6.13	2.78	3.4	2.28	2	1.89	1.25	0.74	1.15	0.43	1.1	0.5
romance 	4641	40	7	2.16	2.49	1.59	1.59	1.38	1.11	0.52	1.05	0.33	1.17	1
eroticco	4650	25	4.25	2.38	3	1.98	1.83	1.71	1.17	0.38	1.67	1.24	1.04	0.2
erticcpl	4651	41	5.63	2.28	4.93	2.62	4.22	2.28	1.61	1.39	1.44	1.53	2.27	2.29
eroticco	4652	41	5.55	2.89	4.05	3.11	1.51	1.62	1.05	0.22	1.55	1.62	1.13	0.52
eroticco	4653	25	5.5	2.7	3.32	2.59	1.48	1.5	1.36	1.32	1.16	0.8	1.44	1.42
eroticco	4656	25	5.2	2.4	3.4	2.18	1.44	1.08	1.52	1.29	1.68	1.77	1.24	0.83
eroticco	4658	25	5.16	2.67	4.32	2.79	1.12	0.33	1.16	0.62	1.64	1.87	1.08	0.28
erotcoup	4659	25	5	2.65	5.48	2.65	1.24	0.83	1.04	0.2	1.96	1.7	1	0
erotcoup	4660	43	4.93	2.68	3.23	2.22	1.93	1.82	1.28	0.67	1.6	1.5	1.14	0.41
erotcoup	4664	40	5	2.71	4.69	2.97	1.33	1.22	1.59	1.65	2.13	2.12	1.85	1.91
erotic  	4664	27	4.78	2.87	5.52	2.33	1.85	1.93	2.31	2.41	2.78	2.67	1.15	0.6
attack  	4664	41	1.49	1.21	6.34	2.4	4.3	2.77	5.25	2.86	6.61	2.76	3.9	3
eroticco	4666	25	5.2	1.94	4.36	2.25	1.28	0.84	1.04	0.2	1.92	1.73	1.04	0.2
eroticco	4669	41	5.48	2.84	4.08	2.91	1.15	0.8	1.05	0.22	1.33	1.23	1.05	0.22
eroticco	4670	25	5.44	2.27	4.28	2.75	1.56	1.12	1.12	0.44	1.48	0.87	1.2	0.82
eroticou	4672	40	4.98	2.58	5.95	2.87	1.6	1.26	1.45	0.99	2.78	2.41	1.63	1.35
eroticco	4680	26	4.35	2.71	5.54	2.35	1.12	0.33	1.04	0.2	2.54	2.02	1.15	0.61
eroticco	4681	29	4.79	2.31	4.66	2.24	1.52	1.35	1.21	0.77	2.1	1.93	1.52	1.5
eroticco	4683	25	4.48	2.82	3.72	2.25	2	2	2.08	2.31	2.08	2.31	1.72	2.07
erotcoup	4687	40	5.08	2.45	5.05	2.69	1.58	1.43	1.58	1.5	2.72	2.06	1.34	1.44
eroticco	4689	26	4.69	2.65	3.5	2.1	1.77	1.45	1.46	1.27	1.69	1.41	1.31	1.12
erotcoup	4690	25	4.8	2.55	4.64	2.58	1.44	1	1.32	1.07	2.24	2.45	1.12	0.44
couple  	4700	26	6.44	2.1	2.92	2	2.73	2.09	1.62	1.36	1.81	1.58	1.46	1.39
nudewoma	4750	38	3.76	2.56	4.21	2.38	1.45	0.76	1.34	0.91	2.03	1.95	1.24	0.63
femakiss	4770	43	3.09	2.57	4.79	2.5	1.33	0.81	1.51	1.22	2.88	2.51	1.23	0.95
erotcoup	4800	25	4.42	2.34	5.2	2.58	1.4	1.26	1.4	1.15	2.44	1.94	1.08	0.28
eroticco	4810	26	4.12	2.63	5.46	2.73	1.92	2.06	2.31	2.24	2.46	2.34	1.31	0.84
flower  	5000	25	6.29	2.46	2.24	1.9	1.42	1.02	1.04	0.21	1	0	1	0
sunflowe	5001	25	6.08	2.41	2.75	2.07	1.17	0.48	1	0	1.04	0.2	1	0
flower  	5010	26	6.69	2.02	2.08	1.83	1.19	0.57	1.04	0.2	1.23	1.18	1	0
flower  	5020	38	5.92	2.1	2.45	1.55	1.45	0.95	1.05	0.23	1.05	0.23	1	0.23
flower  	5030	25	6.32	1.84	2	1.41	1.72	1.67	1.12	0.44	1	0	1	0
pineneed	5120	43	1.72	1.37	2.53	2.16	1.93	1.87	1.65	1.6	2.35	2.33	1.6	1.55
rocks   	5130	25	2.61	1.88	2.52	2.11	2.04	1.69	1.87	1.98	1.65	1.43	1.57	1.31
flowers 	5200	40	6.8	2.13	2.95	2.15	1.5	1.18	1	0	1	0	1	0
nature  	5201	41	7.22	1.64	6.54	1.91	2.98	2.04	1.32	0.85	1.12	0.51	1.1	0.37
nature  	5220	29	4.36	2.7	2.39	1.89	1.68	1.25	1.25	0.59	1.24	0.83	1.5	1.23
nature  	5250	41	6.27	2.03	4.54	2.31	2.98	2.07	2.17	1.96	1.59	1.41	1.39	1.07
waterfal	5260	26	6.5	2.1	2.92	2.17	1.92	0.49	1.08	0.27	1.04	0.2	1.92	1.76
nature  	5270	25	4.32	2.94	3.24	2.49	1.12	0.33	1.08	0.28	1.08	0.28	1.76	1.39
galaxy  	5300	40	3.54	2.51	2.44	1.96	1.33	1.07	1.36	1.29	1.41	1.29	1.87	1.88
boat    	5390	25	5.64	2.66	2.57	1.7	2.58	2.3	1.39	1.67	1	0	1.52	1.7
boat    	5395	29	2.83	1.85	2.07	1.56	1.97	1.7	1.79	1.61	1.79	1.61	2.03	2.03
violinis	5410	25	4.8	2.38	2.8	2.04	2.2	2	1.16	0.8	1.16	0.8	1.28	0.84
liftoff 	5450	25	2.6	2.35	1.48	1.12	1.68	1.86	1.48	1.5	1.6	1.96	2.08	2.22
cockpit 	5455	29	2.93	2.11	1.89	1.34	1.57	1.14	1.21	0.57	1.32	0.86	2.21	2.06
astronau	5460	40	4.55	2.35	2.78	2.08	1.38	1.05	1.23	0.73	1.08	0.27	1.54	1.12
astronau	5470	41	3.65	2.71	3.08	2.32	1.63	1.55	1.28	1.13	1.45	1.52	2.13	2.07
firework	5480	39	6.44	2.21	3.62	2.37	1.74	1.82	1.44	1.43	1.23	1.01	1.08	0.35
mushroom	5500	25	3	2.23	2.08	1.53	1.32	0.9	1.24	0.83	2.24	1.81	1.36	1.11
mushroom	5510	25	2.4	1.68	1.44	0.71	1.44	1.12	1.2	0.82	1.68	1.6	1.2	0.82
mushroom	5520	26	2.92	2.15	2.12	1.7	1.42	1.27	1.23	0.59	1.73	1.8	1.46	1.5
mushroom	5530	41	3.34	2.66	2.29	1.94	1.44	1.14	1.39	1.09	1.32	0.96	1.17	0.67
mushroom	5531	25	2.12	1.48	2.04	1.59	1.16	0.8	1.16	0.8	1.36	1.04	1.08	0.4
mushroom	5532	41	2.9	2.25	2.22	1.48	1.61	1.38	1.24	0.73	1.85	1.77	1.37	1.28
mushroom	5533	29	3.55	2.18	2.48	1.66	1.45	0.95	1.24	0.64	2.07	2.12	1.34	1.14
mushroom	5534	41	4.95	2.06	3.24	2.18	1.98	1.44	1.66	1.33	1.61	1.55	2.41	2.49
stillife	5535	40	2.5	2.04	2.25	1.92	1.38	0.98	1.35	1	2.18	2.16	1.33	0.94
sky     	5593	25	5.52	3.03	2.44	2	1.48	1.26	1.44	1.29	1.36	1.11	1.72	1.74
sky     	5594	40	7.2	2.31	3.2	2.22	1.45	1.41	1	0	1	0	1.33	1.23
mountain	5600	26	5.65	2.48	2.73	1.99	1.35	1.02	1	0	1	0	1.15	0.37
skydiver	5621	25	7.12	1.72	5.12	2.19	1.28	0.89	1.2	0.58	1.2	0.58	3.24	2.55
shark   	5622	25	4.57	2.92	3.3	2.12	1.09	0.29	1.04	0.21	1.04	0.29	1.96	1.33
windsurf	5623	29	5.07	2.55	3.52	2.2	1.62	1.52	1.31	1.17	1.1	0.41	2.38	2.26
hnglider	5626	25	5.12	2.82	3.32	2.21	1.08	0.28	1	0	1.08	0.4	2.28	1.9
mountain	5628	32	6.22	2.24	3.88	2.24	1.22	0.55	1.06	0.25	1.06	0.25	3.19	2.33
hiker   	5629	25	5.16	2.66	3.4	2.29	1.64	1.25	1.48	1.12	1.29	0.86	3.84	2.7
mountain	5660	25	6.04	2.34	3.08	2.14	1.04	0.2	1.04	0.2	1.04	0.2	2.04	1.99
mountain	5700	25	3.8	2.74	2.44	1.92	1.12	0.44	1.28	1.4	1.08	0.4	1.84	1.8
farmland	5720	68	4.43	2.82	2.19	1.74	1.54	1.44	1.34	1.19	1.34	1.22	1.59	1.67
flowers 	5731	38	5.1	2.6	2.32	1.79	1.53	1.22	1.11	0.69	1.13	0.74	1.18	0.93
plant   	5740	25	3.77	2.69	2.5	1.97	1.45	1.18	1.09	0.29	1.05	0.21	1.09	0.43
nature  	5750	25	5.8	2.58	2.2	1.66	1.16	0.62	1	0	1.04	0.2	1.4	1.26
nature  	5760	29	6.21	2.4	2.59	2.06	1.38	0.94	1.21	0.77	1.24	0.79	1.21	0.77
courtyar	5779	52	6.81	2.02	3.19	1.88	1.58	1.61	1.15	0.61	1.15	0.61	1.12	0.43
nature  	5780	25	6.12	2.32	3.32	2.01	1.32	0.8	1.28	0.98	1.16	0.62	1.2	0.71
leaves  	5800	25	6.55	1.99	2.35	1.8	1.43	1.31	1.17	0.83	1.17	0.83	1.17	0.83
mountain	5820	43	5.72	2.31	2.21	1.3	1.7	1.7	1.37	1.43	1.14	0.64	1.23	0.82
sunset  	5830	25	6.64	2.34	3.32	2.39	1.8	1.47	1.28	1.4	1.32	1.6	1	0
seagulls	5831	25	5.8	2.24	3.04	2.07	1.48	1.23	1.08	0.28	1.08	0.4	1	0
flowers 	5849	40	5.7	2.61	2.55	2.12	1.25	0.81	1.1	0.63	1.08	0.66	1.1	0.81
clouds  	5870	26	6.77	2.61	2.77	2.29	1.96	1.84	1.31	1.09	1.62	1.86	1.31	1.08
bicyclis	5875	25	4.54	2.59	2.79	2.19	1.8	1.76	1.08	0.4	1.04	0.2	1.2	1
earth   	5890	40	5.18	2.38	2.7	1.95	1.63	1.31	1.33	0.8	1.4	0.98	1.68	1.53
clouds  	5891	25	5.65	2.89	2.04	1.66	1.13	0.46	1	0	1	0	1	0
desert  	5900	29	3.76	2.68	2.29	1.61	2.12	1.83	1.53	1.46	1.88	1.96	1.53	1.46
firework	5910	25	6.12	2.09	3.6	2.78	1.32	0.85	1	0	1	0	1	0
volcano 	5920	25	2.44	2.06	2.44	1.66	2.32	1.99	1.56	1.19	1.48	1.16	3.24	2.62
lava    	5940	41	3	1.75	1.85	1.46	4.05	2.52	4.8	2.37	2.85	2.15	2.41	2.02
lightnin	5950	26	3.29	2.05	2.92	1.98	2.2	1.96	1.52	1.39	1.36	0.91	2.76	2.24
tornado 	5970	26	1.31	0.62	3.23	2.39	4.85	2.31	2.81	2.25	2.31	2	5.48	2.69
tornado 	5971	26	1.38	0.75	3.88	2.36	5.04	2.56	3.62	2.53	2.31	2.19	5.77	2.89
tornado 	5972	27	1.44	0.97	4.48	2.05	5.33	2.53	4.07	2.67	3.04	2.55	6.37	2.45
sky     	5982	41	6.28	2.6	3.3	2.15	1.55	1.66	1.15	0.95	1.3	1.09	1.18	0.6
sky     	5990	26	6.04	2.49	2.27	1.51	1.23	0.51	1.15	0.37	1.04	0.2	1.04	0.2
sky     	5991	40	6.05	2.51	1.95	1.71	1.8	1.51	1.03	0.16	1.03	0.16	1.4	1.59
skyline 	5994	29	5.69	2.54	2.52	1.92	1.96	2.22	1.48	1.64	1.45	1.48	1.79	2.14
prison  	6000	26	2.4	1.66	3.19	1.81	3.42	2.1	3	2.1	3.31	2.28	2.77	2.39
jail    	6010	25	1.52	1.16	3.08	1.98	4.64	2.45	3.68	2.34	3.6	2.47	3.68	2.14
elechair	6020	40	1.2	0.94	4.13	2.29	5.35	2.68	5.5	3.01	5.4	2.99	4.23	2.94
outlet  	6150	40	2.25	2.12	1.6	1.5	1.48	1.24	1.4	1.22	1.43	1.22	1.53	1.28
aimedgun	6190	40	1.35	0.86	4.5	2.74	4.9	2.86	5.43	3	4.9	3.06	5.88	2.8
aimedgun	6200	38	1.5	1.03	3.63	2.06	4.81	2.55	5.5	2.18	5.21	2.4	6.63	2.24
aimedgun	6210	68	1.37	1	4.79	2.54	4.54	2.64	5.03	2.85	4.84	3.11	6.26	2.89
attack  	6211	26	1.19	0.69	4.46	2.18	4.04	2.75	4.04	2.66	3.85	3.02	4.15	2.99
soldier 	6212	50	1.64	1.63	5.15	2.74	6.65	2.61	6.08	2.83	5.75	2.85	4.29	2.81
terroris	6213	41	1.29	0.84	4.27	2.25	5.17	2.42	6.24	2.44	6.1	2.86	5.61	3.33
aimedgun	6230	26	1.69	2.04	5.62	3.19	4.92	2.77	4.96	3.26	5.08	3.31	6.85	3.03
gun     	6241	25	2.36	2.04	2.52	1.71	3.4	2.33	3.72	2.64	3.36	2.45	4.68	3.11
gang    	6242	29	1.24	0.83	3.52	2.28	5.03	2.8	5.52	2.9	5.1	3.07	5.41	3.19
aimedgun	6243	39	1.03	0.16	4.51	2.52	5	2.67	6.21	2.59	6.18	2.5	6.38	2.5
aimedgun	6244	41	1.48	1.3	5	2.84	4.75	3.05	5.03	2.98	4.78	3.03	4.08	2.86
aimedgun	6250	25	8	1.47	3	2.04	1.24	1.2	1.04	0.2	1	0	1.24	1.01
aimed gu	6250	26	1.2	0.5	5.54	2.63	4.81	2.5	5.96	2.37	5.84	2.43	7.08	1.85
icecream	6250	68	5.16	2.57	3.01	2.03	1.26	0.99	1.29	1.17	1.22	0.73	1.26	1.03
aimedgun	6260	26	1.54	1.24	5.5	2.6	4.08	2.41	4.62	2.42	4.35	2.73	6.15	2.65
knife   	6300	25	1.04	0.2	5.2	2.45	4.8	2.68	5.16	2.98	5.67	2.84	6.64	2.36
abductio	6312	26	1.42	1.58	5.38	2.21	5.96	2.46	6.81	2.23	6.5	2.63	6.27	2.68
attack  	6313	25	1.08	0.4	4.24	2.78	6.04	2.21	7.36	1.98	6.88	2.3	6.32	2.63
attack  	6314	25	1.7	1.15	3.39	2.15	3.52	2.84	4.48	2.92	4.78	3	5.09	2.57
attack  	6350	41	3.24	1.95	1.63	1.7	4.66	2.33	5.59	2.62	6.41	2.52	5.66	2.93
attack  	6360	25	1.68	1.31	4.4	1.87	5.84	2.25	6.2	2.25	6.71	2.14	3.92	2.59
attack  	6370	26	1.12	0.33	4.58	2.39	3.81	2.58	4.23	3.02	5.46	2.79	6.65	2.42
aimedgun	6410	25	1.64	1.25	1.88	1.24	3.76	2.47	4.12	2.88	4.16	2.87	3.88	2.77
attack  	6510	25	1.52	1.29	4.56	2.48	3.24	2.55	4.6	2.77	3.28	2.49	5.92	2.71
attack  	6530	25	2.92	2.04	3.4	1.94	3.56	2.43	3.44	3.11	3.04	2.84	2.76	2.44
attack  	6540	25	1	0	4.88	2.52	5.76	2.93	6.92	2.4	6.63	2.84	6.12	2.51
attack  	6550	25	1.08	0.4	5.56	2.43	7	2.18	7.24	2.24	6.96	2.54	7.04	2.46
attack  	6560	40	1.2	0.76	5.35	2.65	5.82	2.62	6.56	2.63	6.38	2.74	6.13	2.98
attack  	6561	41	1.39	0.95	3.59	1.99	5.1	2.62	5.34	2.8	4.9	2.96	4.51	2.84
suicide 	6570	38	1.58	1.81	6.39	2.35	7.18	2.35	6.24	2.55	5.92	2.82	6.32	2.77
suicide 	6570	43	1.02	0.15	7.63	1.6	6.23	2.55	4.51	2.83	7.47	1.76	3.88	2.85
suicide 	6570	25	2.72	2.28	3.44	3.04	1.64	1.58	1.36	1.04	1.32	0.9	2.12	2.03
cartheft	6571	26	1.5	1.3	4.96	2.18	5.12	2.22	5.81	2.38	5.35	2.43	6.42	3.06
gun     	6610	25	2.48	2.2	2.16	1.4	4.28	2.72	4.2	2.96	4.04	3.16	5.04	3.25
gun     	6800	25	1.8	1.5	2.96	2.19	3.96	2.89	4.08	2.56	3.68	2.59	4.24	2.59
gang    	6821	25	1	0	4.32	2.46	5.58	2.45	6.5	2.38	5.32	3.05	5.64	2.94
guns    	6830	25	1.28	0.68	5.08	2.23	5.08	2.87	5.6	3.1	5.96	3.06	6.32	2.36
police  	6831	32	1	0	4.69	2.18	6.16	2.4	5.77	2.19	6.42	1.96	4.87	2.66
police  	6834	25	1.48	1.38	3.87	2.58	6.13	2.47	5.71	2.48	4.71	2.6	4.81	2.58
Police  	6836	25	1.84	1.72	3.28	1.97	4.64	2.69	5	2.89	5.16	3.05	3.88	2.77
police  	6838	26	1.15	0.46	4.88	2.27	5.84	2.67	4.92	3.06	4.92	2.62	4.15	2.96
police  	6840	25	1.8	1.83	5.24	2.59	4.16	2.29	5.4	2.43	5.4	2.6	4.72	2.73
aircraft	6900	25	2.78	2.09	2.39	1.67	3.39	2.61	3.22	2.83	2.43	2.61	3.96	2.88
bomber  	6910	26	2.63	1.64	1.92	1.04	1.62	1.27	1.38	1.13	1.27	0.78	2.35	1.87
missles 	6930	41	2.9	1.66	2.68	1.74	2.95	1.92	2.73	2.29	2.66	2.5	2.37	2.41
tank    	6940	29	2.17	1.89	3.52	2.34	4.86	2.74	4.24	2.82	4.1	3.12	4.28	2.63
rollingp	7000	25	2.92	2.32	1.29	0.86	1.36	1.11	1.17	0.82	1.16	0.8	1.36	1.25
towel   	7002	26	2.54	1.96	2.12	1.7	1.42	1.21	1.46	1.3	1.54	1.42	1.46	1.3
spoon   	7004	51	2.51	2.05	1.47	1.08	1.1	0.46	1.06	0.31	1.04	0.2	1.04	0.2
bowl    	7006	25	2.36	2.36	2.24	2.15	1.36	1.08	1.04	0.2	1.04	0.2	1.04	0.2
mug     	7009	25	2.48	2.14	1.76	1.64	1.44	1.58	1.08	0.4	1.08	0.28	1	0
basket  	7010	26	2.42	1.81	2.38	2.25	1.65	1.29	1.19	0.98	1.23	0.86	1.19	0.8
fan     	7020	25	2.92	2.14	1.68	1.57	1.4	1.12	1.32	1.11	1.32	1.11	1.44	1.16
stool   	7025	43	2.88	2.48	2.81	2.25	1.23	0.81	1	0	1	0	1.05	0.31
iron    	7030	41	5.68	2.8	2.54	2.01	2.07	1.74	1.68	1.42	1.78	2.04	1.61	1.67
shoes   	7031	25	1.44	1.42	1.44	1.26	1.2	0.82	1.25	0.9	1.2	0.82	1.2	0.82
hammer  	7034	26	2.35	1.87	1.46	1.21	1.5	1.56	1.42	1.47	1.31	1.38	1.38	1.39
mug     	7035	26	3.08	2.19	1.5	1.48	1.38	1.24	1.38	1.39	1.27	0.96	1.42	1.39
dustpasn	7040	25	1.59	1.18	1.45	0.96	1.82	2.08	1.36	1.09	1.41	0.8	1.09	0.29
hairdrye	7050	25	1.8	1.22	1.28	0.68	1.48	1.19	1.32	1.03	1.16	0.47	1.21	0.51
trashcan	7060	40	1.82	2.02	1.71	1.74	1.68	1.89	1.45	1.55	2.24	2.51	1.32	1.32
fork    	7080	40	1.88	1.73	1.88	1.98	1.28	1.26	1.33	1.4	1.13	0.65	1.15	0.7
book    	7090	25	2.28	2.15	1.8	1.41	1.88	1.57	1.38	1.13	1.29	0.91	1.58	1.82
headligh	7095	25	4.5	2.4	2.52	1.56	1.08	0.28	1.16	0.47	1.04	0.2	1.2	0.58
car     	7096	41	3.98	2.35	2.85	2.1	2.34	1.85	1.63	1.53	1.54	1.36	1.59	1.34
firehydr	7100	25	2.63	1.95	1.88	1.94	1.61	1.5	1.33	0.96	1.4	1.26	1.28	0.89
hammer  	7110	38	1.66	1.26	2.5	2.01	2.24	1.87	1.95	1.59	1.84	1.59	2.64	2.27
truck   	7130	26	2.31	1.52	1.5	1.14	1.23	0.65	1.35	0.98	1.5	1.66	1.38	0.8
bus     	7140	40	3.28	2.52	1.73	1.36	1.41	1.23	1.26	0.91	1.18	0.79	1.15	0.67
umbrella	7150	41	3.13	2.14	2.05	1.5	1.68	1.35	1.33	1.07	1.13	0.65	1.23	1
fabric  	7160	25	4.45	2.37	2.96	2.18	1.27	0.55	1.22	0.42	1.09	0.29	1.09	0.29
lightbul	7170	40	3.48	2.37	2.5	2.03	1.88	1.79	1.3	0.88	1.13	0.4	1.85	1.55
lamp    	7175	25	1.92	1.68	1.64	1.6	1.12	0.6	1.16	0.8	1.16	0.8	1.32	1.11
neonbuil	7180	41	3.85	2.25	2.54	1.76	2.07	1.54	1.37	1.02	1.29	0.93	1.61	1.34
checkboa	7182	38	3.74	2.14	3.34	2.77	1.37	0.94	1.68	1.54	1.32	1.16	1.79	1.76
checkerb	7183	26	2.88	2.27	3.15	2.38	1.27	0.6	1.19	0.63	1.12	0.43	1.08	0.27
abstrart	7184	26	1.81	1.27	2.62	2.1	1.46	1.39	2	2.15	1.73	1.71	1.46	1.27
abstract	7185	25	2.24	2.05	1.88	1.79	1.2	0.82	1.2	0.82	1.16	0.8	1.2	0.82
abstrart	7186	40	2.38	1.96	1.82	1.55	1.37	1.13	1.21	0.91	1.21	0.91	1.36	1.11
abstract	7187	51	2.26	1.92	2.45	1.9	1.47	1.21	1.34	1	1.37	1.17	1.29	0.97
clock   	7190	26	2.65	2.13	2.15	2.03	1.35	0.89	1.31	0.88	1.23	0.82	1.46	1.17
teeth   	7195	25	4.52	2.66	3.72	2.64	1.48	1.64	1.24	0.66	1.4	1.12	1.24	0.52
