Means and Standard Deviations for the Six Emotions														
														
Description	IAPS #	N	Happiness		Surprise		Sadness		Anger		Disgust		Fear	
			M	SD	M	SD	M	SD	M	SD	M	SD	M	SD
cow     	1670	27	4.67	2.39	2.07	1.57	2.19	1.59	1.48	0.94	1.19	0.48	1.15	0.46
puppies 	1710	25	8.08	1.5	2.44	2.27	1.08	0.4	1	0	1	0	1.16	0.8
lion    	1720	25	3.88	2.28	1.76	1.3	1.08	0.28	1	0	1.22	1.04	1.88	1.45
lion    	1721	32	7.16	1.61	2.97	1.8	1.41	1.16	1.09	0.3	1.09	0.3	1.97	1.75
jaguars 	1722	25	6.25	2.17	2.71	1.88	1.46	0.72	1.17	0.39	1.08	0.28	1.22	0.52
owl     	1740	25	4.08	2.84	1.92	1.32	1.08	0.28	1.04	0.2	1.28	1.21	1.6	1.8
bunnies 	1750	25	7.4	1.32	2.72	1.97	1.04	0.2	1	0	1	0	1	0
hippo   	1810	38	5.5	2.36	3.87	2.15	1.39	0.87	1.29	0.77	1.61	1.41	1.92	1.81
monkies 	1811	43	6.09	2.47	3.72	2.25	1.23	0.95	1.23	1.02	1.28	1.3	1.33	1.32
elephant	1812	25	7.24	2.26	2.21	1.82	1.48	1.61	1.04	0.2	1	0	1.12	0.44
camels  	1850	40	3.33	2.26	2.28	1.69	1.46	1.21	1.23	0.8	1.37	1.1	1.58	1.45
fish    	1900	25	5.13	2.69	1.92	1.44	1.2	0.65	1.04	0.2	1.04	0.2	1.08	0.28
grouper 	1910	39	5.28	2.36	2.23	1.61	1.21	0.73	1.15	0.81	1.21	1.28	1.03	0.16
porpoise	1920	26	6.08	2.67	3.88	2.41	1.65	1.79	1.38	1.6	1.27	1.37	1	0
shark   	1930	26	4.46	2.45	2.81	2.3	2.81	2.3	2.85	2.34	2.46	2.3	6.04	2.63
shark   	1931	32	2.47	2.17	3.81	2.19	2.16	1.67	1.94	1.44	2.13	1.74	5.72	2.29
turtles 	1942	25	5.88	2.67	2.16	1.14	1.2	0.41	1.04	0.2	1	0	1.42	1.67
turtle  	1945	50	3.28	2.18	3.24	2.15	1.52	1.11	1.45	1.08	2.85	2.49	1.4	1.18
