language,dim,window,alg,comparison,n_common_words,pearson_r,spearman_r
mk,50,1,cbow,fasttext_vs_word2vec,800,0.8038171787169228,0.7522366033917861
mk,50,1,sg,fasttext_vs_word2vec,800,0.7898218267573502,0.7443032387749177
mk,50,1,cbow_vs_sg,fasttext,800,0.6733806796350934,0.6162011537143246
mk,50,1,cbow_vs_sg,word2vec,800,0.8188545184309909,0.7766725972535347
mk,100,2,cbow,fasttext_vs_word2vec,800,0.7624278071646808,0.7040524237705807
mk,100,2,sg,fasttext_vs_word2vec,800,0.7789780945072694,0.7185865864151354
mk,100,2,cbow_vs_sg,fasttext,800,0.6192353768925482,0.560204391039923
mk,100,2,cbow_vs_sg,word2vec,800,0.7783885180863376,0.7179207982561296
mk,200,3,cbow,fasttext_vs_word2vec,800,0.7557234857520563,0.6881860391622311
mk,200,3,sg,fasttext_vs_word2vec,800,0.7839286080815443,0.712743420093063
mk,200,3,cbow_vs_sg,fasttext,800,0.5792808148952153,0.5086591452059133
mk,200,3,cbow_vs_sg,word2vec,800,0.7389209588775042,0.6662087422309042
mk,300,4,cbow,fasttext_vs_word2vec,800,0.7525259941656708,0.6833742462153924
mk,300,4,sg,fasttext_vs_word2vec,800,0.7940964280463885,0.7220481903018858
mk,300,4,cbow_vs_sg,fasttext,800,0.5676484584787924,0.4975166693936825
mk,300,4,cbow_vs_sg,word2vec,800,0.7199290782015249,0.6480760411350985
mk,500,6,cbow,fasttext_vs_word2vec,800,0.7433484580926677,0.6741778825902709
mk,500,6,sg,fasttext_vs_word2vec,800,0.8040065979341533,0.7325434104649102
mk,500,6,cbow_vs_sg,fasttext,800,0.5514977084258887,0.48854777804356236
mk,500,6,cbow_vs_sg,word2vec,800,0.6956551177588624,0.6276860394989234
