language,dim,window,alg,comparison,n_common_words,pearson_r,spearman_r
af,50,1,cbow,fasttext_vs_word2vec,800,0.829568327121952,0.7982648425198197
af,50,1,sg,fasttext_vs_word2vec,800,0.8899270100237792,0.8572814529715209
af,50,1,cbow_vs_sg,fasttext,800,0.7160054176257498,0.6680886716916768
af,50,1,cbow_vs_sg,word2vec,800,0.8592470268943755,0.81838146113794
af,100,2,cbow,fasttext_vs_word2vec,800,0.7786355185713285,0.749113409804043
af,100,2,sg,fasttext_vs_word2vec,800,0.8358255456499839,0.7827473739111046
af,100,2,cbow_vs_sg,fasttext,800,0.65835188604014,0.6201220631382242
af,100,2,cbow_vs_sg,word2vec,800,0.8376602400475188,0.7840937471067682
af,200,3,cbow,fasttext_vs_word2vec,800,0.7548219552806568,0.7188007796049
af,200,3,sg,fasttext_vs_word2vec,800,0.7905910971096095,0.7250778359266168
af,200,3,cbow_vs_sg,fasttext,800,0.6272814356605059,0.5895342039683191
af,200,3,cbow_vs_sg,word2vec,800,0.8068566369506137,0.7387502430606279
af,300,4,cbow,fasttext_vs_word2vec,800,0.7455523153755902,0.7044262361132335
af,300,4,sg,fasttext_vs_word2vec,800,0.7557864474246159,0.6863711180856845
af,300,4,cbow_vs_sg,fasttext,800,0.60940165401617,0.5769539013292082
af,300,4,cbow_vs_sg,word2vec,800,0.7878499246473933,0.7142416857005648
af,500,6,cbow,fasttext_vs_word2vec,800,0.7433019542790418,0.7002132689876982
af,500,6,sg,fasttext_vs_word2vec,800,0.7272411010220692,0.6613692130113203
af,500,6,cbow_vs_sg,fasttext,800,0.5770597574216976,0.5544484149300142
af,500,6,cbow_vs_sg,word2vec,800,0.7500123279168167,0.6710076013897172
