language,dim,window,alg,comparison,n_common_words,pearson_r,spearman_r
vi,50,1,cbow,fasttext_vs_word2vec,800,0.857925739097144,0.8553710292270598
vi,50,1,sg,fasttext_vs_word2vec,800,0.9294913057130105,0.921431550222783
vi,50,1,cbow_vs_sg,fasttext,800,0.7176184685889928,0.7188655772829907
vi,50,1,cbow_vs_sg,word2vec,800,0.8002082577316703,0.8028431682891318
vi,100,2,cbow,fasttext_vs_word2vec,800,0.8162933418211302,0.8021710894121419
vi,100,2,sg,fasttext_vs_word2vec,800,0.8788400872696807,0.8604872710379491
vi,100,2,cbow_vs_sg,fasttext,800,0.712252094689962,0.7029461032362497
vi,100,2,cbow_vs_sg,word2vec,800,0.7976500926443284,0.7798916465225224
vi,200,3,cbow,fasttext_vs_word2vec,800,0.8025087401537891,0.7902869974169652
vi,200,3,sg,fasttext_vs_word2vec,800,0.8243128647332416,0.7997210027797147
vi,200,3,cbow_vs_sg,fasttext,800,0.7024651444241092,0.6935134351174972
vi,200,3,cbow_vs_sg,word2vec,800,0.7903809188898663,0.7637899319901593
vi,300,4,cbow,fasttext_vs_word2vec,800,0.7798139904504787,0.776349068826928
vi,300,4,sg,fasttext_vs_word2vec,800,0.802147145895274,0.7752536461456291
vi,300,4,cbow_vs_sg,fasttext,800,0.6940646753520545,0.6808495929462128
vi,300,4,cbow_vs_sg,word2vec,800,0.7752029743562423,0.7455375429120651
vi,500,6,cbow,fasttext_vs_word2vec,800,0.7958063487970632,0.798683976618546
vi,500,6,sg,fasttext_vs_word2vec,800,0.7897097506733672,0.764151653347299
vi,500,6,cbow_vs_sg,fasttext,800,0.6388521124973534,0.6191106070762851
vi,500,6,cbow_vs_sg,word2vec,800,0.7232859989061067,0.696568922037628
