language,dim,window,alg,comparison,n_common_words,pearson_r,spearman_r
he,50,1,cbow,fasttext_vs_word2vec,800,0.8306141368093787,0.8186227312238291
he,50,1,sg,fasttext_vs_word2vec,800,0.8386847521989909,0.8033412313075616
he,50,1,cbow_vs_sg,fasttext,800,0.5911330008754763,0.5457567796991362
he,50,1,cbow_vs_sg,word2vec,800,0.7674344618253616,0.7224183546310129
he,100,2,cbow,fasttext_vs_word2vec,800,0.86194493357474,0.8263799760813371
he,100,2,sg,fasttext_vs_word2vec,800,0.8206248074296694,0.7703114864770148
he,100,2,cbow_vs_sg,fasttext,800,0.5690877160939017,0.48599067357726095
he,100,2,cbow_vs_sg,word2vec,800,0.6772965052086612,0.6013732677396217
he,200,3,cbow,fasttext_vs_word2vec,800,0.8462158090685947,0.7946656887310555
he,200,3,sg,fasttext_vs_word2vec,800,0.8229263037211918,0.7593929621510634
he,200,3,cbow_vs_sg,fasttext,800,0.5666002139649153,0.46396426112783296
he,200,3,cbow_vs_sg,word2vec,800,0.6345370595483222,0.5393334954832794
he,300,4,cbow,fasttext_vs_word2vec,800,0.8271977042525223,0.7688147765741411
he,300,4,sg,fasttext_vs_word2vec,800,0.8265479890233183,0.7611775569651682
he,300,4,cbow_vs_sg,fasttext,800,0.5638040857952706,0.4628663631518327
he,300,4,cbow_vs_sg,word2vec,800,0.6049864417077466,0.5028907976630863
he,500,6,cbow,fasttext_vs_word2vec,800,0.6322910614293744,0.5243199711302609
he,500,6,sg,fasttext_vs_word2vec,800,0.8296314465996992,0.7682304401914934
he,500,6,cbow_vs_sg,fasttext,800,0.5483069050262768,0.45835743500015974
he,500,6,cbow_vs_sg,word2vec,800,0.44456188200664226,0.326248842480628
