language,dim,window,alg,family,seconds,n_words
hi,50,1,cbow,fasttext,61.946815967559814,127584
hi,50,1,cbow,word2vec,35.444458961486816,127584
hi,50,1,sg,fasttext,68.4435920715332,127584
hi,50,1,sg,word2vec,44.391669273376465,127584
hi,100,2,cbow,fasttext,82.78630805015564,127584
hi,100,2,cbow,word2vec,43.02738690376282,127584
hi,100,2,sg,fasttext,125.35464382171632,127584
hi,100,2,sg,word2vec,83.8046977519989,127584
hi,200,3,cbow,fasttext,166.19742798805237,127584
hi,200,3,cbow,word2vec,60.87735724449158,127584
hi,200,3,sg,fasttext,237.8215339183807,127584
hi,200,3,sg,word2vec,143.95824694633484,127584
hi,300,4,cbow,fasttext,216.30594158172607,127584
hi,300,4,cbow,word2vec,73.9607207775116,127584
hi,300,4,sg,fasttext,402.9317109584808,127584
hi,300,4,sg,word2vec,254.2045440673828,127584
hi,500,6,cbow,fasttext,433.6832242012024,127584
hi,500,6,cbow,word2vec,96.44501209259032,127584
hi,500,6,sg,fasttext,807.4972898960114,127584
hi,500,6,sg,word2vec,464.7780339717865,127584
