var,adjusted r,adjusted r-squared,r-squared,r,dataset,eval_type,normalized,language,dim,window,alg,family
unigram_freq,0.08311599758906842,0.006908269055226027,0.017832964502629278,0.13354012319385242,mk.subs.2018.tsv,counts,False,mk,50,1,cbow,fasttext
unigram_freq,0.05798453090639597,0.00336220582443479,0.01275600993829118,0.11294250722509741,mk.wiki.2018.tsv,counts,False,mk,50,1,cbow,fasttext
unigram_freq,0.05659138360679297,0.0032025846985311965,0.008267133024062845,0.0909237759008217,mk.subs.2018.tsv,counts,True,mk,50,1,cbow,fasttext
unigram_freq,0.032462505307582296,0.0010538142508448086,0.0039981089079069165,0.06323060104021562,mk.wiki.2018.tsv,counts,True,mk,50,1,cbow,fasttext
unigram_freq,0.06376254193532761,0.004065661754054413,0.01049507498334945,0.10244547322038905,mk.subs.2018.tsv,counts,False,mk,50,1,cbow,word2vec
unigram_freq,0.03580643438090227,0.0012821007430738602,0.004864214350497109,0.06974391981023943,mk.wiki.2018.tsv,counts,False,mk,50,1,cbow,word2vec
unigram_freq,0.05202840274540021,0.002706954692237568,0.0069877166843089755,0.08359256357062496,mk.subs.2018.tsv,counts,True,mk,50,1,cbow,word2vec
unigram_freq,0.025643580138960072,0.0006575932023432674,0.002494869696400448,0.04994867061694883,mk.wiki.2018.tsv,counts,True,mk,50,1,cbow,word2vec
unigram_freq,0.04418879302179706,0.0019526494287232206,0.005040557579638338,0.07099688429528678,mk.subs.2018.tsv,counts,False,mk,50,1,sg,fasttext
unigram_freq,0.02308521793993015,0.0005329272873340729,0.0020218945920013054,0.0449654822280525,mk.wiki.2018.tsv,counts,False,mk,50,1,sg,fasttext
unigram_freq,0.05150572172363864,0.002652839370272901,0.006848023715212148,0.08275278675194056,mk.subs.2018.tsv,counts,True,mk,50,1,sg,fasttext
unigram_freq,0.029285537571471204,0.0008576427108500516,0.003253845693680979,0.057042490247893096,mk.wiki.2018.tsv,counts,True,mk,50,1,sg,fasttext
unigram_freq,0.03957698542834021,0.0015663377755950534,0.004043334984207558,0.06358722343527479,mk.subs.2018.tsv,counts,False,mk,50,1,sg,word2vec
unigram_freq,0.029154209520510056,0.0008499679327657993,0.003224728039786795,0.056786688931357805,mk.wiki.2018.tsv,counts,False,mk,50,1,sg,word2vec
unigram_freq,0.04601728666822952,0.002117590672306014,0.005466335921263055,0.07393467333574319,mk.subs.2018.tsv,counts,True,mk,50,1,sg,word2vec
unigram_freq,0.030435744609485376,0.0009263345499338182,0.00351445846630305,0.05928286823613589,mk.wiki.2018.tsv,counts,True,mk,50,1,sg,word2vec
unigram_freq,0.08568789056229793,0.007342414589016348,0.018953665192073477,0.13767231091281018,mk.subs.2018.tsv,counts,False,mk,100,2,cbow,fasttext
unigram_freq,0.06523642595941473,0.0042557912719582,0.01614622024798784,0.12706777816577985,mk.wiki.2018.tsv,counts,False,mk,100,2,cbow,fasttext
unigram_freq,0.055384302922135406,0.003067421010170856,0.007918222285742516,0.08898439349539061,mk.subs.2018.tsv,counts,True,mk,100,2,cbow,fasttext
unigram_freq,0.030775867028445023,0.0009471539913525295,0.0035934461950484775,0.059945360079396284,mk.wiki.2018.tsv,counts,True,mk,100,2,cbow,fasttext
unigram_freq,0.08292707478014891,0.006876899731592408,0.01775198791784982,0.13323658625861676,mk.subs.2018.tsv,counts,False,mk,100,2,cbow,word2vec
unigram_freq,0.052826524990761604,0.0027906417425995604,0.010587529634297266,0.10289572213798427,mk.wiki.2018.tsv,counts,False,mk,100,2,cbow,word2vec
unigram_freq,0.059420384453688344,0.0035307820886241277,0.00911433980778753,0.09546905157058769,mk.subs.2018.tsv,counts,True,mk,100,2,cbow,word2vec
unigram_freq,0.03517531863350727,0.001237303040968764,0.004694254519628849,0.06851462996783131,mk.wiki.2018.tsv,counts,True,mk,100,2,cbow,word2vec
unigram_freq,0.05185095869173077,0.0026885219172515713,0.0069401344289882205,0.08330746922688398,mk.subs.2018.tsv,counts,False,mk,100,2,sg,fasttext
unigram_freq,0.021315523965819688,0.00045435156193743346,0.001723782939590357,0.04151846504376525,mk.wiki.2018.tsv,counts,False,mk,100,2,sg,fasttext
unigram_freq,0.06044347730760136,0.003653413949034521,0.009430900960242294,0.09711282593067866,mk.subs.2018.tsv,counts,True,mk,100,2,sg,fasttext
unigram_freq,0.028713165343217238,0.0008244458640269315,0.0031278988212681824,0.05592762127310782,mk.wiki.2018.tsv,counts,True,mk,100,2,sg,fasttext
unigram_freq,0.04408734941156441,0.001943694378137369,0.005017441065510109,0.07083389771507784,mk.subs.2018.tsv,counts,False,mk,100,2,sg,word2vec
unigram_freq,0.030375997155062198,0.0009227012031643466,0.0035006737636641416,0.059166491899251064,mk.wiki.2018.tsv,counts,False,mk,100,2,sg,word2vec
unigram_freq,0.055463657691861186,0.0030762173245599527,0.007940929039199962,0.0891118905601265,mk.subs.2018.tsv,counts,True,mk,100,2,sg,word2vec
unigram_freq,0.0355497646735387,0.0012637857683439804,0.004794728420166483,0.06924397750105407,mk.wiki.2018.tsv,counts,True,mk,100,2,sg,word2vec
unigram_freq,0.02655393820585933,0.0007051116342405957,0.00182017096370779,0.042663461693910755,mk.subs.2018.tsv,counts,False,mk,200,3,cbow,fasttext
unigram_freq,0.02084550705567721,0.00043453516440828825,0.0016486007000064973,0.04060296417758803,mk.wiki.2018.tsv,counts,False,mk,200,3,cbow,fasttext
unigram_freq,0.0489173995271047,0.0023929119764943834,0.006177048692459275,0.07859420266444132,mk.subs.2018.tsv,counts,True,mk,200,3,cbow,fasttext
unigram_freq,0.020214647108447,0.00040863195771904465,0.00155032546665812,0.03937417258379051,mk.wiki.2018.tsv,counts,True,mk,200,3,cbow,fasttext
unigram_freq,0.09691811725787405,0.009393121452811026,0.02424734764928521,0.15571559860619363,mk.subs.2018.tsv,counts,False,mk,200,3,cbow,word2vec
unigram_freq,0.062070044325207734,0.003852690402533253,0.014616879403013594,0.12090028702618366,mk.wiki.2018.tsv,counts,False,mk,200,3,cbow,word2vec
unigram_freq,0.06767500875399633,0.004579906809853481,0.011822544100780541,0.10873152303164221,mk.subs.2018.tsv,counts,True,mk,200,3,cbow,word2vec
unigram_freq,0.036462503193022376,0.001329514139101167,0.005044097969321704,0.07102181333450804,mk.wiki.2018.tsv,counts,True,mk,200,3,cbow,word2vec
unigram_freq,0.054896254442171714,0.0030135987517796573,0.007779285829204896,0.0882002598023662,mk.subs.2018.tsv,counts,False,mk,200,3,sg,fasttext
unigram_freq,0.02431531337726873,0.0005912344646347836,0.0022431085723341737,0.047361467168302265,mk.wiki.2018.tsv,counts,False,mk,200,3,sg,fasttext
unigram_freq,0.06910016387188761,0.004774832647121722,0.012325724493562173,0.11102127946282268,mk.subs.2018.tsv,counts,True,mk,200,3,sg,fasttext
unigram_freq,0.031797830746602446,0.0010111020401895757,0.0038360613081898087,0.061935945203006375,mk.wiki.2018.tsv,counts,True,mk,200,3,sg,fasttext
unigram_freq,0.050510927513672796,0.0025513537982915077,0.006586049465482524,0.08115447902292593,mk.subs.2018.tsv,counts,False,mk,200,3,sg,word2vec
unigram_freq,0.0316753964249081,0.0010033307386750811,0.003806577450113091,0.061697467128830265,mk.wiki.2018.tsv,counts,False,mk,200,3,sg,word2vec
unigram_freq,0.06839649754417702,0.004678080876310614,0.012075970049916729,0.10989071867048977,mk.subs.2018.tsv,counts,True,mk,200,3,sg,word2vec
unigram_freq,0.04263643519123561,0.0018178656058164345,0.006896874535683828,0.08304742341387737,mk.wiki.2018.tsv,counts,True,mk,200,3,sg,word2vec
unigram_freq,0.028562326169614807,0.0008158064762194629,0.0021059179680373297,0.04589028184743835,mk.subs.2018.tsv,counts,False,mk,300,4,cbow,fasttext
unigram_freq,0.032096610973435295,0.0010301924359800469,0.003908489140138527,0.06251791055480443,mk.wiki.2018.tsv,counts,False,mk,300,4,cbow,fasttext
unigram_freq,0.05078896641669085,0.0025795191096757513,0.006658755232166691,0.08160119626676247,mk.subs.2018.tsv,counts,True,mk,300,4,cbow,fasttext
unigram_freq,0.01801338878780907,0.00032448217562076556,0.0012310661729677541,0.035086552594516235,mk.wiki.2018.tsv,counts,True,mk,300,4,cbow,fasttext
unigram_freq,0.10073336387874765,0.01014721059832818,0.02619394886824794,0.1618454474745828,mk.subs.2018.tsv,counts,False,mk,300,4,cbow,word2vec
unigram_freq,0.06400052065420744,0.004096066644009633,0.015540234461307367,0.12466047674105601,mk.wiki.2018.tsv,counts,False,mk,300,4,cbow,word2vec
unigram_freq,0.0705342924237689,0.004975086407721743,0.012842658355829262,0.11332545325666808,mk.subs.2018.tsv,counts,True,mk,300,4,cbow,word2vec
unigram_freq,0.043106131682440554,0.001858138588623905,0.007049667849288621,0.08396230016673328,mk.wiki.2018.tsv,counts,True,mk,300,4,cbow,word2vec
unigram_freq,0.057440826652020084,0.0032994485664674207,0.008517176834557938,0.09228855202330319,mk.subs.2018.tsv,counts,False,mk,300,4,sg,fasttext
unigram_freq,0.023196040672390113,0.0005380563028751764,0.002041353773453103,0.04518134320107253,mk.wiki.2018.tsv,counts,False,mk,300,4,sg,fasttext
unigram_freq,0.0715859425942649,0.005124547177109391,0.013228475493771985,0.11501510984984531,mk.subs.2018.tsv,counts,True,mk,300,4,sg,fasttext
