language,dim,window,alg,comparison,n_common_words,pearson_r,spearman_r
ar,50,1,cbow,fasttext_vs_word2vec,800,0.7859245828794986,0.7488656998915136
ar,50,1,sg,fasttext_vs_word2vec,800,0.8265960748624059,0.7989761393572787
ar,50,1,cbow_vs_sg,fasttext,800,0.6258253156101408,0.5833138868862643
ar,50,1,cbow_vs_sg,word2vec,800,0.7846844338443653,0.7472662713108355
ar,100,2,cbow,fasttext_vs_word2vec,800,0.6710080310500122,0.6542918935797799
ar,100,2,sg,fasttext_vs_word2vec,800,0.8137509664467605,0.7753344172232548
ar,100,2,cbow_vs_sg,fasttext,800,0.5373477428993775,0.4831864262112539
ar,100,2,cbow_vs_sg,word2vec,800,0.7151333574471995,0.6547600898397068
ar,200,3,cbow,fasttext_vs_word2vec,800,0.6005220918283438,0.6139825977850046
ar,200,3,sg,fasttext_vs_word2vec,800,0.8247630989605188,0.779815077101704
ar,200,3,cbow_vs_sg,fasttext,800,0.5107320240427143,0.4487059755620113
ar,200,3,cbow_vs_sg,word2vec,800,0.6654101447176335,0.5888231406567114
ar,300,4,cbow,fasttext_vs_word2vec,800,0.5648314594557807,0.5944991690333737
ar,300,4,sg,fasttext_vs_word2vec,800,0.8292058569896897,0.7838709508474616
ar,300,4,cbow_vs_sg,fasttext,800,0.512389857507383,0.4501397561842911
ar,300,4,cbow_vs_sg,word2vec,800,0.6345763911228236,0.5529080806722125
ar,500,6,cbow,fasttext_vs_word2vec,800,0.5341597271690514,0.5832224168597531
ar,500,6,sg,fasttext_vs_word2vec,800,0.8377739489734315,0.7992665870656701
ar,500,6,cbow_vs_sg,fasttext,800,0.5190807693276926,0.45368362094332243
ar,500,6,cbow_vs_sg,word2vec,800,0.6063805198939315,0.5248000139523585
