language,dim,window,alg,family,seconds,n_words
mk,50,1,cbow,fasttext,137.27362298965454,214421
mk,50,1,cbow,word2vec,83.86443781852722,214421
mk,50,1,sg,fasttext,150.49132108688354,214421
mk,50,1,sg,word2vec,90.6837728023529,214421
mk,100,2,cbow,fasttext,208.61957120895386,214421
mk,100,2,cbow,word2vec,120.46716213226318,214421
mk,100,2,sg,fasttext,264.47009110450745,214421
mk,100,2,sg,word2vec,159.6497848033905,214421
mk,200,3,cbow,fasttext,301.8970718383789,214421
mk,200,3,cbow,word2vec,131.29847192764282,214421
mk,200,3,sg,fasttext,430.3408052921295,214421
mk,200,3,sg,word2vec,226.31724405288696,214421
mk,300,4,cbow,fasttext,455.19598484039307,214421
mk,300,4,cbow,word2vec,147.8410758972168,214421
mk,300,4,sg,fasttext,691.009859085083,214421
mk,300,4,sg,word2vec,346.4155399799347,214421
mk,500,6,cbow,fasttext,805.2962291240692,214421
mk,500,6,cbow,word2vec,176.93300414085388,214421
mk,500,6,sg,fasttext,1356.1570010185242,214421
mk,500,6,sg,word2vec,774.0559952259064,214421
