language,dim,window,alg,family,seconds,n_words
eu,50,1,cbow,fasttext,100.76889133453368,229890
eu,50,1,cbow,word2vec,56.88794279098511,229890
eu,50,1,sg,fasttext,114.93602871894836,229890
eu,50,1,sg,word2vec,66.49423003196716,229890
eu,100,2,cbow,fasttext,149.5252401828766,229890
eu,100,2,cbow,word2vec,73.33366394042969,229890
eu,100,2,sg,fasttext,189.1937689781189,229890
eu,100,2,sg,word2vec,109.38616180419922,229890
eu,200,3,cbow,fasttext,223.37372708320615,229890
eu,200,3,cbow,word2vec,87.09539985656738,229890
eu,200,3,sg,fasttext,305.32146310806274,229890
eu,200,3,sg,word2vec,169.7976861000061,229890
eu,300,4,cbow,fasttext,330.2395329475403,229890
eu,300,4,cbow,word2vec,103.7503628730774,229890
eu,300,4,sg,fasttext,518.6556341648102,229890
eu,300,4,sg,word2vec,242.1127679347992,229890
eu,500,6,cbow,fasttext,617.5972409248352,229890
eu,500,6,cbow,word2vec,116.46131825447084,229890
eu,500,6,sg,fasttext,957.1971549987792,229890
eu,500,6,sg,word2vec,452.9139850139618,229890
