language,dim,window,alg,family,seconds,n_words
kk,50,1,cbow,fasttext,80.20483303070068,200395
kk,50,1,cbow,word2vec,43.53233885765076,200395
kk,50,1,sg,fasttext,89.36651587486267,200395
kk,50,1,sg,word2vec,49.119730949401855,200395
kk,100,2,cbow,fasttext,113.9231059551239,200395
kk,100,2,cbow,word2vec,54.32665014266968,200395
kk,100,2,sg,fasttext,149.1832399368286,200395
kk,100,2,sg,word2vec,84.13647985458374,200395
kk,200,3,cbow,fasttext,210.07719826698303,200395
kk,200,3,cbow,word2vec,74.36730885505676,200395
kk,200,3,sg,fasttext,270.8760099411011,200395
kk,200,3,sg,word2vec,144.042653799057,200395
kk,300,4,cbow,fasttext,281.8029420375824,200395
kk,300,4,cbow,word2vec,85.95290088653564,200395
kk,300,4,sg,fasttext,457.1423091888428,200395
kk,300,4,sg,word2vec,223.37782502174375,200395
kk,500,6,cbow,fasttext,553.7317860126495,200395
kk,500,6,cbow,word2vec,100.7577919960022,200395
kk,500,6,sg,fasttext,883.7449252605438,200395
kk,500,6,sg,word2vec,421.4238109588623,200395
