language,dim,window,alg,family,seconds,n_words
ko,50,1,cbow,fasttext,319.891047000885,808886
ko,50,1,cbow,word2vec,198.80247473716736,808886
ko,50,1,sg,fasttext,340.69711780548096,808886
ko,50,1,sg,word2vec,241.16019916534424,808886
ko,100,2,cbow,fasttext,375.22616386413574,808886
ko,100,2,cbow,word2vec,234.49286699295044,808886
ko,100,2,sg,fasttext,584.1640570163727,808886
ko,100,2,sg,word2vec,392.7472791671753,808886
ko,200,3,cbow,fasttext,447.4249441623688,808886
ko,200,3,cbow,word2vec,260.01139974594116,808886
ko,200,3,sg,fasttext,929.6610989570618,808886
ko,200,3,sg,word2vec,661.7189748287201,808886
ko,300,4,cbow,fasttext,575.4316620826721,808886
ko,300,4,cbow,word2vec,293.8031189441681,808886
ko,300,4,sg,fasttext,1295.9969508647919,808886
ko,300,4,sg,word2vec,1087.5701999664307,808886
ko,500,6,cbow,fasttext,908.1630969047546,808886
ko,500,6,cbow,word2vec,428.44503808021545,808886
ko,500,6,sg,fasttext,2562.52880692482,808886
ko,500,6,sg,word2vec,1597.5838050842285,808886
