norm,adjusted r,adjusted r-squared,r-squared,r,dataset,eval_type,normalized,var,language,dim,window,alg,family
aoa_cai_mean,0.5737611940930188,0.3292019078470469,0.3790294792249831,0.6156537007319806,Cai2021.csv,norms,False,,zh,50,1,cbow,fasttext
valence_mean,0.6706649263813051,0.44979144347804145,0.46269439626336123,0.680216433397019,Chan2024.csv,norms,False,,zh,50,1,cbow,fasttext
arousal_mean,0.61369203525033,0.37661791412969226,0.387421772750356,0.6224321430889924,Chan2024.csv,norms,False,,zh,50,1,cbow,fasttext
concrete_mean,0.6555685201769974,0.4297700846470582,0.44209869425302234,0.6649050264910188,Chan2024.csv,norms,False,,zh,50,1,cbow,fasttext
familiar_mean,0.4453369820274351,0.19832502756130405,0.2040142831126842,0.45167940302019993,Chan2024.csv,norms,False,,zh,50,1,cbow,fasttext
imagine_mean,0.6877167914029497,0.4729543851775682,0.4865218022328329,0.6975111484649066,Chan2024.csv,norms,False,,zh,50,1,cbow,fasttext
familiar_mean,0.7015829622643724,0.4922186529396518,0.5039272832381854,0.7098783580573402,Chang2016.csv,norms,False,,zh,50,1,cbow,fasttext
gustatory_mean,0.39542307225064405,0.15635940606813806,0.2146472319988641,0.4633003690899286,Chen2019.csv,norms,False,,zh,50,1,cbow,fasttext
visual_strength_mean,0.12130486892637977,0.014714871225246177,0.020200296593237355,0.14212774744305687,Chen2019.csv,norms,False,,zh,50,1,cbow,fasttext
auditory_mean,0.0,-0.14164562346901044,-0.14476557112251287,0.0,Chen2019.csv,norms,False,,zh,50,1,cbow,fasttext
olfactory_strength_mean,0.45942162013609456,0.21106822504847397,0.21571730489535668,0.4644537704609111,Chen2019.csv,norms,False,,zh,50,1,cbow,fasttext
haptic_strength_mean,0.440054747539283,0.19364818083186208,0.19791355926428195,0.444874768068815,Chen2019.csv,norms,False,,zh,50,1,cbow,fasttext
arousal_mean,0.5727452526741748,0.32803712446080424,0.33061812721671413,0.5749940236356498,Cheng2025.csv,norms,False,,zh,50,1,cbow,fasttext
valence_mean,0.6046406288504907,0.36559029005671695,0.3684667618820363,0.6070146306984999,Cheng2025.csv,norms,False,,zh,50,1,cbow,fasttext
familiar_mean,0.0,-0.5933069207262238,-1.1866138414524476,0.0,Li2021.csv,norms,False,,zh,50,1,cbow,fasttext
aoa_mean,0.6537145734309829,0.427342743516052,0.42788759189282555,0.6541311733076368,Liu2007.csv,norms,False,,zh,50,1,cbow,fasttext
concrete_mean,0.6845735047883147,0.46864088345815674,0.4692383856470112,0.6850097704755832,Liu2007.csv,norms,False,,zh,50,1,cbow,fasttext
familiar_mean,0.5087702952683778,0.2588472133474723,0.25917723529394165,0.5090945249105923,Liu2007.csv,norms,False,,zh,50,1,cbow,fasttext
imagine_mean,0.6267494602688287,0.39281488594726804,0.39331571240618934,0.6271488757912186,Liu2007.csv,norms,False,,zh,50,1,cbow,fasttext
