norm,adjusted r,adjusted r-squared,r-squared,r,dataset,eval_type,normalized,var,language,dim,window,alg,family
aoa_mean_hebrew,0.0,-0.07148614025032109,-0.8905981639519168,0.0,Luniewska2016.csv,norms,False,,he,100,2,sg,fasttext
,0.0335203458930743,0.001123613588791343,0.003584161646877748,0.059867868233951245,he.subs.2018.tsv,counts,False,unigram_freq,he,100,2,sg,fasttext
,0.05228301027659203,0.002733513163582228,0.007746962308199878,0.08801682968728128,he.wiki.2018.tsv,counts,False,unigram_freq,he,100,2,sg,fasttext
aoa_mean_hebrew,0.0,-0.017936468662395944,-0.22345850541901613,0.0,Luniewska2016.csv,norms,True,,he,100,2,sg,fasttext
,0.03856636248314129,0.0014873643151810478,0.004744472821070933,0.06888013371844551,he.subs.2018.tsv,counts,True,unigram_freq,he,100,2,sg,fasttext
,0.05118711507998173,0.0026201207502112925,0.007425600492890649,0.08617192404078401,he.wiki.2018.tsv,counts,True,unigram_freq,he,100,2,sg,fasttext
aoa_mean_hebrew,0.0,-0.07233162656211715,-0.9011315142530428,0.0,Luniewska2016.csv,norms,False,,he,100,2,sg,word2vec
,0.021135476976827973,0.00044670838703802525,0.0014249338777422293,0.03774829635549437,he.subs.2018.tsv,counts,False,unigram_freq,he,100,2,sg,word2vec
,0.051143669337951995,0.0026156749133497714,0.007413000688706983,0.08609878447868462,he.wiki.2018.tsv,counts,False,unigram_freq,he,100,2,sg,word2vec
aoa_mean_hebrew,0.0,-0.024884558592459832,-0.31002012579772875,0.0,Luniewska2016.csv,norms,True,,he,100,2,sg,word2vec
,0.024676653034494306,0.0006089372049848171,0.0019424198828097428,0.04407289283459554,he.subs.2018.tsv,counts,True,unigram_freq,he,100,2,sg,word2vec
,0.046425813181846055,0.002155356129595671,0.0061084259330375645,0.07815641965339484,he.wiki.2018.tsv,counts,True,unigram_freq,he,100,2,sg,word2vec
aoa_mean_hebrew,0.0,-0.059407535471459695,-0.7401188794152687,0.0,Luniewska2016.csv,norms,False,,he,200,3,cbow,fasttext
,0.053083862125553403,0.002817896418164763,0.008988674013567732,0.09480861782331673,he.subs.2018.tsv,counts,False,unigram_freq,he,200,3,cbow,fasttext
,0.05116850383871929,0.0026182157850930306,0.007420201692121653,0.08614059259212031,he.wiki.2018.tsv,counts,False,unigram_freq,he,200,3,cbow,fasttext
aoa_mean_hebrew,0.0,-0.020218496385494913,-0.2518887674692908,0.0,Luniewska2016.csv,norms,True,,he,200,3,cbow,fasttext
,0.037015469308120184,0.0013701449681003872,0.004370560390436762,0.06611021396453623,he.subs.2018.tsv,counts,True,unigram_freq,he,200,3,cbow,fasttext
,0.05289585878798492,0.002797971876918441,0.00792964268790447,0.0890485411890867,he.wiki.2018.tsv,counts,True,unigram_freq,he,200,3,cbow,fasttext
aoa_mean_hebrew,0.0,-0.10528258019844523,-1.3116454783056302,0.0,Luniewska2016.csv,norms,False,,he,200,3,cbow,word2vec
,0.06895700129531714,0.00475506802764237,0.015167965769534053,0.12315829557741555,he.subs.2018.tsv,counts,False,unigram_freq,he,200,3,cbow,word2vec
