var,adjusted r,adjusted r-squared,r-squared,r,dataset,eval_type,normalized,language,dim,window,alg,family
unigram_freq,0.21088901899564386,0.044474178332945036,0.06066858022591959,0.2463099271769605,kk.subs.2018.tsv,counts,False,kk,50,1,cbow,fasttext
unigram_freq,0.07576746257637908,0.005740708385263004,0.029637508407725666,0.17215547742585963,kk.wiki.2018.tsv,counts,False,kk,50,1,cbow,fasttext
unigram_freq,0.22858208935174232,0.05224977157240791,0.07127550361236079,0.2669747246695102,kk.subs.2018.tsv,counts,True,kk,50,1,cbow,fasttext
unigram_freq,0.04653946736907051,0.002165922022996779,0.011181987981105979,0.10574491941037158,kk.wiki.2018.tsv,counts,True,kk,50,1,cbow,fasttext
unigram_freq,0.21789493794468748,0.04747820398191921,0.06476646304055284,0.25449255989233327,kk.subs.2018.tsv,counts,False,kk,50,1,cbow,word2vec
unigram_freq,0.08525671672432748,0.007268707746612222,0.037526098261068674,0.19371654101048955,kk.wiki.2018.tsv,counts,False,kk,50,1,cbow,word2vec
unigram_freq,0.20708397216132846,0.042883771526113855,0.058499057897035744,0.24186578488292995,kk.subs.2018.tsv,counts,True,kk,50,1,cbow,word2vec
unigram_freq,0.058276633886406144,0.0033961660571302206,0.017533358832616974,0.1324135900601482,kk.wiki.2018.tsv,counts,True,kk,50,1,cbow,word2vec
unigram_freq,0.20910934463548425,0.04372671801388173,0.059648946855893004,0.24423133880788722,kk.subs.2018.tsv,counts,False,kk,50,1,sg,fasttext
unigram_freq,0.03626262873339554,0.0013149782426560837,0.006788827459472235,0.08239434118598336,kk.wiki.2018.tsv,counts,False,kk,50,1,sg,fasttext
unigram_freq,0.19536229626691942,0.0381664268026836,0.052063984388443396,0.22817533694166728,kk.subs.2018.tsv,counts,True,kk,50,1,sg,fasttext
unigram_freq,0.04042845512710289,0.0016344599839641723,0.008438213242320969,0.09185974767176845,kk.wiki.2018.tsv,counts,True,kk,50,1,sg,fasttext
unigram_freq,0.1955474636254042,0.038238810530328786,0.052162725234307206,0.2283916049996304,kk.subs.2018.tsv,counts,False,kk,50,1,sg,word2vec
unigram_freq,0.0639616055493948,0.004091086984456372,0.02112102144220096,0.14533073123810036,kk.wiki.2018.tsv,counts,False,kk,50,1,sg,word2vec
unigram_freq,0.2112168549089108,0.04461255979761187,0.06085735059348141,0.2466928263924215,kk.subs.2018.tsv,counts,True,kk,50,1,sg,word2vec
unigram_freq,0.05746044453593494,0.0033017026862672554,0.017045673557510466,0.13055908071639624,kk.wiki.2018.tsv,counts,True,kk,50,1,sg,word2vec
unigram_freq,0.25874584058407907,0.06694941001956167,0.0913277277984238,0.3022047779212364,kk.subs.2018.tsv,counts,False,kk,100,2,cbow,fasttext
unigram_freq,0.08441105406668609,0.007125226048649002,0.03678534646802234,0.19179506372172966,kk.wiki.2018.tsv,counts,False,kk,100,2,cbow,fasttext
unigram_freq,0.20059707854340872,0.040239187920150486,0.05489150091281397,0.23428935296511869,kk.subs.2018.tsv,counts,True,kk,100,2,cbow,fasttext
unigram_freq,0.053632617243548376,0.002876457632392963,0.014850264382591072,0.12186166083962204,kk.wiki.2018.tsv,counts,True,kk,100,2,cbow,fasttext
unigram_freq,0.22650665549435187,0.051305264983236995,0.06998707342822003,0.264550701054108,kk.subs.2018.tsv,counts,False,kk,100,2,cbow,word2vec
unigram_freq,0.10676657848121161,0.011399102280584718,0.058850052468895186,0.24259029755720896,kk.wiki.2018.tsv,counts,False,kk,100,2,cbow,word2vec
unigram_freq,0.23152636624015105,0.053604458264368555,0.07312347295845928,0.2704135221442509,kk.subs.2018.tsv,counts,True,kk,100,2,cbow,word2vec
unigram_freq,0.06547987272172939,0.004287613731653881,0.022135628478740454,0.14878047075722153,kk.wiki.2018.tsv,counts,True,kk,100,2,cbow,word2vec
unigram_freq,0.22215765399167287,0.04935402322708385,0.06732532516303286,0.25947124149514694,kk.subs.2018.tsv,counts,False,kk,100,2,sg,fasttext
unigram_freq,0.05084338883838433,0.002585050188571144,0.013345817546637162,0.11552409941928637,kk.wiki.2018.tsv,counts,False,kk,100,2,sg,fasttext
unigram_freq,0.22000570249326906,0.04840250912955682,0.06602733582347153,0.25695784833990093,kk.subs.2018.tsv,counts,True,kk,100,2,sg,fasttext
unigram_freq,0.056452702536477814,0.0031869076236720486,0.016453022023151964,0.12826933391560105,kk.wiki.2018.tsv,counts,True,kk,100,2,sg,fasttext
unigram_freq,0.18839410502308465,0.03549233880744905,0.04841617956885713,0.220036768674822,kk.subs.2018.tsv,counts,False,kk,100,2,sg,word2vec
unigram_freq,0.06134907078684732,0.0037637084864096037,0.019430867137676888,0.13939464529771897,kk.wiki.2018.tsv,counts,False,kk,100,2,sg,word2vec
unigram_freq,0.21017327800359173,0.04417280678677506,0.06025747012761162,0.24547397036674096,kk.subs.2018.tsv,counts,True,kk,100,2,sg,word2vec
unigram_freq,0.0639718914540228,0.004092402896205275,0.021127815089065527,0.14535410241567154,kk.wiki.2018.tsv,counts,True,kk,100,2,sg,word2vec
unigram_freq,0.20130089842968812,0.04052205170859962,0.055277364015535346,0.23511138640128715,kk.subs.2018.tsv,counts,False,kk,200,3,cbow,fasttext
unigram_freq,0.0779033535949237,0.006068932501335712,0.03133202837754251,0.17700855453209743,kk.wiki.2018.tsv,counts,False,kk,200,3,cbow,fasttext
unigram_freq,0.13834299305629696,0.019138783727774628,0.026107797367779517,0.16157907465937388,kk.subs.2018.tsv,counts,True,kk,200,3,cbow,fasttext
unigram_freq,0.05583805680301948,0.0031178885875372303,0.016096698007636745,0.12687276306456302,kk.wiki.2018.tsv,counts,True,kk,200,3,cbow,fasttext
unigram_freq,0.23140380007903838,0.05354771869101957,0.07304607277959735,0.2702703697773719,kk.subs.2018.tsv,counts,False,kk,200,3,cbow,word2vec
unigram_freq,0.11221397839978046,0.012591976948306396,0.06500849679690202,0.2549676387248037,kk.wiki.2018.tsv,counts,False,kk,200,3,cbow,word2vec
unigram_freq,0.2151713649336231,0.046298716287398414,0.06315748797900544,0.25131153570619363,kk.subs.2018.tsv,counts,True,kk,200,3,cbow,word2vec
unigram_freq,0.06590261641334547,0.004343154850124552,0.02242237015854337,0.14974101027622116,kk.wiki.2018.tsv,counts,True,kk,200,3,cbow,word2vec
unigram_freq,0.221619438718356,0.049115175617839145,0.0669995058699871,0.2588426276137435,kk.subs.2018.tsv,counts,False,kk,200,3,sg,fasttext
unigram_freq,0.0597767783836433,0.003573263233927205,0.018447656984353633,0.13582215203844192,kk.wiki.2018.tsv,counts,False,kk,200,3,sg,fasttext
unigram_freq,0.22719523009273798,0.051617672576892155,0.07041323813478223,0.26535492860465626,kk.subs.2018.tsv,counts,True,kk,200,3,sg,fasttext
unigram_freq,0.06567505050504908,0.004313212258840748,0.022267785786482086,0.14922394508416564,kk.wiki.2018.tsv,counts,True,kk,200,3,sg,fasttext
unigram_freq,0.20339473880333453,0.04136941977287668,0.056433284581478504,0.23755690809041632,kk.subs.2018.tsv,counts,False,kk,200,3,sg,word2vec
unigram_freq,0.06016807817183442,0.0036201976308919775,0.018689964813161986,0.136711246110779,kk.wiki.2018.tsv,counts,False,kk,200,3,sg,word2vec
unigram_freq,0.2365590600062825,0.05596018887105596,0.07633699677519046,0.2762915068821162,kk.subs.2018.tsv,counts,True,kk,200,3,sg,word2vec
unigram_freq,0.06982378549750745,0.004875361021201932,0.025169986621773055,0.15865051724395057,kk.wiki.2018.tsv,counts,True,kk,200,3,sg,word2vec
unigram_freq,0.0,-0.0026151986689342973,-0.0035674720972962426,0.0,kk.subs.2018.tsv,counts,False,kk,300,4,cbow,fasttext
unigram_freq,0.07409041971658968,0.00548939029378042,0.02834003054446238,0.16834497481202812,kk.wiki.2018.tsv,counts,False,kk,300,4,cbow,fasttext
unigram_freq,0.13611143406406565,0.018526322482976487,0.02527232034362553,0.158972703139959,kk.subs.2018.tsv,counts,True,kk,300,4,cbow,fasttext
unigram_freq,0.057954515652080485,0.0033587258844672415,0.017340066758256556,0.13168168725474533,kk.wiki.2018.tsv,counts,True,kk,300,4,cbow,fasttext
unigram_freq,0.16372151673189636,0.02680473504099262,0.03656515486570189,0.1912201737937237,kk.subs.2018.tsv,counts,False,kk,300,4,cbow,word2vec
unigram_freq,0.1056541573350385,0.01116280096217707,0.05763010157763554,0.2400627034289907,kk.wiki.2018.tsv,counts,False,kk,300,4,cbow,word2vec
unigram_freq,0.19651594225924662,0.03861851556203955,0.052680692424303954,0.22952274925223415,kk.subs.2018.tsv,counts,True,kk,300,4,cbow,word2vec
unigram_freq,0.06102488673150314,0.0037240368005927887,0.019226054448538588,0.13865804862516487,kk.wiki.2018.tsv,counts,True,kk,300,4,cbow,word2vec
unigram_freq,0.18758515214289156,0.035188189304471776,0.048001279975121824,0.21909194411278984,kk.subs.2018.tsv,counts,False,kk,300,4,sg,fasttext
unigram_freq,0.06463189768926231,0.00417728219891527,0.021566020773605643,0.14685373939265436,kk.wiki.2018.tsv,counts,False,kk,300,4,sg,fasttext
unigram_freq,0.2134519936115714,0.04556175357675432,0.06215217471611595,0.24930337887023502,kk.subs.2018.tsv,counts,True,kk,300,4,sg,fasttext
unigram_freq,0.07332626106619079,0.005376740561947167,0.027758454691749368,0.16660868732376882,kk.wiki.2018.tsv,counts,True,kk,300,4,sg,fasttext
unigram_freq,0.1608637070953618,0.025877132260462357,0.03529978368139158,0.18788236660578764,kk.subs.2018.tsv,counts,False,kk,300,4,sg,word2vec
unigram_freq,0.0625263859685357,0.003909548942286298,0.02018379647098495,0.14206968878330434,kk.wiki.2018.tsv,counts,False,kk,300,4,sg,word2vec
unigram_freq,0.2364836991081372,0.05592453994386798,0.076288366988646,0.2762034883716098,kk.subs.2018.tsv,counts,True,kk,300,4,sg,word2vec
unigram_freq,0.07723569067280468,0.005965351913705168,0.03079727372171326,0.17549152036982657,kk.wiki.2018.tsv,counts,True,kk,300,4,sg,word2vec
unigram_freq,0.0,-0.05469543541796033,-0.07461170809732631,0.0,kk.subs.2018.tsv,counts,False,kk,500,6,cbow,fasttext
unigram_freq,0.05927854035778686,0.0035139453469497654,0.01814141701255234,0.13469007763214164,kk.wiki.2018.tsv,counts,False,kk,500,6,cbow,fasttext
unigram_freq,0.10701701472706308,0.011452641441092436,0.015622896748446746,0.12499158671065323,kk.subs.2018.tsv,counts,True,kk,500,6,cbow,fasttext
unigram_freq,0.05736299915679859,0.003290513672262876,0.016987908126073425,0.13033766963573282,kk.wiki.2018.tsv,counts,True,kk,500,6,cbow,fasttext
unigram_freq,0.0,-0.034650507781021044,-0.0472678122447624,0.0,kk.subs.2018.tsv,counts,False,kk,500,6,cbow,word2vec
unigram_freq,0.09921831470262969,0.009844273972430062,0.050822953030470686,0.2254394664438121,kk.wiki.2018.tsv,counts,False,kk,500,6,cbow,word2vec
unigram_freq,0.17529261261494863,0.030727500037374445,0.04191631798576623,0.20473475031309712,kk.subs.2018.tsv,counts,True,kk,500,6,cbow,word2vec
unigram_freq,0.05698429004619781,0.003247209312069199,0.0167643410585272,0.12947718354415652,kk.wiki.2018.tsv,counts,True,kk,500,6,cbow,word2vec
unigram_freq,0.10610002665359838,0.011257215655894288,0.015356310487116664,0.12392058137015281,kk.subs.2018.tsv,counts,False,kk,500,6,sg,fasttext
unigram_freq,0.07157349485038401,0.005122765165097948,0.026447257979720362,0.1626261294494841,kk.wiki.2018.tsv,counts,False,kk,500,6,sg,fasttext
unigram_freq,0.22262904348935605,0.04956369100498559,0.06761133936006186,0.26002180554726917,kk.subs.2018.tsv,counts,True,kk,500,6,sg,fasttext
unigram_freq,0.08072135487619224,0.006515937133048164,0.03363977554767911,0.18341149240895213,kk.wiki.2018.tsv,counts,True,kk,500,6,sg,fasttext
unigram_freq,0.0,-0.0032416088140971547,-0.004421977240969488,0.0,kk.subs.2018.tsv,counts,False,kk,500,6,sg,word2vec
unigram_freq,0.07623753815684375,0.005812162224216206,0.030006402559913603,0.1732235623693082,kk.wiki.2018.tsv,counts,False,kk,500,6,sg,word2vec
unigram_freq,0.22179147859917708,0.04919145997920923,0.06710356768902997,0.2590435633036072,kk.subs.2018.tsv,counts,True,kk,500,6,sg,word2vec
unigram_freq,0.09838595755021788,0.009679796643073274,0.049973807262292336,0.22354822133555957,kk.wiki.2018.tsv,counts,True,kk,500,6,sg,word2vec
