language,dim,window,alg,comparison,n_common_words,pearson_r,spearman_r
ko,50,1,cbow,fasttext_vs_word2vec,800,0.8308429134426775,0.7675049906416728
ko,50,1,sg,fasttext_vs_word2vec,800,0.8880204242895349,0.844641600922198
ko,50,1,cbow_vs_sg,fasttext,800,0.7982432810049214,0.7339018209874613
ko,50,1,cbow_vs_sg,word2vec,800,0.8245586522507533,0.7658354788599684
ko,100,2,cbow,fasttext_vs_word2vec,800,0.8805919681430767,0.8359275840970023
ko,100,2,sg,fasttext_vs_word2vec,800,0.9144398991671592,0.8566725334737868
ko,100,2,cbow_vs_sg,fasttext,800,0.7554163392468991,0.6680338293710651
ko,100,2,cbow_vs_sg,word2vec,800,0.8001090369315007,0.7191813262270449
ko,200,3,cbow,fasttext_vs_word2vec,800,0.8946768606185884,0.8547927160617942
ko,200,3,sg,fasttext_vs_word2vec,800,0.9288794925092236,0.855839373891251
ko,200,3,cbow_vs_sg,fasttext,800,0.733132627902594,0.6341604336284954
ko,200,3,cbow_vs_sg,word2vec,800,0.7680564585956149,0.6700715686016467
ko,300,4,cbow,fasttext_vs_word2vec,800,0.8927502716000224,0.8561510777984829
ko,300,4,sg,fasttext_vs_word2vec,800,0.9376307777589522,0.8648805716483413
ko,300,4,cbow_vs_sg,fasttext,800,0.7199420509025003,0.6265511373133503
ko,300,4,cbow_vs_sg,word2vec,800,0.7574082645660889,0.6654867237542068
ko,500,6,cbow,fasttext_vs_word2vec,800,0.8872531471789067,0.8533329377332801
ko,500,6,sg,fasttext_vs_word2vec,800,0.943249876899396,0.8779235972634548
ko,500,6,cbow_vs_sg,fasttext,800,0.7122555519773024,0.6344255954035464
ko,500,6,cbow_vs_sg,word2vec,800,0.7428629997656389,0.6614863849795918
