"","var","adjusted_r","adjusted_r_squared","r_squared","r","language","dim","window","algo","dataset"
"43","aoa_M",0.294612385354367,0.0867964576041903,0.249105833324026,0.499105032356944,"ar",50,5,"cbow","Khwaileh2018.csv"
"44","imagine_M",0.335071126935035,0.112272660105515,0.322222534502827,0.567646487263708,"ar",50,5,"cbow","Khwaileh2018.csv"
"45","familiar_M",0.133953199321085,0.0179434596083543,0.0514977290759768,0.22693111085961,"ar",50,5,"cbow","Khwaileh2018.csv"
"46","visual_complex_M",0,-0.0163883191718902,-0.0470344760233248,0,"ar",50,5,"sg","Khwaileh2018.csv"
"47","image_agree_M",0,-0.0489182066610336,-0.140395253117166,0,"ar",50,5,"sg","Khwaileh2018.csv"
"48","aoa_M",0.258386596338949,0.0667636331676269,0.191611627191089,0.43773465386132,"ar",50,5,"sg","Khwaileh2018.csv"
"49","imagine_M",0.328072287573202,0.107631425873514,0.308902192256985,0.555789701467187,"ar",50,5,"sg","Khwaileh2018.csv"
"50","familiar_M",0.134295971863672,0.0180354080588082,0.0517616211287796,0.227511804372388,"ar",50,5,"sg","Khwaileh2018.csv"
"51","visual_complex_M",0,-0.0328606049002466,-0.0943099360637077,0,"ar",50,6,"cbow","Khwaileh2018.csv"
"52","image_agree_M",0,-0.0787087426985641,-0.225894091544879,0,"ar",50,6,"cbow","Khwaileh2018.csv"
"53","aoa_M",0.258417126938107,0.0667794114949455,0.191656910990494,0.437786375976336,"ar",50,6,"cbow","Khwaileh2018.csv"
"54","imagine_M",0.334253887051973,0.111725661009353,0.320652647096844,0.566261995101953,"ar",50,6,"cbow","Khwaileh2018.csv"
"55","familiar_M",0.163770604363547,0.0268208108536013,0.0769757271498358,0.277444998422815,"ar",50,6,"cbow","Khwaileh2018.csv"
"56","visual_complex_M",0,-0.0321870670266279,-0.092376882366422,0,"ar",50,6,"sg","Khwaileh2018.csv"
"57","image_agree_M",0,-0.0575815706152862,-0.165259107665871,0,"ar",50,6,"sg","Khwaileh2018.csv"
"58","aoa_M",0.248936696158408,0.0619694786942634,0.177852403852536,0.421725507709145,"ar",50,6,"sg","Khwaileh2018.csv"
"59","imagine_M",0.302032475272964,0.0912236161195134,0.261811778263003,0.511675461853511,"ar",50,6,"sg","Khwaileh2018.csv"
"60","familiar_M",0.10275954049729,0.0105595231632141,0.0303058314784244,0.174085701533539,"ar",50,6,"sg","Khwaileh2018.csv"
"61","visual_complex_M",0,-0.00857504295355529,-0.0246103732767037,0,"ar",100,1,"cbow","Khwaileh2018.csv"
"62","image_agree_M",0,-0.0444993502771462,-0.12771313529541,0,"ar",100,1,"cbow","Khwaileh2018.csv"
"63","aoa_M",0.268919364897076,0.0723176248166466,0.207551583223776,0.455578295382666,"ar",100,1,"cbow","Khwaileh2018.csv"
"64","imagine_M",0.374085367670162,0.139939862304921,0.401627404815122,0.633740802548741,"ar",100,1,"cbow","Khwaileh2018.csv"
"65","familiar_M",0.0814121311260035,0.00662793509447759,0.0190221737211507,0.137920896607986,"ar",100,1,"cbow","Khwaileh2018.csv"
"66","visual_complex_M",0,-0.00377659566359071,-0.0108388295545053,0,"ar",100,1,"sg","Khwaileh2018.csv"
"67","image_agree_M",0,-0.0365253183500247,-0.104827663664571,0,"ar",100,1,"sg","Khwaileh2018.csv"
"68","aoa_M",0.240310796664545,0.0577492789935485,0.165740430711484,0.407112307246396,"ar",100,1,"sg","Khwaileh2018.csv"
"69","imagine_M",0.35986423415123,0.129502267021252,0.371671506350992,0.60964867452574,"ar",100,1,"sg","Khwaileh2018.csv"
"70","familiar_M",0.144332999255561,0.0208320146741057,0.0597878821146834,0.244515607098368,"ar",100,1,"sg","Khwaileh2018.csv"
"71","visual_complex_M",0,-0.0233148773735478,-0.0669136980620823,0,"ar",100,2,"cbow","Khwaileh2018.csv"
"72","image_agree_M",0,-0.0433101799800916,-0.124300216542863,0,"ar",100,2,"cbow","Khwaileh2018.csv"
"73","aoa_M",0.279189813996371,0.0779469522393282,0.223707752926872,0.472977539558563,"ar",100,2,"cbow","Khwaileh2018.csv"
"74","imagine_M",0.370952719463907,0.137605920077668,0.394928990622908,0.628433759932507,"ar",100,2,"cbow","Khwaileh2018.csv"
"75","familiar_M",0.171596163144907,0.0294452432060536,0.0845078480013738,0.290702335734293,"ar",100,2,"cbow","Khwaileh2018.csv"
"76","visual_complex_M",0,-0.0366197964184407,-0.105098815720925,0,"ar",100,2,"sg","Khwaileh2018.csv"
"77","image_agree_M",0,-0.05516774389541,-0.158331424979827,0,"ar",100,2,"sg","Khwaileh2018.csv"
"78","aoa_M",0.267213511547338,0.0714030607534594,0.204926784362428,0.452688396540521,"ar",100,2,"sg","Khwaileh2018.csv"
"79","imagine_M",0.347267509157587,0.120594722916515,0.346106854770397,0.588308469062275,"ar",100,2,"sg","Khwaileh2018.csv"
"80","familiar_M",0,-0.0155119418623548,-0.0445192731449582,0,"ar",100,2,"sg","Khwaileh2018.csv"
"81","visual_complex_M",0,-0.0156131614012661,-0.0448097732216337,0,"ar",100,3,"cbow","Khwaileh2018.csv"
"82","image_agree_M",0,-0.0617580324764426,-0.17724555320739,0,"ar",100,3,"cbow","Khwaileh2018.csv"
"83","aoa_M",0.278480559432977,0.0775514219821039,0.222572581088638,0.471775986129686,"ar",100,3,"cbow","Khwaileh2018.csv"
"84","imagine_M",0.362203910587587,0.131191672844941,0.37652010106498,0.613612337771153,"ar",100,3,"cbow","Khwaileh2018.csv"
"85","familiar_M",0.134227378550584,0.0180169891525617,0.051708758867852,0.22739559993072,"ar",100,3,"cbow","Khwaileh2018.csv"
"86","visual_complex_M",0,-0.025757097033908,-0.0739228684873159,0,"ar",100,3,"sg","Khwaileh2018.csv"
"87","image_agree_M",0,-0.0399873876427344,-0.114763802534648,0,"ar",100,3,"sg","Khwaileh2018.csv"
"88","aoa_M",0.294561493920823,0.0867664737008668,0.249019779521488,0.499018816801018,"ar",100,3,"sg","Khwaileh2018.csv"
"89","imagine_M",0.334705822943599,0.112027987912352,0.32152032530845,0.567027623055923,"ar",100,3,"sg","Khwaileh2018.csv"
