Portuguese name	English translation	AoA	AoASd	Syl	Let	Fam	Wwf	LogWwf	Conc	Imag
Futebolista	football player	3,52	1,33	5	11	1,90	311	2,49		
Gado	cattle	3,52	1,16	2	4	2,03	792	2,90	5,94	5,77
Gafanhoto	grasshopper	2,77	1,04	4	9	2,05	40	1,60		
Gaio	jay	6,00	2,16	2	4	4,58	8	0,90		
Gaivota	seagull	2,91	1,26	3	7	2,85	135	2,13		
Galinha	chicken	2,13	0,75	3	7	1,74	436	2,64	6,78	6,67
Galinhola	woodcock	5,48	1,91	4	9	3,63				
Galo	cock	1,95	0,67	2	4	1,95	164	2,21		
Ganso	goose	3,10	1,37	2	5	2,74	54	1,73		
Garfo	fork	1,96	0,84	2	5	1,37	126	2,10		
Garnisé	bantam chicken	6,18	2,24	3	7	4,74				
Garoupa	white grouper	5,48	1,78	3	7	2,61	33	1,52		
Garrafa	bottle	2,18	0,65	3	7	1,32	508	2,71		
Gato	cat	1,18	0,40	2	4	1,26	593	2,77	6,72	6,87
Gavião	sparrow-hawk	5,43	1,60	3	6	3,26	25	1,40		
Gazela	gazelle	3,64	1,47	3	6	2,68	128	2,11	6,66	5,75
Gelados	ice cream	2,00	0,69	3	7	1,57	57	1,76		
Geleia	jelly	3,38	1,28	3	6	2,42	404	2,61		
Gelo	ice	2,91	1,26	2	4	1,55	320	2,51	6,08	5,96
Gestor	manager	5,22	1,06	2	6	2,47	320	2,51		
Ginja	morello cherry	4,09	1,63	2	5	2,84	10	1,00		
Girafa	giraffe	2,04	0,89	3	6	1,25	27	1,43	6,76	6,60
Girassol	sunflower	2,73	0,86	3	8	2,16	56	1,75		
Gladíolo	gladiole	6,05	1,90	3	8	4,00				
Glória	glory	4,14	1,77	2	6	3,30	331	2,52	1,86	2,87
Gnu	gnu	6,00	1,69	1	3	4,00				
Goiaba	guava	5,00	1,49	3	6	3,37				
Golfinho	dolphin	2,78	0,87	3	8	1,53	99	2,00		
Goraz	red sea bream	6,64	1,24	2	5	3,53	9	0,95		
Gorila	gorilla	2,71	1,35	3	6	1,34	14	1,15	6,62	6,42
Gralha	jackdaw	4,57	1,08	2	6	4,11	26	1,41		
Granada	grenade	4,77	1,38	3	7	2,05	76	1,88		
Grão	chick-pea	2,91	0,94	1	4	2,63	20	1,30		
Gratidão	gratitude	4,91	1,16	3	8	2,67	92	1,96	1,92	2,54
Gravata	tie	3,39	1,44	3	7	1,84	264	2,42		
Grelhador	barbecue	4,22	0,96	3	9	1,74	16	1,20		
Grelos	turnip tops	3,64	1,40	2	6	2,63	25	1,40		
Grilo	cricket	2,65	1,06	2	5	2,05	29	1,46		
Groselha	red currant	4,27	1,65	3	8	2,84	19	1,28		
Grossista	wholesaler	6,71	1,19	3	9	3,73	9	0,95	3,70	2,40
Grupo	group	3,26	1,24	2	5	2,30	8138	3,91	4,32	4,17
Guarda-Roupa	wardrobe	2,96	0,83	4	12	2,16	60	1,78	6,54	6,06
Guerra	war	3,09	1,00	2	6	2,70	3806	3,58	2,98	4,73
Guitarra	guitar	3,48	1,08	3	8	1,74	271	2,43		
Hambúrguer	hamburger	3,71	1,38	3	10	1,74	24	1,38		
Harpa	harp	4,73	1,56	2	5	2,37	41	1,61		
Helicóptero	helicopter	3,05	0,97	5	11	1,74	185	2,27	6,58	6,13
Hidroavião	seaplane	5,59	1,60	4	10	2,63	13	1,11		
Hiena	hyena	4,32	1,46	2	5		15	1,18		
Hierarquia	hierarchy	5,33	0,97	4	10	2,83	273	2,44	3,08	2,63
Hipopótamo	hippopotamus	2,76	0,77	5	10	1,89	29	1,46		
História	history	2,17	0,81	3	8	2,63	5251	3,72	3,14	3,13
Homem	man	2,13	1,12	2	5	1,53	14031	4,15	4,98	5,94
Hortaliça	vegetables	3,41	0,86	4	9	2,95	94	1,97		
Hortelã	mint	3,67	1,32	3	7	2,95	58	1,76		
Hostilidade	hostility	6,24	1,04	5	11	3,30	151	2,18	2,50	2,13
Humor	humor	4,81	1,33	2	5	2,83	445	2,65	2,20	2,87
Iaque	yak	7,10	1,09	2	5	3,89				
Iate	yatch	5,27	1,53	2	4	1,93	153	2,18	6,46	5,73
Iguana	iguana	4,27	1,26	3	6	2,74				
Industrial	industrial	4,48	0,81	4	10	2,68	1507	3,18		
Insolência	insolence	5,86	0,91	4	10	3,47	21	1,32	2,44	1,94
Interesse	interest	3,70	1,04	4	9	3,13	3467	3,54	2,12	2,54
Iogurte	yogurt	1,57	0,68	3	7	1,84	42	1,62		
Isqueiro	lighter	3,48	1,03	3	8	1,53	53	1,72		
Jacinto	hyacinth	5,14	1,82	3	7	3,79	9	0,95		
Jaguar	jaguar	4,70	1,01	2	6	2,42			6,20	5,75
Jangada	raft	4,00	1,34	3	7	2,37	30	1,48		
Jantar	dinner	1,73	0,56	2	6	1,47	1470	3,17		
Jardim	garden	2,17	1,21	2	6	1,63	1928	3,29	5,84	6,02
Jardineiro	gardener	3,00	0,77	4	10	1,89	47	1,67		
Jarro	jug	3,00	1,12	2	5	1,84	68	1,83		
Javali	wild boar	3,74	1,17	3	6	2,16	58	1,76		
Jipe	jeep	3,14	0,96	2	4	1,79	131	2,12		
Joaninha	ladybird beetle	2,14	1,01	4	8	2,00				
Joelho	knee	1,76	0,77	3	6	1,42	680	2,83		
Jogo	game	1,57	0,51	2	4	2,26	7416	3,87		
Jornalista	journalist	3,90	0,77	4	10	2,05	1906	3,28		
Jovialidade	joviality	6,19	1,21	5	11	3,13	12	1,08	2,76	2,75
Juiz	judge	3,71	1,23	2	4	1,90	1324	3,12	5,28	5,62
Junquilho	jonquil	6,52	1,60	3	9	4,42	11	1,04		
Justiça	justice	4,90	1,04	3	7	3,00	1776	3,25	1,80	2,71
Ketchup	Ketchup	3,95	1,36	2	7	2,11	33	1,52		
Kiwi	Kiwi	3,74	1,25	2	4	1,89	25	1,40		
Lábios	lips	2,05	0,77	2	6	1,37	537	2,73		
Laço	ribbon bow	1,71	0,90	2	4	1,68	406	2,61		
Lado	side	3,05	1,16	2	4	3,03	10288	4,01	3,54	2,48
Lagarta	caterpillar	2,19	0,81	3	7	2,05	23	1,36		
Lagartixa	wall lizard	2,30	1,08	4	9	2,53	19	1,28		
Lagarto	lizard	2,29	1,06	3	7	1,89	73	1,86		
Lagosta	lobster	4,09	1,25	3	7	2,16	117	2,07		
Lagostim	crayfish	5,43	1,54	3	8	2,58	42	1,62		
Lâmina	blade	4,00	1,10	3	6	1,79	381	2,58	6,64	5,90
Lâmpada	electric bulb	2,65	0,96	3	7	1,47	300	2,48		
Lampreia	lamprey	4,57	1,24	3	8	2,11	34	1,53		
Lança	spear	4,39	1,66	2	5	2,16	248	2,39		
Lancha	motorboat	4,33	1,56	2	6	2,89	117	2,07		
Lápis	pencil	2,04	0,83	2	5	1,37	257	2,41		
Laranja	orange	1,83	0,57	3	7	1,37	151	2,18	6,82	6,62
Lealdade	loyalty	4,86	1,21	4	8	2,97	114	2,06	1,84	2,35
Leão	lion	1,87	0,86	2	4	1,26	491	2,69	6,62	6,60
Lebre	hare	3,00	0,89	2	5	2,21	105	2,02		
Leite	milk	1,05	0,22	2	5	1,32	1009	3,00		
Lenço	handkerchief	1,91	0,48	2	5	1,79	463	2,67		
Leopardo	leopard	3,39	0,98	4	8	1,76	22	1,34		
Lesma	slug	3,14	1,15	2	5		13	1,11		
Libélula	libellula	4,74	1,82	4	8	2,84	8	0,90		
Liberdade	freedom	4,48	1,25	4	9	2,87	1769	3,25	1,64	3,08
Lima	lime	3,77	1,14	2	4	3,32	23	1,36		
Limão	lemon	1,90	0,77	2	5	2,00	422	2,63		
Lince 	lynx	4,35	1,03	2	6	2,95	18	1,26	6,62	5,65
Linguado	sole	4,67	1,39	3	8	3,63	83	1,92		
Lírio	lily	4,48	1,33	2	5		83	1,92		
Livro	book	1,95	0,86	2	5	1,26	4182	3,62		
Lobo	wolf	1,81	0,68	2	4	1,74	279	2,45	6,70	6,06
Loja	store	2,77	0,93	2	4	1,90	1343	3,13	5,90	5,50
Lontra	otter	4,09	1,62	2	6	2,79	18	1,26		
Lucro	profit	5,09	0,97	2	5	2,80	816	2,91	3,64	2,48
Lugar	place	2,65	1,50	2	5	3,13	7645	3,88	3,74	3,12
Lula	squid	3,00	1,00	2	4	1,66	84	1,92		
Luva	glove	2,52	0,93	2	4	1,42	239	2,38		
Maçã	apple	1,43	0,51	2	4	1,55	298	2,47	6,78	6,87
Macaco	monkey	2,10	0,83	3	6	1,43	156	2,19	6,80	6,62
Maçaneta	doorknob	3,23	1,34	4	8	1,58	7	0,85		
Machado	axe	3,19	1,03	3	7	1,63	171	2,23	6,74	6,19
Maionese	mayonnaise	3,70	1,03	4	8	2,42	94	1,97		
Mala	suitcase	2,29	0,56	2	4	1,47	447	2,65	6,66	6,08
Malandro	naughty	3,29	1,27	3	8	3,00	78	1,89	3,38	3,33
Malmequer	marigold	2,86	0,73	3	9	2,05	35	1,54		
Mamão	papaw	5,29	2,15	2	5	3,89				
Manga	mango	3,67	1,32	2	5	3,32	269	2,43		
Manteiga	butter	2,13	0,77	3	8	2,00	846	2,93		
Mão	hand	1,48	0,93	1	3	1,37	7806	3,89		
Maple	couch	5,27	2,07	2	5	2,84	14	1,15		
Máquina	machine	2,33	1,18	3	7	2,17	1875	3,27	6,18	5,35
Mar	sea	1,91	0,86	1	3	1,48	3770	3,58	5,58	6,46
Maracujá	passion fruit	4,33	1,20	4	8	2,68	29	1,46		
Marceneiro	joiner	5,59	1,36	4	10	3,21	13	1,11		
Margarida	daisy	3,41	1,24	4	9	2,78	8	0,90		
Marido	husband	2,87	0,93	3	6	2,13	1888	3,28	4,80	4,42
Marmelo	quince	3,83	1,67	3	7	2,74	8	0,90		
Marmota	marmot	5,09	1,67	3	7	3,26	7	0,85		
Martelo	hammer	2,67	1,02	3	7	1,68	146	2,16	6,80	6,50
Massa	dough	2,19	0,75	2	5	2,16	1895	3,28		
Matraca	rattle	5,09	1,79	3	7	3,42	12	1,08		
Mecânico	mechanic	3,38	0,80	4	8	2,00	47	1,67		
Médico	doctor	2,05	0,59	3	6	1,37	3443	3,54		
Medo	fear	2,36	1,15	2	4	2,63	2331	3,37	1,82	2,88
Meia	sock	1,50	0,51	2	4	1,42	225	2,35		
Melancia	watermelon	2,70	0,80	4	8	1,63	22	1,34		
Melão	melon	2,45	0,81	2	5	1,95	56	1,75	6,78	6,52
Melga	gnat	3,00	1,22	2	5	2,11	8	0,90		
Meloa	melon	2,90	0,89	3	5	1,95	11	1,04		
Melro	blackbird	3,78	1,21	2	5	2,84	43	1,63		
Memória	memory	4,29	1,19	3	7	3,00	1731	3,24	2,42	2,21
Merceeiro	grocer	3,82	1,39	4	9	2,42	46	1,66		
Mesa	table	1,74	0,77	2	4	1,32	2633	3,42	6,76	6,48
Metralhadora	machine gun	3,86	0,73	5	12	1,94	83	1,92		
Metro	subway / underground	4,22	1,60	2	5	1,47	2752	3,44		
Milhafre	kite (bird)	6,30	1,57	3	8	4,11	15	1,18		
Milho	corn	2,73	1,27	2	5	2,42	605	2,78		
Minhoca	worm	2,43	0,93	3	7		39	1,59		
Miséria	misery	4,38	0,97	3	7	3,03	537	2,73	2,56	3,63
Mocho	hornet owl	2,87	1,00	2	5	2,53	57	1,76	6,70	6,06
Mola	spring	3,43	1,16	2	4	1,74	147	2,17		
Moldura	frame	3,27	1,06	3	7	1,79	126	2,10		
Morango	strawberry	1,80	0,83	3	7	1,68	71	1,85	6,76	6,63
Morcego	bat (animal)	3,43	1,17	3	7	2,21	49	1,69		
Moreia	morey	5,36	1,39	3	6	3,05	26	1,41		
Morsa	walrus	5,29	1,38	2	5	3,37				
Morte	death	3,17	0,89	2	5	2,73	4518	3,65	3,26	3,54
Mosca 	fly	1,90	0,70	2	6	1,84	273	2,44	6,66	6,50
Moscardo	horsefly	4,52	1,60	3	8	3,13	18	1,26	6,22	4,62
Mosquito	mosquito	2,76	1,18	3	8	2,00	176	2,25		
Mota	motorbike	2,24	0,89	2	4	1,24	29	1,46		
Motocicleta	motorcycle	5,00	1,63	5	11	2,79	9	0,95		
Motorista	driver	3,43	1,25	4	9	1,95	333	2,52		
Motorizada	motorbike	4,09	1,05	5	10	1,43	60	1,78	6,58	6,10
Móvel	piece of furniture	2,77	0,81	2	5	2,42	273	2,44		
Mulher	woman	2,14	0,73	2	6	1,43	10168	4,01	5,50	5,92
Mundo	world	2,73	1,14	2	5	2,00	7765	3,89	3,56	5,31
Músico	musician	2,96	0,89	3	6	1,63	450	2,65		
Nabiça	turnip greens	3,61	1,38	3	6	3,53	9	0,95		
Nabo	turnip	3,13	1,63	2	4	2,79	50	1,70		
Namoro	courtship	3,90	1,22	3	6	2,73	231	2,36	3,06	3,58
Narciso	narcissus	5,43	1,36	3	7	3,63	6	0,78		
Nariz 	nose	1,41	0,50	2	6	1,32	549	2,74	6,58	6,52
Natal	christmas	1,65	0,66	2	5	1,90	162	2,21	3,34	5,08
Natas	cream	3,05	1,16	2	5	2,16	269	2,43		
Navalha	bowie knife	4,24	1,37	3	7	1,84	146	2,16		
Navio	ship	3,05	1,12	3	5	2,11	891	2,95		
Neve	snow	2,22	0,89	2	4	1,50	844	2,93	6,24	6,04
Nome	name	1,74	0,87	2	4	2,30	6353	3,80	3,58	2,83
Obediência	obedience	3,78	1,17	6	10	3,00	106	2,03	2,26	2,71
Obsessão	obsession	5,95	1,34	3	8	3,07	141	2,15	2,14	2,23
Óculos	glasses	2,23	0,56	3	6	1,26	352	2,55		
Ódio	hate	4,55	1,36	2	4	3,10	372	2,57	1,84	2,35
Olho	eye	1,29	0,46	2	4	1,15	6030	3,78		
Ombro	shoulder	2,36	0,91	2	5	1,47	1255	3,10		
Onça	mountain lion/ounce	4,87	1,56	2	4	3,68	49	1,69	6,28	5,15
Oração	prayer	2,96	0,74	3	6	2,67	319	2,50	2,54	3,15
Orangotango	orangutan	3,76	1,18	5	11	2,47	18	1,26		
Orelha	ear	1,52	0,68	3	6	1,32	453	2,66		
Orgulho	pride	4,91	1,52	3	7	3,00	526	2,72	1,92	2,71
Ornitorrinco	ornithorhyncus	6,45	1,03	5	12	3,47				
Orquídea	orchid	4,57	1,12	3	8	3,37	28	1,45		
Ouriço	hedgehog	3,19	1,08	3	6	2,10	18	1,26		
Ovelha	sheep	2,27	0,75	3	6	1,29	266	2,42	6,76	6,69
Ovo	egg	1,57	0,74	2	3	1,37	1140	3,06		
Pá	shovel	1,43	0,75	1	2	1,52	166	2,22		
Padeiro	baker	2,52	0,81	3	7	2,68	57	1,76		
Padre	priest	3,14	0,65	2	5	1,37	1583	3,20		
Pai	father	1,09	0,30	1	3	1,83	5932	3,77	5,18	6,17
Paixão	passion	4,48	1,47	2	6	2,93	1014	3,01	1,86	3,12
Palavra	word	2,81	1,29	3	7	2,03	5742	3,76	3,68	3,81
Palmeta	Greenland halibut	7,14	1,15	3	7	3,24				
Panda	panda	2,48	0,87	2	5	2,05				
Pandeireta	tambourine	3,39	1,12	4	10	2,63	12	1,08		
Panela	pot	2,14	0,85	3	6	1,63	272	2,43		
Pânico	panic	4,82	1,25	3	6	3,00	246	2,39	2,20	3,23
Pantera	panther	3,43	1,03	3	7	2,26	20	1,30		
Pão	bread	1,43	0,60	1	3	1,47	1357	3,13		
Papagaio	parrot	2,33	0,73	4	8	2,00	93	1,97		
Papaia	papaya	4,76	1,45	3	6	3,74				
Papeleira	standing desk	5,73	1,60	4	9	2,89	25	1,40		
Papoila	poppy	3,35	0,98	3	7	3,00	29	1,46		
Parafuso	screw	3,33	0,86	4	8	1,68	132	2,12		
Pardal	sparrow	3,05	1,24	2	6	3,21	69	1,84		
Pardelha	roach (fish)	7,19	1,25	3	8	4,79				
Pargo	seabream	4,96	1,63	2	5	2,55	12	1,08		
Pasta	briefcase	2,95	1,02	2	5	1,94	642	2,81		
Pasteleiro	pastrycook	3,43	1,12	4	10	2,11	31	1,49		
Patins	roller skates	2,95	0,95	2	6	1,39	206	2,31		
Pato	duck	1,71	0,56	2	4	1,63	190	2,28	6,70	6,56
Pavão	peacock	3,05	1,88	2	5	2,74	36	1,56	6,76	6,35
Paz	peace	3,33	1,46	1	3	3,03	1742	3,24	1,94	2,94
Pé	foot	1,23	0,54	1	2	1,16	4263	3,63		
Pedaço	piece	2,71	1,01	3	6	2,53	608	2,78	4,20	3,73
Peito	chest	2,62	1,07	2	5	1,37	1006	3,00		
Peixe	fish	1,57	0,51	2	5	1,63	1561	3,19		
Pele	skin	2,17	0,77	2	4		1764	3,25		
Pelicano	pelican	4,87	1,70	4	8	3,53	17	1,23		
Penca	large nose/cabbage	5,09	1,74	2	5	4,89				
Pente	comb	2,00	0,77	2	5	1,37	90	1,95	6,74	6,58
Pepino	cucumber	3,33	1,06	3	6	2,47	53	1,72		
Pêra	pear	1,57	0,51	2	4	1,79	161	2,21		
Perdiz	partridge	4,38	1,28	2	6	3,05	91	1,96		
Perfume	perfume	2,86	1,01	3	7	1,47	643	2,81		
Periquito	parakeet	3,00	1,26	4	9	2,67	20	1,30		
Perna	leg	1,33	0,48	2	5	1,42	1413	3,15		
Peru	turkey	2,86	1,06	2	4	2,11	58	1,76	6,78	6,35
Pesar	grief	3,52	1,33	2	5	3,03	57	1,76	3,40	2,81
Pescada	hake	3,48	1,33	3	7	1,71	43	1,63		
Pescador	fisherman	2,62	0,86	3	8	1,74	746	2,87		
Pescoço	neck	1,95	0,74	3	7	1,26	702	2,85		
Pêssego	peach	2,19	0,75	3	7	2,00	51	1,71		
Peúgas	socks	3,00	1,30	3	6	1,72	34	1,53		
Piano	piano	2,27	0,64	3	5	1,47	442	2,65	6,78	6,31
Pica-Pau	woodpecker	2,59	1,25	3	8	2,67	1	0,00		
Pijama	pajama	2,09	0,73	3	6	1,53	75	1,88		
Pimenta	pepper	3,14	1,35	3	7	2,74	895	2,95		
Pimento	green pepper	3,14	0,85	3	7	2,42	143	2,16		
Pincel	paintbrush	2,87	1,09	2	6	1,58	142	2,15	6,62	6,37
Pinguim	penguin	2,67	0,86	2	7	2,05	21	1,32	6,70	6,38
Pintaínho	chick	1,43	0,60	4	9	1,67	9	0,95		
Pintassilgo	goldfinch	3,87	1,24	4	11	3,78	14	1,15	6,69	5,38
Pintor	painter	2,91	0,83	2	6	1,79	522	2,72		
Pipocas	popcorn	2,39	0,75	3	7	1,95	16	1,20		
Pirâmide	pyramid	3,62	1,07	4	8	1,63	210	2,32		
Piranha	piranha	4,57	1,33	3	7	1,95	7	0,85		
Pistola	pistol	2,48	1,12	3	7	1,58	212	2,33		
Pizza	pizza	3,71	1,15	2	5	1,84	28	1,45		
Plaina	plane (tool)	6,25	1,32	2	6	4,05	38	1,58		
Planta	plant	2,18	0,73	2	6	1,95	1174	3,07		
Polegar	thumb	2,67	1,20	3	7	1,53	59	1,77		
Polícia	policeman	2,57	0,97	3	7	1,58	1895	3,28		
Político	politician	4,73	1,31	4	8	2,16	489	2,69		
Poltrona	armchair	3,81	0,87	3	8	2,79	119	2,08		
Polvo	octopus	3,09	1,27	2	5	1,74	167	2,22		
Pomba	dove	2,30	0,92	2	5	2,67	115	2,06		
Pombo	pigeon	2,19	0,68	2	5	2,44	167	2,22		
Pónei	pony	2,52	0,93	2	5	1,95	11	1,04		
Ponte	bridge	2,57	0,86	2	5	1,43	778	2,89	6,26	6,38
Porco	pig	1,86	0,62	2	5	1,26	659	2,82		
Porta	door	1,65	1,01	2	5		4921	3,69		
Porteiro	doorman	3,78	1,01	3	8	2,16	206	2,31		
Poster	poster	4,19	1,03	2	6	2,16	20	1,30		
Prateleira	shelf	3,00	0,80	4	10	2,21	220	2,34		
Prato	plate	1,62	0,67	2	5	1,47	933	2,97		
Prazer	pleasure	4,24	1,22	2	6	2,93	1044	3,02	2,08	2,90
Prego	nail	2,74	1,06	2	5	1,63	148	2,17		
Prisão	prison	2,90	1,09	2	6	1,87	1428	3,15	5,36	5,63
Professor	teacher	2,35	0,51	3	9	1,47	3082	3,49		
Profissão	profession	3,76	1,14	3	9	2,37	827	2,92	4,18	3,13
Progresso	progress	5,00	1,00	3	9	3,23	945	2,98	2,62	2,44
Psicólogo	psychologist	5,38	1,12	4	9	1,74	110	2,04		
Pudim	pudding	2,86	1,39	2	5	2,58	65	1,81		
Pulga	flee	2,86	0,85	2	5	2,32	47	1,67		
Pulseira	bracelet	2,57	0,91	3	8	1,95	191	2,28		
Pulso	wrist	3,00	1,05	2	5	1,53	293	2,47		
Punhal	dagger	4,52	1,43	2	6	2,05	155	2,19		
Quadro	painting	2,43	0,81	2	6	2,00	2774	3,44		
Queijo	cheese	2,00	0,59	2	6	1,79	599	2,78		
Queque	muffin	2,39	0,98	2	6		45	1,65		
Rã	frog	2,52	0,93	1	2	1,74	92	1,96		
Rabanete	radish	3,86	1,39	4	8	2,79	21	1,32		
Rádio	radio	2,70	1,04	2	5	1,68	1130	3,05		
Raia	ray (fish)	4,91	1,40	2	4	2,16	106	2,03		
Rapaz	boy	1,91	0,74	2	5	1,40	2375	3,38	5,69	6,04
Raposa	fox	2,91	1,00	3	6	1,45	110	2,04		
Raquete	racquet	3,33	1,11	3	7	1,58	11	1,04	6,80	6,44
Rato	mouse	1,77	0,60	2	4	1,21	505	2,70	6,72	6,48
Rebuçado	candy	1,86	0,79	4	8	1,89	63	1,80		
Refrigerante	soft drink	4,22	1,14	5	12	2,21	15	1,18		
Regador	watering can	2,74	1,21	3	7	1,68	7	0,85	6,62	6,23
Regra	rule	3,14	0,94	2	5	3,07	2106	3,32	2,98	2,42
Régua	ruler	2,81	0,81	2	5	1,26	42	1,62		
Religião	religion	3,62	1,16	4	8	3,03	1155	3,06	2,10	2,92
Relógio	clock	2,52	0,81	3	7	1,12	761	2,88	6,60	6,60
Repolho	drum-head cabbage	4,17	1,35	3	7	3,26	7	0,85		
Repórter	reporter	4,57	1,16	3	8	2,53	159	2,20		
Revista	magazine	2,83	0,96	3	7	2,05	1244	3,09		
Revólver	revolver	4,48	1,40	3	8	1,79	39	1,59		
Rinoceronte	rhinocerous	3,73	1,24	5	11	1,68	49	1,69	6,62	6,35
Rio	river	2,00	0,77	2	3	1,57	2983	3,47	5,94	6,06
Rissóis	rissoles	3,00	1,07	2	7	2,42	20	1,30		
Robalo	sea bass	5,91	1,48	3	6	3,03	39	1,59		
Robe	robe	3,23	1,42	2	4	1,84	38	1,58		
Rodovalho	brill	7,52	0,98	4	9	4,63				
Rola	turtledove	3,74	1,60	2	4	3,56	78	1,89		
Romã	pomegranate	3,14	1,22	2	4	2,37	16	1,20		
Rosa	rose	2,43	1,40	2	4	1,89	475	2,68		
Roupeiro	wardrobe	3,00	1,00	3	8	2,74				
Rouxinol	nightingale	3,30	0,85	3	8	3,83	44	1,64		
Sabre	saber	6,48	1,33	2	5	3,42	18	1,26		
Safio	european conger	5,83	1,70	2	5	3,45	10	1,00		
Saia	skirt	2,00	0,71	2	4	1,32	521	2,72		
Sal	salt	2,57	0,93	1	3	1,79	1103	3,04		
Salada	salad	2,50	0,75	3	6	2,05	172	2,24		
Salmão	salmon	4,18	1,31	2	6	2,00	42	1,62		
Salsa	parsley	3,83	1,59	2	5	2,42	476	2,68		
Sapateira	shoe closet	4,04	1,40	4	9		7	0,85		
Sapateiro	shoemaker	3,14	0,89	4	9	1,74	69	1,84		
Sapato	shoe	1,64	0,67	3	6	1,32	677	2,83		
Sapo	toad	2,24	1,04	2	4	1,37	48	1,68	6,76	6,50
Sardinha	sardine	2,64	0,92	3	8	1,56	238	2,38		
Saudade	nostalgia	3,41	0,92	3	7	2,73	671	2,83	1,84	2,81
Sável	allis shad (fish)	6,81	1,44	2	5	3,82	31	1,49		
Savelha	twaite shad (fish)	7,71	0,90	3	7	4,58				
Saxofone	saxophone	4,65	1,35	4	8	2,32	64	1,81		
Secretária	secretary / desk	3,35	0,92	4	10	2,26	436	2,64		
Segurança	safety	3,95	0,97	4	9	2,90	2708	3,43	2,28	2,94
Selo	stamp	3,76	0,89	2	4	1,70	332	2,52	6,54	6,33
Seringa	syringe	3,81	1,21	3	7	1,58	114	2,06		
Serpente	serpent	2,95	1,07	3	8	2,05	142	2,15		
Serra	saw	3,19	0,75	2	5	1,89	876	2,94	6,02	5,83
Serralheiro	locksmith	4,00	1,12	4	11	2,79	45	1,65		
Serrote	handsaw	3,61	1,31	3	7	2,26	51	1,71		
Sino	bell	2,30	0,91	2	4	1,34	241	2,38		
Skate	skate	4,00	1,00	2	5	2,11	18	1,26		
Skis	skis	4,17	1,55	1	4	2,32	28	1,45		
Sobretaxa	surcharge	6,90	0,70	4	9	4,13	7	0,85	3,40	1,60
Sobretudo	overcoat	3,91	1,37	4	9	2,00	133	2,12		
Sofá	sofa	1,96	0,71	2	4	1,89	307	2,49	6,62	6,56
Solha	plaice (fish)	5,81	1,33	2	5	2,74				
Solo	ground	4,05	1,30	2	4	2,10	1551	3,19	5,92	4,62
Sopa	soup	1,38	0,50	2	4	1,53	1256	3,10	6,28	6,19
Sótão	attic	3,23	0,98	2	5	2,43	87	1,94	6,12	5,46
Submarino	submarine	4,19	1,03	4	9	2,05	83	1,92		
Sumo	juice	1,30	0,48	2	4		273	2,44		
Tacho	pan	2,67	0,80	2	5	1,79	294	2,47		
Taínha	mullet (fish)	6,13	1,88	3	6	2,97	26	1,41		
Talhante	butcher	5,24	1,41	3	8	3,58	6	0,78		
Tâmara	date (fruit)	5,05	1,47	3	6	3,68	26	1,41		
Tamboril	monkfish	4,95	1,32	3	8	2,53	48	1,68		
Tangerina	tangerine	2,86	0,91	4	9	2,58	18	1,26		
Tapeçaria	tapestry	4,78	1,01	5	9	2,79	191	2,28		
Tapete	carpet	1,90	0,62	3	6	2,42	358	2,55	6,58	6,25
Tartaruga	turtle	2,29	0,78	4	9	1,30	67	1,83	6,80	6,69
Tarte	pie	3,71	1,06	2	5	2,63	124	2,09		
Tatu	armadillo	5,59	1,44	2	4	3,03			5,84	4,50
Táxi	taxi	3,05	1,07	2	4	1,68	335	2,53		
Taxista	taxi driver	3,41	1,03	3	7	1,74	120	2,08		
Tear	loom	4,50	1,60	2	4	2,53	97	1,99		
Teleférico	cable car	5,50	1,25	5	10	2,89	21	1,32		
Telefone	telephone	1,77	0,75	3	8	1,32	1024	3,01		
Televisor	television	1,81	0,60	4	9	1,36	1984	3,30		
Ténis	tennis / sneakers	3,19	1,21	2	5	1,37	366	2,56		
Tesoura	scissors	2,61	0,75	3	7	1,32	138	2,14	6,76	6,54
Testa	forehead	2,17	0,89	2	5	1,47	364	2,56		
Texugo	badger	4,27	1,60	3	6	2,84	10	1,00		
Tigela	bowl	2,32	0,97	3	6	1,84	221	2,34		
Tigre	tiger	2,43	0,93	2	5	1,95	107	2,03	6,76	6,46
Tijolo	brick	3,09	1,17	3	6	1,63	298	2,47		
Tolerância	tolerance	5,10	1,00	4	10	3,10	190	2,28	1,88	2,42
Tomate	tomato	2,30	0,66	3	6	1,89	431	2,63	6,76	6,73
Toranja	grapefruit	4,27	1,60	3	7	3,63				
Torneira	water tap	2,48	1,12	3	8	1,37	143	2,16		
Torradeira	toaster	3,14	1,20	4	10	1,53	6	0,78	6,82	6,42
Touro	bull	2,43	0,68	2	5		450	2,65	6,68	6,56
Tractor	tractor	3,26	1,40	2	7	1,95	113	2,05		
Tragédia	tragedy	4,59	1,33	3	8	2,90	757	2,88	2,38	3,19
Travessa	platter	3,68	1,22	3	8	2,06	191	2,28		
Trenó 	sled	2,91	1,26	2	6	1,79	31	1,49	6,60	6,08
Triciclo	tricycle	1,96	0,89	3	8	2,16	17	1,23		
Trólei	trolley	6,76	1,34	2	6	3,89	6	0,78		
Trompete	trumpet	3,52	1,43	3	8	2,95	34	1,53		
Tronchuda	thick-stalked cabbage	7,13	1,57	3	9	4,84				
