Portuguese name	English translation	AoA	AoASd	Syl	Let	Fam	Wwf	LogWwf	Conc	Imag
Banco	bank/stool	2,17	1,00	2	5	2,14	2119	3,33	6,22	6,00
Bandeira	flag	2,83	0,83	3	8	1,32	677	2,83		
Bandolim	mandolin	5,75	1,71	3	8	3,68	18	1,26		
Banha	lard	3,74	1,21	2	5	3,00	72	1,86		
Bar	bar	3,83	1,12	1	3	1,80	608	2,78		
Barata	cockroach	2,65	0,81	3	6	2,16	142	2,15		
Barbo	barbel (fish)	6,29	1,95	2	5	4,00				
Barco	boat	1,81	0,75	2	5	1,65	1884	3,28		
Barriga	belly	1,38	0,74	3	7	1,84	284	2,45		
Barril	barrel	3,57	1,28	2	6	1,74	124	2,09	6,66	6,08
Barulho	noise	2,19	0,87	3	7	2,50	419	2,62	4,14	3,33
Bastão	bat	5,17	1,66	2	6		41	1,61		
Batata	potato	1,87	0,77	3	6	1,70	576	2,76		
Batedeira	mixer	3,32	1,19	4	9	1,89	10	1,00		
Bateria	battery/drum set	3,50	1,54	4	7	2,05	113	2,05		
Bebida	drink	2,48	0,81	3	6	1,57	350	2,54	5,82	5,54
Begónia	begonia	5,65	1,48	3	7	4,26	15	1,18		
Beliche	bunk bed	3,38	1,28	3	7	2,00	43	1,63		
Bênção	blessing	4,27	1,33	2	6	3,23	69	1,84	2,10	2,71
Bengaleiro	hallstand	4,17	1,48	4	10	2,25	17	1,23		
Berbequim	electric drill	5,00	1,24	3	9	2,31	21	1,32		
Beringela	eggplant	5,39	1,57	4	9	3,80	21	1,32		
Besouro	maybug	4,29	1,59	3	7	3,11	12	1,08	6,42	5,15
Beterraba	beetroot	4,50	1,54	4	9	3,30	61	1,79		
Bicicleta	bicycle	1,91	0,54	4	9	1,50	200	2,30	6,68	6,67
Bife	steak	2,18	0,68	2	4	1,75	183	2,26		
Bigorna	anvil	5,64	1,94	3	7	3,58	14	1,15		
Biólogo	biologist	5,90	0,70	4	7	2,05	35	1,54		
Biombo	folding screen	5,27	1,28	3	6	2,60	33	1,52	6,30	4,92
Biscoito	biscuit	2,39	1,08	3	8	2,00	51	1,71		
Bisonte	bison	5,05	1,36	3	7	2,78	11	1,04	6,50	5,42
Bivaque	bivouac	7,43	1,08	3	7	4,50	8	0,90	4,50	1,69
Blusa 	blouse	2,39	0,75	2	6	1,63	131	2,12	6,56	6,38
Boca	mouth	1,14	0,36	2	4	1,16	2048	3,31		
Bode	billy goat	3,30	1,02	2	4	1,71	85	1,93		
Boga	bogue (fish)	6,78	2,00	2	4	3,84	8	0,90		
Bola	ball	1,22	0,44	2	4	1,25	1148	3,06		
Bolacha	cookie	1,24	0,44	3	7	2,05	140	2,15		
Bolo	cake	1,70	0,70	2	4	1,75	410	2,61		
Bombeiro	firefighter	2,52	0,93	3	8	1,65	1070	3,03		
Bondade	goodness	3,73	1,49	3	7	2,93	145	2,16	2,18	2,58
Boné	cap	2,05	0,67	2	4	1,28	110	2,04		
Boneca	doll	1,24	0,44	3	6	1,70	357	2,55		
Borboleta	butterfly	1,95	0,54	4	9	1,58	112	2,05		
Borracha	rubber	2,33	0,66	3	8	1,47	197	2,29		
Bota	boot	1,65	1,06	2	4	1,21	340	2,53		
Botão	button	2,05	0,91	2	5	1,58	441	2,64		
Bote	small boat	4,48	1,81	2	4	2,50	130	2,11		
Braço	arm	1,33	0,58	2	5	1,16	2638	3,42		
Brócolos	broccoli	3,91	1,36	3	8	2,75	7	0,85		
Búfalo	buffalo	4,09	1,64	3	6	2,37	47	1,67		
Burro	donkey	2,14	0,73	2	5	1,21	387	2,59		
Cabeça	head	1,62	0,59	3	6	1,26	4663	3,67		
Cabelo	hair	1,43	0,60	3	6	1,32	1563	3,19	6,46	6,56
Cabide	hanger	2,70	0,89	3	6	1,68	33	1,52	6,70	6,19
Cabra	goat	2,74	0,89	2	5	1,79	278	2,44	6,70	6,46
Cação	smooth-hound fish	5,74	2,03	2	5	3,08	30	1,48		
Caçarola	sauce pan	5,00	1,57	4	8	2,89	59	1,77		
Cachecol	scarf	2,82	0,65	3	8	1,37	25	1,40		
Cachimbo	pipe	3,71	1,23	3	8	1,53	125	2,10		
Cachucho	large eye dentex	5,43	1,99	3	8	3,32				
Cacto	cactus	3,65	1,22	2	5	2,00	20	1,30		
Cadeado	padlock	4,13	1,37	4	7	1,63	37	1,57	6,58	5,96
Cadeira	chair	1,52	0,60	3	7	1,95	1138	3,06		
Cadeirão	large chair	3,38	1,20	3	8	2,60	55	1,74	6,24	6,13
Caderno	notebook	2,48	0,68	3	7	1,33	375	2,57	6,62	6,50
Caixa	box	1,82	0,79	2	5	1,84	1258	3,10		
Caju	cashew nut	5,57	1,50	2	4	3,10	7	0,85		
Calcanhar	heel	3,13	1,51	3	9	1,79	106	2,03		
Calças	pants	1,74	0,64	2	6	1,21	488	2,69		
Calções	shorts	1,87	0,83	2	7	1,21	87	1,94		
Cálice	chalice	4,29	1,15	3	6	2,32	125	2,10		
Cama	bed	1,43	0,60	2	4	1,32	1863	3,27		
Camada	layer	4,38	1,24	3	6	3,07	775	2,89	4,12	2,71
Camaleão	chameleon	4,52	1,57	4	8	2,32	32	1,51		
Camelo	camel	2,71	1,06	3	6		121	2,08	6,64	6,42
Camião	truck	2,18	0,98	3	6	1,90	513	2,71	6,52	6,46
Camioneta	coach/van	2,48	0,81	4	9	2,00	285	2,45		
Camisa	shirt	2,43	0,81	3	6	1,37	539	2,73		
Camisola	sweater	2,17	1,14	4	8	1,55	357	2,55		
Canário	canary	3,19	1,21	3	7	2,15	54	1,73		
Candeeiro	lamp	2,90	1,29	4	9	1,90	301	2,48	6,56	6,42
Caneca	mug	2,43	0,75	3	6	1,63	44	1,64		
Caneta	pen	2,29	0,85	3	6	1,37	143	2,16	6,68	6,81
Canguru 	kangaroo	3,05	1,43	3	8	1,27			6,72	6,48
Canhão	cannon	4,00	1,65	2	6	1,45	127	2,10		
Canoa	canoe	3,71	0,78	3	5	2,15	88	1,94		
Cão	dog	1,30	0,66	1	3	1,24	1194	3,08	6,76	6,85
Caos	chaos	5,17	1,30	1	4	2,93	275	2,44	2,46	2,88
Cara	face	1,65	0,58	2	4		1794	3,25		
Caracol	snail	1,81	0,51	3	7	1,53	133	2,12		
Caranguejo	crab	2,87	0,96	4	10	1,79	72	1,86		
Carapau	horse-mackerel	3,29	1,10	3	7	1,50	40	1,60		
Cardo	thistle	6,30	2,08	2	5	3,07	45	1,65	5,64	3,42
Carneiro	lamb	2,87	1,02	3	8		92	1,96		
Carocha	ground beetle	3,45	1,54	3	7	2,79	19	1,28		
Carpa	carp	5,62	1,86	2	5	3,08	8	0,90		
Carpinteiro	carpenter	3,38	1,07	4	11	2,35	115	2,06		
Carrinha	van	2,52	0,81	3	8	2,40	194	2,29		
Carrinho	cart	1,67	0,86	3	8	2,60	74	1,87		
Carro	car	1,76	1,09	2	5	1,64	2926	3,47	6,64	6,83
Carroça	wagon	2,95	1,02	3	7	2,32	160	2,20		
Cartão	card	2,67	0,86	2	6	2,40	1347	3,13		
Carteira	wallet	2,68	0,86	3	8	1,85	426	2,63		
