IAPS	set	valcat	content	val_yf	val_ym	val_of	val_om	val_f	val_m	val_y	val_o	val_t	aro_yf	aro_ym	aro_of	aro_om	aro_f	aro_m	aro_y	aro_o	aro_t	vage_p	vage_e	vage_s	vaxs_p	vaxs_e	vaxs_s	vsex_p	vsex_e	vsex_s	aage_p	aage_e	aage_s	aaxs_p	aaxs_e	aaxs_s	asex_p	asex_e	asex_s	phit_y	phit_o	phit_t	pfa_y	pfa_o	pfa_t	dp_y	dp_o	dp_t	bc_y	by_o	by_t
3530.0	1	3	1	2.083	2.933	1.786	1.308	1.923	2.179	2.556	1.556	2.056	6.917	6.267	8.143	8.462	7.577	7.286	6.556	8.296	7.426	0.000	0.174	1	0.047	0.037	1	0.539	0.004	0	0.000	0.220	1	0.292	0.022	0	0.717	0.003	0	0.900	0.820	0.867	0.100	0.140	0.112	2.563	1.996	2.329	0.000	0.082	0.050
3550.0	1	1	1	1.917	2.933	1.643	1.385	1.769	2.214	2.481	1.519	2.000	7.333	7.000	8.143	8.308	7.769	7.607	7.148	8.222	7.685	0.000	0.121	1	0.092	0.027	0	0.376	0.008	0	0.019	0.106	1	0.570	0.006	0	0.847	0.001	0	0.740	0.780	0.765	0.180	0.180	0.173	1.559	1.688	1.664	0.136	0.072	0.109
4000.0	1	4	2	5.846	5.846	5.714	6.917	5.778	6.360	5.846	6.269	6.058	3.769	3.769	3.000	3.250	3.370	3.520	3.769	3.115	3.442	0.320	0.010	0	0.353	0.009	0	0.682	0.002	0	0.325	0.021	0	0.954	0.000	0	0.696	0.003	0	0.820	0.900	0.867	0.020	0.060	0.031	2.969	2.836	2.986	0.569	0.137	0.379
4599.0	1	4	3	6.308	7.000	7.071	7.667	6.704	7.320	6.654	7.346	7.000	3.077	3.154	2.857	2.000	2.963	2.600	3.115	2.462	2.788	0.015	0.059	1	0.718	0.001	0	0.047	0.039	1	0.117	0.052	0	0.435	0.013	0	0.330	0.020	0	0.620	0.620	0.622	0.340	0.420	0.378	0.718	0.507	0.624	0.053	-0.052	0.000
4601.0	1	2	3	5.769	6.769	7.214	7.083	6.519	6.920	6.269	7.154	6.712	2.462	3.615	2.857	2.083	2.667	2.880	3.038	2.500	2.769	0.028	0.048	1	0.834	0.000	0	0.492	0.005	0	0.237	0.030	0	0.092	0.059	0	0.807	0.001	0	0.700	0.740	0.724	0.220	0.180	0.194	1.297	1.559	1.460	0.124	0.136	0.134
4603.0	1	2	3	5.923	6.154	7.500	7.333	6.741	6.720	6.038	7.423	6.731	2.769	3.154	2.786	2.167	2.778	2.680	2.962	2.500	2.731	0.000	0.118	1	0.788	0.001	0	0.612	0.003	0	0.216	0.032	0	0.342	0.019	0	0.670	0.004	0	0.460	0.540	0.500	0.300	0.380	0.337	0.424	0.406	0.421	0.312	0.103	0.211
4605.0	1	3	2	4.333	5.333	7.000	6.769	5.769	6.000	4.889	6.889	5.889	3.500	2.133	2.429	2.692	2.923	2.393	2.741	2.556	2.648	0.002	0.090	1	0.049	0.037	1	0.195	0.016	0	0.559	0.007	0	0.067	0.066	0	0.211	0.031	0	0.900	0.780	0.847	0.180	0.340	0.255	2.197	1.185	1.682	-0.183	-0.180	-0.182
4606.0	1	3	3	5.667	6.733	7.000	7.154	6.385	6.929	6.259	7.074	6.667	3.250	3.467	3.000	3.385	3.115	3.429	3.370	3.185	3.278	0.153	0.020	0	0.457	0.005	0	0.670	0.002	0	0.772	0.002	0	0.883	0.000	0	0.600	0.006	0	0.860	0.860	0.867	0.180	0.220	0.194	1.996	1.853	1.978	-0.082	-0.154	-0.125
4608.0	1	2	3	5.154	6.769	6.357	7.250	5.778	7.000	5.962	6.769	6.365	4.231	4.308	2.786	2.500	3.481	3.440	4.269	2.654	3.462	0.001	0.115	1	0.764	0.001	0	0.064	0.034	0	0.005	0.157	1	0.938	0.000	0	0.690	0.003	0	0.900	0.900	0.908	0.100	0.340	0.214	2.563	1.694	2.121	0.000	-0.435	-0.269
4609.0	1	3	3	5.083	6.400	6.857	7.231	6.038	6.786	5.815	7.037	6.426	2.583	3.267	2.429	3.077	2.500	3.179	2.963	2.741	2.852	0.032	0.044	1	0.505	0.004	0	0.792	0.001	0	0.734	0.002	0	0.972	0.000	0	0.192	0.034	0	0.820	0.780	0.806	0.060	0.260	0.153	2.470	1.416	1.887	0.320	-0.064	0.080
4610.0	1	1	3	6.083	6.400	7.786	7.385	7.000	6.857	6.259	7.593	6.926	2.667	2.667	2.000	3.000	2.308	2.821	2.667	2.481	2.574	0.028	0.045	1	0.209	0.015	0	0.426	0.006	0	0.752	0.002	0	0.344	0.018	0	0.344	0.018	0	0.620	0.460	0.541	0.180	0.300	0.235	1.221	0.424	0.826	0.305	0.312	0.310
4613.0	3	2	2	6.385	5.846	5.214	6.000	5.778	5.920	6.115	5.577	5.846	2.692	3.231	3.286	3.000	3.000	3.120	2.962	3.154	3.058	0.260	0.013	0	0.129	0.023	0	0.912	0.000	0	0.832	0.001	0	0.514	0.009	0	0.915	0.000	0	0.940	0.940	0.949	0.060	0.020	0.031	3.110	3.609	3.507	0.000	0.249	0.118
4617.0	1	1	3	6.167	6.267	7.214	7.077	6.731	6.643	6.222	7.148	6.685	2.583	3.000	2.429	3.385	2.500	3.179	2.815	2.889	2.852	0.273	0.012	0	0.600	0.003	0	0.342	0.009	0	0.836	0.001	0	0.627	0.005	0	0.219	0.030	0	0.740	0.860	0.806	0.020	0.020	0.010	2.697	3.134	3.182	0.705	0.487	0.728
4621.0	1	1	1	2.500	3.800	3.857	3.308	3.231	3.571	3.222	3.593	3.407	6.750	4.800	5.786	5.923	6.231	5.321	5.667	5.852	5.759	0.646	0.002	0	0.012	0.060	1	0.097	0.026	0	0.893	0.000	0	0.081	0.060	0	0.128	0.046	0	0.940	0.580	0.765	0.020	0.180	0.092	3.609	1.117	2.053	0.249	0.357	0.303
