										5 Years									7 Years									9 Years							Adults												
French	English	Emotional	Picture	Picture	Rating	All	Girls	Boys	All	Girls	Boys	All	Girls	Boys	All	Girls	Boys	All	Girls	Boys	All	Girls	Boys	All	Girls	Boys	All	Girls	Boys	All	Girls	Boys	S	S	S	B	B			Sex	Sex	Sex					
Words	Translation	Source	Source	Number	Age	% Neg	% Neg	% Neg	% Neu	% Neu	% Neu	% Pos	% Pos	% Pos	% Neg	% Neg	% Neg	% Neu	% Neu	% Neu	% Pos	% Pos	% Pos	% Neg	% Neg	% Neg	% Neu	% Neu	% Neu	% Pos	% Pos	% Pos	% Neg	% Neu	% Pos	M	SD	Age 5-7	Age 7-9	5 years	7 years	9 years					
abeille	bee	SB	AF	23	5	43	50	33	31	38	22	26	13	44	48	47	50	26	21	33	26	32	17	42	43	41	26	21	29	32	36	29	22	55	23	2,6	1,04	NS	NS	NC	NS	NS					
agneau	lamb	B	AF	362	7										8	10	7	17	14	21	75	76	71	19	14	24	19	7	29	61	79	47				3,88	0,78		NS		NS	NS					
aigle	eagle	SB	AF	82	7										11	10	14	22	38	0	67	52	86	10	21	0	32	14	47	58	64	53	13	46	41	3,2	1,26		NS		NS	NC					
aiguille	needle	SB	AF	154	7										31	24	36	50	67	29	19	10	36	55	86	29	29	7	47	16	7	24	27	69	4	1,88	0,83		NS		NS	NC					
ail	garlic	SB	B	4	7										39	52	14	28	19	43	33	29	43	47	48	47	17	19	13	36	33	40	25	55	20	2,36	1,11		NS		NS	NS					
aile	wing	B	B	5	7										0	0	0	19	19	21	81	81	79	6	0	13	44	48	40	50	52	47				3,72	0,79		NS		NS	NS					
alcool	alcohol	S			5	56	70	43	19	5	30	26	25	26	55	73	36	21	27	14	24	0	50	73	93	61	19	7	26	8	0	13	72	19	9			NS	NS	NS	NC	NS					
allumette	match	SB	B	7	7										22	25	17	47	55	33	31	20	50	22	29	17	70	57	78	8	14	4	17	71	12	2,92	1,08		NS		NC	NS					
ambulance	ambulance	B	B	8	7										29	32	25	48	47	50	23	21	25	29	32	25	38	36	42	32	32	33				1,76	0,83		NS		NS	NS					
ami	friend	S			5	7	8	6	2	4	0	90	88	94	3	0	8	3	5	0	94	95	92	3	7	0	0	0	0	97	93	100	0	2	99			NS	NS	NS	NS	NS					
amour	love	S			5	12	5	17	23	20	26	65	75	57	25	14	43	22	19	29	53	67	29	10	0	18	35	43	29	55	57	53	1	0	99			NS	NS	NS	NS	NS					
ampoule	lightbulb	SB	AF	138	7										29	26	33	58	58	58	13	16	8	27	21	30	70	79	65	3	0	4	8	78	14	3,04	1,02		NS		NS	NS					
ananas	pineapple	SB	AF	173	7										31	53	7	14	0	29	55	47	64	28	29	27	6	0	13	67	71	60	4	49	47	3,71	1,16		NS		NC	NS					
âne	donkey	SB	AF	75	7										16	15	17	31	30	33	53	55	50	5	0	9	32	21	39	62	79	52	15	66	19	3,24	1,05		NS		NS	NS
ange	angel	B	B	9	7										16	15	17	13	15	8	72	70	75	3	5	0	3	0	8	94	95	92				4,32	0,9		NC		NS	NS
année	year	S			7										0	0	0	52	53	50	48	47	50	3	0	4	57	50	61	41	50	35	9	68	23				NS		NS	NS
antenne	aerial	B	B	12	7										6	10	0	86	86	86	8	5	14	11	14	9	89	86	91	0	0	0				2,84	0,69		NS		NS	NS
appareil photo	camera	B	AF	268	7										6	5	8	35	26	50	58	68	42	3	0	7	14	5	27	83	95	67				4,28	0,79		NS		NS	NS
araignée	spider	SB	AF	212	7										31	43	15	40	43	38	29	14	46	59	71	52	8	7	9	32	21	39	51	42	7	1,32	0,56		NC		NS	NS
arbre	tree	SB	AF	241	5	23	25	22	33	35	30	44	40	48	0	0	0	58	53	67	42	47	33	0	0	0	26	18	42	74	82	58	1	47	52	3,84	0,69	NC	NC	NS	NC	NS
arc	bow	SB	B	13	7										28	30	25	28	40	8	44	30	67	15	23	0	32	36	25	53	41	75	10	77	13	3,24	1,01		NS		NC	NS
argent	money	SB			5	2	4	0	5	0	11	93	96	89	3	0	7	7	0	14	90	100	79	0	0	0	26	36	8	74	64	92	11	33	56	4	1,08	NS	NC	NS	NS	NC
arme	weapon	S			7										34	60	7	21	27	14	45	13	79	51	86	30	16	14	17	32	0	52	82	13	6				NS		*	NC
arrosoir	watering can	SB	AF	251	7										11	5	21	42	48	36	47	48	43	6	0	13	67	81	47	28	19	40	0	84	16	3,16	0,8		NS		NS	NS
art	art	S			9																			3	0	8	12	5	25	85	95	67	0	14	86							NC
aspirateur	vacuum cleaner	SB	B	15	7										17	19	14	64	62	71	19	19	14	33	33	33	58	67	47	8	0	20	11	76	13	2,16	0,69		NS		NS	NS
assiette	plate	SB	B	16	5	10	8	11	36	33	39	55	58	50	3	5	0	81	74	92	16	21	8	0	0	0	76	86	70	24	14	30	2	84	14	3,44	0,82	*	NS	NS	NS	NS
autruche	ostrich	SB	AF	159	7										38	40	33	16	15	17	47	45	50	26	21	29	35	14	53	39	64	18	4	75	21	2,76	1,05		NS		NS	NC
avenir	future	S			7										19	15	25	25	15	42	56	70	33	17	19	13	22	19	27	61	62	60	3	14	83				NS		NS	NS
avion	airplane	SB	AF	2	5	14	25	0	19	29	6	67	46	94	22	24	21	36	52	14	42	24	64	6	7	6	23	21	24	71	71	71	5	63	32	3,16	1,07	NS	NC	NC	NS	NS
avocat	avocato	B	AF	326	7										16	21	8	23	16	33	61	63	58	35	14	48	27	36	22	38	50	30				2,76	0,88		NC		NS	NS
