Appendix
Icon functions, ratings of function familiarity and concreteness, and no. of syllables listed in alphabetic order
Function	Concreteness Rating	Familiarity Rating	No. of Syllables
1	add task	2.05	3.90	2
2	added fabric web width	2.03	2.64	6
3	adjust contrast	2.35	3.97	4
4	air cooled condenser	3.20	2.54	6
5	air vent - right and left outlets	3.48	2.77	7
6	airborne troops	3.53	3.15	3
7	airbrush	3.05	4.08	2
8	all operators	2.08	3.05	5
9	American health service	2.28	2.56	7
10	apple computer	4.30	4.56	4
11	arc ignition by contact	1.98	1.67	7
12	archive	2.95	4.13	2
13	atomic site	3.53	2.77	4
14	automatic control closed loop	2.48	2.28	8
15	axe	4.47	4.38	1
16	baggage lockers	3.83	3.97	4
17	balance	2.48	4.44	2
18	beating process of fabrics	2.25	1.79	7
19	belt drive			2
20	bending	2.55	4.05	2
21	binary file	2.53	2.00	3
22	biohazard	2.42	3.18	3
23	bitmap	2.63	2.56	2
24	blow moulding	2.68	2.08	3
25	break glass to access	2.85	4.33	5
26	bridging troops	2.80	2.28	3
27	brushing by means of brush belt	2.48	1.67	7
28	building	4.60	4.74	2
29	button	4.55	4.64	2
30	calendar	4.63	4.72	3
31	cancer	3.50	4.46	2
32	cartoons	3.40	4.69	2
33	CD interactive	2.40	3.85	5
34	centre alignment	2.75	4.00	5
35	centre of gravity	2.38	3.77	6
36	chain reaction	2.30	4.26	4
37	chain saw	4.58	4.15	2
38	chemistry	2.70	4.59	3
39	chess	3.90	4.59	1
40	choke	2.73	4.13	1
41	Christianity	2.40	4.74	5
42	clean edge pins	3.23	2.15	3
43	cleaning of chain-link	2.30	2.31	5
44	closed	2.60	4.85	2
45	cloth track steaming	2.30	1.54	4
46	co-operate	2.00	4.28	4
47	cockpit	3.80	4.13	2
48	colour area	2.60	4.03	3
49	colour temperature lamp	3.83	2.31	7
50	communication	2.55	4.59	5
51	compress file	2.50	3.05	3
52	Confuscianism	2.05	1.49	5
53	connect	2.60	4.41	2
54	convert multiple files	2.17	2.54	6
55	conveyor belt	4.10	4.26	4
56	creel	2.40	1.51	1
57	crop	3.33	4.08	1
58	cube	3.95	4.36	1
59	currency exchange	2.60	4.28	5
60	dam	3.85	3.95	1
61	dangerous voltage	2.88	4.41	5
62	debug	2.53	3.74	2
63	debug	2.28	3.72	2
64	desk set	3.83	3.82	2
65	device driver	2.93	2.15	4
66	diagnose	2.23	4.46	3
67	diamond extraction	4.68	4.46	5
68	discard files	2.48	3.44	3
69	distressed vessel	2.95	2.33	4
70	diver	4.22	4.26	2
71	draw	3.20	4.67	1
72	earthing point	3.18	2.85	3
73	educate	2.28	4.54	3
74	eject	2.68	4.79	2
75	electric shaver outlet	3.73	4.05	7
76	electric transmission	2.58	3.51	6
77	electrical loop	2.75	2.72	4
78	electrical precipitator	2.83	1.69	9
79	end of reel	2.73	3.08	3
80	engage pile-raising roller	2.23	1.38	7
81	engagement of seat belt	2.88	3.92	6
82	entrance	3.45	4.87	2
83	equipotentials	2.35	1.44	5
84	external cylindrical grinding	2.40	1.54	9
85	external hard disk	3.80	3.54	5
86	external honing	2.15	1.33	5
87	fallout shelter	3.50	3.08	4
88	fan	4.38	4.64	1
89	farm kitchen	3.33	3.10	3
90	fast	2.20	4.67	3
91	fast forward	2.85	4.85	3
92	fast rewind	2.90	4.15	3
93	female	4.43	5.00	2
94	fighter	3.65	4.23	2
95	file manager	2.55	3.41	4
96	films	3.90	4.85	1
97	films	3.93	4.85	1
98	first aid	3.00	4.90	2
99	fixed bed reactor	2.78	1.59	5
100	focal plane	2.90	2.05	5
101	food processing industry	2.70	3.59	7
102	football	4.38	4.79	2
103	football ground	4.03	4.74	3
104	frog	4.68	4.64	1
105	fun	2.23	4.72	1
106	gastropods	2.75	1.51	3
107	gents toilets	4.28	4.69	3
108	go rapidly	2.05	3.85	4
109	graph	3.50	4.62	1
110	gravel pit	3.98	3.74	3
111	handle with care	2.53	4.79	4
112	headlamp cleaner	3.48	2.77	4
113	heavy manufacturing	2.98	3.56	7
114	heliport	3.88	3.77	3
115	hierarchy	2.50	4.31	4
116	high water level in laundry machines	2.50	4.31	10
117	hiking trail	3.28	4.33	3
118	information	2.60	4.85	4
119	inject reacting resin	2.55	1.69	7
120	insert object linking and embedding file	2.20	2.15	11
121	inspect	2.25	4.13	2
122	instrument illumination	2.45	2.44	8
123	ionising radiation	2.35	2.31	8
124	iris diaphragm: open	2.33	1.79	7
125	iron	4.53	4.62	2
126	jacketed reactor	2.75	1.41	6
127	justice	1.98	4.44	2
128	kitchen	4.20	4.79	2
129	laminate	3.00	3.92	3
130	launch application program	2.13	2.35	7
131	library	4.25	4.79	3
132	lift	4.38	4.77	1
133	lift	4.47	4.74	1
134	line vessel	2.98	1.92	3
135	links to other websites	2.70	4.59	6
136	lock	3.98	4.56	1
137	loudspeaker connection	3.15	3.74	6
138	lumber industry	2.48	2.26	5
139	mace	3.28	3.15	1
140	macrobiotics	2.78	2.38	5
141	magnify	2.55	4.54	3
142	mail merge main document	2.17	2.90	6
143	male	4.47	4.92	1
144	manual control	2.75	3.95	4
145	measure	2.60	4.67	2
146	microphone	4.63	4.69	3
147	mineral spring	3.30	3.56	4
148	missile in flight	3.38	3.28	4
149	module	2.58	4.67	2
150	mouse	4.43	4.79	1
151	mouse connection	3.45	4.10	4
152	mouse properties	2.30	3.23	4
153	museum	4.30	4.74	3
154	naughty	2.30	4.51	2
155	navy	3.38	4.69	2
156	no entry	2.50	4.95	3
157	no entry	2.48	4.97	3
158	no entry	2.50	4.69	3
159	no!	2.60	4.69	1
160	noise	2.33	4.77	1
161	non-ionising radiation	2.45	2.05	9
162	note	3.33	4.49	1
163	open half-nut	2.98	2.36	4
164	open location	2.23	3.23	5
165	open shade	2.53	2.87	3
166	opening of selvedge loops	1.88	1.44	7
167	oscillating motor	2.85	2.00	6
168	paper industry	2.83	3.95	5
169	paradox	1.95	2.95	3
170	pause	2.30	4.74	1
171	peace	2.17	4.90	1
172	picnic area	3.70	4.64	5
173	plasticizing cylinder with plunger	2.78	1.18	10
174	plate column	2.68	1.77	3
175	polishing process of fabrics	2.40	2.08	8
176	portable files	3.35	3.49	3
177	press tool	3.25	2.59	2
178	product	3.50	4.54	2
179	protect from heat and radiation	2.58	3.69	10
180	punch marking	2.38	2.36	3
181	radiation of laser apparatus	2.30	1.79	11
182	random access memory	2.53	3.49	7
183	recycle	2.85	4.87	3
184	return to home page	2.40	4.82	5
185	rinse	2.90	4.49	5
186	risk of explosion	2.60	3.95	5
187	Roman	3.40	4.36	2
188	rotary vacuum filter	3.40	1.74	7
189	rotation of cylinder with direction of cloth	2.15	1.67	 13
190	rye	3.35	2.59	1
191	safe	2.93	4.64	1
192	safety device against overload	2.85	2.64	9
193	safety isolating transformer	2.85	1.67	8
194	scale of measurement	2.38	3.82	5
195	scythe	3.10	3.95	1
196	sea mine decoy	2.85	1.67	4
197	search	2.48	4.87	1
198	search	2.42	4.87	1
199	search	2.25	4.82	1
200	select irregular area	1.85	2.26	8
201	shopping	3.20	4.72	2
