var,adjusted r,adjusted r-squared,r-squared,r,language,dim,window,algo,dataset,data_source
unigram_freq,0.279794783711978,0.0782851209924327,0.0703347076666906,0.265206914816885,af,50,6,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0446230502037111,0.00199121660948292,0.00710978105222909,0.0843195176233183,af,50,6,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.204701875834793,0.0419028579702831,0.0376473233786482,0.194029181770805,af,50,6,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0274396278945265,0.000752933178990078,0.00268840166563716,0.0518497990896509,af,50,6,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.253866022620084,0.0644479574409411,0.0579028069300944,0.240630020841321,af,100,1,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0400761684121036,0.00160609927459529,0.00573469211543076,0.0757277499694185,af,100,1,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.219396621810067,0.0481348776616694,0.043246436947229,0.207957776837581,af,100,1,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0349324936781805,0.00122027911457612,0.00435709369132731,0.0660082850203466,af,100,1,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.300874208682459,0.0905252894502961,0.0813317995707586,0.285187306117854,af,100,2,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0464924647800188,0.00216154928132129,0.0077179660166597,0.0878519551100583,af,100,2,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.219311212302528,0.0480974078416043,0.0432127724550855,0.207876820389108,af,100,2,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0341998535512396,0.00116962998292623,0.0041762473510541,0.06462389148801,af,100,2,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.29863646733642,0.0891837396231769,0.080126493712959,0.283066235557968,af,100,3,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0425359657483548,0.00180930838214521,0.00646026474053757,0.0803757720991691,af,100,3,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.214884866089893,0.0461755056744713,0.0414860531835863,0.203681253883577,af,100,3,sg,dedup.af.words.unigrams.tsv,Subtitles
