PMM31,roll,1.50,3.75,The events rolled along at the picnic. ,0.50,1599,1.00,4.39,4.24,2.89,5.33,39,7,3,55,12,459,,,,101,16.86,379,48,8.47,457,,,,15,11.69,540,,PLM31,The ball rolled along the path.,0.16,1435,n/a,6.17,6.24,6.61,1.33,31,6,3,67,46,525,,,,110,104.96,615,48,8.47,457,,,,44,24.55,504,,
PMM32,run,1.50,4.15,The guest ran through all the toilet paper.,0.05,1457,1.00,5.06,4.50,4.89,4.33,43,8,4,86,64,539,,,,39,39.94,519,134,84.24,451,13,28.9,586,157,103.35,599,,PLM32,The thief ran through the bank.,0.05,978,n/a,6.15,6.05,6.65,1.90,31,6,3,75,64,514,,,,8,24.27,519,134,84.24,451,,,,83,84.98,573,,
PMM33,sail,1.30,4.45,The frank speaker sailed towards a finish. ,0.33,1945,0.89,2.78,3.24,2.94,5.78,43,7,4,42,67,462,68,159.39,401,49,6.9,537,10,3.65,567,,,,39,98.92,343,,PLM33,The boat sailed towards the sandy shore. ,0.47,1584,n/a,6.67,6.24,6.44,1.00,41,7,4,37,36,569,,,,72,95.78,637,10,3.65,567,6,24.25,499,61,19.86,574,,
PMM34,sashay,1.35,3.20,The divorcee sashayed through the paperwork.,0.00,1388,0.89,2.72,2.53,2.44,5.33,44,6,3,1,4,488,,,,2,0.47,500,0,0.06,435,,,,0,10.41,530,,PLM34,The couple sashayed with much grace.,0.85,1541,n/a,3.89,4.24,4.50,2.89,36,6,4,275,310,368,,,,122,223.41,480,0,0.06,435,937,973.25,242,40,42.29,314,,
PMM35,scurry,1.75,3.20,The promised money scurried out of sight.,0.05,1523,0.90,1.90,2.05,2.50,6.50,41,7,4,100,187,409,45,62.14,204,265,640.76,574,3,0.1,465,,,,86,45.31,393,,PLM35,The large rat scurried out of the way.,0.10,1398,n/a,6.47,6.70,6.50,1.05,38,8,4,320,375,417,361,41.45,314,6,32.61,624,3,0.1,465,,,,909,1424.73,265,,
PMM36,shuffle,2.05,3.50,The ex-boyfriend shuffled out of her life.,0.17,1436,1.00,3.78,3.06,2.22,5.33,42,7,4,180,220,425,2,12.55,250,1,72.24,588,2,0.37,500,,,,715,796.65,361,,PLM36,The patient shuffled to the exit.,0.00,1324,n/a,5.89,6.15,5.95,2.05,33,6,3,32,27,471,,,,86,63.65,487,2,0.37,500,,,,7,15.57,425,,
PMM37,sidle,1.20,2.70,The sad wife sidled up to the scotch. ,0.00,1172,0.95,2.78,2.82,3.67,4.39,38,8,4,68,107,476,35,63.37,360,228,348.92,562,2,0.02,398,,,,5,14.75,583,,PLM37,The gross man sidled up to the bar.,0.05,1255,n/a,4.95,4.60,5.70,2.55,35,8,4,339,487,464,66,15.27,273,1207,1845.75,618,2,0.02,398,,,,82,85.98,565,,
PMM38,skulk,1.16,2.55,Her true opinion skulked behind her teeth.,0.00,1693,1.00,2.44,2.41,1.61,6.28,42,7,4,108,86,387,231,253.35,269,96,42,285,0,0,375,,,,103,47.84,618,,PLM38,The henchman skulked behind his cruel master.,0.05,1321,n/a,4.61,4.12,5.17,2.44,45,8,4,22,26,436,,,,1,0.33,503,0,0,375,15,18.35,367,72,87.25,498,,
PMM39,sleepwalk,1.05,4.75,The teen sleepwalked through his school work.,0.06,1393,1.00,3.06,2.82,2.39,5.72,45,7,4,335,284,487,,,,6,4.1,515,0,0,540,573,333.12,492,760,798.02,402,,PLM39,The little boy sleepwalked into the basement.,0.00,1364,n/a,5.78,5.53,6.50,1.11,45,7,4,276,499,528,831,1446.39,378,242,529.82,609,0,0,540,,,,31,21.06,585,,
PMM40,slide,1.40,3.40,The conversation slid into a wall. ,0.05,1396,1.00,2.47,3.30,2.35,6.50,35,6,3,78,41,519,,,,50,49.86,463,24,1.84,504,,,,160,70.69,589,,PLM40,The sleigh slid down the hill. ,0.33,1238,n/a,5.94,6.44,7.00,1.00,31,6,3,32,14,568,,,,0,3.27,613,24,1.84,504,,,,72,37.55,588,,
PMM41,slink,1.35,2.75,The controversial film slinked out of the theaters.,0.06,1723,1.00,2.28,2.29,1.44,6.33,51,8,4,34,2,469,12,2.14,185,96,2.14,604,0,0.04,425,,,,29,1.8,660,,PLM41,The politician slinked out the back door.,0.05,1576,n/a,4.00,4.40,4.85,3.65,41,7,4,323,576,516,,,,13,3.27,494,0,0.04,425,967,2009.16,540,312,292.06,606,,
PMM42,slither,1.75,3.60,The legend slithered across the internet.,0.00,1393,0.95,2.32,2.30,2.60,6.05,41,6,3,9,8,344,,,,26,17.16,265,0,0.18,338,,,,0,6.55,430,,PLM42,The snake slithered across the threshold.,0.05,1472,n/a,5.26,4.90,6.00,1.30,41,6,3,29,8,488,,,,44,22.35,621,0,0.18,338,,,,44,2.76,504,,
PMM43,snake,1.30,4.70,The lies snaked through her story.,0.05,1457,1.00,3.84,3.70,2.75,6.25,34,6,3,66,86,468,,,,44,36.92,357,3,0.24,621,,,,152,220.78,427,,PLM43,The python snaked around its victim.,0.05,1238,n/a,4.79,5.45,6.25,1.55,36,6,3,15,17,583,,,,14,1.55,580,3,0.24,621,,,,27,47.73,549,,
PMM44,sneak,1.15,2.65,The accountant snuck through the loophole. ,0.05,2007,0.95,4.05,4.70,2.45,5.70,43,6,3,2,4,390,,,,2,6.18,580,1,4.63,375,,,,2,1.02,215,,PLM44,The teenager snuck out the beer.,0.05,1594,n/a,5.65,6.35,6.72,1.11,32,6,3,12,29,521,,,,2,6.88,600,1,4.63,375,,,,34,75.49,587,,
PMM45,spin,1.20,3.65,The debate spun into a brawl. ,0.00,1263,1.00,6.06,5.83,4.78,4.72,30,6,3,17,4,418,,,,32,9.29,375,17,1.69,424,,,,1,2.12,456,,PLM45,The top spun into the box.,0.20,1586,n/a,4.32,5.05,5.00,1.65,26,6,3,97,75,485,,,,204,133.43,435,17,1.69,424,,,,70,89.75,597,,
PMM46,spring,1.55,3.55,The film script sprang to life.,0.84,1401,0.89,5.11,5.35,2.67,6.72,31,6,4,209,237,511,96,65.25,604,11,65.25,555,13,19.61,524,,,,715,796.65,361,,PLM46,The trout sprang out of the water.,0.26,1484,n/a,5.72,5.88,6.94,1.33,34,7,4,153,83,586,,,,4,4.02,617,13,19.61,524,,,,442,225.06,616,,
PMM47,sprint,1.25,3.90,The nervous speaker sprinted through his talk.,0.06,1506,1.00,4.58,5.10,5.20,4.83,46,7,4,57,232,427,24,67.16,338,49,6.9,537,2,0,411,,,,154,855,422,,PLM47,The winner sprinted through the finish line.,0.80,1492,n/a,6.74,6.75,6.75,1.15,44,7,4,87,84,422,,,,8,31.22,455,2,0,411,39,98.92,343,298,206.18,477
PMM48,stand,1.10,3.65,The brave worker stood up to the boss.,0.79,1712,0.95,6.58,6.65,5.60,4.05,38,8,4,72,48,454,24,31.71,283,30,10.94,532,212,25.78,450,,,,20,124.29,552,,PLM48,The famous lecturer stood at the podium.,0.33,1673,n/a,6.67,6.88,6.94,1.22,40,6,4,77,18,466,89,45.02,305,6,0.8,561,212,25.78,450,,,,1,1.27,546
PMM49,stir,1.60,3.65,The minister stirred up the audience.,0.42,1702,1.00,6.58,6.70,6.55,4.60,37,6,3,64,15,543,,,,61,18.45,575,15,2.41,540,,,,115,25.37,515,,PLM49,The cook stirred up the stew.,0.32,1312,n/a,6.53,6.65,6.25,1.35,29,6,3,22,18,548,,,,47,45.57,502,15,2.41,540,,,,5,6.43,603
PMM50,stomp,3.75,3.15,The rule book stomped on her plans.,0.06,1349,1.00,3.00,2.65,2.11,6.56,35,7,4,95,71,433,73,48.14,286,193,176.98,609,2,0.98,480,,,,113,56.22,357,,PLM50,The terrible giant stomped on their village. ,0.00,1162,n/a,5.74,6.00,6.55,2.05,45,7,4,36,39,459,45,94.02,263,23,27.06,515,2,0.98,480,,,,72,33.57,576
PMM51,stream,1.60,4.30,The pictures streamed through her head.,0.37,1567,1.00,5.06,5.29,2.83,5.28,39,6,3,166,147,634,,,,69,68.18,675,4,0.16,624,,,,424,371.51,603,,PLM51,The tears streamed down her cheeks.,0.00,1292,n/a,6.89,6.76,6.94,1.50,35,6,3,18,9,564,,,,36,22.35,504,4,0.16,624,,,,13,4.41,565
PMM52,strut,1.25,3.45,The actor strutted through middle age.,0.40,2016,0.90,2.35,2.55,2.00,5.55,38,6,4,93,49,412,,,,24,26.33,545,2,0.04,429,118,89.2,283,227,79.2,390,,PLM52,The vain shopper strutted with pride.,0.26,1598,n/a,4.94,4.94,5.50,2.83,37,6,4,14,9,378,10,6.51,315,1,0.65,497,2,0.04,429,,,,42,27.67,270
PMM53,stumble,1.50,3.40,The hiker stumbled upon the cave.,0.35,1732,0.95,6.21,6.50,6.60,2.65,33,6,3,10,6,546,,,,0,0.27,614,21,3.98,433,,,,9,13.98,592,,PLM53,The drunk stumbled towards the shelter. ,0.00,1307,n/a,5.83,6.24,6.78,1.17,40,6,3,43,31,486,,,,37,76.55,465,21,3.98,433,,,,70,11.67,560
PMM54,surf,1.80,4.55,The fat man surfed on the web.,0.05,1316,0.95,6.11,6.00,6.00,2.39,30,7,4,318,484,562,60,79.43,540,1207,1845.75,618,0,0.41,527,,,,6,9.22,561,,PLM54,The awkward woman surfed on the waves.,0.00,992,n/a,3.94,3.88,5.50,1.89,38,7,4,72,116,482,11,14.31,329,224,434.63,580,0,0.41,527,,,,51,13.22,492
PMM55,swarm,2.20,4.30,The bright colors swarmed across the mural.,0.79,1748,0.95,4.16,4.20,5.45,5.65,43,7,4,36,23,465,87,44.41,473,51,44.41,467,3,0.35,406,,,,1,1.02,515,,PLM55,The bees swarmed towards the purple flowers.,0.22,1469,n/a,5.88,6.12,6.78,1.28,44,7,4,22,16,504,,,,15,5.33,597,3,0.35,406,13,12.33,427,58,47.59,584
PMM56,sweep,2.20,4.15,The man swept away the woman,0.76,1601,1.00,5.53,5.60,4.30,5.30,28,6,3,489,762,558,,,,1207,1845.8,618,36,4.76,476,,,,224,434.63,580,,PLM56,The janitor swept away the dirt.,0.11,1321,n/a,6.74,6.75,6.60,1.05,32,6,3,28,12,524,,,,4,5.73,532,36,4.76,476,,,,43,25.69,564
PMM57,swim,1.60,4.65,The pupil swam through the text.,0.50,1459,1.00,2.56,2.47,2.06,6.83,32,6,4,29,4,544,,,,20,3.14,570,6,2.41,482,,,,60,5.24,580,,PLM57,The whale swam through the channel.,0.11,1493,n/a,6.32,6.25,6.40,1.05,35,6,3,7,13,540,,,,0,11.25,610,6,2.41,482,,,,16,24.41,527
PMM58,swing,1.55,4.00,Her mood swung throughout the night.,0.11,1896,1.00,4.33,4.18,2.06,5.78,36,6,3,165,301,413,,,,37,34.04,234,48,2.29,508,,,,411,866.04,496,,PLM58,The monkey swung through the branches.,0.40,1565,n/a,6.11,6.41,6.67,1.33,38,6,3,30,13,552,,,,9,33.51,566,48,2.29,508,,,,33,3.33,583
PMM59,toss,1.55,3.70,The executive tossed out the old slogan.,0.10,1691,1.00,6.05,6.30,3.35,4.45,40,7,4,188,158,397,,,,55,10.61,457,31,8.25,365,660,608.94,349,7,2.49,415,,PLM59,The teacher tossed out the dirty blanket.,0.00,1254,n/a,5.79,5.80,5.65,1.45,41,7,4,44,36,491,,,,80,55.73,569,31,8.25,365,36,66.45,408,30,12.98,622
PMM60,totter,1.10,2.60,The cake shop tottered on bankruptcy.,0.05,1525,1.00,3.79,4.45,2.85,5.25,37,6,4,21,25,496,13,45.06,624,63,53.55,549,0,0,479,,,,8,2.37,330,,PLM60,The model tottered in the high heels.,0.20,1645,n/a,5.11,5.12,6.11,1.89,37,7,4,149,59,476,,,,77,32.06,475,0,0,479,497,195,371,23,10,579
PMM61,traipse,1.25,2.50,The artist traipsed through three marriages. ,,,0.84,2.94,3.24,1.89,5.56,45,6,4,174,144,450,,,,57,28.63,554,0,0.02,410,610,542.24,439,27,3.9,398,,PLM61,The secretary traipsed into the important meeting,,,n/a,3.84,4.16,4.70,2.37,49,7,4,180,93,407,,,,191,33.22,576,0,0.02,410,369,207.59,238,159,132.39,403
PMM62,trudge,1.60,3.10,The case worker trudged through the files.,0.05,1577,0.95,5.33,4.94,5.06,4.33,42,7,4,102,80,493,362,282.41,548,30,10.94,532,4,0.02,410,,,,13,26.63,480,,PLM62,The park guide trudged through the swamp.,0.00,1341,n/a,5.78,5.88,6.28,1.50,41,7,4,35,25,507,94,72.12,579,36,17.84,468,4,0.02,410,,,,5,8.98,570
PMM63,tug,1.30,3.50,The urgent letter tugged at her sleeve.,0.06,1861,0.95,2.50,2.41,2.67,6.67,39,7,4,45,26,465,21,14.86,230,145,82.61,577,2,0.2,465,,,,11,5.61,587,,PLM63,The puppy tugged at her trouser leg.,0.35,1434,n/a,5.94,6.47,6.83,1.33,36,7,4,17,3,570,,,,2,11.45,623,2,0.2,465,7,0.39,567,58,0.39,626
PMM64,wade,1.40,4.10,The business waded into dark waters.,0.00,1432,1.00,3.22,2.94,1.67,6.72,36,6,4,156,105,501,,,,393,321,389,2,0.22,500,185,88.61,497,42,10.84,616,,PLM64,The dancer waded into the rough surf.,0.20,1625,n/a,3.16,4.20,4.80,2.05,37,7,4,19,15,509,,,,31,16.29,558,2,0.22,500,41,37.39,452,1,6.35,527
PMM65,walk,1.47,3.85,The sister walked all over her brothers.,0.16,1666,1.00,5.72,5.41,3.00,6.50,40,7,3,80,94,537,,,,38,180.53,575,159,53.67,452,,,,44,47.06,585,,PLM65,The prophet walked up the mountain.,0.32,1456,n/a,6.00,6.00,7.00,1.17,35,6,3,66,31,506,,,,5,5.33,450,159,53.67,452,,,,33,35.39,616
PMM66,waltz,2.15,4.45,The garlic tangoed with the ginger.,0.47,1724,0.95,2.50,2.53,2.33,6.50,35,6,3,2,4,559,,,,4,6.41,636,0,0.04,520,,,,2,6.41,522,,PLM66,The girl tangoed with the instructor.,0.40,1605,n/a,5.67,6.00,6.11,1.72,37,6,3,76,187,562,,,,220,557.12,607,0,0.04,520,,,,8,4.71,558
PMM67,wander,1.05,2.30,The patient wandered through the magazine. ,0.11,1676,1.00,3.11,3.65,4.00,5.05,43,6,3,44,33,465,,,,86,63.53,487,8,3.45,320,,,,39,33.2,588,,PLM67,The group wandered through the marshes. ,0.17,1561,n/a,5.84,6.05,6.40,1.20,40,6,3,134,26,447,,,,390,73.76,451,8,3.45,320,,,,5,0.53,570
PMM68,whirl,1.75,2.75,The letters whirled across the page.,0.25,1423,0.90,4.47,3.90,4.30,5.95,36,6,3,62,25,517,,,,115,37.45,577,6,0.04,402,,,,66,37.49,571,,PLM68,The clouds whirled across the sky.,0.56,1341,n/a,5.11,5.45,6.25,3.70,34,6,3,31,18,499,,,,28,10.02,554,6,0.04,402,,,,58,44.8,542
PMM69,wiggle,1.30,3.50,The charming driver wiggled out of the fine. ,0.35,1951,1.00,4.26,4.85,4.65,5.40,45,8,4,59,168,419,24,28.12,386,49,47.37,553,3,0.2,409,,,,161,598.08,328,,PLM69,The black dog wiggled under the fence. ,0.15,1529,n/a,5.61,5.65,6.22,1.17,39,7,4,78,94,522,203,167.94,470,75,192.84,610,3,0.2,409,,,,30,16.06,597
PMM70,worm,1.05,4.10,The news wormed through the family. ,0.00,1528,1.00,2.56,3.12,1.83,6.12,36,6,3,145,173,524,,,,104,164.69,437,0,0.22,611,,,,331,354.25,525,,PLM70,The mouse wormed through the opening.,0.06,1165,n/a,4.67,4.71,5.61,2.72,37,6,3,31,19,563,,,,10,19.12,624,0,0.22,611,,,,83,38.43,455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
