,,,,,,,,,,,,,,,AVERAGE,,,MOD1,,,SUBJ,,,VERB,,,MOD2,,,OBJ,,,,,,,,,,,,,,,,AVERAGE,,,MOD1,,,SUBJ,,,VERB,,,MOD2,,,OBJ,,,,
Item,Base,Auditory Image,Visual Image,Metaphor,Valence %Pos,Valence RT,Interp,Fam,Natur,Image,Fig,#chars,#words,#content words,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,,Item,Literal,Valence %Pos,Valence RT,Interp,Fam,Natur,Image,Fig,#chars,#words,#content words,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,,
PMM01,balloon,1.11,5.00,The kid's courage ballooned during the fight.,0.63,1842,0.95,3.89,4.30,3.70,5.70,45,7,4,48,141,473,61,339.2,536,32,23.67,277,0,0.06,623,,,,98,201.08,455,,PLM01,The mattress ballooned to its full size.,0.06,1647,n/a,4.32,4.65,5.35,3.40,40,7,4,92,55,499,,,,0,6.61,640,0,0.06,623,230,166.9,378,138,46.14,354,,
PMM02,bounce,1.50,3.90,The friendly girl bounced through the party. ,0.95,1489,1.00,4.75,4.95,5.60,4.15,45,7,4,151,205,494,,26.04,,220,557.12,607,16,2.96,378,,,,216,233.14,496,,PLM02,The plane bounced down the dirt runway.,0.00,1498,n/a,5.11,4.94,6.00,2.61,39,7,4,44,32,502,,,,114,95.53,535,16,2.96,378,43,25.69,464,4,5.47,630,,
PMM03,charge,1.65,2.55,The keen student charged through the test.,0.75,1573,1.00,4.42,4.85,4.25,4.15,42,7,4,80,37,439,11,4.47,336,131,43.04,549,58,14.45,350,,,,119,84.08,520,,PLM03,The hurt bull charged at the fighter.,0.00,1575,n/a,5.94,5.94,6.56,1.39,37,7,4,30,75,481,37,246.35,368,14,27.51,640,58,14.45,350,,,,9,12.78,567,,
PMM04,coast,1.10,3.15,The athlete coasted through college.,0.45,1699,1.00,5.83,5.35,3.22,5.72,36,5,3,93,30,554,,,,9,4.61,545,3,0.06,562,,,,267,85.18,554,,PLM04,The car coasted without any gas.,0.20,1840,n/a,5.00,5.35,5.55,2.10,32,6,4,430,226,478,,,,274,483.06,572,3,0.06,562,1345,354.65,222,98,67.78,554,,
PMM05,crawl,1.20,3.70,The banker crawled through the contract.,0.05,1637,1.00,2.42,2.85,2.90,6.40,40,6,4,28,14,474,,,,5,4.76,547,20,3.96,408,,,,60,32.35,467,,PLM05,The spider crawled along the edge. ,0.05,1176,n/a,6.53,6.80,6.65,1.05,35,6,3,33,13,489,,,,2,10.1,595,20,3.96,408,,,,78,23.51,465,,
PMM06,creep,1.15,2.95,The oil bill crept into congress,,,0.75,4.26,4.25,2.55,5.90,32,6,4,100,42,490,93,41.08,581,143,118.45,528,11,1.14,465,,,,152,8.22,384,,PLM06,The children crept down the cellar stairs.,,,n/a,6.39,6.41,6.67,1.56,42,7,4,110,49,544,,,,355,175.1,582,11,1.14,465,26,9.37,572,47,9.37,558,,
PMM07,dance,1.65,4.45,The paint danced over the canvas.,0.74,1411,0.89,5.11,4.41,4.28,6.11,33,6,3,22,17,575,,,,37,36.8,577,10,9.35,502,,,,19,4.24,645,,PLM07,The lady danced with the general.,0.45,1568,n/a,6.11,6.40,6.65,1.00,33,6,3,196,114,491,,,,80,217.08,564,10,9.35,502,,,,497,115.39,408,,
PMM08,dart,1.30,3.75,The right words darted out of reach.,0.05,1462,1.00,4.50,4.24,1.78,6.50,36,7,4,250,1047,433,613,4008.39,361,274,122.02,395,6,0.04,608,,,,106,56.92,368,,PLM08,The small mouse darted out of view.,0.00,1453,n/a,6.22,6.18,6.44,1.44,35,7,4,186,46,503,542,124.96,402,10,19.12,624,6,0.04,608,,,,186,38.53,379,,
PMM09,dive,1.70,4.15,The woman dove into her knitting ,0.33,1504,1.00,4.17,3.94,4.33,5.39,33,6,3,76,147,552,,,,224,434.63,580,4,5.57,494,,,,1,2.25,583,,PLM09,The woman dove into the pool.,0.40,1593,n/a,6.78,6.53,6.67,1.00,29,6,3,113,162,549,,,,224,434.63,580,4,5.57,494,,,,111,46.98,573,,
PMM10,drift,1.15,2.65,The speaker drifted towards a conclusion. ,0.00,1527,1.00,4.75,5.10,3.45,4.35,42,6,4,39,6,402,,,,49,6.9,537,9,1.8,390,,,,59,9.12,278,,PLM10,The canoe drifted towards danger.,0.06,1208,n/a,6.11,6.37,6.45,1.75,33,6,3,29,16,450,,,,7,3.57,623,9,1.8,390,,,,70,43.67,338,,
PMM11,flit,1.50,2.25,The model flitted between hair colors.,0.27,1475,1.00,3.28,3.24,4.00,4.61,38,6,4,92,49,474,,,,77,32.06,475,0,0.1,370,148,153.55,583,141,10.35,467,,PLM11,The butterfly flitted between flower blossoms.,0.83,1549,n/a,4.50,4.18,5.72,2.17,46,6,4,8,7,527,,,,2,5.51,593,0,0.1,370,23,22.76,584,7,1.31,559,,
PMM12,flounder,1.30,3.05,The television show floundered in the spring.,0.00,1494,0.90,3.58,3.55,2.20,5.10,45,7,4,116,25,493,50,33.9,640,287,33.9,402,1,0.02,405,,,,127,31.31,524,,PLM12,The giant seal floundered on the beach.,0.05,1530,n/a,5.47,5.20,6.10,1.60,39,7,4,26,25,530,23,27.06,515,17,14.75,587,1,0.02,405,,,,61,56.63,612,,
PMM13,fly,1.15,4.25,The sparks flew between the lovers.,0.95,1340,1.00,6.28,6.25,4.80,6.15,35,6,3,17,11,536,,,,5,5.02,526,27,15.39,525,,,,19,11.22,558,,PLM13,The crow flew into the nest. ,0.30,1360,n/a,6.00,5.82,6.67,1.00,29,6,3,16,10,557,,,,2,4.45,590,27,15.39,525,,,,20,11.1,557,,
PMM14,hobble,1.25,3.40,The gambler hobbled through the card game.,0.06,1415,0.85,3.11,2.85,3.75,5.00,42,7,4,38,81,518,,,,1,4.59,511,2,0.14,520,26,85.43,565,123,233.84,477,,PLM14,The captain hobbled off the soccer field.,0.05,1375,n/a,6.11,6.35,6.50,1.15,41,7,4,91,73,554,,,,85,208.27,523,2,0.14,520,3,12.55,505,274,70.2,667,,
PMM15,hop,1.65,3.85,The insults hopped on her tongue.,0.00,1233,1.00,2.37,2.10,2.50,6.50,33,6,3,15,12,500,,,,3,2.98,371,6,1.69,494,,,,35,31.16,634,,PLM15,The rabbits hopped in the yard.,0.45,1545,n/a,6.00,6.60,6.85,1.05,31,6,3,15,11,561,,,,5,6.43,635,6,1.69,494,,,,35,25.06,553
PMM16,jump,1.30,4.05,The clever detective jumped at the clue.,0.72,1652,1.00,5.80,5.60,4.15,4.60,40,7,4,30,23,412,17,27.27,313,52,27.27,505,35,21.14,449,,,,15,17.61,380,,PLM16,The brilliant performer jumped onto the platform. ,0.82,1613,n/a,5.28,5.59,6.44,1.44,50,7,4,41,16,469,50,35.8,350,7,2.41,529,35,21.14,449,,,,72,6.14,547
PMM17,leap,1.20,3.75,The celebrity leapt at the book deal.,0.44,1682,0.95,5.94,5.53,3.89,5.11,37,7,4,85,112,449,,,,3,7.29,455,2,0.88,389,193,176.98,609,142,261.37,342,,PLM17,The happy fan leapt during the goal.,0.95,1743,n/a,5.50,5.65,6.89,1.22,36,7,4,45,96,410,98,333.2,355,18,35.14,557,2,0.88,389,,,,60,16.75,340
PMM18,lope,1.21,2.63,The rich loped through the recession.,0.00,2002,0.85,2.68,2.75,1.90,4.55,37,6,3,27,27,339,,,,74,80.39,377,1,0,426,,,,7,0.45,215,,PLM18,The wolf loped without concern.,0.22,1779,n/a,2.68,2.80,3.50,2.95,31,6,3,35,15,510,,,,6,20.27,595,1,0,426,,,,98,26.12,509
PMM19,lumber,1.35,2.95,The bad news lumbered towards town.,0.00,1388,1.00,2.39,2.35,2.00,6.11,35,6,4,115,239,465,142,545.18,308,104,164.69,437,1,0.06,560,,,,212,247.92,556,,PLM19,The truck lumbered across the long bridge.,0.05,1584,n/a,4.89,4.70,5.80,3.05,42,7,4,228,198,540,,,,57,72.86,595,1,0.06,560,755,675.16,381,98,45.71,623
PMM20,lurch,1.35,2.70,The football team lurched through the season.,0.10,1777,0.89,3.61,3.25,2.11,5.39,45,7,4,57,54,488,36,37.53,584,83,147.61,492,5,0.06,430,,,,105,31.47,445,,PLM20,The yellow taxi lurched through the lanes.,0.06,1310,n/a,4.00,4.70,5.90,3.05,42,6,4,20,15,534,55,33.8,537,16,25.84,632,5,0.06,430,,,,4,1.92,537
PMM21,mosey,1.00,2.68,The friend mosied through the photographs.,0.40,1784,0.90,3.74,4.20,4.45,3.85,42,6,3,50,143,478,,,,133,419.29,450,0,0,395,,,,16,9.78,590,,PLM21,The tourists mosied without a clear plan.,0.18,1820,n/a,4.06,4.29,3.94,2.94,41,7,4,110,87,411,,,,16,5.41,533,0,0,395,219,171.82,359,205,171.82,357
PMM22,plod,1.60,2.60,The surgeon plodded through the operation.,0.05,1686,0.85,3.63,3.90,4.60,3.80,42,6,3,42,20,515,,,,11,16.43,600,2,0,435,,,,113,43.94,510,,PLM22,The farmer plodded through the mud.,0.10,1614,n/a,5.89,5.55,6.20,1.80,35,6,3,19,9,561,,,,23,11.84,642,2,0,435,,,,32,14.82,605
PMM23,plow,1.55,4.10,The student plowed through the history books. ,0.37,1738,1.00,5.53,5.70,5.45,5.65,46,7,4,130,49,513,,,,131,43.04,549,6,0.65,569,286,83.92,328,97,67.76,605,,PLM23,The broken tractor plowed over the hill.,0.06,1289,n/a,4.50,4.29,5.61,1.33,40,7,4,41,28,533,63,71.25,383,24,3.73,590,6,0.65,569,,,,72,37.55,588
PMM24,pounce,1.50,3.85,The newspaper pounced on the story.,0.15,1855,1.00,5.00,5.70,3.55,6.05,35,6,3,73,82,521,,,,65,23.69,656,0,0.18,480,,,,153,220.78,427,,PLM24,The lion pounced on its prey.,0.00,1267,n/a,6.56,6.53,6.78,1.22,29,6,3,8,7,524,,,,17,15.35,627,0,0.18,480,,,,7,5.51,464
PMM25,press,1.10,3.15,The lawyer pressed for a new trial.,0.10,1559,1.00,6.37,6.50,3.90,3.60,35,7,4,461,215,447,,,,43,79.51,569,30,5.82,425,1635,723.78,348,134,49.37,446,,PLM25,The heavy box pressed against his side.,0.06,1421,n/a,6.28,6.06,5.89,1.33,39,7,4,148,86,457,110,47.29,413,70,89.75,597,30,5.82,425,,,,380,200.92,394
PMM26,puff,2.25,3.50,The coach puffed up the football team.,,,0.79,2.78,2.76,3.28,6.17,38,7,4,37,58,500,,,,24,47.63,561,4,0.82,363,36,37.53,584,83,147.61,492,,PLM26,The housewife puffed up the down pillows.,,,n/a,5.56,6.00,6.55,1.40,41,7,4,227,374,474,,,,4,3.53,580,4,0.82,363,895,1490.27,339,3,3.16,613
PMM27,push,1.25,3.45,Their boss pushed for more sales.,0.11,1487,1.00,6.79,6.40,4.90,4.05,33,6,4,583,364,403,,,,20,124.29,552,53,20.49,412,2216,1298.59,284,44,12.71,364,,PLM27,His grandfather pushed against the refrigerator.,0.00,1795,n/a,4.61,5.41,6.39,1.22,48,6,3,29,18,517,,,,12,24.33,565,53,20.49,412,,,,23,8.37,574
PMM28,race,1.35,3.65,The reader raced through the romance novel.,0.53,1770,1.00,5.84,5.75,4.70,4.50,43,7,4,41,8,428,78,,304,43,5.45,530,12,1.31,463,13,15.53,313,59,10.06,529,,PLM28,The runner raced past the empty lot.,0.00,1576,n/a,5.78,6.06,6.61,1.17,36,7,4,51,156,471,,,,1,4.96,605,12,1.31,463,64,47.24,374,127,569.92,443
PMM29,reel,1.65,3.30,The colonel reeled in the officers.,0.16,1471,1.00,3.22,3.76,3.94,4.39,35,6,3,43,42,525,,,,37,96.25,523,2,0.06,502,,,,89,28.27,550,,PLM29,The fisherman reeled in a bass.,0.45,1634,n/a,6.16,6.70,6.50,1.05,31,6,3,8,4,539,,,,5,4.33,567,2,0.06,502,,,,16,7.55,547
PMM30,retreat,1.05,2.95,The painter retreated from his gloomy marriage. ,0.05,1769,1.00,3.25,3.65,2.60,4.30,48,7,4,32,22,415,,,,21,6.75,568,8,1,367,3,2.41,327,95,77.06,398,,PLM30,The army retreated from the enemy lines. ,0.21,1349,n/a,6.50,6.83,6.33,1.06,41,7,4,107,43,455,,,,132,85.69,543,8,1,367,88,48.51,434,198,38.43,477
