,,,,,,,,,,,,,,,AVERAGE,,,MOD1,,,SUBJ,,,VERB,,,MOD2,,,OBJ,,,,,,,,,,,,,,,,AVERAGE,,,MOD1,,,SUBJ,,,VERB,,,MOD2,,,OBJ,,,,,
Item,Base,Auditory Image,Visual Image,Metaphor,Valence %Pos,Valence RT,Interp,Fam,Natur,Image,Fig,#chars,#words,#content words,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,,Item,Literal,Valence %Pos,Valence RT,Interp,Fam,Natur,Image,Fig,#chars,#words,#content words,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,,,
PMA01,argue,2.95,2.80,The plaid pants argued with the paisley shirt. ,0.00,1612,1.00,2.94,2.88,4.11,6.67,47,8,5,13,22,520,1,1.61,455,10,58.75,619,29,2.71,323,0,0.63,585,27,46.73,616,,PLA01,The angry guest argued with the incompetent staff,0.05,1510,n/a,6.79,6.80,6.05,1.00,49,8,5,46,27,396,45,58.98,375,39,39.9,519,29,2.71,323,2,3.8,248,113,32,515,,,
PMA02,bark,4.80,3.00,The unpaid bills barked at the father.,0.05,1659,1.00,2.28,2.18,2.06,6.56,38,7,4,60,144,498,9,1,305,47,21.49,528,0,0.35,563,,,,183,554.49,594,,PLA02,The mean bulldog barked at the burglar.,0.15,1367,n/a,6.26,6.70,6.45,1.00,39,7,4,50,314,515,199,1243.98,313,0,4.6,626,0,0.35,563,,,,1,5.53,558,,,
PMA03,belch,4.40,3.05,The school belched out the mediocre student,0.00,1557,0.90,1.58,1.85,1.90,6.65,43,7,4,158,15,467,,,,492,14,573,4,0.06,555,5,1.39,190,131,43.04,549,,PLA03,The officer belched during the play.,0.05,1614,n/a,5.11,5.47,6.06,1.17,36,6,3,102,153,524,,,,101,103.2,550,4,0.06,555,,,,200,354.53,468,,,
PMA04,bleat,4.00,2.63,The wrinkled shirt bleated for an iron.,0.00,1122,1.00,1.90,1.90,3.65,6.45,39,7,4,21,17,544,12,1.69,545,27,46.37,616,0,0,432,,,,43,17.94,584,,PLA04,The lamb bleated for its mom.,0.05,1294,n/a,4.06,4.71,5.39,1.89,29,6,3,3,147,568,,,,7,10.6,633,0,0,432,,,,3,430.39,640,,,
PMA05,blurt,3.21,1.90,His license blurted out his true age. ,0.10,1931,1.00,2.95,3.30,3.90,6.30,38,7,4,124,91,419,,,,36,32.06,560,3,0.24,455,231,253.35,269,227,79.2,390,,PLA05,Her secretary blurted out the computer password. ,0.00,1572,n/a,5.89,5.88,6.28,1.39,49,7,3,65,25,480,,,,191,33.2,576,3,0.24,455,,59.04,,0,7.98,410,,,
PMA06,buzz,4.50,2.40,The headline buzzed in his ears. ,0.05,1693,1.00,4.37,4.70,2.55,6.25,33,6,3,15,12,511,,,,4,2.59,485,2,0.94,408,,,,38,33.43,640,,PLA06,The bees buzzed in the garden.,0.37,1393,n/a,6.94,6.71,6.89,1.22,30,6,3,26,11,536,,,,15,5.3,597,2,0.94,408,,,,60,26.55,602,,,
PMA07,call,2.95,2.30,The ocean called to the fisherman.,0.44,1421,0.90,4.83,4.65,4.05,6.30,34,6,3,157,125,516,,,,34,30.29,593,433,340.02,389,,,,5,4.33,567,,PLA07,The nurse called to the orderly.,0.05,1307,n/a,6.00,5.70,5.10,1.60,32,6,3,157,130,455,,,,17,45.0,588,433,340.02,389,,,,20,4.37,388,,,
PMA08,chant,3.90,2.70,The waves chanted to the surfer.,0.68,1593,0.89,2.67,2.83,3.50,6.50,32,6,3,19,5,532,,,,51,13.22,492,6,0.33,465,,,,0,1.63,640,,PLA08,The monks chanted in the mountains.,0.50,1697,n/a,6.05,6.15,6.60,1.20,35,6,3,16,7,575,,,,10,2.7,645,6,0.33,465,,,,33,18.65,616,,,
PMA09,chat,3.15,3.15,Her short skirt chatted up all the men.,,,0.75,2.45,2.90,3.95,6.05,39,8,4,361,117,496,212,85.63,351,21,9.96,614,2,0.37,400,,,,1207,372.76,618,,PLA09,Her best friend chatted up the flight attendant.,,,n/a,5.78,5.55,5.55,2.70,48,8,5,109,177,427,351,404.37,282,133,419.3,450,2,0.37,400,46,59.69,468,12,3.1,533,,,
PMA10,cheer,4.10,3.30,The posters cheered for the candidate.,0.74,1635,0.95,2.89,2.88,3.72,5.89,38,6,3,13,4,502,,,,4,3.02,592,2,1.22,425,,,,34,8.51,489,,PLA10,The fans cheered for the team.,0.95,1173,n/a,6.94,6.94,6.89,1.00,30,6,3,35,54,491,,,,21,13.9,557,2,1.22,425,,,,83,147.61,492,,,
PMA11,chime,4.45,3.60,The invitation chimed in their ears.,0.75,1567,1.00,3.44,3.53,2.17,6.06,36,6,3,19,16,543,,,,20,14.88,439,0,0.1,550,,,,38,33.43,640,,PLA11,The bells chimed in the wind.,0.65,1558,n/a,6.68,6.60,6.50,1.35,29,6,3,24,24,574,,,,8,13.2,620,0,0.1,550,,,,63,59.37,552,,,
PMA12,chirp,4.35,2.90,His heart chirped at her name.,0.90,1501,1.00,3.53,3.55,2.35,6.30,30,6,3,156,295,505,,,,173,244.18,605,1,0,505,,,,294,641.86,405,,PLA12,His canary chirped at the reflection.,0.47,1499,n/a,4.61,4.94,5.72,1.44,37,6,3,11,3,474,,,,0,2.9,577,1,0,505,,,,32,5.02,339,,,
PMA13,chuckle,4.25,2.95,His eyes chuckled at the cute note.,0.89,1406,1.00,2.65,2.80,3.15,6.25,35,7,4,138,91,481,,,,408,221.55,634,8,0.08,429,5,87.75,310,131,53.55,549,,PLA13,His daughter chuckled at the big glasses.,0.30,2143,n/a,6.11,5.83,6.22,1.06,41,7,4,117,222,485,,,,72,171.4,625,8,0.08,429,360,682.82,283,29,33.12,602,,,
PMA14,clamor,3.05,1.75,The banners clamored at the voters.,0.11,1686,0.85,2.42,3.20,3.25,5.70,35,6,3,8,1,505,,,,2,0.8,567,1,0.02,399,,,,20,2.08,548,,PLA14,The voters clamored for better standards.,0.24,1579,n/a,5.89,5.65,3.80,2.55,41,6,4,72,201,421,,,,20,2.1,548,1,0.02,399,194,794,414,74,7.22,324,,,
PMA15,clash,2.85,2.50,His smile clashed with his eyes.,0.21,1628,0.90,2.74,2.65,2.95,5.05,32,6,3,156,93,516,,,,58,58,514,1,0.22,399,,,,408,221.55,634,,PLA15,His car's gears clashed in the cold.,0.00,1249,n/a,2.89,2.65,3.11,4.00,36,7,4,112,154,507,274,483.06,622,2,1.5,550,1,0.22,399,,,,171,130.16,457
PMA16,clatter,3.55,2.15,Her eager smile clattered to the floor.,0.25,1498,0.95,1.67,2.18,2.17,6.56,39,7,4,62,41,453,27,6.86,302,58,58,514,5,0,435,,,,158,100.63,559,,PLA16,Her wine glasses clattered in the dishwasher.,0.10,1878,n/a,5.61,6.00,5.83,1.44,45,7,4,27,24,565,72,60.35,621,29,33.1,631,5,0,435,,,,1,2.02,573
