,,,,,,,,,,,,,,,AVERAGE,,,MOD1,,,SUBJ,,,MOD2,,,OBJ,,,,,,,,,,,,,,,,,,,AVERAGE,,,MOD1,,,SUBJ,,,MOD2,,,OBJ,,,
Item,Base,Auditory Image,Visual Image,Metaphor,Valence %Pos,Valence RT,Interp,Fam,Natur,Image,Fig,#chars,#words,#content words,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,,,,,Item,Literal,Valence %Pos,Valence RT,Interp,Fam,Natur,Image,Fig,#chars,#words,#content words,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,
NMM01,canter,2.45,3.37,His youth was a happy canter.,0.89,1227,0.94,3.70,3.75,3.60,5.45,29,6,3,60,117,425,,,,82,16.82,439,98,333.2,355,1,0.22,480,,,,,NLM01,The horse's trot was a canter.,0.31,1446,n/a,5.00,5.44,6.00,2.22,30,6,3,43,32,495,117,92.88,613,12,1.8,392,,,,1,0.22,480,
NMM02,cartwheel,1.15,4.79,The puzzle was a logic cartwheel.,0.20,1676,1.00,3.75,4.20,3.65,5.35,33,6,3,10,5,423,,,,10,7.33,449,17,6.71,250,2,0.29,570,,,,,NLM02,The gymnastics stunt was a cartwheel.,0.59,1646,n/a,6.11,6.89,6.50,1.06,37,6,3,5,4,477,11,1.53,468,1,9.2,393,,,,2,0.29,570,
NMM03,charge,1.65,2.55,Her stare was a bull charge.,0.07,1899,0.78,3.50,3.35,5.35,5.75,28,6,3,50,42,452,,,,14,9.96,365,14,27.51,640,122,89.39,350,,,,,NLM03,The battle plan was a charge.,0.24,1334,n/a,5.20,5.80,5.65,1.60,29,6,3,138,92,424,87,42.25,564,205,145.73,357,,,,122,89.39,350,
NMM04,chop,3.65,3.95,The review was a karate chop.,0.06,2047,0.94,2.65,2.90,3.55,6.10,29,6,3,20,12,494,,,,56,14.8,388,0,7.57,540,3,13.61,555,,,,,NLM04,His gesture was a quick chop.,0.11,1602,n/a,4.39,5.22,6.28,1.56,29,6,3,34,43,434,,,,32,7.43,403,68,108.67,343,3,13.61,555,
NMM05,clamber,2.00,2.26,His work experience was a clumsy clamber.,0.00,1565,1.00,2.50,3.44,2.50,5.45,41,7,4,261,216,361,760,798.02,402,276,60.55,275,6,5.39,386,0,0.04,380,,,,,NLM05,The final ascent was an exhausting clamber.,0.00,1769,n/a,4.44,5.00,5.06,3.11,43,7,4,40,13,352,156,49.67,368,1,0.31,313,3,2.18,345,0,0.04,380,
NMM06,climb,1.30,4.00,Her career was a rough climb.,0.06,1363,1.00,6.44,6.50,3.72,5.25,29,6,3,40,34,396,,,,67,45.2,373,41,37.39,448,12,19.75,367,,,,,NLM06,The mountain was an easy climb.,0.69,1357,n/a,6.15,6.75,6.25,2.15,31,6,3,57,107,424,,,,33,35.39,616,125,265.71,288,12,19.75,367,
NMM07,collapse,1.90,3.45,The lie was an integrity collapse.,0.06,1642,0.72,4.33,4.67,2.17,4.85,34,6,3,25,44,334,,,,59,120.25,357,10,7.2,241,7,5.55,405,,,,,NLM07,The tragedy was a building collapse.,0.06,1196,n/a,5.10,5.60,6.15,2.10,36,6,3,72,40,442,,,,49,14.18,331,160,99.57,589,7,5.55,405,
NMM08,crawl,1.20,3.70,The interview was a painful crawl.,0.00,1090,1.00,5.20,5.45,5.10,5.45,34,6,3,23,19,428,,,,34,29.51,420,25,15.16,455,11,12.04,408,,,,,NLM08,The motion was a swimmer's crawl.,0.18,1435,n/a,4.50,4.65,5.05,2.50,33,6,3,23,12,468,,,,55,18.96,367,2,3.73,630,11,12.04,408,
NMM09,creep,1.15,2.95,The taxes was a steady creep.,0.00,1510,1.00,4.15,4.30,3.00,4.30,29,6,3,32,15,395,,,,45,9.75,445,41,22.71,315,10,11.24,425,,,,,NLM09,The panther's approach was a creep.,0.07,1583,n/a,4.35,5.50,5.90,3.15,35,6,3,45,12,477,1,2.57,683,123,20.98,323,,,,10,11.24,425,
