,,,,,,,,,,,,,,,AVERAGE,,,MOD1,,,SUBJ,,,MOD2,,,OBJ,,,,,,,,,,,,,,,,,,,AVERAGE,,,MOD1,,,SUBJ,,,MOD2,,,OBJ,,,
NMM10,dash,1.15,2.80,The petition was a mad dash.,0.24,1537,1.00,4.33,4.33,3.56,4.85,28,6,3,22,41,411,,,,15,4.22,470,39,113.41,308,11,6.04,455,,,,,NLM10,The chase was a fast dash.,0.44,1297,n/a,5.35,6.05,6.15,1.70,26,6,3,36,59,406,,,,18,32.8,460,78,137.45,304,11,6.04,455,
NMM11,dig,2.15,4.15,The therapy was an archeological dig.,0.13,1600,0.94,3.65,3.40,3.65,5.95,37,6,3,10,22,394,,,,12,18.51,385,8,0.29,375,10,46.22,422,,,,,NLM11,The expedition was a desert dig.,0.06,1505,n/a,4.55,5.65,5.85,2.00,32,6,3,15,27,472,,,,15,5.67,403,21,27.98,590,10,46.22,422,
NMM12,dodge,1.20,3.21,His smile was a charming dodge.,0.78,1385,0.94,3.45,3.35,4.85,5.75,31,6,3,31,31,442,,,,58,58,514,24,28.12,386,11,7.76,425,,,,,NLM12,His move was a quick dodge.,0.42,1312,n/a,5.89,6.44,6.17,1.67,27,6,3,83,178,386,,,,171,418.14,390,68,108.67,343,11,7.76,425,
NMM13,drift,1.15,2.65,His illness was a slow drift.,0.00,1313,0.94,4.11,4.78,3.28,4.45,29,6,3,33,30,363,,,,20,7.27,405,60,76.02,293,18,6.41,390,,,,,NLM13,The current was a fast drift.,0.18,1661,n/a,5.88,6.06,6.11,2.50,29,6,3,67,54,343,,,,104,17.04,335,78,137.45,304,18,6.41,390,
NMM14,drive,2.05,4.05,The writer's job is a lonely drive.,0.00,1427,1.00,3.70,3.75,4.65,5.50,35,7,3,110,158,420,73,23.53,563,238,413,432,25,41.67,253,105,153.14,430,,,,,NLM14,The vacation was a cross country drive.,0.53,1496,n/a,5.33,6.67,5.72,1.56,39,6,3,133,101,456,324,55.04,465,47,32.8,414,55,161.84,514,105,153.14,430,
NMM15,drop,1.60,2.85,The price change was a major drop.,0.30,1465,0.94,6.15,6.70,3.60,2.65,34,7,3,164,132,332,108,53.37,376,240,240.35,306,247,104.76,327,59,130.61,320,,,,,NLM15,The bungee jump was a scary drop.,0.17,1591,n/a,5.70,6.55,6.90,1.60,33,7,4,28,57,343,,0.71,,24,69.82,449,2,26.2,259,59,130.61,320,
NMM16,fall,1.80,3.32,The divorce was a hard fall.,0.00,1295,1.00,5.44,6.17,3.33,4.95,28,6,3,126,153,419,,,,29,32.73,423,202,307.84,425,147,118.51,409,,,,,NLM16,The grandfather's accident was a fall. ,0.00,1220,n/a,5.39,6.67,6.22,1.56,39,6,3,64,75,464,12,24.33,565,33,81.29,419,,,,147,118.51,409,
NMM17,flip,1.15,3.63,His novel was a perspective flip.,0.36,1222,0.83,4.78,4.44,3.00,5.10,33,6,3,30,11,339,,,,59,10.06,529,26,8.22,2.25,4,14.27,485,,,,,NLM17,His trick was a back flip.,0.53,1431,n/a,5.29,6.83,6.61,1.78,26,6,3,186,690,614,,,,15,47.27,391,540,2009.16,967,4,14.27,485,
NMM18,flop,1.80,2.85,The play was a big flop.,0.00,1281,1.00,7.00,6.67,4.22,4.90,24,6,3,187,347,390,,,,200,354.53,468,360,682.82,283,1,2.31,420,,,,,NLM18,The dive was a belly flop.,0.11,1463,n/a,6.00,6.20,6.40,1.55,26,6,3,16,10,515,,,,23,12.82,494,23,15.57,630,1,2.31,420,
NMM19,flow,1.45,2.89,The cash was a steady flow.,0.74,1188,0.72,6.06,6.17,4.17,3.55,27,6,3,48,36,287,,,,36,72.43,547,41,22.71,3.15,67,13.75,311,,,,,NLM19,The flood was a rapid flow.,0.19,1780,n/a,5.39,5.67,6.28,2.00,27,6,3,43,8,426,,,,19,5.71,553,43,4.37,415,67,13.75,311,
NMM20,gesture,1.00,3.20,The chocolates were a sweet gesture.,0.80,1174,0.94,6.85,6.85,5.60,3.25,36,6,3,37,52,477,,,,9,2.92,576,70,145.2,453,32,7.43,403,,,,,NLM20,The hand signal is a rude gesture.,0.00,1328,n/a,6.00,6.30,6.40,1.40,34,7,4,133,87,442,431,279.65,604,63,37.76,464,6,22.06,295,32,7.43,403,
NMM21,glide,1.50,3.16,The art major was a glide.,0.67,1473,0.83,3.00,2.94,2.72,5.50,26,6,3,152,59,409,208,70.8,436,247,104.76,327,,,,2,2.35,465,,,,,NLM21,The skater's entrance was a glide.,0.94,1952,n/a,5.11,5.61,6.28,1.83,34,6,3,20,7,500,0,1.9,550,57,15.69,484,,,,2,2.35,465,
NMM22,hug,1.15,4.79,The card was a sympathetic hug.,1.00,1769,0.78,3.90,5.20,5.20,5.90,31,6,3,21,36,413,,,,26,85.43,565,35,3.8,320,3,19.33,354,,,,,NLM22,The friend's greeting was a hug.,0.95,1092,n/a,6.10,6.70,6.70,1.80,32,6,3,47,147,391,133,419.29,450,5,3.22,370,,,,3,19.33,354,
NMM23,jog,1.95,4.42,The test review was a quick jog.,0.43,1133,0.89,3.35,3.05,3.40,5.50,32,7,4,61,52,429,119,84.08,520,56,14.8,388,68,108.67,343,1,2.41,464,,,,,NLM23,The race course was an easy jog.,0.87,1564,n/a,5.83,6.61,5.78,2.61,32,7,4,174,204,401,103,61.9,463,465,487.22,389,125,265.71,288,1,2.41,464,
NMM24,jump,1.30,4.05,The home purchase was a bungee jump.,0.15,1746,0.89,2.56,2.94,3.56,5.40,36,7,4,155,213,489,547,774.33,539,47,6.37,412,0,0.71,555,24,69.82,449,,,,,NLM24,The fence was a high jump.,0.31,1372,n/a,5.70,6.20,6.65,2.50,26,6,3,184,94,472,,,,30,16.06,597,497,195,371,24,69.82,449,
NMM25,launch,1.60,3.55,The date was a successful launch.,0.95,1247,0.89,4.78,5.61,3.78,4.20,33,6,3,69,61,383,,,,103,141.53,514,95,20.33,180,10,19.96,455,,,,,NLM25,The news was a rocket launch.,0.50,1610,n/a,3.25,3.95,5.79,5.50,29,6,3,40,65,512,,,,102,164.69,437,7,11.84,645,10,19.96,455,
NMM26,leap,1.20,3.75,The secretary's promotion was a leap.,0.82,1650,0.94,5.55,6.20,4.55,5.00,37,6,3,77,24,438,191,33.22,558,26,33.22,368,,,,14,6.67,389,,,,,NLM26,The creek was a small leap.,0.29,1625,n/a,4.11,4.89,6.56,3.22,27,6,3,190,47,462,,,,14,8.9,595,542,124.96,402,14,6.67,389,
NMM27,lift,1.35,3.42,The prize money was a lift.,0.83,1453,0.78,4.44,4.72,3.83,5.45,27,6,3,105,232,503,28,22.39,474,265,640.76,574,,,,23,34.14,461,,,,,NLM27,The bed was a heavy lift.,0.06,1075,n/a,4.61,5.28,5.33,1.94,25,6,3,87,90,503,,,,127,187.12,635,110,47.29,413,23,34.14,461,
NMM28,limp,1.15,3.75,The winter was a heartbroken limp.,0.00,1383,0.83,2.65,2.65,3.30,6.05,34,6,3,32,11,432,,,,83,26.22,499,0,1.82,315,12,3.67,481,,,,,NLM28,The gait was a mild limp.,0.06,1229,n/a,4.89,5.44,5.28,2.39,25,6,3,11,3,397,,,,8,0.31,381,14,4.8,330,12,3.67,481,
NMM29,march,2.35,4.00,The marriage was a forced march.,0.05,1412,1.00,4.50,4.83,4.39,4.85,32,6,3,99,43,386,,,,95,77.06,398,81,26.45,320,120,24.02,440,,,,,NLM29,The parade was a military march.,0.14,1367,n/a,5.89,6.67,6.44,1.50,32,6,3,119,26,460,,,,25,12.88,523,212,41.24,417,120,24.02,440,
NMM30,move,1.35,2.21,His novel was a bold move.,0.42,1504,1.00,6.55,6.40,3.75,4.70,26,6,3,84,145,388,,,,59,10.06,529,21,7.55,245,171,418.14,390,,,,,NLM30,The transfer was a small move.,0.29,1681,n/a,4.85,6.25,3.85,2.05,30,6,3,250,188,374,,,,38,20.55,331,542,125,402,171,418.14,390,
NMM31,plod,1.60,2.60,The homework was a dull plod.,0.00,1331,0.78,3.83,4.56,3.89,5.20,29,7,4,9,11,413,,,,0,20.14,495,27,12.08,308,1,0.1,435,,,,,NLM31,The valley trek was a dull plod.,0.00,1302,n/a,3.39,4.44,4.56,3.61,32,7,4,26,10,450,73,25,575,2,4.49,480,27,12.08,308,1,0.1,435,
NMM32,polka,3.00,4.45,The friendship was a crazy polka.,0.61,1590,1.00,2.85,3.00,4.15,5.90,33,6,3,21,99,278,,,,27,22.82,335,34,272.27,22,1,2.43,477,,,,,NLM32,The dance was a fast polka.,0.44,1670,n/a,5.89,6.28,6.06,1.39,27,6,3,56,96,428,,,,90,148.04,502,78,137.45,304,1,2.43,477,
NMM33,pounce,1.50,3.85,The purchase was a tiger pounce.,0.29,1513,1.00,1.75,2.25,3.15,6.15,32,6,3,18,9,544,,,,47,6.37,-,7,18.53,607,0,1.1,480,,,,,NLM33,The cat's attack was a pounce.,0.22,1700,n/a,5.84,6.50,6.70,1.55,30,6,3,11,48,502,23,66.33,615,10,75.55,411,,,,0,1.1,480,
NMM34,press,1.20,3.15,The campaign was a full-court press.,0.24,1722,0.83,4.15,3.60,3.20,4.00,36,6,3,167,86,403,230,166.9,378,81,16.78,300,230,100.73,509,127,60.2,425,,,,,NLM34,The response was a key press.,0.18,1295,n/a,2.72,4.06,3.28,2.39,29,6,3,97,54,347,,,,77,16.1,3,88,86.86,612,127,60.2,425,
NMM35,pull,1.15,2.89,The road was an irresistible pull.,0.36,1517,0.89,3.33,4.00,3.22,6.28,34,6,3,85,86,398,,,,197,111.94,583,8,0.02,250,51,146.45,360,,,,,NLM35,The magnet was a weak pull.,0.06,1165,n/a,5.75,5.20,5.00,2.40,27,6,3,29,60,420,,,,3,2.75,550,32,31.51,351,51,146.45,360,
NMM36,punch,2.90,4.21,The editorial was a brass-knuckle punch.,0.06,1631,0.94,3.78,5.00,5.28,6.44,40,6,3,17,11,538,19,12.12,577,42,2.18,440,3,1.29,586,5,29.69,548,,,,,NLM36,The blow was a single punch.,0.13,1486,n/a,6.33,6.17,6.56,1.40,28,6,3,66,66,425,,,,22,97.57,397,172,72.08,330,5,29.69,548,
NMM37,push,1.25,3.45,The war campaign was a hard push.,0.13,1511,0.78,5.84,6.25,4.60,4.40,33,7,4,196,142,403,464,174.75,473,81,16.8,300,202,307.84,425,37,70.55,412,,,,,NLM37,The drunk's shove was an angry push.,0.06,1735,n/a,5.55,5.60,5.90,1.55,36,7,4,30,55,404,37,76.55,465,2,13.22,362,45,58.98,375,37,70.55,412,
NMM38,ride,1.15,2.79,The course was a balloon ride.,0.63,1296,0.72,3.00,3.60,4.95,4.60,30,6,3,175,210,479,,,,465,487.22,389,10,8.67,623,49,135.37,424,,,,,NLM38,The boat trip was a ferry ride.,0.47,1495,n/a,5.78,5.72,6.28,1.40,31,7,4,53,80,522,72,95.78,637,81,82.39,448,11,5.35,580,49,135.37,424,
NMM39,roll,1.50,3.75,The new roommate was a dice roll.,0.06,1680,0.94,3.61,4.06,4.67,6.44,33,7,4,421,202,488,1635,723.78,348,1,11.39,525,14,10.45,620,35,63.27,457,,,,,NLM39,The bowler's throw was a straight roll.,0.64,1761,n/a,5.50,6.10,6.55,1.85,39,7,4,64,79,420,,1.31,,42,128.82,400,114,122.43,404,35,63.27,457,
NMM40,sail,1.30,4.45,The assignment was an easy sail.,0.88,1617,1.00,4.67,5.39,4.83,6.00,32,6,3,66,99,412,,,,62,17.88,380,125,265.71,288,12,13.75,567,,,,,NLM40,The bay was a difficult sail.,0.06,1661,n/a,4.67,5.83,4.89,3.10,29,6,3,77,33,462,,,,57,24.24,580,161,60.16,238,12,13.75,567,
NMM41,sashay,1.35,3.20,The reception was an elitist sashay.,0.06,1634,0.89,4.28,4.89,3.94,4.72,36,6,3,17,4,352,,,,38,11.14,425,13,0.45,195,0,0.2,435,,,,,NLM41,The procession was a swift sashay.,0.54,1523,n/a,2.89,4.06,4.39,3.55,34,6,3,12,2,424,,,,5,1.27,500,32,3.86,338,0,0.2,435,
NMM42,scamper,1.70,3.10,Her inquiries were a nervous scamper.,0.00,1287,0.94,3.17,3.89,3.67,4.22,37,6,3,14,23,384,,,,17,1.51,358,24,67.16,338,0,0.25,455,,,,,NLM42,Her exit was a nervous scamper.,0.00,1519,n/a,5.60,5.50,5.60,2.00,31,6,3,10,28,406,,,,7,15.57,425,24,67.16,338,0,0.25,455,
NMM43,scurry,1.75,3.20,The sale was a Wallstreet scurry.,0.06,1473,0.94,4.05,4.35,5.15,5.30,33,6,3,15,9,470,,,,44,25.39,364,0,0,580,0,0.78,465,,,,,NLM43,His escape was a quick scurry.,0.17,1383,n/a,6.15,5.65,5.60,2.30,30,6,3,44,51,383,,,,65,44.27,341,68,108.67,343,0,0.78,465,
NMM44,skydive,1.65,4.79,The home purchase was a skydive.,0.46,1361,0.83,3.00,3.30,3.55,6.20,32,6,3,198,243,514,547,723.78,539,47,6.37,412,,,,0,0.22,590,,,,,NLM44,The prize was a free skydive.,0.73,1481,n/a,4.95,5.75,5.90,1.85,29,6,3,96,67,464,,,,28,22.39,474,260,177.53,328,0,0.22,590,
NMM45,slam-dunk,2.65,4.68,The costume was a slam-dunk.,0.82,1391,1.00,5.40,6.55,5.25,6.10,28,6,3,5,7,532,,,,10,14.14,544,,,,0,0,520,,,,,NLM45,His shot was a perfect slam-dunk.,0.82,1506,n/a,6.72,6.56,6.56,1.35,33,6,3,57,129,386,,,,112,227.43,467,58,158.65,165,0,0,525,
NMM46,slap,3.90,4.11,The rejection letter was a slap.,0.00,1303,1.00,5.90,6.45,5.20,5.60,32,6,3,53,33,364,11,3.29,3,145,82.61,577,,,,2,12.47,511,,,,,NLM46,Her punishment was a strong slap.,0.00,1421,n/a,6.44,6.28,6.33,1.70,33,6,3,75,38,398,,,,21,13.43,358,202,86.86,324,2,12.47,511,
NMM47,sleepwalk,1.05,4.75,The test was a sleepwalk.,0.36,1522,0.94,3.83,4.56,4.33,5.83,25,5,2,60,42,530,,,,119,84.08,520,,,,0,0.25,540,,,,,NLM47,The disorder was a sleepwalk.,0.00,1615,n/a,4.40,4.80,4.85,1.40,29,5,2,4,4,440,,,,7,7.14,340,,,,0,0.25,540,
NMM48,slither,1.75,3.60,The deal was a greedy slither.,0.00,1284,0.94,3.94,3.17,3.28,5.67,30,6,3,49,89,347,,,,142,261.37,342,5,6.63,360,0,0.22,338,,,,,NLM48,The snake's movement was a slither.,0.00,1405,n/a,6.45,6.50,6.55,1.50,35,6,3,57,12,454,44,22.35,621,128,14.84,403,,,,0,0.22,338,
NMM49,slouch,1.00,4.16,The poetry was a teenage slouch.,0.06,1523,0.89,2.30,3.05,2.90,6.15,32,6,3,30,7,492,,,,88,13.37,425,2,6.86,600,1,0.63,450,,,,,NLM49,His posture was a lazy slouch.,0.00,1214,n/a,6.33,6.39,6.67,2.00,30,6,3,8,5,408,,,,13,1.73,420,9,11.59,354,1,0.63,450,
NMM50,sprint,1.25,3.90,The last month was a sprint.,0.35,1478,1.00,4.50,5.50,4.10,5.90,28,6,3,269,273,352,676,723.1,299,130,95.18,345,,,,0,0.71,411,,,,,NLM50,The final competition was a sprint.,0.46,1553,n/a,6.28,6.61,6.33,1.75,35,6,3,73,24,374,156,49.67,368,63,20.9,342,,,,0,0.71,411,
NMM51,stab,1.70,4.05,The declined invitation was a stab.,0.00,1409,1.00,4.67,5.83,4.83,5.94,35,6,3,18,8,302,31,1.57,2.95,20,14.88,439,,,,3,8.76,463,,,,,NLM51,The injury was a knife stab. ,0.00,1294,n/a,6.10,6.00,6.00,1.65,29,6,3,35,22,524,,,,27,10.2,497,76,46.8,612,3,8.76,463,
NMM52,stampede,3.65,4.63,The criticisms were a stampede.,0.00,1250,1.00,4.00,5.06,4.56,5.94,31,5,3,8,1,428,,,,11,0.31,316,,,,4,1.33,540,,,,,NLM52,The approach was a stampede.,0.06,1556,n/a,5.28,5.83,5.89,3.25,28,5,2,64,11,432,,,,123,20.98,323,,,,4,1.33,540,
NMM53,stretch,1.55,3.70,The budget was a stretch.,0.00,1411,1.00,5.60,6.45,3.55,5.40,25,5,3,43,12,415,,,,59,10.06,366,,,,26,14.67,463,,,,,NLM53,The exercise was a stretch.,0.27,1784,n/a,5.30,5.60,5.40,1.85,27,5,2,142,16,463,,,,58,17.73,462,,,,226,14.67,463,
NMM54,stroll,1.20,3.32,The court case was a stroll.,0.72,1785,1.00,4.78,5.17,4.39,5.44,28,6,3,199,129,511,230,100.73,509,362,282.41,548,,,,4,4.14,475,,,,,NLM54,The hike was an leisurely stroll.,0.95,1677,n/a,6.20,6.25,6.00,1.85,33,6,3,6,4,406,,,,4,6.53,458,11,0.57,285,4,4.14,475,
NMM55,stumble,1.80,3.47,The first date was a stumble.,0.00,1179,1.00,4.25,4.80,4.35,5.10,29,6,3,488,328,419,1360,840.57,311,103,141.53,514,,,,1,1.96,433,,,,,NLM55,The skater's shame was a stumble.,0.00,1547,n/a,4.15,4.20,5.40,2.85,33,6,3,7,15,423,0,1.9,550,21,41.57,287,,,,1,1.96,433,
NMM56,surge,1.65,1.79,The newspaper stories were a trickle.,0.06,1630,0.72,2.90,2.95,3.20,6.30,37,6,3,42,23,516,65,23.69,656,60,43.43,418,,,,2,1.84,475,,,,,NLM56,The faucet leak was a trickle.,0.08,1470,n/a,6.00,6.06,6.22,1.50,30,6,3,2,4,522,1,1.43,620,2,10.14,472,,,,2,1.84,475,
NMM57,swagger,1.30,3.60,His yacht was a rich swagger.,0.60,1574,1.00,3.85,4.60,5.65,5.35,29,6,3,26,30,490,,,,4,8.22,606,74,80.39,363,0,0.24,500,,,,,NLM57,His gait was a confident swagger.,0.84,1851,n/a,6.20,6.15,5.95,2.10,33,6,3,8,4,375,,,,8,0.31,381,16,10.65,245,0,0.24,500,
NMM58,swarm,2.20,4.30,The numbers were a brain swarm.,0.08,1587,0.94,3.44,4.28,3.61,6.22,31,6,3,58,39,446,,,,125,39.61,376,45,77.02,556,3,1.33,406,,,,,NLM58,The bees were a black swarm.,0.00,1388,n/a,5.65,5.35,6.85,2.95,28,6,3,72,58,491,,,,11,5.33,597,203,167.94,470,3,1.33,406,
NMM59,sweep,2.20,4.15,The eviction was a mean sweep.,0.06,1351,0.94,3.50,4.17,3.44,6.00,30,6,3,71,418,396,,,,0,0.84,400,199,1243.98,313,15,9.51,476,,,,,NLM59,The chore was a quick sweep.,0.47,1563,n/a,5.95,5.75,5.00,2.05,28,6,3,30,40,424,,,,7,1,453,68,108.67,343,15,9.51,476,
NMM60,swim,1.60,4.65,The reception was an icy swim.,0.00,1374,1.00,2.90,3.20,4.10,6.35,30,6,3,22,15,486,,,,38,11.14,425,12,2.65,550,15,31.8,482,,,,,NLM60,The competitive relay was a swim.,0.22,1599,n/a,5.78,5.78,5.94,2.50,33,6,3,16,13,392,31,4.2,260,2,2.98,435,,,,15,31.8,482,
NMM61,swing,1.55,4.00,Her opinion was a pendulum swing.,0.13,1842,1.00,4.50,4.85,5.37,6.25,33,6,3,41,23,459,,,,96,42,285,2,0.53,583,24,25.98,508,,,,,NLM61,The rubber tire was a good swing.,0.61,1484,n/a,5.50,5.78,6.00,2.05,33,6,3,217,666,493,15,14,604,22,12.37,563,807,2610.14,297,24,25.98,508,
NMM62,tailspin,1.40,3.68,The partnership was a financial tailspin.,0.05,1598,0.83,4.60,5.05,4.10,5.25,41,6,3,35,7,350,,,,18,5.29,315,86,15.24,315,0,0.22,420,,,,,NLM62,The plane's trajectory was a tailspin.,0.00,1467,n/a,4.80,5.30,5.40,1.65,38,6,3,39,33,463,114,95.53,535,2,1.84,435,,,,0,0.22,420,
NMM63,take-off,2.60,3.90,The introduction was a smooth take-off.,0.83,1434,1.00,4.89,5.44,4.28,5.50,39,6,3,28,8,411,,,,39,4.27,341,42,18.27,406,4,2.45,485,,,,,NLM63,The hope was an easy take-off.,0.86,1206,n/a,2.00,2.90,2.85,5.40,30,6,3,102,196,345,,,,178,320.63,261,125,265.71,288,4,2.45,485,
NMM64,tango,2.30,4.79,The business deal was a hot tango.,0.43,1597,0.78,2.39,4.06,5.00,6.33,34,7,4,167,194,440,392,321,389,142,261.37,342,130,189.84,507,2,5.37,520,,,,,NLM64,The last romp was a Latin tango.,0.33,1587,n/a,4.89,4.94,5.56,2.20,32,6,3,182,185,399,676,723.1,299,1,0.53,405,50,11,370,2,5.37,520,
NMM65,trudge,1.60,3.10,The ceremony was a swamp trudge.,0.00,1425,0.89,2.89,3.94,4.17,6.17,32,6,3,8,8,470,,,,18,15.82,430,5,8.98,570,0,0.24,410,,,,,NLM65,The way back was a trudge.,0.00,1311,n/a,5.61,6.22,4.94,3.60,26,6,3,625,1145,405,909,1424.73,265,967,2009.16,540,,,,0,0.24,410,
NMM66,tug,1.30,3.50,The shop display was a gentle tug.,0.44,1503,0.89,2.72,3.28,3.83,5.83,34,7,4,34,20,452,63,53.55,549,41,8.53,462,27,16.55,322,3,2.75,475,,,,,NLM66,The puppy's grasp was a firm tug.,0.44,1711,n/a,5.15,5.50,5.95,1.75,33,7,4,33,14,487,2,11.45,623,17,4.57,450,109,35.27,400,3,2.75,475,
NMM67,wander,1.05,2.30,The anthology was a literary wander.,0.50,1955,0.72,3.88,3.56,2.33,5.39,36,6,3,30,3,330,,,,4,0.27,430,78,2.55,240,8,5.86,320,,,,,NLM67,The excursion was an afternoon wander.,0.47,1720,n/a,5.70,6.05,5.75,1.90,38,6,3,39,33,369,,,,2,0.67,380,106,91.49,406,8,5.86,320,
NMM68,wave,2.15,4.35,The letter was a goodbye wave. ,0.22,1440,1.00,3.33,4.61,4.56,6.22,31,6,3,66,73,471,,,,145,82.61,577,6,116.51,345,46,21.25,492,,,,,NLM68,The tsunami was a giant wave.,0.13,1176,n/a,6.44,6.44,6.78,1.40,29,6,3,30,16,532,,,,21,0.53,590,23,27.06,515,46,21.25,492,
NMM69,wrestle,1.70,4.63,The negotiations were a wrestle.,0.00,1403,1.00,4.95,6.00,5.95,6.15,32,5,2,11,3,430,,,,20,3.41,350,,,,2,3.45,510,,,,,NLM69,The struggle was a wrestle.,0.10,1421,n/a,5.33,5.39,5.22,2.75,27,5,2,32,8,458,,,,62,13.37,405,,,,2,3.45,510,
NMM70,zigzag,1.20,3.60,The contract was a legal zigzag.,0.00,1867,1.00,5.05,4.85,4.40,5.65,32,6,3,44,23,381,,,,60,32.35,467,72,35.71,210,0,0.45,465,,,,,NLM70,The mountain road was a zigzag.,0.13,1259,n/a,6.33,6.33,6.72,2.10,31,6,3,77,49,555,33,35.39,616,197,111.94,583,,,,0,0.45,465,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
