APPENDIX									
"ID Numbers (From the Original Set), the Most Common Spanish Name, the English Name"									
"(From Snodgrass & Vanderwart's, 1980 set), Thresholds for the 260 Names of Pictures,"									
"Standard Deviations (SD), Kurtosis, Skewness, and Range From the Spanish Study"									
                ID	English	Threshold	Spanish	Threshold	SD	Kurtosis	Skewness	Range	
1	Accordion	3.9	Acordeo_n	4	1.974	2.757	1.643	7	
2	Airplane	3.9	Avio_n*	4.4	1.188	0.254	0.159	5	
3	Alligator	3.4	Cocodrilo	5.45	1.191	21.528	0.028	3	
4	Anchor	                 Ð	Ancla	4.1	1.373	0.249	0.887	5	
5	Ant	3.45	Hormiga	5.6	1.231	1.755	0.872	5	
6	Apple	1.2	Manzana	3.9	2.075	0.388	0.698	8	
7	Arm	4.25	Brazo*	5.55	1.234	2.337	21.247	5	
8	Arrow	2.9	Flecha*	5.45	0.999	0.984	0.681	4	
9	Artichoke	3.2	Alcachofa	6.45	1.146	0.532	20.331	5	
10	Ashtray	4	Cenicero	5.45	1.504	0.553	0.158	6	
11	Asparagus	2.9	Espa_rrago	5.4	1.789	21.096	20.186	6	
12	Axe	5.05	Hacha*	6.85	1.348	20.247	0.015	5
13	Baby carriage	4.35	Carricoche	3.95	1.191	1.057	0.936	5
14	Ball	5.25	Pelota	4.1	1.071	20.197	20.502	4
15	Balloon	3.9	Globo*	3.5	1.192	0.19	20.104	5
16	Banana	3	Pla_tano	4.15	1.872	0.706	0.669	7
17	Barn	3.05	Granero	5.35	0.875	20.337	0.25	3
18	Barrel	3.5	Tonel	5.4	0.995	21.061	20.228	3
19	Baseball bat	4.55	Bate	6.7	0.801	2.256	1.309	3
20	Basket	3.15	Cesta	4.9	1.21	20.621	1.003	3
21	Bear	3.6	Oso	4.2	1.361	20.952	0.712	4
22	Bed	2.85	Cama*	3.7	1.38	1.102	0.87	6
23	Bee	6.2	Abeja*	4.85	1.182	1.611	1.169	5
24	Beetle	5.4	Cucaracha	3.3	1.418	21.117	20.347	4
25	Bell	6.35	Campana*	4.05	1.538	0.207	20.478	6
26	Belt	5.3	Cinturo_n	5.5	1.792	20.363	20.671	6
27	Bicycle	2.75	Bicicleta	5.75	1.293	1.845	0.518	6
28	Bird	4.7	Pa_jaro*	2.15	1.899	9.139	2.834	8
29	Blouse	4.85	Blusa	4.65	1.461	20.813	20.442	5
30	Book	2.9	Libro*	5.05	2.012	0.076	20.463	8
31	Boot	5.05	Bota	3.4	0.598	0.783	1.245	2
32	Bottle	4.95	Botella*	4.05	1.356	21.248	20.1	4
33	Bow	4.9	Lazo*	4	1.298	21.196	0.161	4
34	Bowl	2.05	Cuenco	5.1	2.198	21.309	0.024	7
35	Box	2.85	Caja*	3.35	0.875	2.176	20.274	4
36	Bread	5.6	Pan	1.8	0.894	0.224	0.922	3
37	Broom	4	Escoba	4.6	0.681	20.446	0.712	2
38	Brush	4.3	Cepillo	4.45	1.191	20.753	20.388	4
39	Bus	4.85	Autobu_s	5	1.451	21.127	20.115	4
40	Butterfly	4.2	Mariposa	4.5	1.792	21.372	20.122	5
41	Button	                 Ð	Boto_n	4.9	2.125	20.822	0.218	8
42	Cake	2.25	Tarta	3.85	1.599	20.634	0.099	6
43	Camel	5.25	Camello	4.9	2.673	21.198	20.065	8
44	Candle	3.05	Vela*	2.8	1.508	0.263	0.991	5
45	Cannon	Ð	Can_o_n	4.5	3.253	21.549	0.571	8
46	Cap	1.95	Gorra	2.4	1.429	0.299	0.885	5
47	Car	3.95	Automo_vil*	3.65	0.988	20.77	20.283	3
48	Carrot	4.8	Zanahoria	5.15	1.182	20.653	0.318	4
49	Cat	1.75	Gato*	3.7	0.801	1.415	21.418	3
50	Caterpillar	2.95	Gusano*	2.9	1.553	20.198	0.84	5
51	Celery	3.85	Apio	5.4	1.818	20.763	0.325	6
52	Chain	5.15	Cadena*	5.8	1.399	0.407	0.01	6
53	Chair	3.55	Silla*	3.95	1.146	20.373	0.573	4
